 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Tm,  Z =  69,  atomic weight = 1.68934E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.91502E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 69
 #
 # Electron density: Read from file Data/z_069.d
 #                   Number of data points =  837
 #                   Volume integral = 6.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.18000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 9.31800E-17 cm**2 = 3.32752E+00 a0**2
 # 1st transport cross section = 4.82851E-18 cm**2 = 1.72429E-01 a0**2
 # 2nd transport cross section = 7.58730E-18 cm**2 = 2.70947E-01 a0**2
 #
 #    Absorption cross section = 2.49531E-17 cm**2 = 8.91092E-01 a0**2
 #   Grand total cross section = 1.18144E-16 cm**2 = 4.21900E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.55774E-14
7.61557E-13 2.55774E-14
1.18994E-12 2.55774E-14
1.71346E-12 2.55774E-14
2.33225E-12 2.55774E-14
3.04617E-12 2.55774E-14
3.85530E-12 2.55774E-14
4.75964E-12 2.55774E-14
5.75917E-12 2.55774E-14
6.85391E-12 2.55774E-14
8.04379E-12 2.55774E-14
9.32893E-12 2.55774E-14
1.07092E-11 2.55773E-14
1.21847E-11 2.55773E-14
1.37554E-11 2.55773E-14
1.54213E-11 2.55773E-14
1.71823E-11 2.55773E-14
1.90386E-11 2.55773E-14
2.09900E-11 2.55773E-14
2.30367E-11 2.55773E-14
2.51785E-11 2.55773E-14
2.74156E-11 2.55773E-14
2.97478E-11 2.55773E-14
3.21752E-11 2.55773E-14
3.46979E-11 2.55773E-14
3.73157E-11 2.55772E-14
4.00286E-11 2.55772E-14
4.28368E-11 2.55772E-14
4.57402E-11 2.55772E-14
4.87388E-11 2.55772E-14
5.18325E-11 2.55772E-14
5.50215E-11 2.55772E-14
5.83057E-11 2.55772E-14
6.16850E-11 2.55772E-14
6.51595E-11 2.55771E-14
6.87293E-11 2.55771E-14
7.23943E-11 2.55771E-14
7.61544E-11 2.55771E-14
1.18991E-10 2.55769E-14
1.71347E-10 2.55767E-14
2.33223E-10 2.55765E-14
3.04617E-10 2.55762E-14
3.85531E-10 2.55759E-14
4.75965E-10 2.55755E-14
5.75917E-10 2.55752E-14
6.85389E-10 2.55747E-14
8.04380E-10 2.55743E-14
9.32891E-10 2.55738E-14
1.07092E-09 2.55732E-14
1.21847E-09 2.55727E-14
1.37554E-09 2.55721E-14
1.54213E-09 2.55714E-14
1.71823E-09 2.55707E-14
1.90386E-09 2.55700E-14
2.09900E-09 2.55693E-14
2.30367E-09 2.55685E-14
2.51785E-09 2.55676E-14
2.74156E-09 2.55668E-14
2.97478E-09 2.55659E-14
3.21752E-09 2.55649E-14
3.46978E-09 2.55639E-14
3.73156E-09 2.55629E-14
4.00286E-09 2.55619E-14
4.28368E-09 2.55608E-14
4.57402E-09 2.55597E-14
4.87388E-09 2.55585E-14
5.18326E-09 2.55573E-14
5.50215E-09 2.55561E-14
5.83057E-09 2.55548E-14
6.16850E-09 2.55535E-14
6.51596E-09 2.55522E-14
6.87293E-09 2.55508E-14
7.23942E-09 2.55494E-14
7.61544E-09 2.55479E-14
1.18991E-08 2.55314E-14
1.71347E-08 2.55112E-14
2.33223E-08 2.54874E-14
3.04617E-08 2.54601E-14
3.85531E-08 2.54291E-14
4.75965E-08 2.53947E-14
5.75917E-08 2.53568E-14
6.85389E-08 2.53155E-14
8.04380E-08 2.52709E-14
9.32891E-08 2.52229E-14
1.07092E-07 2.51716E-14
1.21847E-07 2.51172E-14
1.37554E-07 2.50596E-14
1.54213E-07 2.49990E-14
1.71823E-07 2.49354E-14
1.90386E-07 2.48688E-14
2.09900E-07 2.47994E-14
2.30367E-07 2.47273E-14
2.51785E-07 2.46524E-14
2.74156E-07 2.45750E-14
2.97478E-07 2.44951E-14
3.21752E-07 2.44127E-14
3.46978E-07 2.43280E-14
3.73156E-07 2.42411E-14
4.00286E-07 2.41520E-14
4.28368E-07 2.40609E-14
4.57402E-07 2.39678E-14
4.87388E-07 2.38728E-14
5.18325E-07 2.37761E-14
5.50215E-07 2.36778E-14
5.83057E-07 2.35778E-14
6.16850E-07 2.34764E-14
6.51596E-07 2.33736E-14
6.87293E-07 2.32696E-14
7.23942E-07 2.31643E-14
7.61543E-07 2.30580E-14
1.18991E-06 2.19560E-14
1.71347E-06 2.08426E-14
2.33223E-06 1.97858E-14
3.04617E-06 1.88282E-14
3.85531E-06 1.79876E-14
4.75964E-06 1.72613E-14
5.75916E-06 1.66334E-14
6.85388E-06 1.60816E-14
8.04378E-06 1.55835E-14
9.32888E-06 1.51216E-14
1.07092E-05 1.46847E-14
1.21846E-05 1.42685E-14
1.37553E-05 1.38731E-14
1.54212E-05 1.35011E-14
1.71822E-05 1.31547E-14
1.90385E-05 1.28343E-14
2.09899E-05 1.25378E-14
2.30365E-05 1.22611E-14
2.51783E-05 1.19992E-14
2.74153E-05 1.17474E-14
2.97475E-05 1.15023E-14
3.21749E-05 1.12625E-14
3.46974E-05 1.10279E-14
3.73152E-05 1.07997E-14
4.00281E-05 1.05791E-14
4.28362E-05 1.03668E-14
4.57395E-05 1.01625E-14
4.87380E-05 9.96528E-15
5.18317E-05 9.77335E-15
5.50205E-05 9.58505E-15
5.83045E-05 9.39911E-15
6.16838E-05 9.21500E-15
6.51582E-05 9.03291E-15
6.87277E-05 8.85352E-15
7.23925E-05 8.67767E-15
7.61524E-05 8.50596E-15
9.21439E-05 7.85709E-15
1.09658E-04 7.24502E-15
1.28695E-04 6.67579E-15
1.49255E-04 6.15104E-15
1.71338E-04 5.66177E-15
1.94942E-04 5.21611E-15
2.20070E-04 4.80570E-15
2.46720E-04 4.43115E-15
2.74892E-04 4.09154E-15
3.04586E-04 3.78081E-15
3.35803E-04 3.50043E-15
3.68542E-04 3.24507E-15
4.02802E-04 3.01334E-15
4.38585E-04 2.80374E-15
4.75889E-04 2.61232E-15
5.14715E-04 2.43910E-15
5.55063E-04 2.28091E-15
5.96931E-04 2.13651E-15
6.40321E-04 2.00493E-15
6.85233E-04 1.88379E-15
7.31665E-04 1.77298E-15
7.79618E-04 1.67072E-15
8.29092E-04 1.57622E-15
8.80086E-04 1.48900E-15
9.32601E-04 1.40772E-15
9.86636E-04 1.33238E-15
1.04219E-03 1.26203E-15
1.09927E-03 1.19627E-15
1.15786E-03 1.13492E-15
1.21797E-03 1.07724E-15
1.27961E-03 1.02328E-15
1.34276E-03 9.72541E-16
1.40743E-03 9.24784E-16
1.47362E-03 8.79944E-16
1.54133E-03 8.37567E-16
1.61056E-03 7.97692E-16
1.68131E-03 7.60021E-16
1.75357E-03 7.24392E-16
1.82735E-03 6.90778E-16
1.90265E-03 6.58891E-16
1.97947E-03 6.28754E-16
2.05780E-03 6.00195E-16
2.13765E-03 5.73105E-16
2.21902E-03 5.47477E-16
2.30190E-03 5.23130E-16
2.38630E-03 5.00077E-16
2.47222E-03 4.78209E-16
2.55965E-03 4.57449E-16
2.64859E-03 4.37787E-16
2.73905E-03 4.19099E-16
2.83103E-03 4.01380E-16
2.92452E-03 3.84555E-16
3.01952E-03 3.68561E-16
3.11604E-03 3.53384E-16
3.21407E-03 3.38942E-16
3.31362E-03 3.25220E-16
3.41468E-03 3.12170E-16
3.51725E-03 2.99749E-16
3.62133E-03 2.87940E-16
3.72692E-03 2.76694E-16
3.83403E-03 2.65995E-16
3.94265E-03 2.55810E-16
4.05278E-03 2.46108E-16
4.16442E-03 2.36873E-16
4.27757E-03 2.28071E-16
4.39223E-03 2.19684E-16
4.50840E-03 2.11688E-16
4.62608E-03 2.04060E-16
4.74527E-03 1.96780E-16
4.86597E-03 1.89830E-16
4.98817E-03 1.83192E-16
5.11188E-03 1.76847E-16
5.23711E-03 1.70784E-16
5.36383E-03 1.64984E-16
5.49207E-03 1.59437E-16
5.62181E-03 1.54130E-16
5.75306E-03 1.49048E-16
5.88581E-03 1.44187E-16
6.02007E-03 1.39525E-16
6.15583E-03 1.35063E-16
6.29310E-03 1.30786E-16
6.43187E-03 1.26681E-16
6.57214E-03 1.22748E-16
6.71392E-03 1.18967E-16
6.85720E-03 1.15340E-16
7.00198E-03 1.11855E-16
7.14827E-03 1.08502E-16
7.29605E-03 1.05284E-16
7.44534E-03 1.02182E-16
7.59612E-03 9.92021E-17
7.97965E-03 9.22284E-17
8.37255E-03 8.58809E-17
8.77480E-03 8.00920E-17
9.18641E-03 7.48007E-17
9.60736E-03 6.99535E-17
1.00376E-02 6.55049E-17
1.04773E-02 6.14167E-17
1.09262E-02 5.76553E-17
1.13844E-02 5.41903E-17
1.18520E-02 5.09934E-17
1.23288E-02 4.80394E-17
1.28150E-02 4.53065E-17
1.33104E-02 4.27759E-17
1.38150E-02 4.04308E-17
1.43290E-02 3.82558E-17
1.48521E-02 3.62364E-17
1.53845E-02 3.43594E-17
1.59262E-02 3.26132E-17
1.64770E-02 3.09873E-17
1.70371E-02 2.94726E-17
1.76063E-02 2.80602E-17
1.81848E-02 2.67420E-17
1.87724E-02 2.55106E-17
1.93692E-02 2.43591E-17
1.99751E-02 2.32816E-17
2.05901E-02 2.22724E-17
2.12143E-02 2.13262E-17
2.18476E-02 2.04382E-17
2.24900E-02 1.96041E-17
2.31415E-02 1.88197E-17
2.38021E-02 1.80814E-17
2.44717E-02 1.73858E-17
2.51504E-02 1.67296E-17
2.58382E-02 1.61099E-17
2.65349E-02 1.55240E-17
2.72407E-02 1.49695E-17
2.79555E-02 1.44443E-17
2.86793E-02 1.39462E-17
2.94120E-02 1.34733E-17
3.01537E-02 1.30236E-17
3.09043E-02 1.25957E-17
3.16639E-02 1.21881E-17
3.24324E-02 1.17995E-17
3.32098E-02 1.14287E-17
3.39961E-02 1.10743E-17
3.47912E-02 1.07354E-17
3.55952E-02 1.04109E-17
3.64081E-02 1.00999E-17
3.72297E-02 9.80189E-18
3.80602E-02 9.51591E-18
3.88995E-02 9.24123E-18
3.97476E-02 8.97716E-18
4.06044E-02 8.72311E-18
4.14700E-02 8.47859E-18
4.23443E-02 8.24316E-18
4.32273E-02 8.01635E-18
4.41190E-02 7.79768E-18
4.50194E-02 7.58669E-18
4.59284E-02 7.38299E-18
4.68461E-02 7.18629E-18
4.87074E-02 6.81280E-18
5.06030E-02 6.46383E-18
5.25328E-02 6.13714E-18
5.44967E-02 5.83113E-18
5.64946E-02 5.54427E-18
5.85262E-02 5.27492E-18
6.05914E-02 5.02195E-18
6.26901E-02 4.78428E-18
6.48222E-02 4.56070E-18
6.69873E-02 4.35032E-18
6.91854E-02 4.15237E-18
7.14163E-02 3.96591E-18
7.36799E-02 3.79020E-18
7.59760E-02 3.62463E-18
7.83043E-02 3.46847E-18
8.06647E-02 3.32108E-18
8.30571E-02 3.18197E-18
8.54812E-02 3.05058E-18
8.79369E-02 2.92638E-18
9.04240E-02 2.80897E-18
9.29422E-02 2.69793E-18
9.54915E-02 2.59281E-18
9.80716E-02 2.49326E-18
1.00682E-01 2.39894E-18
1.03323E-01 2.30946E-18
1.05995E-01 2.22453E-18
1.08696E-01 2.14387E-18
1.11427E-01 2.06720E-18
1.14188E-01 1.99430E-18
1.16978E-01 1.92495E-18
1.19797E-01 1.85894E-18
1.22645E-01 1.79604E-18
1.25522E-01 1.73605E-18
1.28428E-01 1.67879E-18
1.31361E-01 1.62409E-18
1.34323E-01 1.57183E-18
1.37313E-01 1.52188E-18
1.40330E-01 1.47412E-18
1.43375E-01 1.42840E-18
1.46447E-01 1.38460E-18
1.49545E-01 1.34259E-18
1.52671E-01 1.30229E-18
1.55823E-01 1.26365E-18
1.59001E-01 1.22656E-18
1.62205E-01 1.19095E-18
1.65435E-01 1.15672E-18
1.68690E-01 1.12378E-18
1.71970E-01 1.09210E-18
1.75276E-01 1.06163E-18
1.78606E-01 1.03232E-18
1.81961E-01 1.00407E-18
1.85340E-01 9.76845E-19
1.88743E-01 9.50601E-19
1.92169E-01 9.25308E-19
1.95619E-01 9.00926E-19
1.99092E-01 8.77397E-19
2.02589E-01 8.54672E-19
2.06107E-01 8.32737E-19
2.09649E-01 8.11570E-19
2.13212E-01 7.91125E-19
2.16797E-01 7.71356E-19
2.20404E-01 7.52250E-19
2.24032E-01 7.33792E-19
2.27680E-01 7.15944E-19
2.31350E-01 6.98674E-19
2.35040E-01 6.81968E-19
2.38751E-01 6.65810E-19
2.42481E-01 6.50169E-19
2.46231E-01 6.35026E-19
2.50000E-01 6.20367E-19
