 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element: Yb,  Z =  70,  atomic weight = 1.73040E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.96256E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 70
 #
 # Electron density: Read from file Data/z_070.d
 #                   Number of data points =  835
 #                   Volume integral = 7.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.10000E-23 cm**3
 #                            Bpol = 1.35785E+01
 #
 # Total elastic cross section = 1.57154E-16 cm**2 = 5.61206E+00 a0**2
 # 1st transport cross section = 1.73238E-17 cm**2 = 6.18643E-01 a0**2
 # 2nd transport cross section = 1.93501E-17 cm**2 = 6.91005E-01 a0**2
 #
 #    Absorption cross section = 6.21039E-17 cm**2 = 2.21777E+00 a0**2
 #   Grand total cross section = 2.19269E-16 cm**2 = 7.83025E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.56264E-14
7.61557E-13 2.56264E-14
1.18994E-12 2.56264E-14
1.71346E-12 2.56264E-14
2.33225E-12 2.56264E-14
3.04617E-12 2.56264E-14
3.85530E-12 2.56264E-14
4.75964E-12 2.56264E-14
5.75917E-12 2.56264E-14
6.85391E-12 2.56264E-14
8.04379E-12 2.56264E-14
9.32893E-12 2.56264E-14
1.07092E-11 2.56264E-14
1.21847E-11 2.56264E-14
1.37554E-11 2.56264E-14
1.54213E-11 2.56264E-14
1.71823E-11 2.56264E-14
1.90386E-11 2.56264E-14
2.09900E-11 2.56264E-14
2.30367E-11 2.56264E-14
2.51785E-11 2.56264E-14
2.74156E-11 2.56264E-14
2.97478E-11 2.56264E-14
3.21752E-11 2.56264E-14
3.46979E-11 2.56264E-14
3.73157E-11 2.56264E-14
4.00286E-11 2.56264E-14
4.28368E-11 2.56264E-14
4.57402E-11 2.56264E-14
4.87388E-11 2.56264E-14
5.18325E-11 2.56264E-14
5.50215E-11 2.56263E-14
5.83057E-11 2.56263E-14
6.16850E-11 2.56263E-14
6.51595E-11 2.56263E-14
6.87293E-11 2.56263E-14
7.23943E-11 2.56263E-14
7.61544E-11 2.56263E-14
1.18991E-10 2.56263E-14
1.71347E-10 2.56262E-14
2.33223E-10 2.56261E-14
3.04617E-10 2.56260E-14
3.85531E-10 2.56259E-14
4.75965E-10 2.56257E-14
5.75917E-10 2.56256E-14
6.85389E-10 2.56254E-14
8.04380E-10 2.56252E-14
9.32891E-10 2.56250E-14
1.07092E-09 2.56248E-14
1.21847E-09 2.56246E-14
1.37554E-09 2.56244E-14
1.54213E-09 2.56241E-14
1.71823E-09 2.56239E-14
1.90386E-09 2.56236E-14
2.09900E-09 2.56233E-14
2.30367E-09 2.56230E-14
2.51785E-09 2.56227E-14
2.74156E-09 2.56224E-14
2.97478E-09 2.56220E-14
3.21752E-09 2.56216E-14
3.46978E-09 2.56213E-14
3.73156E-09 2.56209E-14
4.00286E-09 2.56205E-14
4.28368E-09 2.56201E-14
4.57402E-09 2.56196E-14
4.87388E-09 2.56192E-14
5.18326E-09 2.56187E-14
5.50215E-09 2.56183E-14
5.83057E-09 2.56178E-14
6.16850E-09 2.56173E-14
6.51596E-09 2.56167E-14
6.87293E-09 2.56162E-14
7.23942E-09 2.56157E-14
7.61544E-09 2.56151E-14
1.18991E-08 2.56088E-14
1.71347E-08 2.56010E-14
2.33223E-08 2.55918E-14
3.04617E-08 2.55812E-14
3.85531E-08 2.55693E-14
4.75965E-08 2.55559E-14
5.75917E-08 2.55412E-14
6.85389E-08 2.55251E-14
8.04380E-08 2.55076E-14
9.32891E-08 2.54887E-14
1.07092E-07 2.54685E-14
1.21847E-07 2.54470E-14
1.37554E-07 2.54241E-14
1.54213E-07 2.53999E-14
1.71823E-07 2.53743E-14
1.90386E-07 2.53475E-14
2.09900E-07 2.53194E-14
2.30367E-07 2.52900E-14
2.51785E-07 2.52593E-14
2.74156E-07 2.52274E-14
2.97478E-07 2.51942E-14
3.21752E-07 2.51598E-14
3.46978E-07 2.51242E-14
3.73156E-07 2.50874E-14
4.00286E-07 2.50494E-14
4.28368E-07 2.50102E-14
4.57402E-07 2.49699E-14
4.87388E-07 2.49285E-14
5.18325E-07 2.48859E-14
5.50215E-07 2.48423E-14
5.83057E-07 2.47975E-14
6.16850E-07 2.47517E-14
6.51596E-07 2.47049E-14
6.87293E-07 2.46570E-14
7.23942E-07 2.46082E-14
7.61543E-07 2.45583E-14
1.18991E-06 2.40100E-14
1.71347E-06 2.33861E-14
2.33223E-06 2.27087E-14
3.04617E-06 2.19992E-14
3.85531E-06 2.12778E-14
4.75964E-06 2.05618E-14
5.75916E-06 1.98654E-14
6.85388E-06 1.91992E-14
8.04378E-06 1.85704E-14
9.32888E-06 1.79826E-14
1.07092E-05 1.74370E-14
1.21846E-05 1.69320E-14
1.37553E-05 1.64646E-14
1.54212E-05 1.60307E-14
1.71822E-05 1.56254E-14
1.90385E-05 1.52440E-14
2.09899E-05 1.48822E-14
2.30365E-05 1.45361E-14
2.51783E-05 1.42029E-14
2.74153E-05 1.38806E-14
2.97475E-05 1.35680E-14
3.21749E-05 1.32645E-14
3.46974E-05 1.29704E-14
3.73152E-05 1.26860E-14
4.00281E-05 1.24118E-14
4.28362E-05 1.21485E-14
4.57395E-05 1.18962E-14
4.87380E-05 1.16550E-14
5.18317E-05 1.14246E-14
5.50205E-05 1.12045E-14
5.83045E-05 1.09937E-14
6.16838E-05 1.07913E-14
6.51582E-05 1.05962E-14
6.87277E-05 1.04073E-14
7.23925E-05 1.02237E-14
7.61524E-05 1.00445E-14
9.21439E-05 9.36514E-15
1.09658E-04 8.74544E-15
1.28695E-04 8.19122E-15
1.49255E-04 7.68953E-15
1.71338E-04 7.22085E-15
1.94942E-04 6.78111E-15
2.20070E-04 6.37531E-15
2.46720E-04 6.00053E-15
2.74892E-04 5.64785E-15
3.04586E-04 5.31450E-15
3.35803E-04 5.00362E-15
3.68542E-04 4.71495E-15
4.02802E-04 4.44376E-15
4.38585E-04 4.18775E-15
4.75889E-04 3.94852E-15
5.14715E-04 3.72630E-15
5.55063E-04 3.51821E-15
5.96931E-04 3.32224E-15
6.40321E-04 3.13895E-15
6.85233E-04 2.96864E-15
7.31665E-04 2.80951E-15
7.79618E-04 2.65983E-15
8.29092E-04 2.51966E-15
8.80086E-04 2.38919E-15
9.32601E-04 2.26732E-15
9.86636E-04 2.15270E-15
1.04219E-03 2.04513E-15
1.09927E-03 1.94477E-15
1.15786E-03 1.85095E-15
1.21797E-03 1.76265E-15
1.27961E-03 1.67956E-15
1.34276E-03 1.60182E-15
1.40743E-03 1.52900E-15
1.47362E-03 1.46038E-15
1.54133E-03 1.39561E-15
1.61056E-03 1.33477E-15
1.68131E-03 1.27762E-15
1.75357E-03 1.22363E-15
1.82735E-03 1.17248E-15
1.90265E-03 1.12420E-15
1.97947E-03 1.07866E-15
2.05780E-03 1.03548E-15
2.13765E-03 9.94403E-16
2.21902E-03 9.55418E-16
2.30190E-03 9.18476E-16
2.38630E-03 8.83320E-16
2.47222E-03 8.49734E-16
2.55965E-03 8.17706E-16
2.64859E-03 7.87225E-16
2.73905E-03 7.58129E-16
2.83103E-03 7.30253E-16
2.92452E-03 7.03574E-16
3.01952E-03 6.78104E-16
3.11604E-03 6.53744E-16
3.21407E-03 6.30367E-16
3.31362E-03 6.07947E-16
3.41468E-03 5.86496E-16
3.51725E-03 5.65956E-16
3.62133E-03 5.46231E-16
3.72692E-03 5.27285E-16
3.83403E-03 5.09129E-16
3.94265E-03 4.91726E-16
4.05278E-03 4.75002E-16
4.16442E-03 4.58920E-16
4.27757E-03 4.43483E-16
4.39223E-03 4.28665E-16
4.50840E-03 4.14414E-16
4.62608E-03 4.00695E-16
4.74527E-03 3.87502E-16
4.86597E-03 3.74822E-16
4.98817E-03 3.62615E-16
5.11188E-03 3.50854E-16
5.23711E-03 3.39531E-16
5.36383E-03 3.28635E-16
5.49207E-03 3.18140E-16
5.62181E-03 3.08026E-16
5.75306E-03 2.98282E-16
5.88581E-03 2.88901E-16
6.02007E-03 2.79865E-16
6.15583E-03 2.71158E-16
6.29310E-03 2.62772E-16
6.43187E-03 2.54695E-16
6.57214E-03 2.46915E-16
6.71392E-03 2.39423E-16
6.85720E-03 2.32207E-16
7.00198E-03 2.25257E-16
7.14827E-03 2.18560E-16
7.29605E-03 2.12111E-16
7.44534E-03 2.05900E-16
7.59612E-03 1.99914E-16
7.97965E-03 1.85876E-16
8.37255E-03 1.73066E-16
8.77480E-03 1.61361E-16
9.18641E-03 1.50642E-16
9.60736E-03 1.40839E-16
1.00376E-02 1.31844E-16
1.04773E-02 1.23604E-16
1.09262E-02 1.16048E-16
1.13844E-02 1.09100E-16
1.18520E-02 1.02728E-16
1.23288E-02 9.68482E-17
1.28150E-02 9.14305E-17
1.33104E-02 8.64271E-17
1.38150E-02 8.17843E-17
1.43290E-02 7.74942E-17
1.48521E-02 7.34993E-17
1.53845E-02 6.97922E-17
1.59262E-02 6.63458E-17
1.64770E-02 6.31249E-17
1.70371E-02 6.01328E-17
1.76063E-02 5.73252E-17
1.81848E-02 5.47019E-17
1.87724E-02 5.22443E-17
1.93692E-02 4.99277E-17
1.99751E-02 4.77606E-17
2.05901E-02 4.57109E-17
2.12143E-02 4.37846E-17
2.18476E-02 4.19694E-17
2.24900E-02 4.02492E-17
2.31415E-02 3.86329E-17
2.38021E-02 3.70959E-17
2.44717E-02 3.56450E-17
2.51504E-02 3.42704E-17
2.58382E-02 3.29619E-17
2.65349E-02 3.17271E-17
2.72407E-02 3.05479E-17
2.79555E-02 2.94315E-17
2.86793E-02 2.83698E-17
2.94120E-02 2.73569E-17
3.01537E-02 2.63978E-17
3.09043E-02 2.54794E-17
3.16639E-02 2.46078E-17
3.24324E-02 2.37762E-17
3.32098E-02 2.29818E-17
3.39961E-02 2.22275E-17
3.47912E-02 2.15043E-17
