 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+02 eV = 2.20496E+01 a.u.
 #
 # Element: Yb,  Z =  70,  atomic weight = 1.73040E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.96256E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 70
 #
 # Electron density: Read from file Data/z_070.d
 #                   Number of data points =  835
 #                   Volume integral = 7.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.10000E-23 cm**3
 #                            Bpol = 5.86302E+00
 #
 # Total elastic cross section = 3.91187E-16 cm**2 = 1.39695E+01 a0**2
 # 1st transport cross section = 7.24272E-17 cm**2 = 2.58642E+00 a0**2
 # 2nd transport cross section = 7.14395E-17 cm**2 = 2.55115E+00 a0**2
 #
 #    Absorption cross section = 2.63151E-16 cm**2 = 9.39728E+00 a0**2
 #   Grand total cross section = 6.54372E-16 cm**2 = 2.33680E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.01667E-14
7.61557E-13 3.01667E-14
1.18994E-12 3.01667E-14
1.71346E-12 3.01667E-14
2.33225E-12 3.01667E-14
3.04617E-12 3.01667E-14
3.85530E-12 3.01667E-14
4.75964E-12 3.01667E-14
5.75917E-12 3.01667E-14
6.85391E-12 3.01667E-14
8.04379E-12 3.01667E-14
9.32893E-12 3.01667E-14
1.07092E-11 3.01667E-14
1.21847E-11 3.01667E-14
1.37554E-11 3.01667E-14
1.54213E-11 3.01667E-14
1.71823E-11 3.01667E-14
1.90386E-11 3.01667E-14
2.09900E-11 3.01667E-14
2.30367E-11 3.01667E-14
2.51785E-11 3.01667E-14
2.74156E-11 3.01667E-14
2.97478E-11 3.01667E-14
3.21752E-11 3.01667E-14
3.46979E-11 3.01667E-14
3.73157E-11 3.01667E-14
4.00286E-11 3.01667E-14
4.28368E-11 3.01667E-14
4.57402E-11 3.01667E-14
4.87388E-11 3.01667E-14
5.18325E-11 3.01667E-14
5.50215E-11 3.01667E-14
5.83057E-11 3.01667E-14
6.16850E-11 3.01667E-14
6.51595E-11 3.01667E-14
6.87293E-11 3.01667E-14
7.23943E-11 3.01667E-14
7.61544E-11 3.01667E-14
1.18991E-10 3.01667E-14
1.71347E-10 3.01667E-14
2.33223E-10 3.01667E-14
3.04617E-10 3.01666E-14
3.85531E-10 3.01666E-14
4.75965E-10 3.01666E-14
5.75917E-10 3.01665E-14
6.85389E-10 3.01665E-14
8.04380E-10 3.01665E-14
9.32891E-10 3.01664E-14
1.07092E-09 3.01664E-14
1.21847E-09 3.01663E-14
1.37554E-09 3.01663E-14
1.54213E-09 3.01662E-14
1.71823E-09 3.01661E-14
1.90386E-09 3.01661E-14
2.09900E-09 3.01660E-14
2.30367E-09 3.01659E-14
2.51785E-09 3.01659E-14
2.74156E-09 3.01658E-14
2.97478E-09 3.01657E-14
3.21752E-09 3.01656E-14
3.46978E-09 3.01655E-14
3.73156E-09 3.01654E-14
4.00286E-09 3.01653E-14
4.28368E-09 3.01652E-14
4.57402E-09 3.01651E-14
4.87388E-09 3.01650E-14
5.18326E-09 3.01649E-14
5.50215E-09 3.01648E-14
5.83057E-09 3.01647E-14
6.16850E-09 3.01646E-14
6.51596E-09 3.01645E-14
6.87293E-09 3.01643E-14
7.23942E-09 3.01642E-14
7.61544E-09 3.01641E-14
1.18991E-08 3.01626E-14
1.71347E-08 3.01608E-14
2.33223E-08 3.01586E-14
3.04617E-08 3.01561E-14
3.85531E-08 3.01533E-14
4.75965E-08 3.01502E-14
5.75917E-08 3.01467E-14
6.85389E-08 3.01429E-14
8.04380E-08 3.01387E-14
9.32891E-08 3.01343E-14
1.07092E-07 3.01295E-14
1.21847E-07 3.01243E-14
1.37554E-07 3.01189E-14
1.54213E-07 3.01131E-14
1.71823E-07 3.01070E-14
1.90386E-07 3.01005E-14
2.09900E-07 3.00938E-14
2.30367E-07 3.00867E-14
2.51785E-07 3.00793E-14
2.74156E-07 3.00715E-14
2.97478E-07 3.00635E-14
3.21752E-07 3.00551E-14
3.46978E-07 3.00464E-14
3.73156E-07 3.00374E-14
4.00286E-07 3.00280E-14
4.28368E-07 3.00183E-14
4.57402E-07 3.00083E-14
4.87388E-07 2.99980E-14
5.18325E-07 2.99874E-14
5.50215E-07 2.99765E-14
5.83057E-07 2.99652E-14
6.16850E-07 2.99536E-14
6.51596E-07 2.99417E-14
6.87293E-07 2.99295E-14
7.23942E-07 2.99170E-14
7.61543E-07 2.99042E-14
1.18991E-06 2.97591E-14
1.71347E-06 2.95842E-14
2.33223E-06 2.93810E-14
3.04617E-06 2.91510E-14
3.85531E-06 2.88961E-14
4.75964E-06 2.86181E-14
5.75916E-06 2.83192E-14
6.85388E-06 2.80015E-14
8.04378E-06 2.76672E-14
9.32888E-06 2.73185E-14
1.07092E-05 2.69577E-14
1.21846E-05 2.65869E-14
1.37553E-05 2.62083E-14
1.54212E-05 2.58239E-14
1.71822E-05 2.54357E-14
1.90385E-05 2.50456E-14
2.09899E-05 2.46552E-14
2.30365E-05 2.42661E-14
2.51783E-05 2.38798E-14
2.74153E-05 2.34975E-14
2.97475E-05 2.31203E-14
3.21749E-05 2.27492E-14
3.46974E-05 2.23849E-14
3.73152E-05 2.20281E-14
4.00281E-05 2.16793E-14
4.28362E-05 2.13387E-14
4.57395E-05 2.10068E-14
4.87380E-05 2.06834E-14
5.18317E-05 2.03688E-14
5.50205E-05 2.00626E-14
5.83045E-05 1.97649E-14
6.16838E-05 1.94753E-14
6.51582E-05 1.91936E-14
6.87277E-05 1.89193E-14
7.23925E-05 1.86521E-14
7.61524E-05 1.83917E-14
9.21439E-05 1.74084E-14
1.09658E-04 1.64999E-14
1.28695E-04 1.56460E-14
1.49255E-04 1.48354E-14
1.71338E-04 1.40647E-14
1.94942E-04 1.33354E-14
2.20070E-04 1.26508E-14
2.46720E-04 1.20124E-14
2.74892E-04 1.14186E-14
3.04586E-04 1.08651E-14
3.35803E-04 1.03460E-14
3.68542E-04 9.85543E-15
4.02802E-04 9.38904E-15
4.38585E-04 8.94445E-15
4.75889E-04 8.52108E-15
5.14715E-04 8.11932E-15
5.55063E-04 7.73961E-15
5.96931E-04 7.38164E-15
6.40321E-04 7.04418E-15
6.85233E-04 6.72523E-15
7.31665E-04 6.42255E-15
7.79618E-04 6.13420E-15
8.29092E-04 5.85891E-15
8.80086E-04 5.59612E-15
9.32601E-04 5.34580E-15
9.86636E-04 5.10807E-15
1.04219E-03 4.88286E-15
1.09927E-03 4.66971E-15
1.15786E-03 4.46778E-15
1.21797E-03 4.27603E-15
1.27961E-03 4.09345E-15
1.34276E-03 3.91927E-15
1.40743E-03 3.75306E-15
1.47362E-03 3.59465E-15
1.54133E-03 3.44401E-15
1.61056E-03 3.30108E-15
1.68131E-03 3.16561E-15
1.75357E-03 3.03718E-15
1.82735E-03 2.91525E-15
1.90265E-03 2.79922E-15
1.97947E-03 2.68862E-15
2.05780E-03 2.58310E-15
2.13765E-03 2.48248E-15
2.21902E-03 2.38670E-15
2.30190E-03 2.29565E-15
2.38630E-03 2.20922E-15
2.47222E-03 2.12715E-15
2.55965E-03 2.04913E-15
2.64859E-03 1.97482E-15
2.73905E-03 1.90388E-15
2.83103E-03 1.83609E-15
2.92452E-03 1.77131E-15
3.01952E-03 1.70944E-15
3.11604E-03 1.65043E-15
3.21407E-03 1.59419E-15
3.31362E-03 1.54060E-15
3.41468E-03 1.48948E-15
3.51725E-03 1.44061E-15
3.62133E-03 1.39382E-15
3.72692E-03 1.34895E-15
3.83403E-03 1.30588E-15
3.94265E-03 1.26456E-15
4.05278E-03 1.22496E-15
4.16442E-03 1.18702E-15
4.27757E-03 1.15067E-15
4.39223E-03 1.11583E-15
4.50840E-03 1.08238E-15
4.62608E-03 1.05021E-15
4.74527E-03 1.01922E-15
4.86597E-03 9.89356E-16
4.98817E-03 9.60572E-16
5.11188E-03 9.32844E-16
5.23711E-03 9.06152E-16
5.36383E-03 8.80462E-16
5.49207E-03 8.55725E-16
5.62181E-03 8.31883E-16
5.75306E-03 8.08872E-16
5.88581E-03 7.86637E-16
6.02007E-03 7.65138E-16
6.15583E-03 7.44348E-16
6.29310E-03 7.24251E-16
6.43187E-03 7.04835E-16
6.57214E-03 6.86083E-16
6.71392E-03 6.67968E-16
6.85720E-03 6.50458E-16
7.00198E-03 6.33516E-16
7.14827E-03 6.17110E-16
7.29605E-03 6.01212E-16
7.44534E-03 5.85805E-16
7.59612E-03 5.70875E-16
