 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+02 eV = 9.18733E+00 a.u.
 #
 # Element: Lu,  Z =  71,  atomic weight = 1.74967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.98461E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 71
 #
 # Electron density: Read from file Data/z_071.d
 #                   Number of data points =  831
 #                   Volume integral = 7.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.19000E-23 cm**3
 #                            Bpol = 3.53553E+00
 #
 # Total elastic cross section = 3.01617E-16 cm**2 = 1.07709E+01 a0**2
 # 1st transport cross section = 3.71823E-17 cm**2 = 1.32780E+00 a0**2
 # 2nd transport cross section = 6.41722E-17 cm**2 = 2.29163E+00 a0**2
 #
 #    Absorption cross section = 5.57574E-16 cm**2 = 1.99113E+01 a0**2
 #   Grand total cross section = 8.59200E-16 cm**2 = 3.06826E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 9.29456E-15
7.61557E-13 9.29456E-15
1.18994E-12 9.29456E-15
1.71346E-12 9.29456E-15
2.33225E-12 9.29456E-15
3.04617E-12 9.29456E-15
3.85530E-12 9.29456E-15
4.75964E-12 9.29456E-15
5.75917E-12 9.29456E-15
6.85391E-12 9.29456E-15
8.04379E-12 9.29456E-15
9.32893E-12 9.29456E-15
1.07092E-11 9.29456E-15
1.21847E-11 9.29456E-15
1.37554E-11 9.29456E-15
1.54213E-11 9.29456E-15
1.71823E-11 9.29456E-15
1.90386E-11 9.29456E-15
2.09900E-11 9.29456E-15
2.30367E-11 9.29456E-15
2.51785E-11 9.29456E-15
2.74156E-11 9.29456E-15
2.97478E-11 9.29456E-15
3.21752E-11 9.29456E-15
3.46979E-11 9.29456E-15
3.73157E-11 9.29456E-15
4.00286E-11 9.29456E-15
4.28368E-11 9.29456E-15
4.57402E-11 9.29456E-15
4.87388E-11 9.29456E-15
5.18325E-11 9.29456E-15
5.50215E-11 9.29456E-15
5.83057E-11 9.29456E-15
6.16850E-11 9.29456E-15
6.51595E-11 9.29456E-15
6.87293E-11 9.29456E-15
7.23943E-11 9.29456E-15
7.61544E-11 9.29456E-15
1.18991E-10 9.29456E-15
1.71347E-10 9.29455E-15
2.33223E-10 9.29455E-15
3.04617E-10 9.29454E-15
3.85531E-10 9.29454E-15
4.75965E-10 9.29453E-15
5.75917E-10 9.29452E-15
6.85389E-10 9.29452E-15
8.04380E-10 9.29451E-15
9.32891E-10 9.29450E-15
1.07092E-09 9.29449E-15
1.21847E-09 9.29448E-15
1.37554E-09 9.29447E-15
1.54213E-09 9.29445E-15
1.71823E-09 9.29444E-15
1.90386E-09 9.29443E-15
2.09900E-09 9.29441E-15
2.30367E-09 9.29440E-15
2.51785E-09 9.29439E-15
2.74156E-09 9.29437E-15
2.97478E-09 9.29435E-15
3.21752E-09 9.29434E-15
3.46978E-09 9.29432E-15
3.73156E-09 9.29430E-15
4.00286E-09 9.29428E-15
4.28368E-09 9.29426E-15
4.57402E-09 9.29424E-15
4.87388E-09 9.29422E-15
5.18326E-09 9.29420E-15
5.50215E-09 9.29417E-15
5.83057E-09 9.29415E-15
6.16850E-09 9.29413E-15
6.51596E-09 9.29410E-15
6.87293E-09 9.29408E-15
7.23942E-09 9.29405E-15
7.61544E-09 9.29402E-15
1.18991E-08 9.29372E-15
1.71347E-08 9.29335E-15
2.33223E-08 9.29291E-15
3.04617E-08 9.29240E-15
3.85531E-08 9.29182E-15
4.75965E-08 9.29118E-15
5.75917E-08 9.29047E-15
6.85389E-08 9.28969E-15
8.04380E-08 9.28885E-15
9.32891E-08 9.28794E-15
1.07092E-07 9.28696E-15
1.21847E-07 9.28591E-15
1.37554E-07 9.28480E-15
1.54213E-07 9.28361E-15
1.71823E-07 9.28237E-15
1.90386E-07 9.28105E-15
2.09900E-07 9.27967E-15
2.30367E-07 9.27822E-15
2.51785E-07 9.27670E-15
2.74156E-07 9.27512E-15
2.97478E-07 9.27346E-15
3.21752E-07 9.27175E-15
3.46978E-07 9.26996E-15
3.73156E-07 9.26811E-15
4.00286E-07 9.26619E-15
4.28368E-07 9.26421E-15
4.57402E-07 9.26216E-15
4.87388E-07 9.26004E-15
5.18325E-07 9.25786E-15
5.50215E-07 9.25561E-15
5.83057E-07 9.25329E-15
6.16850E-07 9.25091E-15
6.51596E-07 9.24846E-15
6.87293E-07 9.24595E-15
7.23942E-07 9.24337E-15
7.61543E-07 9.24072E-15
1.18991E-06 9.21069E-15
1.71347E-06 9.17423E-15
2.33223E-06 9.13148E-15
3.04617E-06 9.08262E-15
3.85531E-06 9.02783E-15
4.75964E-06 8.96732E-15
5.75916E-06 8.90132E-15
6.85388E-06 8.83009E-15
8.04378E-06 8.75388E-15
9.32888E-06 8.67297E-15
1.07092E-05 8.58765E-15
1.21846E-05 8.49822E-15
1.37553E-05 8.40500E-15
1.54212E-05 8.30828E-15
1.71822E-05 8.20840E-15
1.90385E-05 8.10567E-15
2.09899E-05 8.00041E-15
2.30365E-05 7.89294E-15
2.51783E-05 7.78358E-15
2.74153E-05 7.67264E-15
2.97475E-05 7.56041E-15
3.21749E-05 7.44720E-15
3.46974E-05 7.33330E-15
3.73152E-05 7.21897E-15
4.00281E-05 7.10448E-15
4.28362E-05 6.99008E-15
4.57395E-05 6.87601E-15
4.87380E-05 6.76249E-15
5.18317E-05 6.64974E-15
5.50205E-05 6.53793E-15
5.83045E-05 6.42726E-15
6.16838E-05 6.31789E-15
6.51582E-05 6.20996E-15
6.87277E-05 6.10360E-15
7.23925E-05 5.99894E-15
7.61524E-05 5.89608E-15
9.21439E-05 5.50413E-15
1.09658E-04 5.14564E-15
1.28695E-04 4.82132E-15
1.49255E-04 4.52978E-15
1.71338E-04 4.26825E-15
1.94942E-04 4.03324E-15
2.20070E-04 3.82114E-15
2.46720E-04 3.62855E-15
2.74892E-04 3.45252E-15
3.04586E-04 3.29073E-15
3.35803E-04 3.14142E-15
3.68542E-04 3.00337E-15
4.02802E-04 2.87575E-15
4.38585E-04 2.75801E-15
4.75889E-04 2.64971E-15
5.14715E-04 2.55042E-15
5.55063E-04 2.45966E-15
5.96931E-04 2.37685E-15
6.40321E-04 2.30134E-15
6.85233E-04 2.23241E-15
7.31665E-04 2.16933E-15
7.79618E-04 2.11143E-15
8.29092E-04 2.05808E-15
8.80086E-04 2.00875E-15
9.32601E-04 1.96303E-15
9.86636E-04 1.92056E-15
1.04219E-03 1.88107E-15
1.09927E-03 1.84432E-15
1.15786E-03 1.81010E-15
1.21797E-03 1.77820E-15
1.27961E-03 1.74838E-15
1.34276E-03 1.72041E-15
1.40743E-03 1.69402E-15
1.47362E-03 1.66899E-15
1.54133E-03 1.64507E-15
1.61056E-03 1.62209E-15
1.68131E-03 1.59987E-15
1.75357E-03 1.57833E-15
1.82735E-03 1.55740E-15
1.90265E-03 1.53705E-15
1.97947E-03 1.51727E-15
2.05780E-03 1.49806E-15
2.13765E-03 1.47940E-15
2.21902E-03 1.46126E-15
2.30190E-03 1.44359E-15
2.38630E-03 1.42632E-15
2.47222E-03 1.40934E-15
2.55965E-03 1.39257E-15
2.64859E-03 1.37590E-15
2.73905E-03 1.35926E-15
2.83103E-03 1.34260E-15
2.92452E-03 1.32589E-15
3.01952E-03 1.30913E-15
3.11604E-03 1.29236E-15
3.21407E-03 1.27561E-15
3.31362E-03 1.25894E-15
3.41468E-03 1.24240E-15
3.51725E-03 1.22601E-15
3.62133E-03 1.20979E-15
3.72692E-03 1.19374E-15
3.83403E-03 1.17783E-15
3.94265E-03 1.16201E-15
4.05278E-03 1.14625E-15
4.16442E-03 1.13050E-15
4.27757E-03 1.11472E-15
4.39223E-03 1.09890E-15
4.50840E-03 1.08303E-15
4.62608E-03 1.06713E-15
4.74527E-03 1.05124E-15
4.86597E-03 1.03538E-15
4.98817E-03 1.01961E-15
5.11188E-03 1.00396E-15
5.23711E-03 9.88475E-16
5.36383E-03 9.73160E-16
5.49207E-03 9.58022E-16
5.62181E-03 9.43049E-16
5.75306E-03 9.28221E-16
5.88581E-03 9.13511E-16
6.02007E-03 8.98892E-16
6.15583E-03 8.84343E-16
6.29310E-03 8.69853E-16
6.43187E-03 8.55419E-16
6.57214E-03 8.41054E-16
6.71392E-03 8.26777E-16
6.85720E-03 8.12616E-16
7.00198E-03 7.98599E-16
7.14827E-03 7.84755E-16
7.29605E-03 7.71103E-16
7.44534E-03 7.57656E-16
7.59612E-03 7.44418E-16
7.97965E-03 7.12169E-16
8.37255E-03 6.80922E-16
8.77480E-03 6.50467E-16
9.18641E-03 6.20830E-16
9.60736E-03 5.92226E-16
1.00376E-02 5.64850E-16
1.04773E-02 5.38702E-16
1.09262E-02 5.13617E-16
1.13844E-02 4.89430E-16
1.18520E-02 4.66120E-16
1.23288E-02 4.43794E-16
1.28150E-02 4.22558E-16
1.33104E-02 4.02405E-16
1.38150E-02 3.83216E-16
1.43290E-02 3.64866E-16
1.48521E-02 3.47316E-16
1.53845E-02 3.30610E-16
1.59262E-02 3.14802E-16
1.64770E-02 2.99880E-16
1.70371E-02 2.85762E-16
1.76063E-02 2.72354E-16
1.81848E-02 2.59609E-16
1.87724E-02 2.47536E-16
1.93692E-02 2.36154E-16
1.99751E-02 2.25448E-16
2.05901E-02 2.15358E-16
2.12143E-02 2.05813E-16
2.18476E-02 1.96768E-16
2.24900E-02 1.88214E-16
2.31415E-02 1.80152E-16
2.38021E-02 1.72564E-16
2.44717E-02 1.65408E-16
2.51504E-02 1.58634E-16
2.58382E-02 1.52206E-16
2.65349E-02 1.46109E-16
2.72407E-02 1.40336E-16
2.79555E-02 1.34872E-16
2.86793E-02 1.29692E-16
2.94120E-02 1.24763E-16
3.01537E-02 1.20061E-16
3.09043E-02 1.15575E-16
3.16639E-02 1.11297E-16
3.24324E-02 1.07219E-16
3.32098E-02 1.03324E-16
3.39961E-02 9.95973E-17
3.47912E-02 9.60255E-17
3.55952E-02 9.26019E-17
3.64081E-02 8.93216E-17
3.72297E-02 8.61780E-17
3.80602E-02 8.31635E-17
3.88995E-02 8.02709E-17
3.97476E-02 7.74956E-17
4.06044E-02 7.48344E-17
4.14700E-02 7.22830E-17
4.23443E-02 6.98356E-17
4.32273E-02 6.74868E-17
4.41190E-02 6.52336E-17
4.50194E-02 6.30752E-17
4.59284E-02 6.10102E-17
4.68461E-02 5.90340E-17
4.87074E-02 5.53228E-17
5.06030E-02 5.19118E-17
5.25328E-02 4.87960E-17
5.44967E-02 4.59338E-17
5.64946E-02 4.32924E-17
5.85262E-02 4.08743E-17
6.05914E-02 3.86441E-17
6.26901E-02 3.65684E-17
6.48222E-02 3.46573E-17
6.69873E-02 3.28880E-17
6.91854E-02 3.12278E-17
7.14163E-02 2.96919E-17
7.36799E-02 2.82708E-17
7.59760E-02 2.69329E-17
7.83043E-02 2.56923E-17
8.06647E-02 2.45503E-17
8.30571E-02 2.34757E-17
8.54812E-02 2.24766E-17
8.79369E-02 2.15619E-17
9.04240E-02 2.07019E-17
9.29422E-02 1.98968E-17
9.54915E-02 1.91601E-17
9.80716E-02 1.84673E-17
1.00682E-01 1.78104E-17
1.03323E-01 1.72060E-17
1.05995E-01 1.66373E-17
1.08696E-01 1.60905E-17
1.11427E-01 1.55822E-17
1.14188E-01 1.51051E-17
1.16978E-01 1.46419E-17
1.19797E-01 1.42058E-17
1.22645E-01 1.37986E-17
1.25522E-01 1.34025E-17
1.28428E-01 1.30242E-17
1.31361E-01 1.26724E-17
1.34323E-01 1.23314E-17
1.37313E-01 1.20009E-17
1.40330E-01 1.16926E-17
1.43375E-01 1.13962E-17
1.46447E-01 1.11049E-17
1.49545E-01 1.08302E-17
1.52671E-01 1.05685E-17
1.55823E-01 1.03094E-17
1.59001E-01 1.00608E-17
1.62205E-01 9.82605E-18
1.65435E-01 9.59424E-18
1.68690E-01 9.36807E-18
1.71970E-01 9.15501E-18
1.75276E-01 8.94744E-18
1.78606E-01 8.74238E-18
1.81961E-01 8.54806E-18
1.85340E-01 8.36191E-18
1.88743E-01 8.17727E-18
1.92169E-01 7.99967E-18
1.95619E-01 7.83145E-18
1.99092E-01 7.66555E-18
2.02589E-01 7.50290E-18
2.06107E-01 7.34871E-18
2.09649E-01 7.19866E-18
2.13212E-01 7.04957E-18
2.16797E-01 6.90641E-18
2.20404E-01 6.76907E-18
