 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Lu,  Z =  71,  atomic weight = 1.74967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.98461E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 71
 #
 # Electron density: Read from file Data/z_071.d
 #                   Number of data points =  831
 #                   Volume integral = 7.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.19000E-23 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 8.10764E-17 cm**2 = 2.89529E+00 a0**2
 # 1st transport cross section = 2.19122E-18 cm**2 = 7.82498E-02 a0**2
 # 2nd transport cross section = 4.70532E-18 cm**2 = 1.68030E-01 a0**2
 #
 #    Absorption cross section = 2.16102E-17 cm**2 = 7.71713E-01 a0**2
 #   Grand total cross section = 1.02699E-16 cm**2 = 3.66746E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.46143E-15
7.61557E-13 4.46143E-15
1.18994E-12 4.46143E-15
1.71346E-12 4.46143E-15
2.33225E-12 4.46143E-15
3.04617E-12 4.46144E-15
3.85530E-12 4.46144E-15
4.75964E-12 4.46144E-15
5.75917E-12 4.46144E-15
6.85391E-12 4.46144E-15
8.04379E-12 4.46144E-15
9.32893E-12 4.46144E-15
1.07092E-11 4.46145E-15
1.21847E-11 4.46145E-15
1.37554E-11 4.46145E-15
1.54213E-11 4.46145E-15
1.71823E-11 4.46145E-15
1.90386E-11 4.46146E-15
2.09900E-11 4.46146E-15
2.30367E-11 4.46146E-15
2.51785E-11 4.46146E-15
2.74156E-11 4.46147E-15
2.97478E-11 4.46147E-15
3.21752E-11 4.46147E-15
3.46979E-11 4.46148E-15
3.73157E-11 4.46148E-15
4.00286E-11 4.46148E-15
4.28368E-11 4.46149E-15
4.57402E-11 4.46149E-15
4.87388E-11 4.46149E-15
5.18325E-11 4.46150E-15
5.50215E-11 4.46150E-15
5.83057E-11 4.46151E-15
6.16850E-11 4.46151E-15
6.51595E-11 4.46152E-15
6.87293E-11 4.46152E-15
7.23943E-11 4.46153E-15
7.61544E-11 4.46153E-15
1.18991E-10 4.46159E-15
1.71347E-10 4.46165E-15
2.33223E-10 4.46174E-15
3.04617E-10 4.46183E-15
3.85531E-10 4.46193E-15
4.75965E-10 4.46205E-15
5.75917E-10 4.46218E-15
6.85389E-10 4.46232E-15
8.04380E-10 4.46248E-15
9.32891E-10 4.46265E-15
1.07092E-09 4.46283E-15
1.21847E-09 4.46302E-15
1.37554E-09 4.46322E-15
1.54213E-09 4.46344E-15
1.71823E-09 4.46367E-15
1.90386E-09 4.46391E-15
2.09900E-09 4.46416E-15
2.30367E-09 4.46443E-15
2.51785E-09 4.46471E-15
2.74156E-09 4.46500E-15
2.97478E-09 4.46530E-15
3.21752E-09 4.46562E-15
3.46978E-09 4.46595E-15
3.73156E-09 4.46629E-15
4.00286E-09 4.46664E-15
4.28368E-09 4.46701E-15
4.57402E-09 4.46739E-15
4.87388E-09 4.46778E-15
5.18326E-09 4.46818E-15
5.50215E-09 4.46859E-15
5.83057E-09 4.46902E-15
6.16850E-09 4.46946E-15
6.51596E-09 4.46991E-15
6.87293E-09 4.47038E-15
7.23942E-09 4.47085E-15
7.61544E-09 4.47134E-15
1.18991E-08 4.47691E-15
1.71347E-08 4.48371E-15
2.33223E-08 4.49174E-15
3.04617E-08 4.50100E-15
3.85531E-08 4.51148E-15
4.75965E-08 4.52318E-15
5.75917E-08 4.53609E-15
6.85389E-08 4.55020E-15
8.04380E-08 4.56552E-15
9.32891E-08 4.58202E-15
1.07092E-07 4.59972E-15
1.21847E-07 4.61858E-15
1.37554E-07 4.63861E-15
1.54213E-07 4.65980E-15
1.71823E-07 4.68214E-15
1.90386E-07 4.70560E-15
2.09900E-07 4.73019E-15
2.30367E-07 4.75589E-15
2.51785E-07 4.78267E-15
2.74156E-07 4.81054E-15
2.97478E-07 4.83947E-15
3.21752E-07 4.86945E-15
3.46978E-07 4.90045E-15
3.73156E-07 4.93247E-15
4.00286E-07 4.96547E-15
4.28368E-07 4.99945E-15
4.57402E-07 5.03437E-15
4.87388E-07 5.07023E-15
5.18325E-07 5.10698E-15
5.50215E-07 5.14462E-15
5.83057E-07 5.18311E-15
6.16850E-07 5.22243E-15
6.51596E-07 5.26255E-15
6.87293E-07 5.30345E-15
7.23942E-07 5.34509E-15
7.61543E-07 5.38746E-15
1.18991E-06 5.84376E-15
1.71347E-06 6.33585E-15
2.33223E-06 6.82918E-15
3.04617E-06 7.29323E-15
3.85531E-06 7.70659E-15
4.75964E-06 8.05945E-15
5.75916E-06 8.35288E-15
6.85388E-06 8.59548E-15
8.04378E-06 8.79895E-15
9.32888E-06 8.97409E-15
1.07092E-05 9.12811E-15
1.21846E-05 9.26386E-15
1.37553E-05 9.38048E-15
1.54212E-05 9.47514E-15
1.71822E-05 9.54501E-15
1.90385E-05 9.58885E-15
2.09899E-05 9.60770E-15
2.30365E-05 9.60476E-15
2.51783E-05 9.58439E-15
2.74153E-05 9.55101E-15
2.97475E-05 9.50800E-15
3.21749E-05 9.45718E-15
3.46974E-05 9.39886E-15
3.73152E-05 9.33230E-15
4.00281E-05 9.25653E-15
4.28362E-05 9.17103E-15
4.57395E-05 9.07617E-15
4.87380E-05 8.97324E-15
5.18317E-05 8.86416E-15
5.50205E-05 8.75097E-15
5.83045E-05 8.63531E-15
6.16838E-05 8.51812E-15
6.51582E-05 8.39958E-15
6.87277E-05 8.27934E-15
7.23925E-05 8.15682E-15
7.61524E-05 8.03165E-15
9.21439E-05 7.51181E-15
1.09658E-04 6.99703E-15
1.28695E-04 6.49363E-15
1.49255E-04 6.00657E-15
1.71338E-04 5.55083E-15
1.94942E-04 5.11961E-15
2.20070E-04 4.72112E-15
2.46720E-04 4.35344E-15
2.74892E-04 4.01378E-15
3.04586E-04 3.70509E-15
3.35803E-04 3.42143E-15
3.68542E-04 3.16369E-15
4.02802E-04 2.92932E-15
4.38585E-04 2.71515E-15
4.75889E-04 2.52148E-15
5.14715E-04 2.34442E-15
5.55063E-04 2.18354E-15
5.96931E-04 2.03712E-15
6.40321E-04 1.90295E-15
6.85233E-04 1.78092E-15
7.31665E-04 1.66872E-15
7.79618E-04 1.56590E-15
8.29092E-04 1.47151E-15
8.80086E-04 1.38417E-15
9.32601E-04 1.30387E-15
9.86636E-04 1.22931E-15
1.04219E-03 1.16023E-15
1.09927E-03 1.09618E-15
1.15786E-03 1.03636E-15
1.21797E-03 9.80836E-16
1.27961E-03 9.28889E-16
1.34276E-03 8.80359E-16
1.40743E-03 8.35046E-16
1.47362E-03 7.92458E-16
1.54133E-03 7.52648E-16
1.61056E-03 7.15199E-16
1.68131E-03 6.79994E-16
1.75357E-03 6.46936E-16
1.82735E-03 6.15708E-16
1.90265E-03 5.86351E-16
1.97947E-03 5.58618E-16
2.05780E-03 5.32428E-16
2.13765E-03 5.07739E-16
2.21902E-03 4.84349E-16
2.30190E-03 4.62285E-16
2.38630E-03 4.41402E-16
2.47222E-03 4.21635E-16
2.55965E-03 4.02963E-16
2.64859E-03 3.85249E-16
2.73905E-03 3.68502E-16
2.83103E-03 3.52627E-16
2.92452E-03 3.37570E-16
3.01952E-03 3.23314E-16
3.11604E-03 3.09766E-16
3.21407E-03 2.96923E-16
3.31362E-03 2.84727E-16
3.41468E-03 2.73134E-16
3.51725E-03 2.62134E-16
