 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Lu,  Z =  71,  atomic weight = 1.74967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.98461E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 71
 #
 # Electron density: Read from file Data/z_071.d
 #                   Number of data points =  831
 #                   Volume integral = 7.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.19000E-23 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 3.04272E-16 cm**2 = 1.08658E+01 a0**2
 # 1st transport cross section = 5.36660E-17 cm**2 = 1.91645E+00 a0**2
 # 2nd transport cross section = 4.48354E-17 cm**2 = 1.60110E+00 a0**2
 #
 #    Absorption cross section = 1.62883E-16 cm**2 = 5.81667E+00 a0**2
 #   Grand total cross section = 4.67178E-16 cm**2 = 1.66832E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.90067E-14
7.61557E-13 2.90067E-14
1.18994E-12 2.90067E-14
1.71346E-12 2.90067E-14
2.33225E-12 2.90067E-14
3.04617E-12 2.90067E-14
3.85530E-12 2.90067E-14
4.75964E-12 2.90067E-14
5.75917E-12 2.90067E-14
6.85391E-12 2.90067E-14
8.04379E-12 2.90067E-14
9.32893E-12 2.90067E-14
1.07092E-11 2.90067E-14
1.21847E-11 2.90067E-14
1.37554E-11 2.90067E-14
1.54213E-11 2.90067E-14
1.71823E-11 2.90067E-14
1.90386E-11 2.90067E-14
2.09900E-11 2.90067E-14
2.30367E-11 2.90067E-14
2.51785E-11 2.90067E-14
2.74156E-11 2.90067E-14
2.97478E-11 2.90067E-14
3.21752E-11 2.90067E-14
3.46979E-11 2.90067E-14
3.73157E-11 2.90067E-14
4.00286E-11 2.90067E-14
4.28368E-11 2.90067E-14
4.57402E-11 2.90067E-14
4.87388E-11 2.90067E-14
5.18325E-11 2.90067E-14
5.50215E-11 2.90066E-14
5.83057E-11 2.90066E-14
6.16850E-11 2.90066E-14
6.51595E-11 2.90066E-14
6.87293E-11 2.90066E-14
7.23943E-11 2.90066E-14
7.61544E-11 2.90066E-14
1.18991E-10 2.90066E-14
1.71347E-10 2.90066E-14
2.33223E-10 2.90066E-14
3.04617E-10 2.90065E-14
3.85531E-10 2.90065E-14
4.75965E-10 2.90064E-14
5.75917E-10 2.90064E-14
6.85389E-10 2.90063E-14
8.04380E-10 2.90062E-14
9.32891E-10 2.90062E-14
1.07092E-09 2.90061E-14
1.21847E-09 2.90060E-14
1.37554E-09 2.90059E-14
1.54213E-09 2.90058E-14
1.71823E-09 2.90057E-14
1.90386E-09 2.90056E-14
2.09900E-09 2.90055E-14
2.30367E-09 2.90054E-14
2.51785E-09 2.90053E-14
2.74156E-09 2.90052E-14
2.97478E-09 2.90051E-14
3.21752E-09 2.90049E-14
3.46978E-09 2.90048E-14
3.73156E-09 2.90047E-14
4.00286E-09 2.90045E-14
4.28368E-09 2.90044E-14
4.57402E-09 2.90042E-14
4.87388E-09 2.90040E-14
5.18326E-09 2.90039E-14
5.50215E-09 2.90037E-14
5.83057E-09 2.90035E-14
6.16850E-09 2.90033E-14
6.51596E-09 2.90032E-14
6.87293E-09 2.90030E-14
7.23942E-09 2.90028E-14
7.61544E-09 2.90026E-14
1.18991E-08 2.90002E-14
1.71347E-08 2.89974E-14
2.33223E-08 2.89941E-14
3.04617E-08 2.89902E-14
3.85531E-08 2.89858E-14
4.75965E-08 2.89809E-14
5.75917E-08 2.89755E-14
6.85389E-08 2.89696E-14
8.04380E-08 2.89632E-14
9.32891E-08 2.89563E-14
1.07092E-07 2.89489E-14
1.21847E-07 2.89409E-14
1.37554E-07 2.89325E-14
1.54213E-07 2.89235E-14
1.71823E-07 2.89140E-14
1.90386E-07 2.89041E-14
2.09900E-07 2.88936E-14
2.30367E-07 2.88826E-14
2.51785E-07 2.88712E-14
2.74156E-07 2.88592E-14
2.97478E-07 2.88468E-14
3.21752E-07 2.88338E-14
3.46978E-07 2.88204E-14
3.73156E-07 2.88064E-14
4.00286E-07 2.87920E-14
4.28368E-07 2.87771E-14
4.57402E-07 2.87617E-14
4.87388E-07 2.87458E-14
5.18325E-07 2.87295E-14
5.50215E-07 2.87126E-14
5.83057E-07 2.86953E-14
6.16850E-07 2.86775E-14
6.51596E-07 2.86592E-14
6.87293E-07 2.86405E-14
7.23942E-07 2.86213E-14
7.61543E-07 2.86016E-14
1.18991E-06 2.83800E-14
1.71347E-06 2.81148E-14
2.33223E-06 2.78096E-14
3.04617E-06 2.74678E-14
3.85531E-06 2.70935E-14
4.75964E-06 2.66909E-14
5.75916E-06 2.62643E-14
6.85388E-06 2.58180E-14
8.04378E-06 2.53564E-14
9.32888E-06 2.48836E-14
1.07092E-05 2.44036E-14
1.21846E-05 2.39202E-14
1.37553E-05 2.34367E-14
1.54212E-05 2.29563E-14
1.71822E-05 2.24817E-14
1.90385E-05 2.20153E-14
2.09899E-05 2.15589E-14
2.30365E-05 2.11143E-14
2.51783E-05 2.06825E-14
2.74153E-05 2.02644E-14
2.97475E-05 1.98607E-14
3.21749E-05 1.94715E-14
3.46974E-05 1.90968E-14
3.73152E-05 1.87364E-14
4.00281E-05 1.83897E-14
4.28362E-05 1.80564E-14
4.57395E-05 1.77356E-14
4.87380E-05 1.74265E-14
5.18317E-05 1.71282E-14
5.50205E-05 1.68400E-14
5.83045E-05 1.65610E-14
6.16838E-05 1.62902E-14
6.51582E-05 1.60269E-14
6.87277E-05 1.57704E-14
7.23925E-05 1.55199E-14
7.61524E-05 1.52750E-14
9.21439E-05 1.43414E-14
1.09658E-04 1.34709E-14
1.28695E-04 1.26617E-14
1.49255E-04 1.19183E-14
1.71338E-04 1.12429E-14
1.94942E-04 1.06306E-14
2.20070E-04 1.00710E-14
2.46720E-04 9.55210E-15
2.74892E-04 9.06480E-15
3.04586E-04 8.60483E-15
3.35803E-04 8.17191E-15
3.68542E-04 7.76715E-15
4.02802E-04 7.39054E-15
4.38585E-04 7.03984E-15
4.75889E-04 6.71111E-15
5.14715E-04 6.40027E-15
5.55063E-04 6.10453E-15
5.96931E-04 5.82294E-15
6.40321E-04 5.55580E-15
6.85233E-04 5.30365E-15
7.31665E-04 5.06625E-15
7.79618E-04 4.84236E-15
8.29092E-04 4.63016E-15
8.80086E-04 4.42795E-15
9.32601E-04 4.23477E-15
9.86636E-04 4.05042E-15
1.04219E-03 3.87518E-15
1.09927E-03 3.70919E-15
1.15786E-03 3.55212E-15
1.21797E-03 3.40317E-15
1.27961E-03 3.26135E-15
1.34276E-03 3.12588E-15
1.40743E-03 2.99637E-15
1.47362E-03 2.87282E-15
1.54133E-03 2.75534E-15
1.61056E-03 2.64388E-15
1.68131E-03 2.53809E-15
1.75357E-03 2.43742E-15
1.82735E-03 2.34130E-15
1.90265E-03 2.24934E-15
1.97947E-03 2.16139E-15
2.05780E-03 2.07745E-15
2.13765E-03 1.99755E-15
2.21902E-03 1.92155E-15
2.30190E-03 1.84919E-15
2.38630E-03 1.78009E-15
2.47222E-03 1.71395E-15
2.55965E-03 1.65056E-15
2.64859E-03 1.58987E-15
2.73905E-03 1.53189E-15
2.83103E-03 1.47657E-15
2.92452E-03 1.42379E-15
