 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  71,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+02  1.24203E-15  7.27993E-17  1.31174E-16  1.04317E-15  7.9E-06
   1.25000E+02  1.08834E-15  6.06194E-17  1.03563E-16  8.87500E-16  2.6E-05
   1.50000E+02  9.69176E-16  5.75394E-17  9.38198E-17  7.75034E-16  8.6E-07
   1.75000E+02  8.75319E-16  5.86798E-17  9.28143E-17  6.89685E-16  7.7E-06
   2.00000E+02  8.00149E-16  6.15180E-17  9.53606E-17  6.22492E-16  1.3E-06
   2.50000E+02  6.88420E-16  6.80078E-17  1.01496E-16  5.22933E-16  5.5E-06
   3.00000E+02  6.10425E-16  7.29944E-17  1.03784E-16  4.52260E-16  1.4E-06
   3.50000E+02  5.53252E-16  7.59241E-17  1.01884E-16  3.99198E-16  2.8E-06
   4.00000E+02  5.09609E-16  7.70952E-17  9.72378E-17  3.57739E-16  2.1E-06
   4.50000E+02  4.75129E-16  7.69561E-17  9.12360E-17  3.24369E-16  7.0E-07
   5.00000E+02  4.47049E-16  7.58972E-17  8.48250E-17  2.96895E-16  2.7E-06
   6.00000E+02  4.03603E-16  7.21686E-17  7.27690E-17  2.54246E-16  4.4E-07
   7.00000E+02  3.70933E-16  6.74713E-17  6.29007E-17  2.22621E-16  5.2E-06
   8.00000E+02  3.44937E-16  6.26056E-17  5.52351E-17  1.98200E-16  1.3E-06
   9.00000E+02  3.23204E-16  5.79600E-17  4.93592E-17  1.78750E-16  2.0E-06
   1.00000E+03  3.04272E-16  5.36660E-17  4.48354E-17  1.62883E-16  1.6E-06
   1.25000E+03  2.66643E-16  4.46030E-17  3.72180E-17  1.33572E-16  1.6E-03
   1.50000E+03  2.39803E-16  3.76091E-17  3.24367E-17  1.13444E-16  7.5E-04
   1.75000E+03  2.19421E-16  3.21680E-17  2.90188E-17  9.87512E-17  1.0E-03
   2.00000E+03  2.03260E-16  2.78531E-17  2.63354E-17  8.75571E-17  8.0E-04
   2.50000E+03  1.79214E-16  2.16813E-17  2.23466E-17  7.14488E-17  1.7E-03
   3.00000E+03  1.61976E-16  1.75513E-17  1.94492E-17  6.03590E-17  1.1E-03
