 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Hf,  Z =  72,  atomic weight = 1.78490E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.02451E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 72
 #
 # Electron density: Read from file Data/z_072.d
 #                   Number of data points =  805
 #                   Volume integral = 7.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.51000E-02 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.62000E-23 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 2.34052E-16 cm**2 = 8.35815E+00 a0**2
 # 1st transport cross section = 1.92677E-17 cm**2 = 6.88061E-01 a0**2
 # 2nd transport cross section = 3.54486E-17 cm**2 = 1.26589E+00 a0**2
 #
 #    Absorption cross section = 1.96990E-16 cm**2 = 7.03463E+00 a0**2
 #   Grand total cross section = 4.31053E-16 cm**2 = 1.53932E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.66918E-15
7.61557E-13 2.66918E-15
1.18994E-12 2.66918E-15
1.71346E-12 2.66918E-15
2.33225E-12 2.66918E-15
3.04617E-12 2.66918E-15
3.85530E-12 2.66918E-15
4.75964E-12 2.66918E-15
5.75917E-12 2.66918E-15
6.85391E-12 2.66918E-15
8.04379E-12 2.66918E-15
9.32893E-12 2.66918E-15
1.07092E-11 2.66918E-15
1.21847E-11 2.66918E-15
1.37554E-11 2.66918E-15
1.54213E-11 2.66918E-15
1.71823E-11 2.66918E-15
1.90386E-11 2.66918E-15
2.09900E-11 2.66918E-15
2.30367E-11 2.66918E-15
2.51785E-11 2.66918E-15
2.74156E-11 2.66918E-15
2.97478E-11 2.66918E-15
3.21752E-11 2.66918E-15
3.46979E-11 2.66918E-15
3.73157E-11 2.66918E-15
4.00286E-11 2.66918E-15
4.28368E-11 2.66918E-15
4.57402E-11 2.66918E-15
4.87388E-11 2.66918E-15
5.18325E-11 2.66918E-15
5.50215E-11 2.66918E-15
5.83057E-11 2.66918E-15
6.16850E-11 2.66918E-15
6.51595E-11 2.66918E-15
6.87293E-11 2.66918E-15
7.23943E-11 2.66918E-15
7.61544E-11 2.66918E-15
1.18991E-10 2.66918E-15
1.71347E-10 2.66918E-15
2.33223E-10 2.66917E-15
3.04617E-10 2.66917E-15
3.85531E-10 2.66917E-15
4.75965E-10 2.66917E-15
5.75917E-10 2.66916E-15
6.85389E-10 2.66916E-15
8.04380E-10 2.66916E-15
9.32891E-10 2.66915E-15
1.07092E-09 2.66915E-15
1.21847E-09 2.66915E-15
1.37554E-09 2.66914E-15
1.54213E-09 2.66914E-15
1.71823E-09 2.66913E-15
1.90386E-09 2.66913E-15
2.09900E-09 2.66912E-15
2.30367E-09 2.66912E-15
2.51785E-09 2.66911E-15
2.74156E-09 2.66910E-15
2.97478E-09 2.66910E-15
3.21752E-09 2.66909E-15
3.46978E-09 2.66908E-15
3.73156E-09 2.66908E-15
4.00286E-09 2.66907E-15
4.28368E-09 2.66906E-15
4.57402E-09 2.66905E-15
4.87388E-09 2.66904E-15
5.18326E-09 2.66904E-15
5.50215E-09 2.66903E-15
5.83057E-09 2.66902E-15
6.16850E-09 2.66901E-15
6.51596E-09 2.66900E-15
6.87293E-09 2.66899E-15
7.23942E-09 2.66898E-15
7.61544E-09 2.66897E-15
1.18991E-08 2.66885E-15
1.71347E-08 2.66870E-15
2.33223E-08 2.66853E-15
3.04617E-08 2.66833E-15
3.85531E-08 2.66811E-15
4.75965E-08 2.66786E-15
5.75917E-08 2.66758E-15
6.85389E-08 2.66728E-15
8.04380E-08 2.66695E-15
9.32891E-08 2.66660E-15
1.07092E-07 2.66622E-15
1.21847E-07 2.66581E-15
1.37554E-07 2.66538E-15
1.54213E-07 2.66492E-15
1.71823E-07 2.66444E-15
1.90386E-07 2.66393E-15
2.09900E-07 2.66339E-15
2.30367E-07 2.66284E-15
2.51785E-07 2.66225E-15
2.74156E-07 2.66164E-15
2.97478E-07 2.66101E-15
3.21752E-07 2.66035E-15
3.46978E-07 2.65967E-15
3.73156E-07 2.65897E-15
4.00286E-07 2.65823E-15
4.28368E-07 2.65748E-15
4.57402E-07 2.65670E-15
4.87388E-07 2.65590E-15
5.18325E-07 2.65508E-15
5.50215E-07 2.65423E-15
5.83057E-07 2.65336E-15
6.16850E-07 2.65247E-15
6.51596E-07 2.65155E-15
6.87293E-07 2.65061E-15
7.23942E-07 2.64965E-15
7.61543E-07 2.64867E-15
1.18991E-06 2.63771E-15
1.71347E-06 2.62485E-15
2.33223E-06 2.61039E-15
3.04617E-06 2.59466E-15
3.85531E-06 2.57802E-15
4.75964E-06 2.56084E-15
5.75916E-06 2.54348E-15
6.85388E-06 2.52632E-15
8.04378E-06 2.50970E-15
9.32888E-06 2.49395E-15
1.07092E-05 2.47937E-15
1.21846E-05 2.46623E-15
1.37553E-05 2.45473E-15
1.54212E-05 2.44507E-15
1.71822E-05 2.43737E-15
1.90385E-05 2.43172E-15
2.09899E-05 2.42818E-15
2.30365E-05 2.42674E-15
2.51783E-05 2.42737E-15
2.74153E-05 2.43001E-15
2.97475E-05 2.43456E-15
3.21749E-05 2.44091E-15
3.46974E-05 2.44891E-15
3.73152E-05 2.45843E-15
4.00281E-05 2.46931E-15
4.28362E-05 2.48139E-15
4.57395E-05 2.49451E-15
4.87380E-05 2.50852E-15
5.18317E-05 2.52329E-15
5.50205E-05 2.53868E-15
5.83045E-05 2.55457E-15
6.16838E-05 2.57086E-15
6.51582E-05 2.58746E-15
6.87277E-05 2.60430E-15
7.23925E-05 2.62130E-15
7.61524E-05 2.63844E-15
9.21439E-05 2.70766E-15
1.09658E-04 2.77758E-15
1.28695E-04 2.84825E-15
1.49255E-04 2.91936E-15
