 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Hf,  Z =  72,  atomic weight = 1.78490E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.02451E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 72
 #
 # Electron density: Read from file Data/z_072.d
 #                   Number of data points =  805
 #                   Volume integral = 7.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.62000E-23 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 2.99538E-16 cm**2 = 1.06967E+01 a0**2
 # 1st transport cross section = 5.38831E-17 cm**2 = 1.92420E+00 a0**2
 # 2nd transport cross section = 4.54974E-17 cm**2 = 1.62474E+00 a0**2
 #
 #    Absorption cross section = 1.56032E-16 cm**2 = 5.57200E+00 a0**2
 #   Grand total cross section = 4.55590E-16 cm**2 = 1.62694E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 2.21732E-14
7.61557E-13 2.21732E-14
1.18994E-12 2.21732E-14
1.71346E-12 2.21732E-14
2.33225E-12 2.21732E-14
3.04617E-12 2.21732E-14
3.85530E-12 2.21732E-14
4.75964E-12 2.21732E-14
5.75917E-12 2.21732E-14
6.85391E-12 2.21732E-14
8.04379E-12 2.21732E-14
9.32893E-12 2.21732E-14
1.07092E-11 2.21732E-14
1.21847E-11 2.21732E-14
1.37554E-11 2.21732E-14
1.54213E-11 2.21732E-14
1.71823E-11 2.21732E-14
1.90386E-11 2.21732E-14
2.09900E-11 2.21732E-14
2.30367E-11 2.21732E-14
2.51785E-11 2.21732E-14
2.74156E-11 2.21732E-14
2.97478E-11 2.21732E-14
3.21752E-11 2.21732E-14
3.46979E-11 2.21732E-14
3.73157E-11 2.21732E-14
4.00286E-11 2.21732E-14
4.28368E-11 2.21732E-14
4.57402E-11 2.21732E-14
4.87388E-11 2.21732E-14
5.18325E-11 2.21732E-14
5.50215E-11 2.21732E-14
5.83057E-11 2.21732E-14
6.16850E-11 2.21732E-14
6.51595E-11 2.21732E-14
6.87293E-11 2.21732E-14
7.23943E-11 2.21732E-14
7.61544E-11 2.21732E-14
1.18991E-10 2.21731E-14
1.71347E-10 2.21731E-14
2.33223E-10 2.21731E-14
3.04617E-10 2.21731E-14
3.85531E-10 2.21731E-14
4.75965E-10 2.21730E-14
5.75917E-10 2.21730E-14
6.85389E-10 2.21730E-14
8.04380E-10 2.21729E-14
9.32891E-10 2.21729E-14
1.07092E-09 2.21728E-14
1.21847E-09 2.21728E-14
1.37554E-09 2.21727E-14
1.54213E-09 2.21727E-14
1.71823E-09 2.21726E-14
1.90386E-09 2.21726E-14
2.09900E-09 2.21725E-14
2.30367E-09 2.21724E-14
2.51785E-09 2.21724E-14
2.74156E-09 2.21723E-14
2.97478E-09 2.21722E-14
3.21752E-09 2.21721E-14
3.46978E-09 2.21721E-14
3.73156E-09 2.21720E-14
4.00286E-09 2.21719E-14
4.28368E-09 2.21718E-14
4.57402E-09 2.21717E-14
4.87388E-09 2.21716E-14
5.18326E-09 2.21715E-14
5.50215E-09 2.21714E-14
5.83057E-09 2.21713E-14
6.16850E-09 2.21712E-14
6.51596E-09 2.21711E-14
6.87293E-09 2.21710E-14
7.23942E-09 2.21708E-14
7.61544E-09 2.21707E-14
1.18991E-08 2.21693E-14
1.71347E-08 2.21676E-14
2.33223E-08 2.21656E-14
3.04617E-08 2.21633E-14
3.85531E-08 2.21606E-14
4.75965E-08 2.21577E-14
5.75917E-08 2.21545E-14
6.85389E-08 2.21509E-14
8.04380E-08 2.21470E-14
9.32891E-08 2.21429E-14
1.07092E-07 2.21384E-14
1.21847E-07 2.21336E-14
1.37554E-07 2.21285E-14
1.54213E-07 2.21231E-14
1.71823E-07 2.21174E-14
1.90386E-07 2.21114E-14
2.09900E-07 2.21051E-14
2.30367E-07 2.20985E-14
2.51785E-07 2.20916E-14
2.74156E-07 2.20844E-14
2.97478E-07 2.20769E-14
3.21752E-07 2.20691E-14
3.46978E-07 2.20610E-14
3.73156E-07 2.20526E-14
4.00286E-07 2.20439E-14
4.28368E-07 2.20349E-14
4.57402E-07 2.20256E-14
4.87388E-07 2.20161E-14
5.18325E-07 2.20062E-14
5.50215E-07 2.19960E-14
5.83057E-07 2.19856E-14
6.16850E-07 2.19748E-14
6.51596E-07 2.19638E-14
6.87293E-07 2.19525E-14
7.23942E-07 2.19409E-14
7.61543E-07 2.19290E-14
1.18991E-06 2.17948E-14
1.71347E-06 2.16339E-14
2.33223E-06 2.14479E-14
3.04617E-06 2.12388E-14
3.85531E-06 2.10086E-14
4.75964E-06 2.07598E-14
5.75916E-06 2.04946E-14
6.85388E-06 2.02154E-14
8.04378E-06 1.99246E-14
9.32888E-06 1.96247E-14
1.07092E-05 1.93180E-14
1.21846E-05 1.90066E-14
1.37553E-05 1.86927E-14
1.54212E-05 1.83782E-14
1.71822E-05 1.80649E-14
1.90385E-05 1.77542E-14
2.09899E-05 1.74478E-14
2.30365E-05 1.71466E-14
2.51783E-05 1.68517E-14
2.74153E-05 1.65638E-14
2.97475E-05 1.62837E-14
3.21749E-05 1.60116E-14
3.46974E-05 1.57479E-14
3.73152E-05 1.54926E-14
4.00281E-05 1.52458E-14
4.28362E-05 1.50072E-14
4.57395E-05 1.47767E-14
4.87380E-05 1.45539E-14
5.18317E-05 1.43385E-14
5.50205E-05 1.41300E-14
5.83045E-05 1.39279E-14
6.16838E-05 1.37317E-14
6.51582E-05 1.35410E-14
6.87277E-05 1.33554E-14
7.23925E-05 1.31742E-14
7.61524E-05 1.29971E-14
9.21439E-05 1.23227E-14
1.09658E-04 1.16904E-14
1.28695E-04 1.10932E-14
1.49255E-04 1.05318E-14
1.71338E-04 1.00097E-14
1.94942E-04 9.52801E-15
2.20070E-04 9.08435E-15
2.46720E-04 8.67293E-15
2.74892E-04 8.28696E-15
3.04586E-04 7.92092E-15
3.35803E-04 7.57190E-15
3.68542E-04 7.23939E-15
4.02802E-04 6.92417E-15
4.38585E-04 6.62683E-15
4.75889E-04 6.34683E-15
5.14715E-04 6.08239E-15
5.55063E-04 5.83112E-15
5.96931E-04 5.59085E-15
6.40321E-04 5.36031E-15
6.85233E-04 5.13921E-15
7.31665E-04 4.92789E-15
7.79618E-04 4.72669E-15
8.29092E-04 4.53552E-15
8.80086E-04 4.35368E-15
9.32601E-04 4.18012E-15
9.86636E-04 4.01379E-15
1.04219E-03 3.85401E-15
1.09927E-03 3.70058E-15
1.15786E-03 3.55361E-15
1.21797E-03 3.41327E-15
1.27961E-03 3.27950E-15
1.34276E-03 3.15196E-15
1.40743E-03 3.03009E-15
1.47362E-03 2.91329E-15
1.54133E-03 2.80115E-15
1.61056E-03 2.69349E-15
1.68131E-03 2.59031E-15
1.75357E-03 2.49167E-15
1.82735E-03 2.39751E-15
1.90265E-03 2.30763E-15
1.97947E-03 2.22167E-15
2.05780E-03 2.13927E-15
2.13765E-03 2.06016E-15
2.21902E-03 1.98417E-15
2.30190E-03 1.91128E-15
2.38630E-03 1.84149E-15
2.47222E-03 1.77477E-15
2.55965E-03 1.71097E-15
2.64859E-03 1.64987E-15
2.73905E-03 1.59126E-15
2.83103E-03 1.53494E-15
2.92452E-03 1.48080E-15
3.01952E-03 1.42881E-15
3.11604E-03 1.37894E-15
3.21407E-03 1.33117E-15
3.31362E-03 1.28541E-15
3.41468E-03 1.24152E-15
3.51725E-03 1.19938E-15
3.62133E-03 1.15884E-15
3.72692E-03 1.11985E-15
3.83403E-03 1.08235E-15
3.94265E-03 1.04635E-15
4.05278E-03 1.01180E-15
4.16442E-03 9.78666E-16
4.27757E-03 9.46853E-16
4.39223E-03 9.16275E-16
4.50840E-03 8.86850E-16
4.62608E-03 8.58526E-16
4.74527E-03 8.31272E-16
4.86597E-03 8.05072E-16
4.98817E-03 7.79903E-16
5.11188E-03 7.55727E-16
5.23711E-03 7.32491E-16
5.36383E-03 7.10137E-16
5.49207E-03 6.88610E-16
5.62181E-03 6.67872E-16
5.75306E-03 6.47897E-16
5.88581E-03 6.28666E-16
6.02007E-03 6.10161E-16
6.15583E-03 5.92352E-16
6.29310E-03 5.75203E-16
6.43187E-03 5.58677E-16
6.57214E-03 5.42736E-16
6.71392E-03 5.27354E-16
6.85720E-03 5.12509E-16
7.00198E-03 4.98185E-16
7.14827E-03 4.84364E-16
7.29605E-03 4.71025E-16
7.44534E-03 4.58145E-16
7.59612E-03 4.45699E-16
7.97965E-03 4.16347E-16
8.37255E-03 3.89319E-16
8.77480E-03 3.64391E-16
9.18641E-03 3.41345E-16
9.60736E-03 3.20012E-16
1.00376E-02 3.00229E-16
1.04773E-02 2.81859E-16
1.09262E-02 2.64807E-16
1.13844E-02 2.48952E-16
1.18520E-02 2.34191E-16
1.23288E-02 2.20474E-16
1.28150E-02 2.07714E-16
1.33104E-02 1.95812E-16
1.38150E-02 1.84737E-16
