 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+02 eV = 3.67493E+00 a.u.
 #
 # Element:  W,  Z =  74,  atomic weight = 1.83840E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.08411E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 74
 #
 # Electron density: Read from file Data/z_074.d
 #                   Number of data points =  791
 #                   Volume integral = 7.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.06400E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.11000E-23 cm**3
 #                            Bpol = 1.76777E+00
 #
 # Total elastic cross section = 3.66569E-16 cm**2 = 1.30904E+01 a0**2
 # 1st transport cross section = 5.60743E-17 cm**2 = 2.00245E+00 a0**2
 # 2nd transport cross section = 8.80151E-17 cm**2 = 3.14308E+00 a0**2
 #
 #    Absorption cross section = 8.68054E-16 cm**2 = 3.09988E+01 a0**2
 #   Grand total cross section = 1.23463E-15 cm**2 = 4.40895E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 6.57752E-15
7.61557E-13 6.57752E-15
1.18994E-12 6.57752E-15
1.71346E-12 6.57752E-15
2.33225E-12 6.57752E-15
3.04617E-12 6.57752E-15
3.85530E-12 6.57752E-15
4.75964E-12 6.57752E-15
5.75917E-12 6.57752E-15
6.85391E-12 6.57752E-15
8.04379E-12 6.57752E-15
9.32893E-12 6.57752E-15
1.07092E-11 6.57752E-15
1.21847E-11 6.57752E-15
1.37554E-11 6.57752E-15
1.54213E-11 6.57752E-15
1.71823E-11 6.57752E-15
1.90386E-11 6.57752E-15
2.09900E-11 6.57752E-15
2.30367E-11 6.57752E-15
2.51785E-11 6.57752E-15
2.74156E-11 6.57752E-15
2.97478E-11 6.57752E-15
3.21752E-11 6.57752E-15
3.46979E-11 6.57752E-15
3.73157E-11 6.57752E-15
4.00286E-11 6.57752E-15
4.28368E-11 6.57752E-15
4.57402E-11 6.57752E-15
4.87388E-11 6.57752E-15
5.18325E-11 6.57752E-15
5.50215E-11 6.57752E-15
5.83057E-11 6.57752E-15
6.16850E-11 6.57752E-15
6.51595E-11 6.57752E-15
6.87293E-11 6.57752E-15
7.23943E-11 6.57752E-15
7.61544E-11 6.57752E-15
1.18991E-10 6.57752E-15
1.71347E-10 6.57752E-15
2.33223E-10 6.57752E-15
3.04617E-10 6.57751E-15
3.85531E-10 6.57751E-15
4.75965E-10 6.57751E-15
5.75917E-10 6.57751E-15
6.85389E-10 6.57751E-15
8.04380E-10 6.57751E-15
9.32891E-10 6.57751E-15
1.07092E-09 6.57750E-15
1.21847E-09 6.57750E-15
1.37554E-09 6.57750E-15
1.54213E-09 6.57750E-15
1.71823E-09 6.57750E-15
1.90386E-09 6.57749E-15
2.09900E-09 6.57749E-15
2.30367E-09 6.57749E-15
2.51785E-09 6.57748E-15
2.74156E-09 6.57748E-15
2.97478E-09 6.57748E-15
3.21752E-09 6.57747E-15
3.46978E-09 6.57747E-15
3.73156E-09 6.57747E-15
4.00286E-09 6.57746E-15
4.28368E-09 6.57746E-15
4.57402E-09 6.57746E-15
4.87388E-09 6.57745E-15
5.18326E-09 6.57745E-15
5.50215E-09 6.57744E-15
5.83057E-09 6.57744E-15
6.16850E-09 6.57743E-15
6.51596E-09 6.57743E-15
6.87293E-09 6.57742E-15
7.23942E-09 6.57742E-15
7.61544E-09 6.57741E-15
1.18991E-08 6.57735E-15
1.71347E-08 6.57728E-15
2.33223E-08 6.57719E-15
3.04617E-08 6.57709E-15
3.85531E-08 6.57698E-15
4.75965E-08 6.57686E-15
5.75917E-08 6.57672E-15
6.85389E-08 6.57656E-15
8.04380E-08 6.57640E-15
9.32891E-08 6.57622E-15
1.07092E-07 6.57603E-15
1.21847E-07 6.57582E-15
1.37554E-07 6.57560E-15
1.54213E-07 6.57537E-15
1.71823E-07 6.57512E-15
1.90386E-07 6.57486E-15
2.09900E-07 6.57459E-15
2.30367E-07 6.57431E-15
2.51785E-07 6.57401E-15
2.74156E-07 6.57370E-15
2.97478E-07 6.57337E-15
3.21752E-07 6.57303E-15
3.46978E-07 6.57268E-15
3.73156E-07 6.57232E-15
4.00286E-07 6.57194E-15
4.28368E-07 6.57155E-15
4.57402E-07 6.57115E-15
4.87388E-07 6.57073E-15
5.18325E-07 6.57030E-15
5.50215E-07 6.56986E-15
5.83057E-07 6.56940E-15
6.16850E-07 6.56893E-15
6.51596E-07 6.56845E-15
6.87293E-07 6.56795E-15
7.23942E-07 6.56744E-15
7.61543E-07 6.56692E-15
1.18991E-06 6.56098E-15
1.71347E-06 6.55373E-15
2.33223E-06 6.54520E-15
3.04617E-06 6.53539E-15
3.85531E-06 6.52431E-15
4.75964E-06 6.51200E-15
5.75916E-06 6.49846E-15
6.85388E-06 6.48371E-15
8.04378E-06 6.46779E-15
9.32888E-06 6.45070E-15
1.07092E-05 6.43249E-15
1.21846E-05 6.41317E-15
1.37553E-05 6.39277E-15
1.54212E-05 6.37133E-15
1.71822E-05 6.34888E-15
1.90385E-05 6.32544E-15
2.09899E-05 6.30106E-15
2.30365E-05 6.27576E-15
2.51783E-05 6.24958E-15
2.74153E-05 6.22256E-15
2.97475E-05 6.19473E-15
3.21749E-05 6.16613E-15
3.46974E-05 6.13680E-15
3.73152E-05 6.10678E-15
4.00281E-05 6.07610E-15
4.28362E-05 6.04480E-15
4.57395E-05 6.01292E-15
4.87380E-05 5.98049E-15
5.18317E-05 5.94757E-15
5.50205E-05 5.91418E-15
5.83045E-05 5.88036E-15
6.16838E-05 5.84615E-15
6.51582E-05 5.81158E-15
6.87277E-05 5.77669E-15
7.23925E-05 5.74153E-15
7.61524E-05 5.70611E-15
9.21439E-05 5.56262E-15
1.09658E-04 5.41770E-15
1.28695E-04 5.27314E-15
1.49255E-04 5.13043E-15
1.71338E-04 4.99077E-15
1.94942E-04 4.85505E-15
2.20070E-04 4.72390E-15
2.46720E-04 4.59769E-15
2.74892E-04 4.47657E-15
3.04586E-04 4.36051E-15
3.35803E-04 4.24935E-15
3.68542E-04 4.14279E-15
4.02802E-04 4.04050E-15
4.38585E-04 3.94209E-15
4.75889E-04 3.84718E-15
5.14715E-04 3.75539E-15
5.55063E-04 3.66639E-15
5.96931E-04 3.57988E-15
6.40321E-04 3.49563E-15
6.85233E-04 3.41345E-15
7.31665E-04 3.33321E-15
7.79618E-04 3.25484E-15
8.29092E-04 3.17829E-15
8.80086E-04 3.10356E-15
9.32601E-04 3.03066E-15
9.86636E-04 2.95961E-15
