 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element:  W,  Z =  74,  atomic weight = 1.83840E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.08411E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 74
 #
 # Electron density: Read from file Data/z_074.d
 #                   Number of data points =  791
 #                   Volume integral = 7.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.06400E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.11000E-23 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.53606E-16 cm**2 = 5.48536E+00 a0**2
 # 1st transport cross section = 8.23532E-18 cm**2 = 2.94089E-01 a0**2
 # 2nd transport cross section = 1.59709E-17 cm**2 = 5.70333E-01 a0**2
 #
 #    Absorption cross section = 6.08974E-17 cm**2 = 2.17468E+00 a0**2
 #   Grand total cross section = 2.14517E-16 cm**2 = 7.66056E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.69350E-15
7.61557E-13 2.69350E-15
1.18994E-12 2.69350E-15
1.71346E-12 2.69350E-15
2.33225E-12 2.69350E-15
3.04617E-12 2.69350E-15
3.85530E-12 2.69350E-15
4.75964E-12 2.69350E-15
5.75917E-12 2.69350E-15
6.85391E-12 2.69350E-15
8.04379E-12 2.69350E-15
9.32893E-12 2.69350E-15
1.07092E-11 2.69350E-15
1.21847E-11 2.69350E-15
1.37554E-11 2.69350E-15
1.54213E-11 2.69350E-15
1.71823E-11 2.69350E-15
1.90386E-11 2.69350E-15
2.09900E-11 2.69350E-15
2.30367E-11 2.69350E-15
2.51785E-11 2.69350E-15
2.74156E-11 2.69351E-15
2.97478E-11 2.69351E-15
3.21752E-11 2.69351E-15
3.46979E-11 2.69351E-15
3.73157E-11 2.69351E-15
4.00286E-11 2.69351E-15
4.28368E-11 2.69351E-15
4.57402E-11 2.69351E-15
4.87388E-11 2.69351E-15
5.18325E-11 2.69351E-15
5.50215E-11 2.69351E-15
5.83057E-11 2.69351E-15
6.16850E-11 2.69351E-15
6.51595E-11 2.69351E-15
6.87293E-11 2.69351E-15
7.23943E-11 2.69351E-15
7.61544E-11 2.69351E-15
1.18991E-10 2.69352E-15
1.71347E-10 2.69352E-15
2.33223E-10 2.69353E-15
3.04617E-10 2.69354E-15
3.85531E-10 2.69355E-15
4.75965E-10 2.69356E-15
5.75917E-10 2.69357E-15
6.85389E-10 2.69359E-15
8.04380E-10 2.69360E-15
9.32891E-10 2.69362E-15
1.07092E-09 2.69364E-15
1.21847E-09 2.69366E-15
1.37554E-09 2.69367E-15
1.54213E-09 2.69370E-15
1.71823E-09 2.69372E-15
1.90386E-09 2.69374E-15
2.09900E-09 2.69377E-15
2.30367E-09 2.69379E-15
2.51785E-09 2.69382E-15
2.74156E-09 2.69385E-15
2.97478E-09 2.69388E-15
3.21752E-09 2.69391E-15
3.46978E-09 2.69394E-15
3.73156E-09 2.69397E-15
4.00286E-09 2.69401E-15
4.28368E-09 2.69404E-15
4.57402E-09 2.69408E-15
4.87388E-09 2.69412E-15
5.18326E-09 2.69415E-15
5.50215E-09 2.69419E-15
5.83057E-09 2.69424E-15
6.16850E-09 2.69428E-15
6.51596E-09 2.69432E-15
6.87293E-09 2.69437E-15
7.23942E-09 2.69441E-15
7.61544E-09 2.69446E-15
1.18991E-08 2.69500E-15
1.71347E-08 2.69566E-15
2.33223E-08 2.69644E-15
3.04617E-08 2.69734E-15
3.85531E-08 2.69835E-15
4.75965E-08 2.69949E-15
5.75917E-08 2.70075E-15
6.85389E-08 2.70212E-15
8.04380E-08 2.70362E-15
9.32891E-08 2.70523E-15
1.07092E-07 2.70697E-15
1.21847E-07 2.70882E-15
1.37554E-07 2.71079E-15
1.54213E-07 2.71288E-15
1.71823E-07 2.71508E-15
1.90386E-07 2.71741E-15
2.09900E-07 2.71985E-15
2.30367E-07 2.72241E-15
2.51785E-07 2.72508E-15
2.74156E-07 2.72788E-15
2.97478E-07 2.73078E-15
3.21752E-07 2.73381E-15
3.46978E-07 2.73695E-15
3.73156E-07 2.74021E-15
4.00286E-07 2.74358E-15
4.28368E-07 2.74706E-15
4.57402E-07 2.75066E-15
4.87388E-07 2.75438E-15
5.18325E-07 2.75821E-15
