 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element:  W,  Z =  74,  atomic weight = 1.83840E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.08411E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 74
 #
 # Electron density: Read from file Data/z_074.d
 #                   Number of data points =  791
 #                   Volume integral = 7.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.06400E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.11000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 8.81502E-17 cm**2 = 3.14790E+00 a0**2
 # 1st transport cross section = 2.59399E-18 cm**2 = 9.26332E-02 a0**2
 # 2nd transport cross section = 5.50203E-18 cm**2 = 1.96481E-01 a0**2
 #
 #    Absorption cross section = 2.04999E-17 cm**2 = 7.32063E-01 a0**2
 #   Grand total cross section = 1.08663E-16 cm**2 = 3.88044E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.82756E-15
7.61557E-13 4.82756E-15
1.18994E-12 4.82756E-15
1.71346E-12 4.82756E-15
2.33225E-12 4.82756E-15
3.04617E-12 4.82756E-15
3.85530E-12 4.82756E-15
4.75964E-12 4.82756E-15
5.75917E-12 4.82756E-15
6.85391E-12 4.82756E-15
8.04379E-12 4.82756E-15
9.32893E-12 4.82757E-15
1.07092E-11 4.82757E-15
1.21847E-11 4.82757E-15
1.37554E-11 4.82757E-15
1.54213E-11 4.82757E-15
1.71823E-11 4.82757E-15
1.90386E-11 4.82757E-15
2.09900E-11 4.82757E-15
2.30367E-11 4.82758E-15
2.51785E-11 4.82758E-15
2.74156E-11 4.82758E-15
2.97478E-11 4.82758E-15
3.21752E-11 4.82758E-15
3.46979E-11 4.82759E-15
3.73157E-11 4.82759E-15
4.00286E-11 4.82759E-15
4.28368E-11 4.82759E-15
4.57402E-11 4.82759E-15
4.87388E-11 4.82760E-15
5.18325E-11 4.82760E-15
5.50215E-11 4.82760E-15
5.83057E-11 4.82760E-15
6.16850E-11 4.82761E-15
6.51595E-11 4.82761E-15
6.87293E-11 4.82761E-15
7.23943E-11 4.82761E-15
7.61544E-11 4.82762E-15
1.18991E-10 4.82765E-15
1.71347E-10 4.82769E-15
2.33223E-10 4.82774E-15
3.04617E-10 4.82779E-15
3.85531E-10 4.82786E-15
4.75965E-10 4.82793E-15
5.75917E-10 4.82801E-15
6.85389E-10 4.82809E-15
8.04380E-10 4.82818E-15
9.32891E-10 4.82828E-15
1.07092E-09 4.82839E-15
1.21847E-09 4.82850E-15
1.37554E-09 4.82863E-15
1.54213E-09 4.82875E-15
1.71823E-09 4.82889E-15
1.90386E-09 4.82904E-15
2.09900E-09 4.82919E-15
2.30367E-09 4.82935E-15
2.51785E-09 4.82951E-15
2.74156E-09 4.82969E-15
2.97478E-09 4.82987E-15
3.21752E-09 4.83005E-15
3.46978E-09 4.83025E-15
3.73156E-09 4.83045E-15
4.00286E-09 4.83066E-15
4.28368E-09 4.83088E-15
4.57402E-09 4.83111E-15
4.87388E-09 4.83134E-15
5.18326E-09 4.83158E-15
5.50215E-09 4.83183E-15
5.83057E-09 4.83208E-15
6.16850E-09 4.83234E-15
6.51596E-09 4.83261E-15
6.87293E-09 4.83289E-15
7.23942E-09 4.83317E-15
7.61544E-09 4.83346E-15
1.18991E-08 4.83678E-15
1.71347E-08 4.84083E-15
2.33223E-08 4.84560E-15
3.04617E-08 4.85111E-15
3.85531E-08 4.85733E-15
4.75965E-08 4.86427E-15
5.75917E-08 4.87192E-15
6.85389E-08 4.88027E-15
8.04380E-08 4.88933E-15
9.32891E-08 4.89907E-15
1.07092E-07 4.90950E-15
1.21847E-07 4.92060E-15
1.37554E-07 4.93237E-15
1.54213E-07 4.94480E-15
1.71823E-07 4.95788E-15
1.90386E-07 4.97160E-15
2.09900E-07 4.98594E-15
2.30367E-07 5.00090E-15
2.51785E-07 5.01646E-15
2.74156E-07 5.03262E-15
2.97478E-07 5.04935E-15
3.21752E-07 5.06665E-15
