 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.25000E+02 eV = 4.59367E+00 a.u.
 #
 # Element:  W,  Z =  74,  atomic weight = 1.83840E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.08411E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 74
 #
 # Electron density: Read from file Data/z_074.d
 #                   Number of data points =  791
 #                   Volume integral = 7.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.11000E-23 cm**3
 #                            Bpol = 2.16506E+00
 #
 # Total elastic cross section = 1.00657E-15 cm**2 = 3.59451E+01 a0**2
 # 1st transport cross section = 6.96023E-17 cm**2 = 2.48554E+00 a0**2
 # 2nd transport cross section = 1.36200E-16 cm**2 = 4.86378E+00 a0**2
 #
 #    Absorption cross section = 7.38963E-16 cm**2 = 2.63889E+01 a0**2
 #   Grand total cross section = 1.74558E-15 cm**2 = 6.23357E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.64360E-14
7.61557E-13 1.64360E-14
1.18994E-12 1.64360E-14
1.71346E-12 1.64360E-14
2.33225E-12 1.64360E-14
3.04617E-12 1.64360E-14
3.85530E-12 1.64360E-14
4.75964E-12 1.64360E-14
5.75917E-12 1.64360E-14
6.85391E-12 1.64360E-14
8.04379E-12 1.64360E-14
9.32893E-12 1.64360E-14
1.07092E-11 1.64360E-14
1.21847E-11 1.64360E-14
1.37554E-11 1.64360E-14
1.54213E-11 1.64360E-14
1.71823E-11 1.64360E-14
1.90386E-11 1.64360E-14
2.09900E-11 1.64360E-14
2.30367E-11 1.64360E-14
2.51785E-11 1.64360E-14
2.74156E-11 1.64360E-14
2.97478E-11 1.64360E-14
3.21752E-11 1.64360E-14
3.46979E-11 1.64360E-14
3.73157E-11 1.64360E-14
4.00286E-11 1.64360E-14
4.28368E-11 1.64360E-14
4.57402E-11 1.64360E-14
4.87388E-11 1.64360E-14
5.18325E-11 1.64360E-14
5.50215E-11 1.64360E-14
5.83057E-11 1.64360E-14
6.16850E-11 1.64360E-14
6.51595E-11 1.64360E-14
6.87293E-11 1.64360E-14
7.23943E-11 1.64360E-14
7.61544E-11 1.64360E-14
1.18991E-10 1.64360E-14
1.71347E-10 1.64360E-14
2.33223E-10 1.64360E-14
3.04617E-10 1.64360E-14
3.85531E-10 1.64360E-14
4.75965E-10 1.64360E-14
5.75917E-10 1.64360E-14
6.85389E-10 1.64360E-14
8.04380E-10 1.64360E-14
9.32891E-10 1.64360E-14
1.07092E-09 1.64360E-14
1.21847E-09 1.64360E-14
1.37554E-09 1.64360E-14
1.54213E-09 1.64360E-14
1.71823E-09 1.64360E-14
1.90386E-09 1.64360E-14
2.09900E-09 1.64360E-14
2.30367E-09 1.64360E-14
2.51785E-09 1.64360E-14
2.74156E-09 1.64359E-14
2.97478E-09 1.64359E-14
3.21752E-09 1.64359E-14
3.46978E-09 1.64359E-14
3.73156E-09 1.64359E-14
4.00286E-09 1.64359E-14
4.28368E-09 1.64359E-14
4.57402E-09 1.64359E-14
4.87388E-09 1.64359E-14
5.18326E-09 1.64359E-14
5.50215E-09 1.64359E-14
5.83057E-09 1.64359E-14
6.16850E-09 1.64359E-14
6.51596E-09 1.64358E-14
6.87293E-09 1.64358E-14
7.23942E-09 1.64358E-14
7.61544E-09 1.64358E-14
1.18991E-08 1.64357E-14
1.71347E-08 1.64355E-14
2.33223E-08 1.64354E-14
3.04617E-08 1.64352E-14
3.85531E-08 1.64349E-14
4.75965E-08 1.64347E-14
5.75917E-08 1.64344E-14
6.85389E-08 1.64341E-14
8.04380E-08 1.64338E-14
9.32891E-08 1.64334E-14
1.07092E-07 1.64330E-14
1.21847E-07 1.64326E-14
1.37554E-07 1.64322E-14
1.54213E-07 1.64317E-14
1.71823E-07 1.64312E-14
1.90386E-07 1.64307E-14
2.09900E-07 1.64301E-14
2.30367E-07 1.64296E-14
2.51785E-07 1.64290E-14
2.74156E-07 1.64283E-14
2.97478E-07 1.64277E-14
3.21752E-07 1.64270E-14
3.46978E-07 1.64263E-14
3.73156E-07 1.64256E-14
4.00286E-07 1.64248E-14
4.28368E-07 1.64240E-14
4.57402E-07 1.64232E-14
4.87388E-07 1.64224E-14
5.18325E-07 1.64215E-14
5.50215E-07 1.64206E-14
5.83057E-07 1.64197E-14
