 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element:  W,  Z =  74,  atomic weight = 1.83840E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.08411E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 74
 #
 # Electron density: Read from file Data/z_074.d
 #                   Number of data points =  791
 #                   Volume integral = 7.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.11000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 9.51325E-17 cm**2 = 3.39724E+00 a0**2
 # 1st transport cross section = 5.25430E-18 cm**2 = 1.87634E-01 a0**2
 # 2nd transport cross section = 7.97556E-18 cm**2 = 2.84812E-01 a0**2
 #
 #    Absorption cross section = 2.16106E-17 cm**2 = 7.71727E-01 a0**2
 #   Grand total cross section = 1.16755E-16 cm**2 = 4.16940E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.64017E-14
7.61557E-13 1.64017E-14
1.18994E-12 1.64017E-14
1.71346E-12 1.64017E-14
2.33225E-12 1.64017E-14
3.04617E-12 1.64017E-14
3.85530E-12 1.64017E-14
4.75964E-12 1.64017E-14
5.75917E-12 1.64017E-14
6.85391E-12 1.64017E-14
8.04379E-12 1.64017E-14
9.32893E-12 1.64017E-14
1.07092E-11 1.64016E-14
1.21847E-11 1.64016E-14
1.37554E-11 1.64016E-14
1.54213E-11 1.64016E-14
1.71823E-11 1.64016E-14
1.90386E-11 1.64016E-14
2.09900E-11 1.64016E-14
2.30367E-11 1.64016E-14
2.51785E-11 1.64016E-14
2.74156E-11 1.64016E-14
2.97478E-11 1.64016E-14
3.21752E-11 1.64016E-14
3.46979E-11 1.64016E-14
3.73157E-11 1.64016E-14
4.00286E-11 1.64016E-14
4.28368E-11 1.64016E-14
4.57402E-11 1.64016E-14
4.87388E-11 1.64016E-14
5.18325E-11 1.64016E-14
5.50215E-11 1.64016E-14
5.83057E-11 1.64016E-14
6.16850E-11 1.64016E-14
6.51595E-11 1.64016E-14
6.87293E-11 1.64015E-14
7.23943E-11 1.64015E-14
7.61544E-11 1.64015E-14
1.18991E-10 1.64015E-14
1.71347E-10 1.64014E-14
2.33223E-10 1.64013E-14
3.04617E-10 1.64011E-14
3.85531E-10 1.64010E-14
4.75965E-10 1.64008E-14
5.75917E-10 1.64007E-14
6.85389E-10 1.64005E-14
8.04380E-10 1.64003E-14
9.32891E-10 1.64000E-14
1.07092E-09 1.63998E-14
1.21847E-09 1.63995E-14
1.37554E-09 1.63993E-14
1.54213E-09 1.63990E-14
1.71823E-09 1.63987E-14
1.90386E-09 1.63984E-14
2.09900E-09 1.63980E-14
2.30367E-09 1.63977E-14
2.51785E-09 1.63973E-14
2.74156E-09 1.63969E-14
2.97478E-09 1.63965E-14
3.21752E-09 1.63961E-14
3.46978E-09 1.63956E-14
3.73156E-09 1.63952E-14
4.00286E-09 1.63947E-14
4.28368E-09 1.63942E-14
4.57402E-09 1.63937E-14
4.87388E-09 1.63932E-14
5.18326E-09 1.63927E-14
5.50215E-09 1.63921E-14
5.83057E-09 1.63915E-14
6.16850E-09 1.63909E-14
