 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.25000E+03 eV = 4.59367E+01 a.u.
 #
 # Element: Re,  Z =  75,  atomic weight = 1.86207E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.11011E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 75
 #
 # Electron density: Read from file Data/z_075.d
 #                   Number of data points =  785
 #                   Volume integral = 7.50000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.03350E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 9.70000E-24 cm**3
 #                            Bpol = 8.66025E+00
 #
 # Total elastic cross section = 1.99060E-16 cm**2 = 7.10855E+00 a0**2
 # 1st transport cross section = 1.44816E-17 cm**2 = 5.17147E-01 a0**2
 # 2nd transport cross section = 2.72436E-17 cm**2 = 9.72887E-01 a0**2
 #
 #    Absorption cross section = 1.10978E-16 cm**2 = 3.96309E+00 a0**2
 #   Grand total cross section = 3.10049E-16 cm**2 = 1.10720E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.10823E-15
7.61557E-13 2.10823E-15
1.18994E-12 2.10823E-15
1.71346E-12 2.10823E-15
2.33225E-12 2.10823E-15
3.04617E-12 2.10823E-15
3.85530E-12 2.10823E-15
4.75964E-12 2.10823E-15
5.75917E-12 2.10823E-15
6.85391E-12 2.10823E-15
8.04379E-12 2.10823E-15
9.32893E-12 2.10823E-15
1.07092E-11 2.10823E-15
1.21847E-11 2.10823E-15
1.37554E-11 2.10823E-15
1.54213E-11 2.10823E-15
1.71823E-11 2.10823E-15
1.90386E-11 2.10823E-15
2.09900E-11 2.10823E-15
2.30367E-11 2.10823E-15
2.51785E-11 2.10823E-15
2.74156E-11 2.10823E-15
2.97478E-11 2.10823E-15
3.21752E-11 2.10823E-15
3.46979E-11 2.10823E-15
3.73157E-11 2.10823E-15
4.00286E-11 2.10823E-15
4.28368E-11 2.10823E-15
4.57402E-11 2.10823E-15
4.87388E-11 2.10823E-15
5.18325E-11 2.10823E-15
5.50215E-11 2.10823E-15
5.83057E-11 2.10823E-15
6.16850E-11 2.10823E-15
6.51595E-11 2.10823E-15
6.87293E-11 2.10823E-15
7.23943E-11 2.10823E-15
7.61544E-11 2.10823E-15
1.18991E-10 2.10823E-15
1.71347E-10 2.10823E-15
2.33223E-10 2.10823E-15
3.04617E-10 2.10823E-15
3.85531E-10 2.10824E-15
4.75965E-10 2.10824E-15
5.75917E-10 2.10824E-15
6.85389E-10 2.10824E-15
8.04380E-10 2.10824E-15
9.32891E-10 2.10825E-15
1.07092E-09 2.10825E-15
1.21847E-09 2.10825E-15
1.37554E-09 2.10825E-15
1.54213E-09 2.10826E-15
1.71823E-09 2.10826E-15
1.90386E-09 2.10827E-15
2.09900E-09 2.10827E-15
2.30367E-09 2.10827E-15
2.51785E-09 2.10828E-15
2.74156E-09 2.10828E-15
2.97478E-09 2.10829E-15
3.21752E-09 2.10829E-15
3.46978E-09 2.10830E-15
3.73156E-09 2.10830E-15
4.00286E-09 2.10831E-15
4.28368E-09 2.10831E-15
4.57402E-09 2.10832E-15
4.87388E-09 2.10832E-15
5.18326E-09 2.10833E-15
5.50215E-09 2.10834E-15
5.83057E-09 2.10834E-15
6.16850E-09 2.10835E-15
6.51596E-09 2.10836E-15
6.87293E-09 2.10836E-15
7.23942E-09 2.10837E-15
