 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+02 eV = 6.43113E+00 a.u.
 #
 # Element: Re,  Z =  75,  atomic weight = 1.86207E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.11011E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 75
 #
 # Electron density: Read from file Data/z_075.d
 #                   Number of data points =  785
 #                   Volume integral = 7.50000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.03350E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 9.70000E-24 cm**3
 #                            Bpol = 2.79508E+00
 #
 # Total elastic cross section = 3.06704E-16 cm**2 = 1.09526E+01 a0**2
 # 1st transport cross section = 4.57871E-17 cm**2 = 1.63509E+00 a0**2
 # 2nd transport cross section = 7.63477E-17 cm**2 = 2.72643E+00 a0**2
 #
 #    Absorption cross section = 5.56952E-16 cm**2 = 1.98891E+01 a0**2
 #   Grand total cross section = 8.63664E-16 cm**2 = 3.08420E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.94640E-15
7.61557E-13 3.94640E-15
1.18994E-12 3.94640E-15
1.71346E-12 3.94640E-15
2.33225E-12 3.94640E-15
3.04617E-12 3.94640E-15
3.85530E-12 3.94640E-15
4.75964E-12 3.94640E-15
5.75917E-12 3.94640E-15
6.85391E-12 3.94640E-15
8.04379E-12 3.94640E-15
9.32893E-12 3.94640E-15
1.07092E-11 3.94640E-15
1.21847E-11 3.94640E-15
1.37554E-11 3.94640E-15
1.54213E-11 3.94640E-15
1.71823E-11 3.94640E-15
1.90386E-11 3.94640E-15
2.09900E-11 3.94640E-15
2.30367E-11 3.94640E-15
2.51785E-11 3.94640E-15
2.74156E-11 3.94640E-15
2.97478E-11 3.94640E-15
3.21752E-11 3.94640E-15
3.46979E-11 3.94640E-15
3.73157E-11 3.94640E-15
4.00286E-11 3.94640E-15
4.28368E-11 3.94640E-15
4.57402E-11 3.94640E-15
4.87388E-11 3.94640E-15
5.18325E-11 3.94640E-15
5.50215E-11 3.94640E-15
5.83057E-11 3.94640E-15
6.16850E-11 3.94640E-15
6.51595E-11 3.94640E-15
6.87293E-11 3.94640E-15
7.23943E-11 3.94640E-15
7.61544E-11 3.94640E-15
1.18991E-10 3.94640E-15
1.71347E-10 3.94640E-15
2.33223E-10 3.94640E-15
3.04617E-10 3.94640E-15
3.85531E-10 3.94640E-15
4.75965E-10 3.94640E-15
5.75917E-10 3.94640E-15
6.85389E-10 3.94639E-15
8.04380E-10 3.94639E-15
9.32891E-10 3.94639E-15
1.07092E-09 3.94639E-15
1.21847E-09 3.94639E-15
1.37554E-09 3.94639E-15
1.54213E-09 3.94638E-15
1.71823E-09 3.94638E-15
1.90386E-09 3.94638E-15
2.09900E-09 3.94638E-15
2.30367E-09 3.94637E-15
2.51785E-09 3.94637E-15
2.74156E-09 3.94637E-15
2.97478E-09 3.94636E-15
3.21752E-09 3.94636E-15
3.46978E-09 3.94636E-15
3.73156E-09 3.94635E-15
4.00286E-09 3.94635E-15
4.28368E-09 3.94635E-15
4.57402E-09 3.94634E-15
4.87388E-09 3.94634E-15
5.18326E-09 3.94633E-15
5.50215E-09 3.94633E-15
5.83057E-09 3.94633E-15
6.16850E-09 3.94632E-15
6.51596E-09 3.94632E-15
6.87293E-09 3.94631E-15
7.23942E-09 3.94631E-15
7.61544E-09 3.94630E-15
1.18991E-08 3.94624E-15
1.71347E-08 3.94617E-15
2.33223E-08 3.94609E-15
3.04617E-08 3.94599E-15
3.85531E-08 3.94588E-15
4.75965E-08 3.94576E-15
5.75917E-08 3.94562E-15
6.85389E-08 3.94547E-15
8.04380E-08 3.94531E-15
9.32891E-08 3.94514E-15
1.07092E-07 3.94495E-15
1.21847E-07 3.94475E-15
1.37554E-07 3.94454E-15
1.54213E-07 3.94431E-15
1.71823E-07 3.94407E-15
1.90386E-07 3.94382E-15
2.09900E-07 3.94356E-15
2.30367E-07 3.94328E-15
2.51785E-07 3.94299E-15
2.74156E-07 3.94269E-15
2.97478E-07 3.94237E-15
