 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.75000E+03 eV = 6.43113E+01 a.u.
 #
 # Element: Re,  Z =  75,  atomic weight = 1.86207E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.11011E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 75
 #
 # Electron density: Read from file Data/z_075.d
 #                   Number of data points =  785
 #                   Volume integral = 7.50000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 9.70000E-24 cm**3
 #                            Bpol = 1.03078E+01
 #
 # Total elastic cross section = 2.11651E-16 cm**2 = 7.55819E+00 a0**2
 # 1st transport cross section = 3.35003E-17 cm**2 = 1.19632E+00 a0**2
 # 2nd transport cross section = 2.99077E-17 cm**2 = 1.06802E+00 a0**2
 #
 #    Absorption cross section = 8.50703E-17 cm**2 = 3.03792E+00 a0**2
 #   Grand total cross section = 2.96733E-16 cm**2 = 1.05965E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.38747E-14
7.61557E-13 1.38747E-14
1.18994E-12 1.38747E-14
1.71346E-12 1.38747E-14
2.33225E-12 1.38747E-14
3.04617E-12 1.38747E-14
3.85530E-12 1.38747E-14
4.75964E-12 1.38747E-14
5.75917E-12 1.38747E-14
6.85391E-12 1.38747E-14
8.04379E-12 1.38747E-14
9.32893E-12 1.38747E-14
1.07092E-11 1.38747E-14
1.21847E-11 1.38747E-14
1.37554E-11 1.38747E-14
1.54213E-11 1.38747E-14
1.71823E-11 1.38747E-14
1.90386E-11 1.38747E-14
2.09900E-11 1.38747E-14
2.30367E-11 1.38747E-14
2.51785E-11 1.38747E-14
2.74156E-11 1.38747E-14
2.97478E-11 1.38747E-14
3.21752E-11 1.38747E-14
3.46979E-11 1.38747E-14
3.73157E-11 1.38747E-14
4.00286E-11 1.38747E-14
4.28368E-11 1.38747E-14
4.57402E-11 1.38747E-14
4.87388E-11 1.38747E-14
5.18325E-11 1.38747E-14
5.50215E-11 1.38747E-14
5.83057E-11 1.38747E-14
6.16850E-11 1.38747E-14
6.51595E-11 1.38747E-14
6.87293E-11 1.38747E-14
7.23943E-11 1.38747E-14
7.61544E-11 1.38747E-14
1.18991E-10 1.38746E-14
1.71347E-10 1.38746E-14
2.33223E-10 1.38746E-14
3.04617E-10 1.38746E-14
3.85531E-10 1.38746E-14
4.75965E-10 1.38745E-14
5.75917E-10 1.38745E-14
6.85389E-10 1.38745E-14
8.04380E-10 1.38744E-14
9.32891E-10 1.38744E-14
1.07092E-09 1.38744E-14
1.21847E-09 1.38743E-14
1.37554E-09 1.38743E-14
1.54213E-09 1.38742E-14
1.71823E-09 1.38741E-14
1.90386E-09 1.38741E-14
2.09900E-09 1.38740E-14
2.30367E-09 1.38740E-14
2.51785E-09 1.38739E-14
2.74156E-09 1.38738E-14
2.97478E-09 1.38738E-14
3.21752E-09 1.38737E-14
3.46978E-09 1.38736E-14
3.73156E-09 1.38735E-14
4.00286E-09 1.38734E-14
4.28368E-09 1.38733E-14
4.57402E-09 1.38733E-14
4.87388E-09 1.38732E-14
5.18326E-09 1.38731E-14
5.50215E-09 1.38730E-14
5.83057E-09 1.38729E-14
6.16850E-09 1.38728E-14
6.51596E-09 1.38726E-14
6.87293E-09 1.38725E-14
7.23942E-09 1.38724E-14
7.61544E-09 1.38723E-14
1.18991E-08 1.38710E-14
1.71347E-08 1.38693E-14
2.33223E-08 1.38674E-14
3.04617E-08 1.38651E-14
3.85531E-08 1.38626E-14
4.75965E-08 1.38598E-14
5.75917E-08 1.38567E-14
6.85389E-08 1.38533E-14
8.04380E-08 1.38495E-14
9.32891E-08 1.38455E-14
1.07092E-07 1.38413E-14
1.21847E-07 1.38367E-14
1.37554E-07 1.38318E-14
1.54213E-07 1.38266E-14
1.71823E-07 1.38212E-14
1.90386E-07 1.38155E-14
2.09900E-07 1.38094E-14
2.30367E-07 1.38031E-14
2.51785E-07 1.37966E-14
2.74156E-07 1.37897E-14
2.97478E-07 1.37826E-14
3.21752E-07 1.37751E-14
3.46978E-07 1.37675E-14
3.73156E-07 1.37595E-14
4.00286E-07 1.37513E-14
4.28368E-07 1.37428E-14
4.57402E-07 1.37340E-14
4.87388E-07 1.37249E-14
5.18325E-07 1.37156E-14
5.50215E-07 1.37061E-14
5.83057E-07 1.36963E-14
6.16850E-07 1.36862E-14
6.51596E-07 1.36759E-14
6.87293E-07 1.36653E-14
7.23942E-07 1.36544E-14
7.61543E-07 1.36434E-14
1.18991E-06 1.35196E-14
1.71347E-06 1.33741E-14
2.33223E-06 1.32100E-14
3.04617E-06 1.30306E-14
3.85531E-06 1.28393E-14
4.75964E-06 1.26393E-14
5.75916E-06 1.24340E-14
6.85388E-06 1.22262E-14
8.04378E-06 1.20185E-14
9.32888E-06 1.18131E-14
1.07092E-05 1.16120E-14
1.21846E-05 1.14164E-14
1.37553E-05 1.12275E-14
1.54212E-05 1.10457E-14
1.71822E-05 1.08715E-14
1.90385E-05 1.07047E-14
2.09899E-05 1.05452E-14
2.30365E-05 1.03924E-14
2.51783E-05 1.02457E-14
2.74153E-05 1.01046E-14
2.97475E-05 9.96821E-15
3.21749E-05 9.83602E-15
3.46974E-05 9.70737E-15
3.73152E-05 9.58172E-15
4.00281E-05 9.45865E-15
4.28362E-05 9.33782E-15
4.57395E-05 9.21902E-15
4.87380E-05 9.10212E-15
5.18317E-05 8.98710E-15
5.50205E-05 8.87399E-15
5.83045E-05 8.76287E-15
6.16838E-05 8.65386E-15
6.51582E-05 8.54708E-15
6.87277E-05 8.44264E-15
7.23925E-05 8.34064E-15
7.61524E-05 8.24113E-15
9.21439E-05 7.86761E-15
1.09658E-04 7.52803E-15
1.28695E-04 7.21229E-15
1.49255E-04 6.91354E-15
1.71338E-04 6.63100E-15
1.94942E-04 6.36624E-15
2.20070E-04 6.11859E-15
2.46720E-04 5.88448E-15
2.74892E-04 5.66034E-15
3.04586E-04 5.44502E-15
3.35803E-04 5.23927E-15
3.68542E-04 5.04352E-15
4.02802E-04 4.85661E-15
4.38585E-04 4.67668E-15
4.75889E-04 4.50280E-15
5.14715E-04 4.33524E-15
5.55063E-04 4.17452E-15
5.96931E-04 4.02038E-15
6.40321E-04 3.87186E-15
6.85233E-04 3.72821E-15
7.31665E-04 3.58943E-15
7.79618E-04 3.45590E-15
8.29092E-04 3.32765E-15
8.80086E-04 3.20420E-15
9.32601E-04 3.08496E-15
9.86636E-04 2.96979E-15
1.04219E-03 2.85885E-15
1.09927E-03 2.75229E-15
1.15786E-03 2.64984E-15
1.21797E-03 2.55110E-15
1.27961E-03 2.45580E-15
1.34276E-03 2.36401E-15
1.40743E-03 2.27580E-15
1.47362E-03 2.19107E-15
1.54133E-03 2.10953E-15
1.61056E-03 2.03093E-15
1.68131E-03 1.95523E-15
1.75357E-03 1.88247E-15
1.82735E-03 1.81262E-15
1.90265E-03 1.74548E-15
1.97947E-03 1.68083E-15
2.05780E-03 1.61859E-15
2.13765E-03 1.55875E-15
2.21902E-03 1.50131E-15
2.30190E-03 1.44616E-15
2.38630E-03 1.39311E-15
2.47222E-03 1.34206E-15
2.55965E-03 1.29299E-15
2.64859E-03 1.24589E-15
2.73905E-03 1.20070E-15
2.83103E-03 1.15729E-15
2.92452E-03 1.11554E-15
3.01952E-03 1.07542E-15
3.11604E-03 1.03691E-15
3.21407E-03 9.99978E-16
3.31362E-03 9.64528E-16
3.41468E-03 9.30466E-16
3.51725E-03 8.97737E-16
3.62133E-03 8.66319E-16
3.72692E-03 8.36186E-16
3.83403E-03 8.07274E-16
3.94265E-03 7.79505E-16
4.05278E-03 7.52822E-16
4.16442E-03 7.27195E-16
4.27757E-03 7.02602E-16
4.39223E-03 6.78998E-16
4.50840E-03 6.56325E-16
4.62608E-03 6.34528E-16
4.74527E-03 6.13575E-16
4.86597E-03 5.93446E-16
4.98817E-03 5.74108E-16
5.11188E-03 5.55519E-16
5.23711E-03 5.37634E-16
5.36383E-03 5.20423E-16
5.49207E-03 5.03865E-16
5.62181E-03 4.87938E-16
5.75306E-03 4.72611E-16
5.88581E-03 4.57850E-16
6.02007E-03 4.43630E-16
6.15583E-03 4.29931E-16
6.29310E-03 4.16736E-16
6.43187E-03 4.04023E-16
6.57214E-03 3.91770E-16
6.71392E-03 3.79955E-16
6.85720E-03 3.68561E-16
7.00198E-03 3.57575E-16
7.14827E-03 3.46981E-16
7.29605E-03 3.36762E-16
7.44534E-03 3.26901E-16
7.59612E-03 3.17388E-16
7.97965E-03 2.95034E-16
8.37255E-03 2.74574E-16
8.77480E-03 2.55835E-16
9.18641E-03 2.38657E-16
9.60736E-03 2.22905E-16
1.00376E-02 2.08436E-16
1.04773E-02 1.95145E-16
1.09262E-02 1.82907E-16
1.13844E-02 1.71642E-16
1.18520E-02 1.61242E-16
1.23288E-02 1.51648E-16
1.28150E-02 1.42770E-16
1.33104E-02 1.34563E-16
1.38150E-02 1.26958E-16
1.43290E-02 1.19914E-16
1.48521E-02 1.13382E-16
1.53845E-02 1.07321E-16
1.59262E-02 1.01698E-16
1.64770E-02 9.64703E-17
1.70371E-02 9.16177E-17
1.76063E-02 8.70949E-17
1.81848E-02 8.28919E-17
1.87724E-02 7.89639E-17
1.93692E-02 7.53067E-17
1.99751E-02 7.18801E-17
2.05901E-02 6.86816E-17
2.12143E-02 6.56786E-17
2.18476E-02 6.28673E-17
2.24900E-02 6.02244E-17
2.31415E-02 5.77423E-17
2.38021E-02 5.54073E-17
2.44717E-02 5.32070E-17
2.51504E-02 5.11359E-17
2.58382E-02 4.91778E-17
2.65349E-02 4.73330E-17
2.72407E-02 4.55830E-17
2.79555E-02 4.39317E-17
2.86793E-02 4.23610E-17
2.94120E-02 4.08753E-17
3.01537E-02 3.94594E-17
3.09043E-02 3.81161E-17
3.16639E-02 3.68345E-17
3.24324E-02 3.56147E-17
3.32098E-02 3.44506E-17
3.39961E-02 3.33389E-17
3.47912E-02 3.22780E-17
3.55952E-02 3.12616E-17
3.64081E-02 3.02914E-17
3.72297E-02 2.93595E-17
3.80602E-02 2.84690E-17
3.88995E-02 2.76121E-17
3.97476E-02 2.67919E-17
4.06044E-02 2.60020E-17
4.14700E-02 2.52441E-17
4.23443E-02 2.45144E-17
4.32273E-02 2.38126E-17
4.41190E-02 2.31374E-17
4.50194E-02 2.24867E-17
4.59284E-02 2.18611E-17
4.68461E-02 2.12574E-17
4.87074E-02 2.01166E-17
5.06030E-02 1.90566E-17
5.25328E-02 1.80702E-17
5.44967E-02 1.71507E-17
5.64946E-02 1.62925E-17
5.85262E-02 1.54912E-17
6.05914E-02 1.47432E-17
6.26901E-02 1.40450E-17
6.48222E-02 1.33935E-17
6.69873E-02 1.27851E-17
6.91854E-02 1.22162E-17
7.14163E-02 1.16836E-17
7.36799E-02 1.11843E-17
7.59760E-02 1.07162E-17
7.83043E-02 1.02773E-17
8.06647E-02 9.86584E-18
8.30571E-02 9.48007E-18
8.54812E-02 9.11804E-18
8.79369E-02 8.77774E-18
9.04240E-02 8.45732E-18
9.29422E-02 8.15518E-18
9.54915E-02 7.87002E-18
9.80716E-02 7.60078E-18
1.00682E-01 7.34651E-18
1.03323E-01 7.10623E-18
1.05995E-01 6.87894E-18
1.08696E-01 6.66362E-18
1.11427E-01 6.45928E-18
1.14188E-01 6.26508E-18
1.16978E-01 6.08030E-18
1.19797E-01 5.90433E-18
1.22645E-01 5.73666E-18
1.25522E-01 5.57680E-18
1.28428E-01 5.42427E-18
1.31361E-01 5.27860E-18
1.34323E-01 5.13932E-18
1.37313E-01 5.00599E-18
1.40330E-01 4.87822E-18
1.43375E-01 4.75565E-18
1.46447E-01 4.63796E-18
1.49545E-01 4.52491E-18
1.52671E-01 4.41624E-18
1.55823E-01 4.31170E-18
1.59001E-01 4.21106E-18
1.62205E-01 4.11406E-18
1.65435E-01 4.02045E-18
1.68690E-01 3.93004E-18
1.71970E-01 3.84265E-18
1.75276E-01 3.75813E-18
1.78606E-01 3.67631E-18
1.81961E-01 3.59702E-18
1.85340E-01 3.52006E-18
1.88743E-01 3.44528E-18
1.92169E-01 3.37256E-18
1.95619E-01 3.30183E-18
1.99092E-01 3.23298E-18
2.02589E-01 3.16589E-18
2.06107E-01 3.10039E-18
2.09649E-01 3.03630E-18
2.13212E-01 2.97351E-18
2.16797E-01 2.91196E-18
2.20404E-01 2.85162E-18
2.24032E-01 2.79244E-18
2.27680E-01 2.73435E-18
2.31350E-01 2.67726E-18
2.35040E-01 2.62106E-18
2.38751E-01 2.56570E-18
2.42481E-01 2.51110E-18
2.46231E-01 2.45722E-18
2.50000E-01 2.40403E-18
2.53788E-01 2.35152E-18
2.57595E-01 2.29968E-18
2.61421E-01 2.24851E-18
2.65264E-01 2.19798E-18
2.69126E-01 2.14805E-18
2.73005E-01 2.09871E-18
2.76901E-01 2.04994E-18
2.80814E-01 2.00176E-18
2.84744E-01 1.95415E-18
2.88691E-01 1.90717E-18
2.92653E-01 1.86087E-18
2.96632E-01 1.81528E-18
3.00625E-01 1.77041E-18
3.04634E-01 1.72625E-18
3.08658E-01 1.68284E-18
3.12697E-01 1.64025E-18
3.16749E-01 1.59849E-18
3.20816E-01 1.55758E-18
3.24896E-01 1.51757E-18
3.28990E-01 1.47857E-18
3.33097E-01 1.44062E-18
3.37216E-01 1.40375E-18
3.41348E-01 1.36798E-18
3.45492E-01 1.33340E-18
3.49647E-01 1.30007E-18
3.53814E-01 1.26801E-18
3.57992E-01 1.23724E-18
3.62181E-01 1.20785E-18
3.66381E-01 1.17993E-18
3.70590E-01 1.15349E-18
3.74810E-01 1.12852E-18
3.79039E-01 1.10513E-18
3.83277E-01 1.08338E-18
3.87524E-01 1.06325E-18
3.91780E-01 1.04476E-18
3.96044E-01 1.02801E-18
4.00316E-01 1.01302E-18
4.04596E-01 9.99772E-19
4.08882E-01 9.88298E-19
4.13176E-01 9.78664E-19
4.17476E-01 9.70860E-19
4.21783E-01 9.64852E-19
4.26095E-01 9.60682E-19
4.30413E-01 9.58377E-19
4.34737E-01 9.57887E-19
4.39065E-01 9.59206E-19
4.43398E-01 9.62364E-19
4.47736E-01 9.67318E-19
4.52077E-01 9.74016E-19
4.56422E-01 9.82460E-19
4.60770E-01 9.92614E-19
4.65122E-01 1.00440E-18
4.69476E-01 1.01780E-18
4.73832E-01 1.03278E-18
4.78190E-01 1.04926E-18
4.82550E-01 1.06719E-18
4.86912E-01 1.08653E-18
4.91274E-01 1.10718E-18
4.95637E-01 1.12909E-18
5.00000E-01 1.15217E-18
5.04363E-01 1.17633E-18
5.08726E-01 1.20147E-18
5.13088E-01 1.22752E-18
5.17450E-01 1.25437E-18
5.21810E-01 1.28192E-18
5.26168E-01 1.31008E-18
5.30524E-01 1.33876E-18
5.34878E-01 1.36783E-18
5.39230E-01 1.39720E-18
5.43578E-01 1.42676E-18
5.47923E-01 1.45637E-18
5.52264E-01 1.48594E-18
5.56602E-01 1.51533E-18
5.60935E-01 1.54442E-18
5.65263E-01 1.57311E-18
5.69587E-01 1.60127E-18
5.73905E-01 1.62876E-18
5.78217E-01 1.65552E-18
5.82524E-01 1.68138E-18
5.86824E-01 1.70626E-18
5.91118E-01 1.73005E-18
5.95404E-01 1.75260E-18
5.99684E-01 1.77386E-18
6.03956E-01 1.79366E-18
6.08220E-01 1.81193E-18
6.12476E-01 1.82857E-18
6.16723E-01 1.84344E-18
6.20961E-01 1.85653E-18
6.25190E-01 1.86766E-18
6.29410E-01 1.87683E-18
6.33619E-01 1.88391E-18
6.37819E-01 1.88884E-18
6.42008E-01 1.89159E-18
6.46186E-01 1.89204E-18
6.50353E-01 1.89021E-18
6.54508E-01 1.88598E-18
6.58652E-01 1.87938E-18
6.62784E-01 1.87032E-18
6.66903E-01 1.85883E-18
6.71010E-01 1.84486E-18
6.75104E-01 1.82842E-18
6.79184E-01 1.80952E-18
6.83251E-01 1.78813E-18
6.87303E-01 1.76433E-18
6.91342E-01 1.73809E-18
6.95366E-01 1.70950E-18
6.99375E-01 1.67854E-18
7.03368E-01 1.64535E-18
7.07347E-01 1.60990E-18
7.11309E-01 1.57234E-18
7.15256E-01 1.53269E-18
7.19186E-01 1.49110E-18
7.23099E-01 1.44762E-18
7.26995E-01 1.40241E-18
7.30874E-01 1.35554E-18
7.34736E-01 1.30719E-18
7.38579E-01 1.25744E-18
7.42405E-01 1.20649E-18
7.46212E-01 1.15444E-18
7.50000E-01 1.10151E-18
7.53769E-01 1.04781E-18
7.57519E-01 9.93547E-19
7.61249E-01 9.38898E-19
7.64960E-01 8.84045E-19
7.68650E-01 8.29204E-19
7.72320E-01 7.74544E-19
7.75968E-01 7.20319E-19
7.79596E-01 6.66694E-19
7.83203E-01 6.13938E-19
7.86788E-01 5.62232E-19
7.90351E-01 5.11837E-19
7.93893E-01 4.62969E-19
7.97411E-01 4.15859E-19
8.00908E-01 3.70763E-19
8.04381E-01 3.27891E-19
8.07831E-01 2.87514E-19
8.11257E-01 2.49847E-19
8.14660E-01 2.15145E-19
8.18039E-01 1.83648E-19
8.21394E-01 1.55588E-19
8.24724E-01 1.31219E-19
8.28030E-01 1.10765E-19
8.31310E-01 9.44682E-20
8.34565E-01 8.25610E-20
8.37795E-01 7.52683E-20
8.40999E-01 7.28174E-20
8.44177E-01 7.54255E-20
8.47329E-01 8.33075E-20
8.50455E-01 9.66657E-20
8.53553E-01 1.15707E-19
8.56625E-01 1.40619E-19
8.59670E-01 1.71584E-19
8.62687E-01 2.08789E-19
8.65677E-01 2.52391E-19
8.68639E-01 3.02548E-19
8.71572E-01 3.59424E-19
8.74478E-01 4.23140E-19
8.77355E-01 4.93825E-19
8.80203E-01 5.71614E-19
8.83022E-01 6.56590E-19
8.85812E-01 7.48843E-19
8.88573E-01 8.48478E-19
8.91304E-01 9.55537E-19
8.94005E-01 1.07006E-18
8.96677E-01 1.19212E-18
8.99318E-01 1.32173E-18
9.01928E-01 1.45887E-18
9.04508E-01 1.60356E-18
9.07058E-01 1.75580E-18
9.09576E-01 1.91551E-18
9.12063E-01 2.08266E-18
9.14519E-01 2.25722E-18
9.16943E-01 2.43908E-18
9.19335E-01 2.62813E-18
9.21696E-01 2.82429E-18
9.24024E-01 3.02745E-18
9.26320E-01 3.23744E-18
9.28584E-01 3.45409E-18
9.30815E-01 3.67726E-18
9.33013E-01 3.90679E-18
9.35178E-01 4.14242E-18
