 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Re,  Z =  75,  atomic weight = 1.86207E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.11011E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 75
 #
 # Electron density: Read from file Data/z_075.d
 #                   Number of data points =  785
 #                   Volume integral = 7.50000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 9.70000E-24 cm**3
 #                            Bpol = 1.10397E+01
 #
 # Total elastic cross section = 1.97560E-16 cm**2 = 7.05500E+00 a0**2
 # 1st transport cross section = 2.91830E-17 cm**2 = 1.04215E+00 a0**2
 # 2nd transport cross section = 2.71033E-17 cm**2 = 9.67878E-01 a0**2
 #
 #    Absorption cross section = 7.55047E-17 cm**2 = 2.69632E+00 a0**2
 #   Grand total cross section = 2.73076E-16 cm**2 = 9.75173E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.39027E-14
7.61557E-13 1.39027E-14
1.18994E-12 1.39027E-14
1.71346E-12 1.39027E-14
2.33225E-12 1.39027E-14
3.04617E-12 1.39027E-14
3.85530E-12 1.39027E-14
4.75964E-12 1.39027E-14
5.75917E-12 1.39027E-14
6.85391E-12 1.39027E-14
8.04379E-12 1.39027E-14
9.32893E-12 1.39027E-14
1.07092E-11 1.39027E-14
1.21847E-11 1.39027E-14
1.37554E-11 1.39027E-14
1.54213E-11 1.39027E-14
1.71823E-11 1.39027E-14
1.90386E-11 1.39027E-14
2.09900E-11 1.39027E-14
2.30367E-11 1.39027E-14
2.51785E-11 1.39027E-14
2.74156E-11 1.39027E-14
2.97478E-11 1.39027E-14
3.21752E-11 1.39027E-14
3.46979E-11 1.39027E-14
3.73157E-11 1.39027E-14
4.00286E-11 1.39027E-14
4.28368E-11 1.39027E-14
4.57402E-11 1.39027E-14
4.87388E-11 1.39027E-14
5.18325E-11 1.39027E-14
5.50215E-11 1.39027E-14
5.83057E-11 1.39027E-14
6.16850E-11 1.39027E-14
6.51595E-11 1.39027E-14
6.87293E-11 1.39027E-14
7.23943E-11 1.39027E-14
7.61544E-11 1.39027E-14
1.18991E-10 1.39027E-14
1.71347E-10 1.39027E-14
2.33223E-10 1.39026E-14
3.04617E-10 1.39026E-14
3.85531E-10 1.39026E-14
4.75965E-10 1.39026E-14
5.75917E-10 1.39025E-14
6.85389E-10 1.39025E-14
8.04380E-10 1.39024E-14
9.32891E-10 1.39024E-14
1.07092E-09 1.39023E-14
1.21847E-09 1.39023E-14
1.37554E-09 1.39022E-14
1.54213E-09 1.39022E-14
1.71823E-09 1.39021E-14
1.90386E-09 1.39020E-14
2.09900E-09 1.39020E-14
2.30367E-09 1.39019E-14
2.51785E-09 1.39018E-14
2.74156E-09 1.39017E-14
2.97478E-09 1.39017E-14
3.21752E-09 1.39016E-14
3.46978E-09 1.39015E-14
3.73156E-09 1.39014E-14
4.00286E-09 1.39013E-14
4.28368E-09 1.39012E-14
4.57402E-09 1.39011E-14
4.87388E-09 1.39010E-14
5.18326E-09 1.39009E-14
5.50215E-09 1.39008E-14
5.83057E-09 1.39006E-14
6.16850E-09 1.39005E-14
6.51596E-09 1.39004E-14
6.87293E-09 1.39003E-14
7.23942E-09 1.39001E-14
7.61544E-09 1.39000E-14
1.18991E-08 1.38985E-14
1.71347E-08 1.38966E-14
2.33223E-08 1.38944E-14
3.04617E-08 1.38919E-14
3.85531E-08 1.38890E-14
4.75965E-08 1.38858E-14
5.75917E-08 1.38822E-14
6.85389E-08 1.38783E-14
8.04380E-08 1.38741E-14
9.32891E-08 1.38695E-14
1.07092E-07 1.38646E-14
1.21847E-07 1.38594E-14
1.37554E-07 1.38539E-14
1.54213E-07 1.38480E-14
1.71823E-07 1.38418E-14
1.90386E-07 1.38353E-14
2.09900E-07 1.38285E-14
2.30367E-07 1.38213E-14
2.51785E-07 1.38138E-14
2.74156E-07 1.38060E-14
2.97478E-07 1.37979E-14
3.21752E-07 1.37895E-14
3.46978E-07 1.37808E-14
3.73156E-07 1.37717E-14
4.00286E-07 1.37624E-14
4.28368E-07 1.37527E-14
4.57402E-07 1.37428E-14
4.87388E-07 1.37326E-14
5.18325E-07 1.37220E-14
5.50215E-07 1.37112E-14
5.83057E-07 1.37001E-14
6.16850E-07 1.36887E-14
6.51596E-07 1.36770E-14
6.87293E-07 1.36650E-14
7.23942E-07 1.36528E-14
7.61543E-07 1.36403E-14
1.18991E-06 1.35008E-14
1.71347E-06 1.33379E-14
2.33223E-06 1.31553E-14
3.04617E-06 1.29572E-14
3.85531E-06 1.27476E-14
4.75964E-06 1.25306E-14
5.75916E-06 1.23099E-14
6.85388E-06 1.20887E-14
8.04378E-06 1.18699E-14
9.32888E-06 1.16558E-14
1.07092E-05 1.14482E-14
1.21846E-05 1.12482E-14
1.37553E-05 1.10566E-14
1.54212E-05 1.08737E-14
1.71822E-05 1.06994E-14
1.90385E-05 1.05332E-14
2.09899E-05 1.03746E-14
2.30365E-05 1.02227E-14
2.51783E-05 1.00768E-14
2.74153E-05 9.93596E-15
2.97475E-05 9.79944E-15
3.21749E-05 9.66653E-15
3.46974E-05 9.53666E-15
3.73152E-05 9.40942E-15
4.00281E-05 9.28450E-15
4.28362E-05 9.16176E-15
4.57395E-05 9.04115E-15
4.87380E-05 8.92272E-15
5.18317E-05 8.80658E-15
5.50205E-05 8.69288E-15
5.83045E-05 8.58176E-15
6.16838E-05 8.47336E-15
6.51582E-05 8.36777E-15
6.87277E-05 8.26502E-15
7.23925E-05 8.16511E-15
7.61524E-05 8.06797E-15
9.21439E-05 7.70393E-15
1.09658E-04 7.36952E-15
1.28695E-04 7.05491E-15
1.49255E-04 6.75814E-15
1.71338E-04 6.48110E-15
1.94942E-04 6.22300E-15
2.20070E-04 5.97935E-15
2.46720E-04 5.74606E-15
2.74892E-04 5.52236E-15
3.04586E-04 5.30939E-15
3.35803E-04 5.10703E-15
3.68542E-04 4.91332E-15
4.02802E-04 4.72633E-15
4.38585E-04 4.54583E-15
4.75889E-04 4.37257E-15
5.14715E-04 4.20664E-15
5.55063E-04 4.04701E-15
5.96931E-04 3.89263E-15
6.40321E-04 3.74346E-15
6.85233E-04 3.59998E-15
7.31665E-04 3.46226E-15
7.79618E-04 3.32968E-15
8.29092E-04 3.20161E-15
8.80086E-04 3.07799E-15
9.32601E-04 2.95913E-15
9.86636E-04 2.84507E-15
1.04219E-03 2.73535E-15
1.09927E-03 2.62954E-15
1.15786E-03 2.52757E-15
1.21797E-03 2.42962E-15
1.27961E-03 2.33565E-15
1.34276E-03 2.24535E-15
1.40743E-03 2.15839E-15
1.47362E-03 2.07470E-15
1.54133E-03 1.99437E-15
1.61056E-03 1.91736E-15
1.68131E-03 1.84341E-15
1.75357E-03 1.77228E-15
1.82735E-03 1.70390E-15
1.90265E-03 1.63832E-15
1.97947E-03 1.57547E-15
2.05780E-03 1.51516E-15
2.13765E-03 1.45721E-15
2.21902E-03 1.40156E-15
2.30190E-03 1.34822E-15
2.38630E-03 1.29713E-15
2.47222E-03 1.24814E-15
2.55965E-03 1.20112E-15
2.64859E-03 1.15599E-15
2.73905E-03 1.11277E-15
2.83103E-03 1.07138E-15
2.92452E-03 1.03173E-15
3.01952E-03 9.93679E-16
3.11604E-03 9.57191E-16
3.21407E-03 9.22246E-16
3.31362E-03 8.88795E-16
3.41468E-03 8.56740E-16
3.51725E-03 8.25993E-16
3.62133E-03 7.96507E-16
3.72692E-03 7.68259E-16
3.83403E-03 7.41205E-16
3.94265E-03 7.15268E-16
4.05278E-03 6.90376E-16
4.16442E-03 6.66492E-16
4.27757E-03 6.43590E-16
4.39223E-03 6.21632E-16
4.50840E-03 6.00558E-16
4.62608E-03 5.80316E-16
4.74527E-03 5.60871E-16
4.86597E-03 5.42203E-16
4.98817E-03 5.24279E-16
5.11188E-03 5.07055E-16
5.23711E-03 4.90491E-16
5.36383E-03 4.74562E-16
5.49207E-03 4.59249E-16
5.62181E-03 4.44526E-16
5.75306E-03 4.30361E-16
5.88581E-03 4.16726E-16
6.02007E-03 4.03601E-16
6.15583E-03 3.90970E-16
6.29310E-03 3.78811E-16
6.43187E-03 3.67104E-16
