 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 3.00000E+03 eV = 1.10248E+02 a.u.
 #
 # Element: Os,  Z =  76,  atomic weight = 1.90230E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.15380E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 76
 #
 # Electron density: Read from file Data/z_076.d
 #                   Number of data points =  779
 #                   Volume integral = 7.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.63820E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.50000E-24 cm**3
 #                            Bpol = 1.35785E+01
 #
 # Total elastic cross section = 1.39878E-16 cm**2 = 4.99514E+00 a0**2
 # 1st transport cross section = 7.12544E-18 cm**2 = 2.54454E-01 a0**2
 # 2nd transport cross section = 1.39812E-17 cm**2 = 4.99277E-01 a0**2
 #
 #    Absorption cross section = 4.70079E-17 cm**2 = 1.67868E+00 a0**2
 #   Grand total cross section = 1.86899E-16 cm**2 = 6.67427E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.86936E-15
7.61557E-13 2.86936E-15
1.18994E-12 2.86936E-15
1.71346E-12 2.86936E-15
2.33225E-12 2.86936E-15
3.04617E-12 2.86936E-15
3.85530E-12 2.86937E-15
4.75964E-12 2.86937E-15
5.75917E-12 2.86937E-15
6.85391E-12 2.86937E-15
8.04379E-12 2.86937E-15
9.32893E-12 2.86937E-15
1.07092E-11 2.86937E-15
1.21847E-11 2.86937E-15
1.37554E-11 2.86937E-15
1.54213E-11 2.86937E-15
1.71823E-11 2.86937E-15
1.90386E-11 2.86937E-15
2.09900E-11 2.86937E-15
2.30367E-11 2.86937E-15
2.51785E-11 2.86937E-15
2.74156E-11 2.86937E-15
2.97478E-11 2.86937E-15
3.21752E-11 2.86937E-15
3.46979E-11 2.86937E-15
3.73157E-11 2.86937E-15
4.00286E-11 2.86937E-15
4.28368E-11 2.86937E-15
4.57402E-11 2.86937E-15
4.87388E-11 2.86937E-15
5.18325E-11 2.86937E-15
5.50215E-11 2.86937E-15
5.83057E-11 2.86937E-15
6.16850E-11 2.86937E-15
6.51595E-11 2.86937E-15
6.87293E-11 2.86937E-15
7.23943E-11 2.86937E-15
7.61544E-11 2.86937E-15
1.18991E-10 2.86938E-15
1.71347E-10 2.86939E-15
2.33223E-10 2.86940E-15
3.04617E-10 2.86940E-15
3.85531E-10 2.86942E-15
4.75965E-10 2.86943E-15
5.75917E-10 2.86944E-15
6.85389E-10 2.86945E-15
8.04380E-10 2.86947E-15
9.32891E-10 2.86949E-15
1.07092E-09 2.86951E-15
1.21847E-09 2.86952E-15
1.37554E-09 2.86955E-15
1.54213E-09 2.86957E-15
1.71823E-09 2.86959E-15
1.90386E-09 2.86961E-15
2.09900E-09 2.86964E-15
2.30367E-09 2.86967E-15
2.51785E-09 2.86970E-15
2.74156E-09 2.86972E-15
2.97478E-09 2.86976E-15
3.21752E-09 2.86979E-15
3.46978E-09 2.86982E-15
3.73156E-09 2.86986E-15
4.00286E-09 2.86989E-15
4.28368E-09 2.86993E-15
4.57402E-09 2.86997E-15
4.87388E-09 2.87001E-15
5.18326E-09 2.87005E-15
5.50215E-09 2.87009E-15
5.83057E-09 2.87013E-15
6.16850E-09 2.87018E-15
6.51596E-09 2.87022E-15
6.87293E-09 2.87027E-15
7.23942E-09 2.87032E-15
7.61544E-09 2.87037E-15
1.18991E-08 2.87093E-15
1.71347E-08 2.87162E-15
2.33223E-08 2.87243E-15
3.04617E-08 2.87337E-15
3.85531E-08 2.87443E-15
4.75965E-08 2.87561E-15
5.75917E-08 2.87692E-15
6.85389E-08 2.87835E-15
8.04380E-08 2.87991E-15
9.32891E-08 2.88159E-15
1.07092E-07 2.88339E-15
1.21847E-07 2.88532E-15
1.37554E-07 2.88737E-15
1.54213E-07 2.88954E-15
1.71823E-07 2.89183E-15
1.90386E-07 2.89424E-15
2.09900E-07 2.89677E-15
2.30367E-07 2.89942E-15
2.51785E-07 2.90219E-15
2.74156E-07 2.90508E-15
2.97478E-07 2.90809E-15
3.21752E-07 2.91122E-15
3.46978E-07 2.91446E-15
3.73156E-07 2.91782E-15
4.00286E-07 2.92129E-15
4.28368E-07 2.92488E-15
4.57402E-07 2.92859E-15
4.87388E-07 2.93241E-15
5.18325E-07 2.93634E-15
5.50215E-07 2.94038E-15
5.83057E-07 2.94454E-15
6.16850E-07 2.94880E-15
6.51596E-07 2.95317E-15
6.87293E-07 2.95766E-15
7.23942E-07 2.96225E-15
7.61543E-07 2.96694E-15
1.18991E-06 3.01955E-15
1.71347E-06 3.08156E-15
2.33223E-06 3.15161E-15
3.04617E-06 3.22810E-15
3.85531E-06 3.30930E-15
4.75964E-06 3.39341E-15
5.75916E-06 3.47870E-15
6.85388E-06 3.56354E-15
8.04378E-06 3.64656E-15
9.32888E-06 3.72666E-15
1.07092E-05 3.80309E-15
1.21846E-05 3.87544E-15
1.37553E-05 3.94357E-15
1.54212E-05 4.00765E-15
1.71822E-05 4.06799E-15
1.90385E-05 4.12505E-15
2.09899E-05 4.17929E-15
2.30365E-05 4.23117E-15
2.51783E-05 4.28106E-15
2.74153E-05 4.32919E-15
2.97475E-05 4.37571E-15
3.21749E-05 4.42061E-15
3.46974E-05 4.46378E-15
3.73152E-05 4.50504E-15
4.00281E-05 4.54418E-15
4.28362E-05 4.58095E-15
4.57395E-05 4.61518E-15
4.87380E-05 4.64672E-15
5.18317E-05 4.67551E-15
5.50205E-05 4.70156E-15
5.83045E-05 4.72496E-15
6.16838E-05 4.74586E-15
6.51582E-05 4.76445E-15
6.87277E-05 4.78094E-15
7.23925E-05 4.79554E-15
7.61524E-05 4.80841E-15
9.21439E-05 4.84466E-15
1.09658E-04 4.85644E-15
1.28695E-04 4.84157E-15
1.49255E-04 4.80326E-15
1.71338E-04 4.74813E-15
