 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+02 eV = 3.30744E+01 a.u.
 #
 # Element: Os,  Z =  76,  atomic weight = 1.90230E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.15380E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 76
 #
 # Electron density: Read from file Data/z_076.d
 #                   Number of data points =  779
 #                   Volume integral = 7.60000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.63820E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.50000E-24 cm**3
 #                            Bpol = 7.28869E+00
 #
 # Total elastic cross section = 2.16689E-16 cm**2 = 7.73810E+00 a0**2
 # 1st transport cross section = 1.84662E-17 cm**2 = 6.59439E-01 a0**2
 # 2nd transport cross section = 3.43638E-17 cm**2 = 1.22715E+00 a0**2
 #
 #    Absorption cross section = 1.38185E-16 cm**2 = 4.93467E+00 a0**2
 #   Grand total cross section = 3.54883E-16 cm**2 = 1.26731E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.89740E-15
7.61557E-13 1.89740E-15
1.18994E-12 1.89740E-15
1.71346E-12 1.89740E-15
2.33225E-12 1.89740E-15
3.04617E-12 1.89740E-15
3.85530E-12 1.89740E-15
4.75964E-12 1.89740E-15
5.75917E-12 1.89740E-15
6.85391E-12 1.89740E-15
8.04379E-12 1.89740E-15
9.32893E-12 1.89740E-15
1.07092E-11 1.89740E-15
1.21847E-11 1.89740E-15
1.37554E-11 1.89740E-15
1.54213E-11 1.89740E-15
1.71823E-11 1.89740E-15
1.90386E-11 1.89740E-15
2.09900E-11 1.89740E-15
2.30367E-11 1.89740E-15
2.51785E-11 1.89740E-15
2.74156E-11 1.89740E-15
2.97478E-11 1.89740E-15
3.21752E-11 1.89740E-15
3.46979E-11 1.89740E-15
3.73157E-11 1.89740E-15
4.00286E-11 1.89740E-15
4.28368E-11 1.89740E-15
4.57402E-11 1.89740E-15
4.87388E-11 1.89740E-15
5.18325E-11 1.89740E-15
5.50215E-11 1.89740E-15
5.83057E-11 1.89740E-15
6.16850E-11 1.89740E-15
6.51595E-11 1.89740E-15
6.87293E-11 1.89740E-15
7.23943E-11 1.89740E-15
7.61544E-11 1.89740E-15
1.18991E-10 1.89740E-15
1.71347E-10 1.89740E-15
2.33223E-10 1.89740E-15
3.04617E-10 1.89740E-15
3.85531E-10 1.89740E-15
4.75965E-10 1.89740E-15
5.75917E-10 1.89740E-15
6.85389E-10 1.89740E-15
8.04380E-10 1.89740E-15
9.32891E-10 1.89740E-15
1.07092E-09 1.89740E-15
1.21847E-09 1.89740E-15
1.37554E-09 1.89740E-15
1.54213E-09 1.89740E-15
1.71823E-09 1.89741E-15
1.90386E-09 1.89741E-15
2.09900E-09 1.89741E-15
2.30367E-09 1.89741E-15
2.51785E-09 1.89741E-15
2.74156E-09 1.89741E-15
2.97478E-09 1.89741E-15
3.21752E-09 1.89741E-15
3.46978E-09 1.89741E-15
3.73156E-09 1.89741E-15
4.00286E-09 1.89741E-15
4.28368E-09 1.89741E-15
4.57402E-09 1.89742E-15
4.87388E-09 1.89742E-15
5.18326E-09 1.89742E-15
5.50215E-09 1.89742E-15
5.83057E-09 1.89742E-15
6.16850E-09 1.89742E-15
6.51596E-09 1.89742E-15
6.87293E-09 1.89742E-15
7.23942E-09 1.89742E-15
7.61544E-09 1.89743E-15
1.18991E-08 1.89744E-15
1.71347E-08 1.89746E-15
2.33223E-08 1.89748E-15
3.04617E-08 1.89750E-15
3.85531E-08 1.89753E-15
4.75965E-08 1.89756E-15
5.75917E-08 1.89760E-15
6.85389E-08 1.89764E-15
8.04380E-08 1.89768E-15
9.32891E-08 1.89772E-15
1.07092E-07 1.89777E-15
1.21847E-07 1.89782E-15
1.37554E-07 1.89788E-15
1.54213E-07 1.89794E-15
1.71823E-07 1.89800E-15
1.90386E-07 1.89807E-15
2.09900E-07 1.89813E-15
2.30367E-07 1.89821E-15
2.51785E-07 1.89828E-15
2.74156E-07 1.89837E-15
2.97478E-07 1.89845E-15
3.21752E-07 1.89854E-15
3.46978E-07 1.89863E-15
3.73156E-07 1.89873E-15
4.00286E-07 1.89883E-15
4.28368E-07 1.89893E-15
4.57402E-07 1.89904E-15
4.87388E-07 1.89915E-15
5.18325E-07 1.89927E-15
5.50215E-07 1.89939E-15
5.83057E-07 1.89951E-15
6.16850E-07 1.89964E-15
6.51596E-07 1.89977E-15
6.87293E-07 1.89991E-15
7.23942E-07 1.90005E-15
7.61543E-07 1.90020E-15
1.18991E-06 1.90193E-15
1.71347E-06 1.90418E-15
2.33223E-06 1.90703E-15
3.04617E-06 1.91056E-15
3.85531E-06 1.91482E-15
4.75964E-06 1.91989E-15
5.75916E-06 1.92582E-15
6.85388E-06 1.93267E-15
8.04378E-06 1.94044E-15
9.32888E-06 1.94917E-15
1.07092E-05 1.95883E-15
1.21846E-05 1.96941E-15
1.37553E-05 1.98085E-15
1.54212E-05 1.99311E-15
1.71822E-05 2.00612E-15
1.90385E-05 2.01978E-15
2.09899E-05 2.03402E-15
2.30365E-05 2.04873E-15
2.51783E-05 2.06383E-15
2.74153E-05 2.07922E-15
2.97475E-05 2.09481E-15
3.21749E-05 2.11053E-15
3.46974E-05 2.12629E-15
3.73152E-05 2.14205E-15
4.00281E-05 2.15774E-15
4.28362E-05 2.17333E-15
4.57395E-05 2.18879E-15
4.87380E-05 2.20410E-15
5.18317E-05 2.21925E-15
5.50205E-05 2.23423E-15
5.83045E-05 2.24907E-15
6.16838E-05 2.26376E-15
6.51582E-05 2.27832E-15
6.87277E-05 2.29277E-15
7.23925E-05 2.30712E-15
7.61524E-05 2.32139E-15
9.21439E-05 2.37793E-15
1.09658E-04 2.43361E-15
1.28695E-04 2.48757E-15
1.49255E-04 2.53817E-15
1.71338E-04 2.58382E-15
1.94942E-04 2.62369E-15
2.20070E-04 2.65787E-15
2.46720E-04 2.68704E-15
2.74892E-04 2.71194E-15
3.04586E-04 2.73281E-15
3.35803E-04 2.74941E-15
3.68542E-04 2.76121E-15
4.02802E-04 2.76781E-15
4.38585E-04 2.76925E-15
4.75889E-04 2.76598E-15
5.14715E-04 2.75868E-15
5.55063E-04 2.74790E-15
5.96931E-04 2.73387E-15
6.40321E-04 2.71657E-15
6.85233E-04 2.69585E-15
7.31665E-04 2.67173E-15
7.79618E-04 2.64444E-15
8.29092E-04 2.61445E-15
8.80086E-04 2.58224E-15
9.32601E-04 2.54817E-15
9.86636E-04 2.51241E-15
1.04219E-03 2.47495E-15
1.09927E-03 2.43581E-15
1.15786E-03 2.39507E-15
1.21797E-03 2.35300E-15
1.27961E-03 2.30993E-15
1.34276E-03 2.26618E-15
1.40743E-03 2.22195E-15
1.47362E-03 2.17730E-15
1.54133E-03 2.13224E-15
1.61056E-03 2.08679E-15
1.68131E-03 2.04104E-15
1.75357E-03 1.99520E-15
1.82735E-03 1.94947E-15
1.90265E-03 1.90402E-15
1.97947E-03 1.85894E-15
2.05780E-03 1.81424E-15
2.13765E-03 1.76989E-15
2.21902E-03 1.72592E-15
2.30190E-03 1.68238E-15
2.38630E-03 1.63941E-15
2.47222E-03 1.59711E-15
2.55965E-03 1.55557E-15
2.64859E-03 1.51479E-15
2.73905E-03 1.47475E-15
2.83103E-03 1.43543E-15
2.92452E-03 1.39682E-15
3.01952E-03 1.35897E-15
3.11604E-03 1.32193E-15
3.21407E-03 1.28577E-15
3.31362E-03 1.25049E-15
3.41468E-03 1.21608E-15
3.51725E-03 1.18249E-15
3.62133E-03 1.14969E-15
3.72692E-03 1.11768E-15
3.83403E-03 1.08648E-15
3.94265E-03 1.05611E-15
4.05278E-03 1.02659E-15
4.16442E-03 9.97902E-16
4.27757E-03 9.70016E-16
4.39223E-03 9.42890E-16
4.50840E-03 9.16497E-16
4.62608E-03 8.90828E-16
4.74527E-03 8.65889E-16
4.86597E-03 8.41686E-16
4.98817E-03 8.18212E-16
5.11188E-03 7.95444E-16
5.23711E-03 7.73345E-16
5.36383E-03 7.51884E-16
5.49207E-03 7.31039E-16
5.62181E-03 7.10800E-16
5.75306E-03 6.91168E-16
5.88581E-03 6.72136E-16
6.02007E-03 6.53692E-16
6.15583E-03 6.35810E-16
6.29310E-03 6.18462E-16
6.43187E-03 6.01622E-16
6.57214E-03 5.85275E-16
6.71392E-03 5.69414E-16
6.85720E-03 5.54034E-16
7.00198E-03 5.39127E-16
7.14827E-03 5.24678E-16
7.29605E-03 5.10665E-16
7.44534E-03 4.97066E-16
7.59612E-03 4.83865E-16
7.97965E-03 4.52542E-16
8.37255E-03 4.23528E-16
8.77480E-03 3.96619E-16
9.18641E-03 3.71631E-16
9.60736E-03 3.48461E-16
1.00376E-02 3.26958E-16
1.04773E-02 3.06979E-16
1.09262E-02 2.88439E-16
1.13844E-02 2.71225E-16
1.18520E-02 2.55228E-16
1.23288E-02 2.40372E-16
1.28150E-02 2.26572E-16
1.33104E-02 2.13743E-16
1.38150E-02 2.01820E-16
1.43290E-02 1.90734E-16
1.48521E-02 1.80420E-16
1.53845E-02 1.70821E-16
1.59262E-02 1.61881E-16
1.64770E-02 1.53551E-16
1.70371E-02 1.45782E-16
1.76063E-02 1.38527E-16
1.81848E-02 1.31753E-16
1.87724E-02 1.25418E-16
1.93692E-02 1.19483E-16
1.99751E-02 1.13926E-16
2.05901E-02 1.08713E-16
2.12143E-02 1.03814E-16
2.18476E-02 9.92128E-17
2.24900E-02 9.48857E-17
2.31415E-02 9.08057E-17
2.38021E-02 8.69636E-17
2.44717E-02 8.33429E-17
2.51504E-02 7.99201E-17
2.58382E-02 7.66899E-17
2.65349E-02 7.36412E-17
2.72407E-02 7.07534E-17
2.79555E-02 6.80230E-17
2.86793E-02 6.54434E-17
2.94120E-02 6.29960E-17
3.01537E-02 6.06778E-17
3.09043E-02 5.84857E-17
3.16639E-02 5.64028E-17
3.24324E-02 5.44258E-17
3.32098E-02 5.25543E-17
3.39961E-02 5.07733E-17
3.47912E-02 4.90787E-17
3.55952E-02 4.74720E-17
3.64081E-02 4.59405E-17
3.72297E-02 4.44789E-17
3.80602E-02 4.30906E-17
3.88995E-02 4.17649E-17
3.97476E-02 4.04959E-17
4.06044E-02 3.92876E-17
4.14700E-02 3.81320E-17
4.23443E-02 3.70225E-17
4.32273E-02 3.59635E-17
4.41190E-02 3.49494E-17
4.50194E-02 3.39730E-17
4.59284E-02 3.30387E-17
4.68461E-02 3.21432E-17
4.87074E-02 3.04501E-17
5.06030E-02 2.88866E-17
5.25328E-02 2.74380E-17
5.44967E-02 2.60895E-17
5.64946E-02 2.48380E-17
5.85262E-02 2.36699E-17
6.05914E-02 2.25772E-17
6.26901E-02 2.15574E-17
6.48222E-02 2.05987E-17
6.69873E-02 1.96985E-17
6.91854E-02 1.88530E-17
7.14163E-02 1.80539E-17
7.36799E-02 1.73015E-17
7.59760E-02 1.65911E-17
7.83043E-02 1.59180E-17
8.06647E-02 1.52831E-17
8.30571E-02 1.46811E-17
8.54812E-02 1.41105E-17
8.79369E-02 1.35708E-17
9.04240E-02 1.30574E-17
9.29422E-02 1.25706E-17
9.54915E-02 1.21080E-17
9.80716E-02 1.16671E-17
1.00682E-01 1.12482E-17
1.03323E-01 1.08485E-17
1.05995E-01 1.04671E-17
