 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element: Ir,  Z =  77,  atomic weight = 1.92217E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.17515E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 77
 #
 # Electron density: Read from file Data/z_077.d
 #                   Number of data points =  775
 #                   Volume integral = 7.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.16700E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.60000E-24 cm**3
 #                            Bpol = 4.67707E+00
 #
 # Total elastic cross section = 2.55082E-16 cm**2 = 9.10915E+00 a0**2
 # 1st transport cross section = 3.12527E-17 cm**2 = 1.11605E+00 a0**2
 # 2nd transport cross section = 5.52681E-17 cm**2 = 1.97366E+00 a0**2
 #
 #    Absorption cross section = 2.53506E-16 cm**2 = 9.05286E+00 a0**2
 #   Grand total cross section = 5.08596E-16 cm**2 = 1.81623E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.94308E-15
7.61557E-13 1.94308E-15
1.18994E-12 1.94308E-15
1.71346E-12 1.94308E-15
2.33225E-12 1.94308E-15
3.04617E-12 1.94308E-15
3.85530E-12 1.94308E-15
4.75964E-12 1.94308E-15
5.75917E-12 1.94308E-15
6.85391E-12 1.94308E-15
8.04379E-12 1.94308E-15
9.32893E-12 1.94308E-15
1.07092E-11 1.94308E-15
1.21847E-11 1.94308E-15
1.37554E-11 1.94308E-15
1.54213E-11 1.94308E-15
1.71823E-11 1.94308E-15
1.90386E-11 1.94308E-15
2.09900E-11 1.94308E-15
2.30367E-11 1.94308E-15
2.51785E-11 1.94308E-15
2.74156E-11 1.94308E-15
2.97478E-11 1.94308E-15
3.21752E-11 1.94308E-15
3.46979E-11 1.94308E-15
3.73157E-11 1.94308E-15
4.00286E-11 1.94308E-15
4.28368E-11 1.94308E-15
4.57402E-11 1.94308E-15
4.87388E-11 1.94308E-15
5.18325E-11 1.94308E-15
5.50215E-11 1.94308E-15
5.83057E-11 1.94308E-15
6.16850E-11 1.94308E-15
6.51595E-11 1.94308E-15
6.87293E-11 1.94308E-15
7.23943E-11 1.94308E-15
7.61544E-11 1.94308E-15
1.18991E-10 1.94308E-15
1.71347E-10 1.94308E-15
2.33223E-10 1.94308E-15
3.04617E-10 1.94308E-15
3.85531E-10 1.94308E-15
4.75965E-10 1.94308E-15
5.75917E-10 1.94308E-15
6.85389E-10 1.94307E-15
8.04380E-10 1.94307E-15
9.32891E-10 1.94307E-15
1.07092E-09 1.94307E-15
1.21847E-09 1.94307E-15
1.37554E-09 1.94307E-15
1.54213E-09 1.94307E-15
1.71823E-09 1.94307E-15
1.90386E-09 1.94306E-15
2.09900E-09 1.94306E-15
2.30367E-09 1.94306E-15
2.51785E-09 1.94306E-15
2.74156E-09 1.94306E-15
2.97478E-09 1.94306E-15
3.21752E-09 1.94305E-15
3.46978E-09 1.94305E-15
3.73156E-09 1.94305E-15
4.00286E-09 1.94305E-15
4.28368E-09 1.94305E-15
4.57402E-09 1.94304E-15
4.87388E-09 1.94304E-15
5.18326E-09 1.94304E-15
5.50215E-09 1.94304E-15
5.83057E-09 1.94303E-15
6.16850E-09 1.94303E-15
6.51596E-09 1.94303E-15
6.87293E-09 1.94302E-15
7.23942E-09 1.94302E-15
7.61544E-09 1.94302E-15
1.18991E-08 1.94298E-15
1.71347E-08 1.94294E-15
2.33223E-08 1.94289E-15
3.04617E-08 1.94283E-15
3.85531E-08 1.94277E-15
4.75965E-08 1.94269E-15
5.75917E-08 1.94261E-15
6.85389E-08 1.94252E-15
8.04380E-08 1.94242E-15
9.32891E-08 1.94232E-15
1.07092E-07 1.94221E-15
1.21847E-07 1.94209E-15
1.37554E-07 1.94196E-15
1.54213E-07 1.94182E-15
1.71823E-07 1.94168E-15
1.90386E-07 1.94153E-15
2.09900E-07 1.94137E-15
2.30367E-07 1.94120E-15
2.51785E-07 1.94103E-15
2.74156E-07 1.94085E-15
2.97478E-07 1.94066E-15
3.21752E-07 1.94046E-15
3.46978E-07 1.94026E-15
3.73156E-07 1.94005E-15
4.00286E-07 1.93983E-15
4.28368E-07 1.93960E-15
4.57402E-07 1.93937E-15
4.87388E-07 1.93913E-15
5.18325E-07 1.93888E-15
5.50215E-07 1.93862E-15
5.83057E-07 1.93836E-15
6.16850E-07 1.93809E-15
6.51596E-07 1.93781E-15
6.87293E-07 1.93752E-15
7.23942E-07 1.93723E-15
7.61543E-07 1.93693E-15
1.18991E-06 1.93353E-15
1.71347E-06 1.92943E-15
2.33223E-06 1.92467E-15
3.04617E-06 1.91929E-15
3.85531E-06 1.91333E-15
4.75964E-06 1.90684E-15
5.75916E-06 1.89986E-15
6.85388E-06 1.89246E-15
8.04378E-06 1.88469E-15
9.32888E-06 1.87659E-15
1.07092E-05 1.86824E-15
1.21846E-05 1.85968E-15
1.37553E-05 1.85097E-15
1.54212E-05 1.84216E-15
1.71822E-05 1.83331E-15
1.90385E-05 1.82446E-15
2.09899E-05 1.81567E-15
2.30365E-05 1.80697E-15
2.51783E-05 1.79840E-15
2.74153E-05 1.79000E-15
2.97475E-05 1.78179E-15
3.21749E-05 1.77382E-15
3.46974E-05 1.76609E-15
3.73152E-05 1.75864E-15
4.00281E-05 1.75147E-15
4.28362E-05 1.74460E-15
4.57395E-05 1.73803E-15
4.87380E-05 1.73177E-15
5.18317E-05 1.72583E-15
5.50205E-05 1.72019E-15
5.83045E-05 1.71487E-15
6.16838E-05 1.70985E-15
6.51582E-05 1.70512E-15
6.87277E-05 1.70068E-15
7.23925E-05 1.69653E-15
7.61524E-05 1.69263E-15
9.21439E-05 1.67950E-15
1.09658E-04 1.66970E-15
1.28695E-04 1.66254E-15
1.49255E-04 1.65750E-15
1.71338E-04 1.65421E-15
1.94942E-04 1.65246E-15
2.20070E-04 1.65210E-15
