 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element: Ir,  Z =  77,  atomic weight = 1.92217E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.17515E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 77
 #
 # Electron density: Read from file Data/z_077.d
 #                   Number of data points =  775
 #                   Volume integral = 7.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.16700E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.60000E-24 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 9.33492E-17 cm**2 = 3.33356E+00 a0**2
 # 1st transport cross section = 3.10155E-18 cm**2 = 1.10758E-01 a0**2
 # 2nd transport cross section = 6.48753E-18 cm**2 = 2.31674E-01 a0**2
 #
 #    Absorption cross section = 2.03004E-17 cm**2 = 7.24942E-01 a0**2
 #   Grand total cross section = 1.13662E-16 cm**2 = 4.05894E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.21438E-15
7.61557E-13 4.21438E-15
1.18994E-12 4.21438E-15
1.71346E-12 4.21438E-15
2.33225E-12 4.21438E-15
3.04617E-12 4.21438E-15
3.85530E-12 4.21438E-15
4.75964E-12 4.21438E-15
5.75917E-12 4.21438E-15
6.85391E-12 4.21438E-15
8.04379E-12 4.21438E-15
9.32893E-12 4.21438E-15
1.07092E-11 4.21438E-15
1.21847E-11 4.21438E-15
1.37554E-11 4.21438E-15
1.54213E-11 4.21438E-15
1.71823E-11 4.21439E-15
1.90386E-11 4.21439E-15
2.09900E-11 4.21439E-15
2.30367E-11 4.21439E-15
2.51785E-11 4.21439E-15
2.74156E-11 4.21439E-15
2.97478E-11 4.21439E-15
3.21752E-11 4.21439E-15
3.46979E-11 4.21439E-15
3.73157E-11 4.21439E-15
4.00286E-11 4.21439E-15
4.28368E-11 4.21440E-15
4.57402E-11 4.21440E-15
4.87388E-11 4.21440E-15
5.18325E-11 4.21440E-15
5.50215E-11 4.21440E-15
5.83057E-11 4.21440E-15
6.16850E-11 4.21440E-15
6.51595E-11 4.21440E-15
6.87293E-11 4.21441E-15
7.23943E-11 4.21441E-15
7.61544E-11 4.21441E-15
1.18991E-10 4.21443E-15
1.71347E-10 4.21445E-15
2.33223E-10 4.21447E-15
3.04617E-10 4.21450E-15
3.85531E-10 4.21453E-15
4.75965E-10 4.21457E-15
5.75917E-10 4.21461E-15
6.85389E-10 4.21465E-15
8.04380E-10 4.21470E-15
9.32891E-10 4.21475E-15
1.07092E-09 4.21481E-15
1.21847E-09 4.21487E-15
1.37554E-09 4.21493E-15
1.54213E-09 4.21500E-15
1.71823E-09 4.21507E-15
1.90386E-09 4.21514E-15
2.09900E-09 4.21522E-15
2.30367E-09 4.21530E-15
2.51785E-09 4.21539E-15
2.74156E-09 4.21548E-15
2.97478E-09 4.21557E-15
3.21752E-09 4.21567E-15
3.46978E-09 4.21577E-15
3.73156E-09 4.21587E-15
4.00286E-09 4.21598E-15
4.28368E-09 4.21610E-15
4.57402E-09 4.21621E-15
4.87388E-09 4.21633E-15
5.18326E-09 4.21646E-15
5.50215E-09 4.21658E-15
5.83057E-09 4.21671E-15
6.16850E-09 4.21685E-15
6.51596E-09 4.21699E-15
6.87293E-09 4.21713E-15
7.23942E-09 4.21728E-15
7.61544E-09 4.21743E-15
1.18991E-08 4.21914E-15
1.71347E-08 4.22124E-15
2.33223E-08 4.22371E-15
3.04617E-08 4.22655E-15
3.85531E-08 4.22978E-15
4.75965E-08 4.23337E-15
5.75917E-08 4.23733E-15
6.85389E-08 4.24166E-15
8.04380E-08 4.24636E-15
9.32891E-08 4.25141E-15
1.07092E-07 4.25683E-15
1.21847E-07 4.26260E-15
1.37554E-07 4.26872E-15
1.54213E-07 4.27519E-15
1.71823E-07 4.28201E-15
1.90386E-07 4.28916E-15
2.09900E-07 4.29665E-15
2.30367E-07 4.30447E-15
2.51785E-07 4.31262E-15
2.74156E-07 4.32109E-15
2.97478E-07 4.32987E-15
3.21752E-07 4.33896E-15
3.46978E-07 4.34836E-15
3.73156E-07 4.35805E-15
4.00286E-07 4.36804E-15
4.28368E-07 4.37831E-15
4.57402E-07 4.38886E-15
4.87388E-07 4.39969E-15
5.18325E-07 4.41078E-15
5.50215E-07 4.42213E-15
5.83057E-07 4.43373E-15
6.16850E-07 4.44558E-15
6.51596E-07 4.45767E-15
6.87293E-07 4.46998E-15
7.23942E-07 4.48252E-15
