 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+02 eV = 3.30744E+01 a.u.
 #
 # Element: Ir,  Z =  77,  atomic weight = 1.92217E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.17515E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 77
 #
 # Electron density: Read from file Data/z_077.d
 #                   Number of data points =  775
 #                   Volume integral = 7.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.16700E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.60000E-24 cm**3
 #                            Bpol = 7.28869E+00
 #
 # Total elastic cross section = 2.12045E-16 cm**2 = 7.57228E+00 a0**2
 # 1st transport cross section = 1.86271E-17 cm**2 = 6.65184E-01 a0**2
 # 2nd transport cross section = 3.46533E-17 cm**2 = 1.23749E+00 a0**2
 #
 #    Absorption cross section = 1.30267E-16 cm**2 = 4.65191E+00 a0**2
 #   Grand total cross section = 3.42321E-16 cm**2 = 1.22245E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.77441E-15
7.61557E-13 1.77441E-15
1.18994E-12 1.77441E-15
1.71346E-12 1.77441E-15
2.33225E-12 1.77441E-15
3.04617E-12 1.77441E-15
3.85530E-12 1.77441E-15
4.75964E-12 1.77441E-15
5.75917E-12 1.77441E-15
6.85391E-12 1.77441E-15
8.04379E-12 1.77441E-15
9.32893E-12 1.77441E-15
1.07092E-11 1.77441E-15
1.21847E-11 1.77441E-15
1.37554E-11 1.77441E-15
1.54213E-11 1.77441E-15
1.71823E-11 1.77441E-15
1.90386E-11 1.77441E-15
2.09900E-11 1.77441E-15
2.30367E-11 1.77441E-15
2.51785E-11 1.77441E-15
2.74156E-11 1.77441E-15
2.97478E-11 1.77441E-15
3.21752E-11 1.77441E-15
3.46979E-11 1.77441E-15
3.73157E-11 1.77441E-15
4.00286E-11 1.77441E-15
4.28368E-11 1.77441E-15
4.57402E-11 1.77441E-15
4.87388E-11 1.77441E-15
5.18325E-11 1.77441E-15
5.50215E-11 1.77441E-15
5.83057E-11 1.77441E-15
6.16850E-11 1.77441E-15
6.51595E-11 1.77441E-15
6.87293E-11 1.77441E-15
7.23943E-11 1.77441E-15
7.61544E-11 1.77441E-15
1.18991E-10 1.77441E-15
1.71347E-10 1.77441E-15
2.33223E-10 1.77441E-15
3.04617E-10 1.77441E-15
3.85531E-10 1.77441E-15
4.75965E-10 1.77441E-15
5.75917E-10 1.77441E-15
6.85389E-10 1.77441E-15
8.04380E-10 1.77441E-15
9.32891E-10 1.77441E-15
1.07092E-09 1.77441E-15
1.21847E-09 1.77441E-15
1.37554E-09 1.77441E-15
1.54213E-09 1.77441E-15
1.71823E-09 1.77441E-15
1.90386E-09 1.77442E-15
2.09900E-09 1.77442E-15
2.30367E-09 1.77442E-15
2.51785E-09 1.77442E-15
2.74156E-09 1.77442E-15
2.97478E-09 1.77442E-15
3.21752E-09 1.77442E-15
3.46978E-09 1.77442E-15
3.73156E-09 1.77442E-15
4.00286E-09 1.77442E-15
4.28368E-09 1.77443E-15
4.57402E-09 1.77443E-15
4.87388E-09 1.77443E-15
5.18326E-09 1.77443E-15
5.50215E-09 1.77443E-15
5.83057E-09 1.77443E-15
6.16850E-09 1.77443E-15
6.51596E-09 1.77444E-15
6.87293E-09 1.77444E-15
7.23942E-09 1.77444E-15
7.61544E-09 1.77444E-15
1.18991E-08 1.77446E-15
1.71347E-08 1.77448E-15
2.33223E-08 1.77451E-15
3.04617E-08 1.77454E-15
3.85531E-08 1.77457E-15
4.75965E-08 1.77461E-15
5.75917E-08 1.77465E-15
6.85389E-08 1.77470E-15
8.04380E-08 1.77475E-15
9.32891E-08 1.77480E-15
1.07092E-07 1.77486E-15
1.21847E-07 1.77493E-15
1.37554E-07 1.77499E-15
1.54213E-07 1.77507E-15
1.71823E-07 1.77514E-15
1.90386E-07 1.77522E-15
2.09900E-07 1.77531E-15
2.30367E-07 1.77539E-15
2.51785E-07 1.77549E-15
2.74156E-07 1.77558E-15
2.97478E-07 1.77569E-15
3.21752E-07 1.77579E-15
3.46978E-07 1.77590E-15
3.73156E-07 1.77602E-15
4.00286E-07 1.77614E-15
4.28368E-07 1.77626E-15
4.57402E-07 1.77639E-15
4.87388E-07 1.77652E-15
5.18325E-07 1.77666E-15
5.50215E-07 1.77680E-15
5.83057E-07 1.77695E-15
