 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Ir,  Z =  77,  atomic weight = 1.92217E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.17515E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 77
 #
 # Electron density: Read from file Data/z_077.d
 #                   Number of data points =  775
 #                   Volume integral = 7.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.60000E-24 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 2.68220E-16 cm**2 = 9.57830E+00 a0**2
 # 1st transport cross section = 5.47595E-17 cm**2 = 1.95550E+00 a0**2
 # 2nd transport cross section = 4.88058E-17 cm**2 = 1.74289E+00 a0**2
 #
 #    Absorption cross section = 1.30300E-16 cm**2 = 4.65311E+00 a0**2
 #   Grand total cross section = 3.98536E-16 cm**2 = 1.42320E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.08041E-14
7.61557E-13 1.08041E-14
1.18994E-12 1.08041E-14
1.71346E-12 1.08041E-14
2.33225E-12 1.08041E-14
3.04617E-12 1.08041E-14
3.85530E-12 1.08041E-14
4.75964E-12 1.08041E-14
5.75917E-12 1.08041E-14
6.85391E-12 1.08041E-14
8.04379E-12 1.08041E-14
9.32893E-12 1.08041E-14
1.07092E-11 1.08041E-14
1.21847E-11 1.08041E-14
1.37554E-11 1.08041E-14
1.54213E-11 1.08041E-14
1.71823E-11 1.08041E-14
1.90386E-11 1.08041E-14
2.09900E-11 1.08041E-14
2.30367E-11 1.08041E-14
2.51785E-11 1.08041E-14
2.74156E-11 1.08041E-14
2.97478E-11 1.08041E-14
3.21752E-11 1.08041E-14
3.46979E-11 1.08041E-14
3.73157E-11 1.08041E-14
4.00286E-11 1.08041E-14
4.28368E-11 1.08041E-14
4.57402E-11 1.08041E-14
4.87388E-11 1.08041E-14
5.18325E-11 1.08041E-14
5.50215E-11 1.08041E-14
5.83057E-11 1.08041E-14
6.16850E-11 1.08041E-14
6.51595E-11 1.08041E-14
6.87293E-11 1.08041E-14
7.23943E-11 1.08041E-14
7.61544E-11 1.08041E-14
1.18991E-10 1.08041E-14
1.71347E-10 1.08040E-14
2.33223E-10 1.08040E-14
3.04617E-10 1.08040E-14
3.85531E-10 1.08040E-14
4.75965E-10 1.08040E-14
5.75917E-10 1.08040E-14
6.85389E-10 1.08040E-14
8.04380E-10 1.08040E-14
9.32891E-10 1.08040E-14
1.07092E-09 1.08039E-14
1.21847E-09 1.08039E-14
1.37554E-09 1.08039E-14
1.54213E-09 1.08039E-14
1.71823E-09 1.08039E-14
1.90386E-09 1.08038E-14
2.09900E-09 1.08038E-14
2.30367E-09 1.08038E-14
2.51785E-09 1.08038E-14
2.74156E-09 1.08037E-14
2.97478E-09 1.08037E-14
3.21752E-09 1.08037E-14
3.46978E-09 1.08037E-14
3.73156E-09 1.08036E-14
4.00286E-09 1.08036E-14
4.28368E-09 1.08036E-14
4.57402E-09 1.08035E-14
4.87388E-09 1.08035E-14
5.18326E-09 1.08035E-14
5.50215E-09 1.08034E-14
5.83057E-09 1.08034E-14
6.16850E-09 1.08033E-14
6.51596E-09 1.08033E-14
6.87293E-09 1.08033E-14
7.23942E-09 1.08032E-14
7.61544E-09 1.08032E-14
1.18991E-08 1.08027E-14
1.71347E-08 1.08020E-14
2.33223E-08 1.08013E-14
3.04617E-08 1.08005E-14
3.85531E-08 1.07995E-14
4.75965E-08 1.07984E-14
5.75917E-08 1.07973E-14
6.85389E-08 1.07960E-14
8.04380E-08 1.07946E-14
9.32891E-08 1.07930E-14
1.07092E-07 1.07914E-14
1.21847E-07 1.07897E-14
1.37554E-07 1.07878E-14
1.54213E-07 1.07859E-14
1.71823E-07 1.07838E-14
1.90386E-07 1.07816E-14
2.09900E-07 1.07793E-14
2.30367E-07 1.07769E-14
2.51785E-07 1.07744E-14
2.74156E-07 1.07718E-14
2.97478E-07 1.07691E-14
3.21752E-07 1.07662E-14
3.46978E-07 1.07633E-14
3.73156E-07 1.07602E-14
4.00286E-07 1.07571E-14
4.28368E-07 1.07538E-14
4.57402E-07 1.07504E-14
4.87388E-07 1.07470E-14
5.18325E-07 1.07434E-14
