 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Pt,  Z =  78,  atomic weight = 1.95078E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.20564E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 78
 #
 # Electron density: Read from file Data/z_078.d
 #                   Number of data points =  781
 #                   Volume integral = 7.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.15870E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.50000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.39928E-16 cm**2 = 4.99690E+00 a0**2
 # 1st transport cross section = 8.50527E-18 cm**2 = 3.03729E-01 a0**2
 # 2nd transport cross section = 1.64912E-17 cm**2 = 5.88911E-01 a0**2
 #
 #    Absorption cross section = 4.86892E-17 cm**2 = 1.73872E+00 a0**2
 #   Grand total cross section = 1.88626E-16 cm**2 = 6.73596E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.08278E-15
7.61557E-13 2.08278E-15
1.18994E-12 2.08278E-15
1.71346E-12 2.08278E-15
2.33225E-12 2.08278E-15
3.04617E-12 2.08278E-15
3.85530E-12 2.08278E-15
4.75964E-12 2.08278E-15
5.75917E-12 2.08278E-15
6.85391E-12 2.08278E-15
8.04379E-12 2.08278E-15
9.32893E-12 2.08278E-15
1.07092E-11 2.08278E-15
1.21847E-11 2.08278E-15
1.37554E-11 2.08278E-15
1.54213E-11 2.08278E-15
1.71823E-11 2.08278E-15
1.90386E-11 2.08278E-15
2.09900E-11 2.08278E-15
2.30367E-11 2.08278E-15
2.51785E-11 2.08278E-15
2.74156E-11 2.08278E-15
2.97478E-11 2.08278E-15
3.21752E-11 2.08278E-15
3.46979E-11 2.08278E-15
3.73157E-11 2.08278E-15
4.00286E-11 2.08279E-15
4.28368E-11 2.08279E-15
4.57402E-11 2.08279E-15
4.87388E-11 2.08279E-15
5.18325E-11 2.08279E-15
5.50215E-11 2.08279E-15
5.83057E-11 2.08279E-15
6.16850E-11 2.08279E-15
6.51595E-11 2.08279E-15
6.87293E-11 2.08279E-15
7.23943E-11 2.08279E-15
7.61544E-11 2.08279E-15
1.18991E-10 2.08279E-15
1.71347E-10 2.08279E-15
2.33223E-10 2.08280E-15
3.04617E-10 2.08280E-15
3.85531E-10 2.08281E-15
4.75965E-10 2.08281E-15
5.75917E-10 2.08282E-15
6.85389E-10 2.08283E-15
8.04380E-10 2.08283E-15
9.32891E-10 2.08284E-15
1.07092E-09 2.08285E-15
1.21847E-09 2.08286E-15
1.37554E-09 2.08287E-15
1.54213E-09 2.08288E-15
1.71823E-09 2.08289E-15
1.90386E-09 2.08290E-15
2.09900E-09 2.08291E-15
2.30367E-09 2.08293E-15
2.51785E-09 2.08294E-15
2.74156E-09 2.08295E-15
2.97478E-09 2.08297E-15
3.21752E-09 2.08298E-15
3.46978E-09 2.08300E-15
3.73156E-09 2.08301E-15
4.00286E-09 2.08303E-15
4.28368E-09 2.08305E-15
4.57402E-09 2.08307E-15
4.87388E-09 2.08309E-15
5.18326E-09 2.08310E-15
5.50215E-09 2.08312E-15
5.83057E-09 2.08315E-15
6.16850E-09 2.08317E-15
6.51596E-09 2.08319E-15
6.87293E-09 2.08321E-15
7.23942E-09 2.08323E-15
7.61544E-09 2.08326E-15
1.18991E-08 2.08352E-15
1.71347E-08 2.08385E-15
2.33223E-08 2.08423E-15
3.04617E-08 2.08468E-15
3.85531E-08 2.08518E-15
4.75965E-08 2.08574E-15
5.75917E-08 2.08636E-15
6.85389E-08 2.08704E-15
8.04380E-08 2.08778E-15
9.32891E-08 2.08857E-15
1.07092E-07 2.08943E-15
1.21847E-07 2.09034E-15
1.37554E-07 2.09131E-15
1.54213E-07 2.09234E-15
1.71823E-07 2.09343E-15
1.90386E-07 2.09457E-15
2.09900E-07 2.09577E-15
2.30367E-07 2.09703E-15
2.51785E-07 2.09835E-15
2.74156E-07 2.09972E-15
2.97478E-07 2.10115E-15
3.21752E-07 2.10264E-15
3.46978E-07 2.10418E-15
3.73156E-07 2.10578E-15
4.00286E-07 2.10744E-15
4.28368E-07 2.10915E-15
4.57402E-07 2.11092E-15
4.87388E-07 2.11274E-15
5.18325E-07 2.11462E-15
5.50215E-07 2.11655E-15
5.83057E-07 2.11854E-15
6.16850E-07 2.12058E-15
6.51596E-07 2.12267E-15
6.87293E-07 2.12482E-15
7.23942E-07 2.12702E-15
7.61543E-07 2.12927E-15
1.18991E-06 2.15463E-15
1.71347E-06 2.18482E-15
2.33223E-06 2.21933E-15
3.04617E-06 2.25758E-15
3.85531E-06 2.29888E-15
4.75964E-06 2.34251E-15
5.75916E-06 2.38771E-15
6.85388E-06 2.43375E-15
8.04378E-06 2.47993E-15
9.32888E-06 2.52562E-15
1.07092E-05 2.57030E-15
1.21846E-05 2.61360E-15
