 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file Data/z_079.d
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.42550E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.80000E-24 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 1.84638E-16 cm**2 = 6.59355E+00 a0**2
 # 1st transport cross section = 1.74711E-17 cm**2 = 6.23906E-01 a0**2
 # 2nd transport cross section = 3.24935E-17 cm**2 = 1.16036E+00 a0**2
 #
 #    Absorption cross section = 1.04937E-16 cm**2 = 3.74739E+00 a0**2
 #   Grand total cross section = 2.89583E-16 cm**2 = 1.03412E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.42412E-15
7.61557E-13 1.42412E-15
1.18994E-12 1.42412E-15
1.71346E-12 1.42412E-15
2.33225E-12 1.42412E-15
3.04617E-12 1.42412E-15
3.85530E-12 1.42412E-15
4.75964E-12 1.42412E-15
5.75917E-12 1.42412E-15
6.85391E-12 1.42412E-15
8.04379E-12 1.42412E-15
9.32893E-12 1.42412E-15
1.07092E-11 1.42412E-15
1.21847E-11 1.42412E-15
1.37554E-11 1.42412E-15
1.54213E-11 1.42412E-15
1.71823E-11 1.42412E-15
1.90386E-11 1.42412E-15
2.09900E-11 1.42412E-15
2.30367E-11 1.42412E-15
2.51785E-11 1.42412E-15
2.74156E-11 1.42412E-15
2.97478E-11 1.42412E-15
3.21752E-11 1.42412E-15
3.46979E-11 1.42412E-15
3.73157E-11 1.42412E-15
4.00286E-11 1.42412E-15
4.28368E-11 1.42412E-15
4.57402E-11 1.42412E-15
4.87388E-11 1.42412E-15
5.18325E-11 1.42412E-15
5.50215E-11 1.42412E-15
5.83057E-11 1.42412E-15
6.16850E-11 1.42412E-15
6.51595E-11 1.42412E-15
6.87293E-11 1.42412E-15
7.23943E-11 1.42412E-15
7.61544E-11 1.42412E-15
1.18991E-10 1.42412E-15
1.71347E-10 1.42412E-15
2.33223E-10 1.42412E-15
3.04617E-10 1.42412E-15
3.85531E-10 1.42412E-15
4.75965E-10 1.42412E-15
5.75917E-10 1.42412E-15
6.85389E-10 1.42412E-15
8.04380E-10 1.42413E-15
9.32891E-10 1.42413E-15
1.07092E-09 1.42413E-15
1.21847E-09 1.42413E-15
1.37554E-09 1.42413E-15
1.54213E-09 1.42413E-15
1.71823E-09 1.42413E-15
1.90386E-09 1.42413E-15
2.09900E-09 1.42413E-15
2.30367E-09 1.42413E-15
2.51785E-09 1.42413E-15
2.74156E-09 1.42413E-15
2.97478E-09 1.42414E-15
3.21752E-09 1.42414E-15
3.46978E-09 1.42414E-15
3.73156E-09 1.42414E-15
4.00286E-09 1.42414E-15
4.28368E-09 1.42414E-15
4.57402E-09 1.42414E-15
4.87388E-09 1.42414E-15
5.18326E-09 1.42415E-15
5.50215E-09 1.42415E-15
5.83057E-09 1.42415E-15
6.16850E-09 1.42415E-15
6.51596E-09 1.42415E-15
6.87293E-09 1.42415E-15
7.23942E-09 1.42415E-15
7.61544E-09 1.42416E-15
1.18991E-08 1.42418E-15
1.71347E-08 1.42420E-15
2.33223E-08 1.42423E-15
3.04617E-08 1.42426E-15
3.85531E-08 1.42430E-15
4.75965E-08 1.42434E-15
5.75917E-08 1.42439E-15
6.85389E-08 1.42444E-15
8.04380E-08 1.42449E-15
9.32891E-08 1.42455E-15
1.07092E-07 1.42461E-15
1.21847E-07 1.42468E-15
1.37554E-07 1.42475E-15
1.54213E-07 1.42483E-15
1.71823E-07 1.42491E-15
1.90386E-07 1.42500E-15
2.09900E-07 1.42509E-15
2.30367E-07 1.42518E-15
2.51785E-07 1.42528E-15
2.74156E-07 1.42539E-15
2.97478E-07 1.42549E-15
3.21752E-07 1.42561E-15
3.46978E-07 1.42572E-15
3.73156E-07 1.42585E-15
4.00286E-07 1.42597E-15
4.28368E-07 1.42610E-15
4.57402E-07 1.42624E-15
4.87388E-07 1.42638E-15
5.18325E-07 1.42653E-15
5.50215E-07 1.42668E-15
5.83057E-07 1.42683E-15
6.16850E-07 1.42699E-15
6.51596E-07 1.42716E-15
6.87293E-07 1.42733E-15
7.23942E-07 1.42750E-15
7.61543E-07 1.42768E-15
1.18991E-06 1.42974E-15
1.71347E-06 1.43231E-15
2.33223E-06 1.43542E-15
3.04617E-06 1.43909E-15
