 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file Data/z_079.d
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 2.42550E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.80000E-24 cm**3
 #                            Bpol = 4.67707E+00
 #
 # Total elastic cross section = 2.25226E-16 cm**2 = 8.04298E+00 a0**2
 # 1st transport cross section = 3.14704E-17 cm**2 = 1.12383E+00 a0**2
 # 2nd transport cross section = 5.45975E-17 cm**2 = 1.94971E+00 a0**2
 #
 #    Absorption cross section = 2.19020E-16 cm**2 = 7.82136E+00 a0**2
 #   Grand total cross section = 4.44253E-16 cm**2 = 1.58646E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.48058E-15
7.61557E-13 1.48058E-15
1.18994E-12 1.48058E-15
1.71346E-12 1.48058E-15
2.33225E-12 1.48058E-15
3.04617E-12 1.48058E-15
3.85530E-12 1.48058E-15
4.75964E-12 1.48058E-15
5.75917E-12 1.48058E-15
6.85391E-12 1.48058E-15
8.04379E-12 1.48058E-15
9.32893E-12 1.48058E-15
1.07092E-11 1.48058E-15
1.21847E-11 1.48058E-15
1.37554E-11 1.48058E-15
1.54213E-11 1.48058E-15
1.71823E-11 1.48058E-15
1.90386E-11 1.48058E-15
2.09900E-11 1.48058E-15
2.30367E-11 1.48058E-15
2.51785E-11 1.48058E-15
2.74156E-11 1.48058E-15
2.97478E-11 1.48058E-15
3.21752E-11 1.48058E-15
3.46979E-11 1.48058E-15
3.73157E-11 1.48058E-15
4.00286E-11 1.48058E-15
4.28368E-11 1.48058E-15
4.57402E-11 1.48058E-15
4.87388E-11 1.48058E-15
5.18325E-11 1.48058E-15
5.50215E-11 1.48058E-15
5.83057E-11 1.48058E-15
6.16850E-11 1.48058E-15
6.51595E-11 1.48058E-15
6.87293E-11 1.48058E-15
7.23943E-11 1.48058E-15
7.61544E-11 1.48058E-15
1.18991E-10 1.48058E-15
1.71347E-10 1.48058E-15
2.33223E-10 1.48058E-15
3.04617E-10 1.48058E-15
3.85531E-10 1.48058E-15
4.75965E-10 1.48058E-15
5.75917E-10 1.48058E-15
6.85389E-10 1.48058E-15
8.04380E-10 1.48057E-15
9.32891E-10 1.48057E-15
1.07092E-09 1.48057E-15
1.21847E-09 1.48057E-15
1.37554E-09 1.48057E-15
1.54213E-09 1.48057E-15
1.71823E-09 1.48057E-15
1.90386E-09 1.48057E-15
2.09900E-09 1.48057E-15
2.30367E-09 1.48057E-15
2.51785E-09 1.48057E-15
2.74156E-09 1.48056E-15
2.97478E-09 1.48056E-15
3.21752E-09 1.48056E-15
3.46978E-09 1.48056E-15
3.73156E-09 1.48056E-15
4.00286E-09 1.48056E-15
4.28368E-09 1.48056E-15
4.57402E-09 1.48055E-15
4.87388E-09 1.48055E-15
5.18326E-09 1.48055E-15
5.50215E-09 1.48055E-15
5.83057E-09 1.48055E-15
6.16850E-09 1.48055E-15
6.51596E-09 1.48054E-15
6.87293E-09 1.48054E-15
7.23942E-09 1.48054E-15
7.61544E-09 1.48054E-15
1.18991E-08 1.48051E-15
1.71347E-08 1.48049E-15
2.33223E-08 1.48045E-15
3.04617E-08 1.48041E-15
3.85531E-08 1.48037E-15
4.75965E-08 1.48032E-15
5.75917E-08 1.48027E-15
6.85389E-08 1.48021E-15
8.04380E-08 1.48014E-15
9.32891E-08 1.48008E-15
1.07092E-07 1.48000E-15
1.21847E-07 1.47992E-15
1.37554E-07 1.47984E-15
1.54213E-07 1.47975E-15
1.71823E-07 1.47965E-15
1.90386E-07 1.47955E-15
2.09900E-07 1.47945E-15
2.30367E-07 1.47934E-15
2.51785E-07 1.47922E-15
2.74156E-07 1.47910E-15
2.97478E-07 1.47898E-15
3.21752E-07 1.47885E-15
3.46978E-07 1.47871E-15
3.73156E-07 1.47857E-15
4.00286E-07 1.47843E-15
4.28368E-07 1.47828E-15
4.57402E-07 1.47812E-15
4.87388E-07 1.47796E-15
5.18325E-07 1.47780E-15
5.50215E-07 1.47763E-15
5.83057E-07 1.47745E-15
6.16850E-07 1.47727E-15
6.51596E-07 1.47709E-15
6.87293E-07 1.47690E-15
7.23942E-07 1.47670E-15
7.61543E-07 1.47651E-15
1.18991E-06 1.47425E-15
1.71347E-06 1.47153E-15
2.33223E-06 1.46837E-15
3.04617E-06 1.46479E-15
3.85531E-06 1.46082E-15
4.75964E-06 1.45648E-15
5.75916E-06 1.45181E-15
6.85388E-06 1.44684E-15
8.04378E-06 1.44161E-15
9.32888E-06 1.43615E-15
1.07092E-05 1.43049E-15
1.21846E-05 1.42467E-15
1.37553E-05 1.41873E-15
1.54212E-05 1.41270E-15
1.71822E-05 1.40661E-15
1.90385E-05 1.40050E-15
2.09899E-05 1.39439E-15
2.30365E-05 1.38831E-15
2.51783E-05 1.38230E-15
2.74153E-05 1.37636E-15
2.97475E-05 1.37053E-15
3.21749E-05 1.36482E-15
3.46974E-05 1.35925E-15
3.73152E-05 1.35383E-15
4.00281E-05 1.34858E-15
4.28362E-05 1.34350E-15
4.57395E-05 1.33861E-15
4.87380E-05 1.33390E-15
5.18317E-05 1.32938E-15
5.50205E-05 1.32505E-15
5.83045E-05 1.32092E-15
6.16838E-05 1.31698E-15
6.51582E-05 1.31322E-15
6.87277E-05 1.30965E-15
7.23925E-05 1.30626E-15
7.61524E-05 1.30304E-15
9.21439E-05 1.29176E-15
1.09658E-04 1.28273E-15
1.28695E-04 1.27553E-15
1.49255E-04 1.26979E-15
1.71338E-04 1.26529E-15
1.94942E-04 1.26186E-15
2.20070E-04 1.25940E-15
2.46720E-04 1.25781E-15
2.74892E-04 1.25701E-15
3.04586E-04 1.25687E-15
3.35803E-04 1.25724E-15
3.68542E-04 1.25796E-15
4.02802E-04 1.25886E-15
4.38585E-04 1.25980E-15
4.75889E-04 1.26071E-15
5.14715E-04 1.26151E-15
5.55063E-04 1.26220E-15
5.96931E-04 1.26277E-15
6.40321E-04 1.26320E-15
6.85233E-04 1.26349E-15
7.31665E-04 1.26359E-15
7.79618E-04 1.26345E-15
8.29092E-04 1.26297E-15
8.80086E-04 1.26210E-15
9.32601E-04 1.26078E-15
9.86636E-04 1.25896E-15
1.04219E-03 1.25664E-15
1.09927E-03 1.25383E-15
1.15786E-03 1.25056E-15
1.21797E-03 1.24687E-15
1.27961E-03 1.24278E-15
1.34276E-03 1.23830E-15
1.40743E-03 1.23343E-15
1.47362E-03 1.22815E-15
1.54133E-03 1.22242E-15
1.61056E-03 1.21624E-15
1.68131E-03 1.20958E-15
1.75357E-03 1.20245E-15
1.82735E-03 1.19486E-15
1.90265E-03 1.18686E-15
1.97947E-03 1.17846E-15
2.05780E-03 1.16972E-15
2.13765E-03 1.16067E-15
2.21902E-03 1.15132E-15
2.30190E-03 1.14168E-15
2.38630E-03 1.13175E-15
2.47222E-03 1.12152E-15
2.55965E-03 1.11098E-15
2.64859E-03 1.10016E-15
2.73905E-03 1.08904E-15
2.83103E-03 1.07767E-15
2.92452E-03 1.06606E-15
3.01952E-03 1.05427E-15
3.11604E-03 1.04230E-15
3.21407E-03 1.03020E-15
3.31362E-03 1.01798E-15
3.41468E-03 1.00564E-15
3.51725E-03 9.93181E-16
3.62133E-03 9.80612E-16
3.72692E-03 9.67931E-16
3.83403E-03 9.55143E-16
3.94265E-03 9.42262E-16
4.05278E-03 9.29309E-16
4.16442E-03 9.16307E-16
4.27757E-03 9.03280E-16
4.39223E-03 8.90251E-16
4.50840E-03 8.77234E-16
4.62608E-03 8.64240E-16
4.74527E-03 8.51274E-16
4.86597E-03 8.38335E-16
4.98817E-03 8.25424E-16
5.11188E-03 8.12540E-16
5.23711E-03 7.99690E-16
5.36383E-03 7.86882E-16
5.49207E-03 7.74129E-16
5.62181E-03 7.61449E-16
5.75306E-03 7.48855E-16
5.88581E-03 7.36361E-16
6.02007E-03 7.23976E-16
6.15583E-03 7.11704E-16
6.29310E-03 6.99545E-16
6.43187E-03 6.87499E-16
6.57214E-03 6.75563E-16
6.71392E-03 6.63736E-16
6.85720E-03 6.52022E-16
7.00198E-03 6.40424E-16
7.14827E-03 6.28952E-16
7.29605E-03 6.17613E-16
7.44534E-03 6.06417E-16
7.59612E-03 5.95368E-16
7.97965E-03 5.68413E-16
8.37255E-03 5.42385E-16
8.77480E-03 5.17249E-16
9.18641E-03 4.93028E-16
9.60736E-03 4.69778E-16
1.00376E-02 4.47511E-16
1.04773E-02 4.26179E-16
1.09262E-02 4.05743E-16
1.13844E-02 3.86204E-16
1.18520E-02 3.67578E-16
1.23288E-02 3.49836E-16
1.28150E-02 3.32924E-16
1.33104E-02 3.16806E-16
1.38150E-02 3.01472E-16
1.43290E-02 2.86911E-16
1.48521E-02 2.73085E-16
1.53845E-02 2.59944E-16
1.59262E-02 2.47458E-16
1.64770E-02 2.35612E-16
1.70371E-02 2.24385E-16
1.76063E-02 2.13737E-16
1.81848E-02 2.03631E-16
1.87724E-02 1.94042E-16
1.93692E-02 1.84955E-16
1.99751E-02 1.76345E-16
2.05901E-02 1.68181E-16
2.12143E-02 1.60435E-16
2.18476E-02 1.53089E-16
2.24900E-02 1.46128E-16
