 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file Data/z_080.d
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 3.63750E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 8.51931E-17 cm**2 = 3.04230E+00 a0**2
 # 1st transport cross section = 2.77015E-18 cm**2 = 9.89238E-02 a0**2
 # 2nd transport cross section = 5.82981E-18 cm**2 = 2.08186E-01 a0**2
 #
 #    Absorption cross section = 1.58320E-17 cm**2 = 5.65371E-01 a0**2
 #   Grand total cross section = 1.01036E-16 cm**2 = 3.60805E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.11961E-15
7.61557E-13 4.11961E-15
1.18994E-12 4.11961E-15
1.71346E-12 4.11961E-15
2.33225E-12 4.11961E-15
3.04617E-12 4.11961E-15
3.85530E-12 4.11961E-15
4.75964E-12 4.11961E-15
5.75917E-12 4.11961E-15
6.85391E-12 4.11961E-15
8.04379E-12 4.11961E-15
9.32893E-12 4.11961E-15
1.07092E-11 4.11961E-15
1.21847E-11 4.11961E-15
1.37554E-11 4.11961E-15
1.54213E-11 4.11961E-15
1.71823E-11 4.11961E-15
1.90386E-11 4.11961E-15
2.09900E-11 4.11961E-15
2.30367E-11 4.11961E-15
2.51785E-11 4.11962E-15
2.74156E-11 4.11962E-15
2.97478E-11 4.11962E-15
3.21752E-11 4.11962E-15
3.46979E-11 4.11962E-15
3.73157E-11 4.11962E-15
4.00286E-11 4.11962E-15
4.28368E-11 4.11962E-15
4.57402E-11 4.11962E-15
4.87388E-11 4.11962E-15
5.18325E-11 4.11962E-15
5.50215E-11 4.11962E-15
5.83057E-11 4.11963E-15
6.16850E-11 4.11963E-15
6.51595E-11 4.11963E-15
6.87293E-11 4.11963E-15
7.23943E-11 4.11963E-15
7.61544E-11 4.11963E-15
1.18991E-10 4.11964E-15
1.71347E-10 4.11966E-15
2.33223E-10 4.11968E-15
3.04617E-10 4.11970E-15
3.85531E-10 4.11972E-15
4.75965E-10 4.11975E-15
5.75917E-10 4.11978E-15
6.85389E-10 4.11981E-15
8.04380E-10 4.11984E-15
9.32891E-10 4.11988E-15
1.07092E-09 4.11992E-15
1.21847E-09 4.11997E-15
1.37554E-09 4.12001E-15
1.54213E-09 4.12006E-15
1.71823E-09 4.12011E-15
1.90386E-09 4.12017E-15
2.09900E-09 4.12023E-15
2.30367E-09 4.12029E-15
2.51785E-09 4.12035E-15
2.74156E-09 4.12042E-15
2.97478E-09 4.12048E-15
3.21752E-09 4.12056E-15
3.46978E-09 4.12063E-15
3.73156E-09 4.12071E-15
4.00286E-09 4.12079E-15
4.28368E-09 4.12087E-15
4.57402E-09 4.12095E-15
4.87388E-09 4.12104E-15
5.18326E-09 4.12113E-15
5.50215E-09 4.12123E-15
5.83057E-09 4.12132E-15
6.16850E-09 4.12142E-15
6.51596E-09 4.12153E-15
6.87293E-09 4.12163E-15
7.23942E-09 4.12174E-15
7.61544E-09 4.12185E-15
1.18991E-08 4.12311E-15
1.71347E-08 4.12464E-15
2.33223E-08 4.12646E-15
3.04617E-08 4.12855E-15
3.85531E-08 4.13091E-15
4.75965E-08 4.13354E-15
5.75917E-08 4.13645E-15
6.85389E-08 4.13962E-15
8.04380E-08 4.14307E-15
9.32891E-08 4.14677E-15
1.07092E-07 4.15074E-15
1.21847E-07 4.15496E-15
1.37554E-07 4.15944E-15
1.54213E-07 4.16417E-15
1.71823E-07 4.16916E-15
1.90386E-07 4.17438E-15
2.09900E-07 4.17985E-15
2.30367E-07 4.18556E-15
2.51785E-07 4.19150E-15
2.74156E-07 4.19767E-15
2.97478E-07 4.20407E-15
3.21752E-07 4.21069E-15
3.46978E-07 4.21753E-15
3.73156E-07 4.22458E-15
4.00286E-07 4.23183E-15
4.28368E-07 4.23929E-15
4.57402E-07 4.24695E-15
4.87388E-07 4.25480E-15
5.18325E-07 4.26283E-15
5.50215E-07 4.27105E-15
5.83057E-07 4.27944E-15
6.16850E-07 4.28801E-15
6.51596E-07 4.29673E-15
6.87293E-07 4.30562E-15
7.23942E-07 4.31466E-15
7.61543E-07 4.32385E-15
1.18991E-06 4.42245E-15
1.71347E-06 4.52894E-15
2.33223E-06 4.63728E-15
3.04617E-06 4.74227E-15
3.85531E-06 4.84000E-15
4.75964E-06 4.92820E-15
5.75916E-06 5.00613E-15
6.85388E-06 5.07436E-15
8.04378E-06 5.13425E-15
9.32888E-06 5.18743E-15
1.07092E-05 5.23541E-15
1.21846E-05 5.27922E-15
1.37553E-05 5.31933E-15
1.54212E-05 5.35570E-15
1.71822E-05 5.38796E-15
1.90385E-05 5.41564E-15
2.09899E-05 5.43838E-15
2.30365E-05 5.45607E-15
2.51783E-05 5.46889E-15
2.74153E-05 5.47730E-15
2.97475E-05 5.48188E-15
3.21749E-05 5.48321E-15
3.46974E-05 5.48177E-15
3.73152E-05 5.47784E-15
4.00281E-05 5.47151E-15
4.28362E-05 5.46272E-15
4.57395E-05 5.45135E-15
4.87380E-05 5.43729E-15
5.18317E-05 5.42053E-15
5.50205E-05 5.40118E-15
5.83045E-05 5.37947E-15
6.16838E-05 5.35570E-15
6.51582E-05 5.33017E-15
6.87277E-05 5.30315E-15
7.23925E-05 5.27480E-15
7.61524E-05 5.24519E-15
9.21439E-05 5.11361E-15
1.09658E-04 4.96241E-15
1.28695E-04 4.79961E-15
1.49255E-04 4.62796E-15
1.71338E-04 4.44942E-15
1.94942E-04 4.26874E-15
2.20070E-04 4.08661E-15
2.46720E-04 3.90498E-15
2.74892E-04 3.72627E-15
3.04586E-04 3.55044E-15
3.35803E-04 3.37907E-15
3.68542E-04 3.21306E-15
4.02802E-04 3.05223E-15
4.38585E-04 2.89767E-15
4.75889E-04 2.74935E-15
5.14715E-04 2.60717E-15
5.55063E-04 2.47167E-15
5.96931E-04 2.34244E-15
6.40321E-04 2.21945E-15
6.85233E-04 2.10280E-15
7.31665E-04 1.99199E-15
7.79618E-04 1.88703E-15
8.29092E-04 1.78772E-15
8.80086E-04 1.69363E-15
9.32601E-04 1.60475E-15
9.86636E-04 1.52073E-15
1.04219E-03 1.44128E-15
1.09927E-03 1.36630E-15
1.15786E-03 1.29545E-15
1.21797E-03 1.22852E-15
1.27961E-03 1.16537E-15
1.34276E-03 1.10568E-15
1.40743E-03 1.04933E-15
1.47362E-03 9.96147E-16
1.54133E-03 9.45874E-16
1.61056E-03 8.98425E-16
1.68131E-03 8.53605E-16
1.75357E-03 8.11243E-16
1.82735E-03 7.71255E-16
1.90265E-03 7.33458E-16
1.97947E-03 6.97739E-16
2.05780E-03 6.64007E-16
2.13765E-03 6.32109E-16
2.21902E-03 6.01967E-16
2.30190E-03 5.73483E-16
2.38630E-03 5.46539E-16
2.47222E-03 5.21076E-16
2.55965E-03 4.96996E-16
2.64859E-03 4.74212E-16
2.73905E-03 4.52671E-16
2.83103E-03 4.32283E-16
2.92452E-03 4.12988E-16
3.01952E-03 3.94731E-16
3.11604E-03 3.77438E-16
3.21407E-03 3.61064E-16
3.31362E-03 3.45555E-16
3.41468E-03 3.30854E-16
3.51725E-03 3.16923E-16
3.62133E-03 3.03714E-16
3.72692E-03 2.91182E-16
3.83403E-03 2.79296E-16
3.94265E-03 2.68012E-16
4.05278E-03 2.57298E-16
4.16442E-03 2.47123E-16
4.27757E-03 2.37454E-16
4.39223E-03 2.28265E-16
4.50840E-03 2.19528E-16
4.62608E-03 2.11217E-16
4.74527E-03 2.03310E-16
4.86597E-03 1.95783E-16
4.98817E-03 1.88617E-16
5.11188E-03 1.81790E-16
5.23711E-03 1.75286E-16
5.36383E-03 1.69086E-16
5.49207E-03 1.63174E-16
5.62181E-03 1.57535E-16
5.75306E-03 1.52153E-16
5.88581E-03 1.47016E-16
6.02007E-03 1.42111E-16
6.15583E-03 1.37424E-16
6.29310E-03 1.32944E-16
6.43187E-03 1.28662E-16
6.57214E-03 1.24565E-16
6.71392E-03 1.20645E-16
6.85720E-03 1.16893E-16
7.00198E-03 1.13298E-16
7.14827E-03 1.09855E-16
7.29605E-03 1.06553E-16
7.44534E-03 1.03386E-16
7.59612E-03 1.00350E-16
7.97965E-03 9.32742E-17
8.37255E-03 8.68682E-17
8.77480E-03 8.10520E-17
9.18641E-03 7.57568E-17
9.60736E-03 7.09231E-17
1.00376E-02 6.64995E-17
1.04773E-02 6.24412E-17
1.09262E-02 5.87094E-17
1.13844E-02 5.52703E-17
1.18520E-02 5.20943E-17
1.23288E-02 4.91553E-17
1.28150E-02 4.64308E-17
1.33104E-02 4.39005E-17
1.38150E-02 4.15468E-17
1.43290E-02 3.93541E-17
1.48521E-02 3.73082E-17
1.53845E-02 3.53969E-17
1.59262E-02 3.36088E-17
