 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file Data/z_080.d
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.67000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 1.38625E-16 cm**2 = 4.95039E+00 a0**2
 # 1st transport cross section = 1.64222E-17 cm**2 = 5.86448E-01 a0**2
 # 2nd transport cross section = 1.82339E-17 cm**2 = 6.51145E-01 a0**2
 #
 #    Absorption cross section = 3.20717E-17 cm**2 = 1.14530E+00 a0**2
 #   Grand total cross section = 1.70705E-16 cm**2 = 6.09599E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 8.30453E-15
7.61557E-13 8.30453E-15
1.18994E-12 8.30453E-15
1.71346E-12 8.30453E-15
2.33225E-12 8.30453E-15
3.04617E-12 8.30453E-15
3.85530E-12 8.30453E-15
4.75964E-12 8.30453E-15
5.75917E-12 8.30453E-15
6.85391E-12 8.30453E-15
8.04379E-12 8.30453E-15
9.32893E-12 8.30453E-15
1.07092E-11 8.30453E-15
1.21847E-11 8.30453E-15
1.37554E-11 8.30453E-15
1.54213E-11 8.30453E-15
1.71823E-11 8.30453E-15
1.90386E-11 8.30453E-15
2.09900E-11 8.30453E-15
2.30367E-11 8.30453E-15
2.51785E-11 8.30453E-15
2.74156E-11 8.30452E-15
2.97478E-11 8.30452E-15
3.21752E-11 8.30452E-15
3.46979E-11 8.30452E-15
3.73157E-11 8.30452E-15
4.00286E-11 8.30452E-15
4.28368E-11 8.30452E-15
4.57402E-11 8.30452E-15
4.87388E-11 8.30452E-15
5.18325E-11 8.30452E-15
5.50215E-11 8.30452E-15
5.83057E-11 8.30452E-15
6.16850E-11 8.30452E-15
6.51595E-11 8.30452E-15
6.87293E-11 8.30452E-15
7.23943E-11 8.30451E-15
7.61544E-11 8.30451E-15
1.18991E-10 8.30450E-15
1.71347E-10 8.30449E-15
2.33223E-10 8.30448E-15
3.04617E-10 8.30446E-15
3.85531E-10 8.30444E-15
4.75965E-10 8.30442E-15
5.75917E-10 8.30440E-15
6.85389E-10 8.30438E-15
8.04380E-10 8.30435E-15
9.32891E-10 8.30432E-15
1.07092E-09 8.30429E-15
1.21847E-09 8.30426E-15
1.37554E-09 8.30422E-15
1.54213E-09 8.30419E-15
1.71823E-09 8.30415E-15
1.90386E-09 8.30410E-15
2.09900E-09 8.30406E-15
2.30367E-09 8.30401E-15
2.51785E-09 8.30397E-15
2.74156E-09 8.30392E-15
2.97478E-09 8.30386E-15
3.21752E-09 8.30381E-15
3.46978E-09 8.30375E-15
3.73156E-09 8.30369E-15
4.00286E-09 8.30363E-15
4.28368E-09 8.30357E-15
4.57402E-09 8.30351E-15
4.87388E-09 8.30344E-15
5.18326E-09 8.30337E-15
5.50215E-09 8.30330E-15
5.83057E-09 8.30322E-15
6.16850E-09 8.30315E-15
6.51596E-09 8.30307E-15
6.87293E-09 8.30299E-15
7.23942E-09 8.30291E-15
7.61544E-09 8.30282E-15
1.18991E-08 8.30186E-15
1.71347E-08 8.30069E-15
2.33223E-08 8.29931E-15
3.04617E-08 8.29771E-15
3.85531E-08 8.29591E-15
4.75965E-08 8.29389E-15
5.75917E-08 8.29166E-15
6.85389E-08 8.28923E-15
8.04380E-08 8.28659E-15
9.32891E-08 8.28374E-15
1.07092E-07 8.28068E-15
1.21847E-07 8.27742E-15
1.37554E-07 8.27396E-15
1.54213E-07 8.27030E-15
1.71823E-07 8.26643E-15
1.90386E-07 8.26237E-15
2.09900E-07 8.25811E-15
2.30367E-07 8.25365E-15
2.51785E-07 8.24900E-15
2.74156E-07 8.24416E-15
2.97478E-07 8.23912E-15
3.21752E-07 8.23390E-15
3.46978E-07 8.22849E-15
3.73156E-07 8.22289E-15
4.00286E-07 8.21712E-15
4.28368E-07 8.21116E-15
4.57402E-07 8.20502E-15
4.87388E-07 8.19870E-15
5.18325E-07 8.19222E-15
5.50215E-07 8.18556E-15
5.83057E-07 8.17873E-15
6.16850E-07 8.17173E-15
6.51596E-07 8.16457E-15
6.87293E-07 8.15725E-15
7.23942E-07 8.14976E-15
7.61543E-07 8.14212E-15
1.18991E-06 8.05771E-15
1.71347E-06 7.96072E-15
2.33223E-06 7.85420E-15
3.04617E-06 7.74118E-15
3.85531E-06 7.62457E-15
4.75964E-06 7.50695E-15
5.75916E-06 7.39054E-15
6.85388E-06 7.27709E-15
8.04378E-06 7.16786E-15
9.32888E-06 7.06363E-15
1.07092E-05 6.96477E-15
1.21846E-05 6.87126E-15
1.37553E-05 6.78279E-15
1.54212E-05 6.69887E-15
1.71822E-05 6.61888E-15
1.90385E-05 6.54216E-15
2.09899E-05 6.46809E-15
2.30365E-05 6.39612E-15
2.51783E-05 6.32584E-15
2.74153E-05 6.25696E-15
2.97475E-05 6.18932E-15
3.21749E-05 6.12287E-15
3.46974E-05 6.05766E-15
3.73152E-05 5.99379E-15
4.00281E-05 5.93138E-15
4.28362E-05 5.87057E-15
4.57395E-05 5.81144E-15
4.87380E-05 5.75402E-15
5.18317E-05 5.69831E-15
5.50205E-05 5.64423E-15
5.83045E-05 5.59167E-15
6.16838E-05 5.54047E-15
6.51582E-05 5.49045E-15
6.87277E-05 5.44145E-15
7.23925E-05 5.39329E-15
7.61524E-05 5.34586E-15
9.21439E-05 5.16191E-15
