 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Electron density: Read from file Data/z_080.d
 #                   Number of data points =  763
 #                   Volume integral = 8.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.67000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.10000E-24 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 9.81781E-17 cm**2 = 3.50600E+00 a0**2
 # 1st transport cross section = 6.89211E-18 cm**2 = 2.46122E-01 a0**2
 # 2nd transport cross section = 9.70984E-18 cm**2 = 3.46745E-01 a0**2
 #
 #    Absorption cross section = 1.70384E-17 cm**2 = 6.08451E-01 a0**2
 #   Grand total cross section = 1.15226E-16 cm**2 = 4.11479E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 9.17252E-15
7.61557E-13 9.17252E-15
1.18994E-12 9.17252E-15
1.71346E-12 9.17252E-15
2.33225E-12 9.17252E-15
3.04617E-12 9.17252E-15
3.85530E-12 9.17251E-15
4.75964E-12 9.17251E-15
5.75917E-12 9.17251E-15
6.85391E-12 9.17251E-15
8.04379E-12 9.17251E-15
9.32893E-12 9.17251E-15
1.07092E-11 9.17251E-15
1.21847E-11 9.17251E-15
1.37554E-11 9.17251E-15
1.54213E-11 9.17251E-15
1.71823E-11 9.17251E-15
1.90386E-11 9.17251E-15
2.09900E-11 9.17251E-15
2.30367E-11 9.17251E-15
2.51785E-11 9.17250E-15
2.74156E-11 9.17250E-15
2.97478E-11 9.17250E-15
3.21752E-11 9.17250E-15
3.46979E-11 9.17250E-15
3.73157E-11 9.17250E-15
4.00286E-11 9.17250E-15
4.28368E-11 9.17250E-15
4.57402E-11 9.17250E-15
4.87388E-11 9.17249E-15
5.18325E-11 9.17249E-15
5.50215E-11 9.17249E-15
5.83057E-11 9.17249E-15
6.16850E-11 9.17249E-15
6.51595E-11 9.17249E-15
6.87293E-11 9.17248E-15
7.23943E-11 9.17248E-15
7.61544E-11 9.17248E-15
1.18991E-10 9.17246E-15
1.71347E-10 9.17244E-15
2.33223E-10 9.17241E-15
3.04617E-10 9.17238E-15
3.85531E-10 9.17234E-15
4.75965E-10 9.17230E-15
5.75917E-10 9.17225E-15
6.85389E-10 9.17220E-15
8.04380E-10 9.17214E-15
9.32891E-10 9.17208E-15
1.07092E-09 9.17202E-15
1.21847E-09 9.17195E-15
1.37554E-09 9.17188E-15
1.54213E-09 9.17180E-15
1.71823E-09 9.17172E-15
1.90386E-09 9.17163E-15
2.09900E-09 9.17154E-15
2.30367E-09 9.17145E-15
2.51785E-09 9.17135E-15
2.74156E-09 9.17124E-15
2.97478E-09 9.17114E-15
3.21752E-09 9.17102E-15
3.46978E-09 9.17091E-15
3.73156E-09 9.17079E-15
4.00286E-09 9.17066E-15
4.28368E-09 9.17053E-15
4.57402E-09 9.17040E-15
4.87388E-09 9.17026E-15
5.18326E-09 9.17011E-15
5.50215E-09 9.16997E-15
5.83057E-09 9.16981E-15
6.16850E-09 9.16966E-15
6.51596E-09 9.16950E-15
6.87293E-09 9.16933E-15
7.23942E-09 9.16916E-15
7.61544E-09 9.16899E-15
1.18991E-08 9.16700E-15
1.71347E-08 9.16458E-15
2.33223E-08 9.16173E-15
3.04617E-08 9.15844E-15
3.85531E-08 9.15472E-15
4.75965E-08 9.15057E-15
5.75917E-08 9.14600E-15
6.85389E-08 9.14101E-15
8.04380E-08 9.13560E-15
9.32891E-08 9.12978E-15
1.07092E-07 9.12354E-15
1.21847E-07 9.11691E-15
1.37554E-07 9.10987E-15
1.54213E-07 9.10244E-15
1.71823E-07 9.09463E-15
1.90386E-07 9.08643E-15
2.09900E-07 9.07785E-15
2.30367E-07 9.06891E-15
2.51785E-07 9.05960E-15
2.74156E-07 9.04994E-15
2.97478E-07 9.03992E-15
3.21752E-07 9.02957E-15
3.46978E-07 9.01888E-15
3.73156E-07 9.00786E-15
4.00286E-07 8.99652E-15
4.28368E-07 8.98487E-15
4.57402E-07 8.97292E-15
4.87388E-07 8.96068E-15
5.18325E-07 8.94815E-15
5.50215E-07 8.93534E-15
5.83057E-07 8.92226E-15
6.16850E-07 8.90892E-15
6.51596E-07 8.89533E-15
6.87293E-07 8.88149E-15
7.23942E-07 8.86743E-15
7.61543E-07 8.85314E-15
1.18991E-06 8.69989E-15
1.71347E-06 8.53415E-15
2.33223E-06 8.36431E-15
3.04617E-06 8.19727E-15
3.85531E-06 8.03807E-15
4.75964E-06 7.88969E-15
5.75916E-06 7.75320E-15
6.85388E-06 7.62817E-15
8.04378E-06 7.51312E-15
9.32888E-06 7.40607E-15
1.07092E-05 7.30499E-15
1.21846E-05 7.20818E-15
1.37553E-05 7.11448E-15
1.54212E-05 7.02328E-15
1.71822E-05 6.93450E-15
1.90385E-05 6.84837E-15
2.09899E-05 6.76526E-15
2.30365E-05 6.68550E-15
2.51783E-05 6.60921E-15
2.74153E-05 6.53627E-15
2.97475E-05 6.46633E-15
3.21749E-05 6.39890E-15
3.46974E-05 6.33342E-15
3.73152E-05 6.26939E-15
4.00281E-05 6.20644E-15
4.28362E-05 6.14436E-15
4.57395E-05 6.08311E-15
4.87380E-05 6.02278E-15
5.18317E-05 5.96349E-15
5.50205E-05 5.90536E-15
5.83045E-05 5.84845E-15
6.16838E-05 5.79272E-15
6.51582E-05 5.73802E-15
6.87277E-05 5.68417E-15
7.23925E-05 5.63094E-15
7.61524E-05 5.57812E-15
9.21439E-05 5.36930E-15
1.09658E-04 5.16624E-15
1.28695E-04 4.96927E-15
1.49255E-04 4.77442E-15
1.71338E-04 4.58294E-15
1.94942E-04 4.39553E-15
2.20070E-04 4.21052E-15
2.46720E-04 4.02936E-15
2.74892E-04 3.85267E-15
3.04586E-04 3.67969E-15
3.35803E-04 3.51161E-15
3.68542E-04 3.34884E-15
4.02802E-04 3.19089E-15
4.38585E-04 3.03863E-15
4.75889E-04 2.89216E-15
5.14715E-04 2.75112E-15
5.55063E-04 2.61605E-15
5.96931E-04 2.48685E-15
6.40321E-04 2.36318E-15
6.85233E-04 2.24533E-15
7.31665E-04 2.13306E-15
7.79618E-04 2.02606E-15
8.29092E-04 1.92444E-15
8.80086E-04 1.82792E-15
9.32601E-04 1.73619E-15
9.86636E-04 1.64926E-15
1.04219E-03 1.56683E-15
1.09927E-03 1.48863E-15
1.15786E-03 1.41461E-15
1.21797E-03 1.34449E-15
1.27961E-03 1.27803E-15
1.34276E-03 1.21515E-15
1.40743E-03 1.15560E-15
1.47362E-03 1.09918E-15
1.54133E-03 1.04580E-15
1.61056E-03 9.95234E-16
1.68131E-03 9.47331E-16
1.75357E-03 9.02000E-16
1.82735E-03 8.59044E-16
1.90265E-03 8.18344E-16
1.97947E-03 7.79813E-16
2.05780E-03 7.43288E-16
2.13765E-03 7.08673E-16
2.21902E-03 6.75888E-16
2.30190E-03 6.44800E-16
2.38630E-03 6.15330E-16
2.47222E-03 5.87406E-16
2.55965E-03 5.60919E-16
2.64859E-03 5.35805E-16
2.73905E-03 5.11999E-16
2.83103E-03 4.89412E-16
2.92452E-03 4.67990E-16
3.01952E-03 4.47675E-16
3.11604E-03 4.28395E-16
3.21407E-03 4.10103E-16
3.31362E-03 3.92749E-16
3.41468E-03 3.76273E-16
3.51725E-03 3.60634E-16
3.62133E-03 3.45789E-16
3.72692E-03 3.31689E-16
3.83403E-03 3.18298E-16
3.94265E-03 3.05578E-16
4.05278E-03 2.93489E-16
4.16442E-03 2.81999E-16
4.27757E-03 2.71076E-16
4.39223E-03 2.60688E-16
4.50840E-03 2.50806E-16
4.62608E-03 2.41403E-16
4.74527E-03 2.32452E-16
4.86597E-03 2.23928E-16
4.98817E-03 2.15809E-16
5.11188E-03 2.08074E-16
5.23711E-03 2.00699E-16
5.36383E-03 1.93667E-16
5.49207E-03 1.86960E-16
5.62181E-03 1.80558E-16
5.75306E-03 1.74447E-16
5.88581E-03 1.68612E-16
6.02007E-03 1.63035E-16
6.15583E-03 1.57706E-16
6.29310E-03 1.52612E-16
6.43187E-03 1.47738E-16
6.57214E-03 1.43075E-16
6.71392E-03 1.38613E-16
6.85720E-03 1.34338E-16
7.00198E-03 1.30244E-16
7.14827E-03 1.26322E-16
7.29605E-03 1.22560E-16
7.44534E-03 1.18953E-16
7.59612E-03 1.15493E-16
7.97965E-03 1.07434E-16
8.37255E-03 1.00142E-16
8.77480E-03 9.35274E-17
9.18641E-03 8.75114E-17
9.60736E-03 8.20254E-17
1.00376E-02 7.70084E-17
1.04773E-02 7.24074E-17
1.09262E-02 6.81763E-17
1.13844E-02 6.42757E-17
1.18520E-02 6.06715E-17
1.23288E-02 5.73340E-17
1.28150E-02 5.42368E-17
1.33104E-02 5.13568E-17
1.38150E-02 4.86736E-17
1.43290E-02 4.61698E-17
1.48521E-02 4.38304E-17
1.53845E-02 4.16420E-17
1.59262E-02 3.95923E-17
1.64770E-02 3.76701E-17
1.70371E-02 3.58652E-17
1.76063E-02 3.41684E-17
1.81848E-02 3.25721E-17
1.87724E-02 3.10693E-17
1.93692E-02 2.96537E-17
1.99751E-02 2.83193E-17
2.05901E-02 2.70607E-17
2.12143E-02 2.58727E-17
2.18476E-02 2.47508E-17
2.24900E-02 2.36913E-17
2.31415E-02 2.26904E-17
2.38021E-02 2.17446E-17
2.44717E-02 2.08502E-17
2.51504E-02 2.00040E-17
2.58382E-02 1.92030E-17
2.65349E-02 1.84445E-17
2.72407E-02 1.77261E-17
2.79555E-02 1.70456E-17
2.86793E-02 1.64005E-17
2.94120E-02 1.57889E-17
3.01537E-02 1.52088E-17
3.09043E-02 1.46584E-17
3.16639E-02 1.41362E-17
3.24324E-02 1.36405E-17
3.32098E-02 1.31697E-17
3.39961E-02 1.27223E-17
3.47912E-02 1.22967E-17
3.55952E-02 1.18917E-17
3.64081E-02 1.15060E-17
3.72297E-02 1.11385E-17
3.80602E-02 1.07879E-17
3.88995E-02 1.04534E-17
3.97476E-02 1.01341E-17
4.06044E-02 9.82902E-18
4.14700E-02 9.53758E-18
4.23443E-02 9.25903E-18
4.32273E-02 8.99268E-18
4.41190E-02 8.73782E-18
4.50194E-02 8.49379E-18
4.59284E-02 8.25995E-18
4.68461E-02 8.03569E-18
4.87074E-02 7.61355E-18
5.06030E-02 7.22307E-18
5.25328E-02 6.86093E-18
5.44967E-02 6.52453E-18
5.64946E-02 6.21171E-18
5.85262E-02 5.92042E-18
6.05914E-02 5.64847E-18
6.26901E-02 5.39385E-18
6.48222E-02 5.15478E-18
6.69873E-02 4.92979E-18
6.91854E-02 4.71801E-18
7.14163E-02 4.51863E-18
7.36799E-02 4.33081E-18
7.59760E-02 4.15374E-18
7.83043E-02 3.98646E-18
8.06647E-02 3.82814E-18
8.30571E-02 3.67819E-18
8.54812E-02 3.53604E-18
8.79369E-02 3.40145E-18
9.04240E-02 3.27400E-18
9.29422E-02 3.15316E-18
9.54915E-02 3.03861E-18
9.80716E-02 2.92983E-18
1.00682E-01 2.82642E-18
1.03323E-01 2.72822E-18
1.05995E-01 2.63488E-18
1.08696E-01 2.54619E-18
1.11427E-01 2.46187E-18
1.14188E-01 2.38163E-18
1.16978E-01 2.30529E-18
1.19797E-01 2.23254E-18
1.22645E-01 2.16329E-18
1.25522E-01 2.09733E-18
1.28428E-01 2.03440E-18
1.31361E-01 1.97440E-18
1.34323E-01 1.91707E-18
1.37313E-01 1.86232E-18
1.40330E-01 1.81000E-18
1.43375E-01 1.76003E-18
1.46447E-01 1.71229E-18
1.49545E-01 1.66658E-18
1.52671E-01 1.62282E-18
1.55823E-01 1.58083E-18
1.59001E-01 1.54053E-18
1.62205E-01 1.50187E-18
1.65435E-01 1.46479E-18
1.68690E-01 1.42923E-18
1.71970E-01 1.39507E-18
1.75276E-01 1.36222E-18
1.78606E-01 1.33055E-18
1.81961E-01 1.30001E-18
1.85340E-01 1.27056E-18
1.88743E-01 1.24217E-18
1.92169E-01 1.21481E-18
1.95619E-01 1.18844E-18
1.99092E-01 1.16297E-18
2.02589E-01 1.13832E-18
2.06107E-01 1.11444E-18
2.09649E-01 1.09129E-18
2.13212E-01 1.06887E-18
2.16797E-01 1.04716E-18
2.20404E-01 1.02614E-18
2.24032E-01 1.00578E-18
2.27680E-01 9.86019E-19
2.31350E-01 9.66805E-19
2.35040E-01 9.48096E-19
2.38751E-01 9.29884E-19
2.42481E-01 9.12163E-19
2.46231E-01 8.94930E-19
2.50000E-01 8.78164E-19
2.53788E-01 8.61846E-19
2.57595E-01 8.45938E-19
2.61421E-01 8.30402E-19
2.65264E-01 8.15229E-19
2.69126E-01 8.00404E-19
