 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.50000E+03 eV = 9.18733E+01 a.u.
 #
 # Element: Tl,  Z =  81,  atomic weight = 2.04383E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.30278E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 81
 #
 # Electron density: Read from file Data/z_081.d
 #                   Number of data points =  847
 #                   Volume integral = 8.10000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.60000E-24 cm**3
 #                            Bpol = 1.23744E+01
 #
 # Total elastic cross section = 1.77753E-16 cm**2 = 6.34766E+00 a0**2
 # 1st transport cross section = 2.44184E-17 cm**2 = 8.71997E-01 a0**2
 # 2nd transport cross section = 2.39851E-17 cm**2 = 8.56522E-01 a0**2
 #
 #    Absorption cross section = 6.45012E-17 cm**2 = 2.30338E+00 a0**2
 #   Grand total cross section = 2.42265E-16 cm**2 = 8.65143E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.26020E-14
7.61557E-13 1.26020E-14
1.18994E-12 1.26020E-14
1.71346E-12 1.26020E-14
2.33225E-12 1.26020E-14
3.04617E-12 1.26020E-14
3.85530E-12 1.26020E-14
4.75964E-12 1.26020E-14
5.75917E-12 1.26020E-14
6.85391E-12 1.26020E-14
8.04379E-12 1.26020E-14
9.32893E-12 1.26020E-14
1.07092E-11 1.26020E-14
1.21847E-11 1.26020E-14
1.37554E-11 1.26020E-14
1.54213E-11 1.26020E-14
1.71823E-11 1.26020E-14
1.90386E-11 1.26020E-14
2.09900E-11 1.26020E-14
2.30367E-11 1.26020E-14
2.51785E-11 1.26020E-14
2.74156E-11 1.26020E-14
2.97478E-11 1.26020E-14
3.21752E-11 1.26020E-14
3.46979E-11 1.26020E-14
3.73157E-11 1.26020E-14
4.00286E-11 1.26020E-14
4.28368E-11 1.26020E-14
4.57402E-11 1.26020E-14
4.87388E-11 1.26020E-14
5.18325E-11 1.26020E-14
5.50215E-11 1.26020E-14
5.83057E-11 1.26020E-14
6.16850E-11 1.26020E-14
6.51595E-11 1.26020E-14
6.87293E-11 1.26020E-14
7.23943E-11 1.26020E-14
7.61544E-11 1.26020E-14
1.18991E-10 1.26019E-14
1.71347E-10 1.26019E-14
2.33223E-10 1.26019E-14
3.04617E-10 1.26019E-14
3.85531E-10 1.26019E-14
4.75965E-10 1.26018E-14
5.75917E-10 1.26018E-14
6.85389E-10 1.26018E-14
8.04380E-10 1.26017E-14
9.32891E-10 1.26017E-14
1.07092E-09 1.26016E-14
1.21847E-09 1.26016E-14
1.37554E-09 1.26015E-14
1.54213E-09 1.26015E-14
1.71823E-09 1.26014E-14
1.90386E-09 1.26014E-14
2.09900E-09 1.26013E-14
2.30367E-09 1.26012E-14
2.51785E-09 1.26012E-14
2.74156E-09 1.26011E-14
2.97478E-09 1.26010E-14
3.21752E-09 1.26009E-14
3.46978E-09 1.26008E-14
3.73156E-09 1.26008E-14
4.00286E-09 1.26007E-14
4.28368E-09 1.26006E-14
4.57402E-09 1.26005E-14
4.87388E-09 1.26004E-14
5.18326E-09 1.26003E-14
5.50215E-09 1.26002E-14
5.83057E-09 1.26001E-14
6.16850E-09 1.25999E-14
6.51596E-09 1.25998E-14
6.87293E-09 1.25997E-14
7.23942E-09 1.25996E-14
7.61544E-09 1.25995E-14
1.18991E-08 1.25981E-14
1.71347E-08 1.25963E-14
2.33223E-08 1.25943E-14
3.04617E-08 1.25919E-14
3.85531E-08 1.25893E-14
4.75965E-08 1.25863E-14
5.75917E-08 1.25830E-14
6.85389E-08 1.25795E-14
8.04380E-08 1.25756E-14
9.32891E-08 1.25714E-14
1.07092E-07 1.25669E-14
1.21847E-07 1.25621E-14
1.37554E-07 1.25570E-14
1.54213E-07 1.25515E-14
1.71823E-07 1.25458E-14
1.90386E-07 1.25398E-14
2.09900E-07 1.25335E-14
2.30367E-07 1.25270E-14
2.51785E-07 1.25201E-14
2.74156E-07 1.25129E-14
2.97478E-07 1.25055E-14
3.21752E-07 1.24977E-14
3.46978E-07 1.24897E-14
3.73156E-07 1.24814E-14
4.00286E-07 1.24729E-14
4.28368E-07 1.24640E-14
4.57402E-07 1.24549E-14
4.87388E-07 1.24455E-14
5.18325E-07 1.24359E-14
5.50215E-07 1.24260E-14
5.83057E-07 1.24158E-14
6.16850E-07 1.24054E-14
6.51596E-07 1.23947E-14
6.87293E-07 1.23838E-14
7.23942E-07 1.23726E-14
7.61543E-07 1.23612E-14
1.18991E-06 1.22345E-14
1.71347E-06 1.20875E-14
2.33223E-06 1.19241E-14
3.04617E-06 1.17486E-14
3.85531E-06 1.15649E-14
4.75964E-06 1.13767E-14
5.75916E-06 1.11874E-14
6.85388E-06 1.09999E-14
8.04378E-06 1.08165E-14
9.32888E-06 1.06387E-14
1.07092E-05 1.04677E-14
1.21846E-05 1.03042E-14
1.37553E-05 1.01481E-14
1.54212E-05 9.99918E-15
1.71822E-05 9.85694E-15
1.90385E-05 9.72062E-15
2.09899E-05 9.58938E-15
2.30365E-05 9.46241E-15
2.51783E-05 9.33891E-15
2.74153E-05 9.21825E-15
2.97475E-05 9.09989E-15
3.21749E-05 8.98348E-15
3.46974E-05 8.86883E-15
3.73152E-05 8.75586E-15
4.00281E-05 8.64463E-15
4.28362E-05 8.53526E-15
4.57395E-05 8.42792E-15
4.87380E-05 8.32278E-15
5.18317E-05 8.21998E-15
5.50205E-05 8.11964E-15
5.83045E-05 8.02178E-15
6.16838E-05 7.92638E-15
6.51582E-05 7.83335E-15
6.87277E-05 7.74255E-15
7.23925E-05 7.65378E-15
7.61524E-05 7.56683E-15
9.21439E-05 7.23329E-15
1.09658E-04 6.91675E-15
1.28695E-04 6.61678E-15
1.49255E-04 6.33560E-15
1.71338E-04 6.07124E-15
1.94942E-04 5.81908E-15
2.20070E-04 5.57708E-15
2.46720E-04 5.34633E-15
2.74892E-04 5.12740E-15
3.04586E-04 4.91854E-15
3.35803E-04 4.71784E-15
3.68542E-04 4.52518E-15
4.02802E-04 4.34134E-15
4.38585E-04 4.16602E-15
4.75889E-04 3.99795E-15
5.14715E-04 3.83642E-15
5.55063E-04 3.68174E-15
5.96931E-04 3.53410E-15
6.40321E-04 3.39287E-15
6.85233E-04 3.25725E-15
7.31665E-04 3.12707E-15
7.79618E-04 3.00254E-15
8.29092E-04 2.88350E-15
8.80086E-04 2.76934E-15
9.32601E-04 2.65966E-15
9.86636E-04 2.55448E-15
1.04219E-03 2.45384E-15
1.09927E-03 2.35743E-15
1.15786E-03 2.26482E-15
1.21797E-03 2.17588E-15
1.27961E-03 2.09066E-15
1.34276E-03 2.00906E-15
1.40743E-03 1.93077E-15
1.47362E-03 1.85557E-15
1.54133E-03 1.78343E-15
1.61056E-03 1.71435E-15
1.68131E-03 1.64818E-15
1.75357E-03 1.58466E-15
1.82735E-03 1.52371E-15
1.90265E-03 1.46532E-15
1.97947E-03 1.40943E-15
2.05780E-03 1.35585E-15
2.13765E-03 1.30445E-15
2.21902E-03 1.25517E-15
2.30190E-03 1.20799E-15
2.38630E-03 1.16281E-15
2.47222E-03 1.11947E-15
2.55965E-03 1.07789E-15
2.64859E-03 1.03805E-15
2.73905E-03 9.99883E-16
2.83103E-03 9.63282E-16
2.92452E-03 9.28145E-16
3.01952E-03 8.94427E-16
3.11604E-03 8.62096E-16
3.21407E-03 8.31083E-16
3.31362E-03 8.01297E-16
3.41468E-03 7.72678E-16
3.51725E-03 7.45200E-16
3.62133E-03 7.18826E-16
3.72692E-03 6.93490E-16
3.83403E-03 6.69131E-16
3.94265E-03 6.45717E-16
4.05278E-03 6.23226E-16
4.16442E-03 6.01618E-16
4.27757E-03 5.80841E-16
4.39223E-03 5.60860E-16
4.50840E-03 5.41653E-16
4.62608E-03 5.23198E-16
4.74527E-03 5.05456E-16
4.86597E-03 4.88392E-16
4.98817E-03 4.71982E-16
5.11188E-03 4.56209E-16
5.23711E-03 4.41046E-16
5.36383E-03 4.26463E-16
5.49207E-03 4.12436E-16
5.62181E-03 3.98945E-16
5.75306E-03 3.85972E-16
5.88581E-03 3.73493E-16
6.02007E-03 3.61485E-16
6.15583E-03 3.49930E-16
6.29310E-03 3.38811E-16
6.43187E-03 3.28109E-16
