 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Pb,  Z =  82,  atomic weight = 2.07200E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.33160E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 82
 #
 # Electron density: Read from file Data/z_082.d
 #                   Number of data points =  813
 #                   Volume integral = 8.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 6.16700E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.33695E-16 cm**2 = 4.77434E+00 a0**2
 # 1st transport cross section = 5.76805E-18 cm**2 = 2.05981E-01 a0**2
 # 2nd transport cross section = 1.15272E-17 cm**2 = 4.11642E-01 a0**2
 #
 #    Absorption cross section = 4.15219E-17 cm**2 = 1.48277E+00 a0**2
 #   Grand total cross section = 1.75231E-16 cm**2 = 6.25762E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.74681E-15
7.61557E-13 4.74681E-15
1.18994E-12 4.74681E-15
1.71346E-12 4.74681E-15
2.33225E-12 4.74681E-15
3.04617E-12 4.74681E-15
3.85530E-12 4.74681E-15
4.75964E-12 4.74681E-15
5.75917E-12 4.74681E-15
6.85391E-12 4.74681E-15
8.04379E-12 4.74681E-15
9.32893E-12 4.74681E-15
1.07092E-11 4.74681E-15
1.21847E-11 4.74681E-15
1.37554E-11 4.74681E-15
1.54213E-11 4.74681E-15
1.71823E-11 4.74682E-15
1.90386E-11 4.74682E-15
2.09900E-11 4.74682E-15
2.30367E-11 4.74682E-15
2.51785E-11 4.74682E-15
2.74156E-11 4.74682E-15
2.97478E-11 4.74682E-15
3.21752E-11 4.74682E-15
3.46979E-11 4.74682E-15
3.73157E-11 4.74682E-15
4.00286E-11 4.74682E-15
4.28368E-11 4.74682E-15
4.57402E-11 4.74682E-15
4.87388E-11 4.74682E-15
5.18325E-11 4.74682E-15
5.50215E-11 4.74682E-15
5.83057E-11 4.74682E-15
6.16850E-11 4.74682E-15
6.51595E-11 4.74682E-15
6.87293E-11 4.74682E-15
7.23943E-11 4.74683E-15
7.61544E-11 4.74683E-15
1.18991E-10 4.74683E-15
1.71347E-10 4.74684E-15
2.33223E-10 4.74686E-15
3.04617E-10 4.74687E-15
3.85531E-10 4.74688E-15
4.75965E-10 4.74690E-15
5.75917E-10 4.74692E-15
6.85389E-10 4.74694E-15
8.04380E-10 4.74696E-15
9.32891E-10 4.74699E-15
1.07092E-09 4.74701E-15
1.21847E-09 4.74704E-15
1.37554E-09 4.74707E-15
1.54213E-09 4.74710E-15
1.71823E-09 4.74713E-15
1.90386E-09 4.74717E-15
2.09900E-09 4.74720E-15
2.30367E-09 4.74724E-15
2.51785E-09 4.74728E-15
2.74156E-09 4.74732E-15
2.97478E-09 4.74737E-15
3.21752E-09 4.74741E-15
3.46978E-09 4.74746E-15
3.73156E-09 4.74751E-15
4.00286E-09 4.74756E-15
4.28368E-09 4.74761E-15
4.57402E-09 4.74767E-15
4.87388E-09 4.74772E-15
5.18326E-09 4.74778E-15
5.50215E-09 4.74784E-15
5.83057E-09 4.74790E-15
6.16850E-09 4.74796E-15
6.51596E-09 4.74803E-15
6.87293E-09 4.74810E-15
7.23942E-09 4.74816E-15
7.61544E-09 4.74823E-15
