 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 7.00000E+03 eV = 2.57245E+02 a.u.
 #
 # Element: Pb,  Z =  82,  atomic weight = 2.07200E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.33160E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 82
 #
 # Electron density: Read from file Data/z_082.d
 #                   Number of data points =  813
 #                   Volume integral = 8.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 6.16700E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 2.08417E+01
 #
 # Total elastic cross section = 1.02331E-16 cm**2 = 3.65432E+00 a0**2
 # 1st transport cross section = 3.27168E-18 cm**2 = 1.16834E-01 a0**2
 # 2nd transport cross section = 6.80739E-18 cm**2 = 2.43096E-01 a0**2
 #
 #    Absorption cross section = 2.45641E-17 cm**2 = 8.77198E-01 a0**2
 #   Grand total cross section = 1.26909E-16 cm**2 = 4.53202E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 6.06939E-15
7.61557E-13 6.06939E-15
1.18994E-12 6.06939E-15
1.71346E-12 6.06939E-15
2.33225E-12 6.06939E-15
3.04617E-12 6.06939E-15
3.85530E-12 6.06939E-15
4.75964E-12 6.06939E-15
5.75917E-12 6.06939E-15
6.85391E-12 6.06939E-15
8.04379E-12 6.06939E-15
9.32893E-12 6.06939E-15
1.07092E-11 6.06939E-15
1.21847E-11 6.06939E-15
1.37554E-11 6.06939E-15
1.54213E-11 6.06939E-15
1.71823E-11 6.06939E-15
1.90386E-11 6.06940E-15
2.09900E-11 6.06940E-15
2.30367E-11 6.06940E-15
2.51785E-11 6.06940E-15
2.74156E-11 6.06940E-15
2.97478E-11 6.06940E-15
3.21752E-11 6.06940E-15
3.46979E-11 6.06940E-15
3.73157E-11 6.06940E-15
4.00286E-11 6.06940E-15
4.28368E-11 6.06940E-15
4.57402E-11 6.06941E-15
4.87388E-11 6.06941E-15
5.18325E-11 6.06941E-15
5.50215E-11 6.06941E-15
5.83057E-11 6.06941E-15
6.16850E-11 6.06941E-15
6.51595E-11 6.06941E-15
6.87293E-11 6.06942E-15
7.23943E-11 6.06942E-15
7.61544E-11 6.06942E-15
1.18991E-10 6.06943E-15
1.71347E-10 6.06946E-15
2.33223E-10 6.06948E-15
3.04617E-10 6.06951E-15
3.85531E-10 6.06954E-15
4.75965E-10 6.06958E-15
5.75917E-10 6.06962E-15
6.85389E-10 6.06966E-15
8.04380E-10 6.06971E-15
9.32891E-10 6.06976E-15
1.07092E-09 6.06981E-15
1.21847E-09 6.06987E-15
1.37554E-09 6.06993E-15
1.54213E-09 6.07000E-15
1.71823E-09 6.07007E-15
1.90386E-09 6.07014E-15
2.09900E-09 6.07022E-15
2.30367E-09 6.07030E-15
2.51785E-09 6.07038E-15
2.74156E-09 6.07047E-15
2.97478E-09 6.07056E-15
3.21752E-09 6.07066E-15
3.46978E-09 6.07076E-15
3.73156E-09 6.07086E-15
4.00286E-09 6.07097E-15
4.28368E-09 6.07108E-15
4.57402E-09 6.07119E-15
4.87388E-09 6.07131E-15
5.18326E-09 6.07143E-15
5.50215E-09 6.07156E-15
5.83057E-09 6.07169E-15
6.16850E-09 6.07182E-15
6.51596E-09 6.07196E-15
6.87293E-09 6.07210E-15
7.23942E-09 6.07224E-15
7.61544E-09 6.07239E-15
1.18991E-08 6.07408E-15
1.71347E-08 6.07614E-15
2.33223E-08 6.07858E-15
3.04617E-08 6.08138E-15
3.85531E-08 6.08455E-15
4.75965E-08 6.08809E-15
5.75917E-08 6.09200E-15
6.85389E-08 6.09626E-15
8.04380E-08 6.10089E-15
9.32891E-08 6.10587E-15
1.07092E-07 6.11121E-15
1.21847E-07 6.11690E-15
1.37554E-07 6.12294E-15
1.54213E-07 6.12932E-15
1.71823E-07 6.13604E-15
1.90386E-07 6.14310E-15
2.09900E-07 6.15049E-15
2.30367E-07 6.15820E-15
2.51785E-07 6.16624E-15
2.74156E-07 6.17460E-15
2.97478E-07 6.18327E-15
3.21752E-07 6.19226E-15
3.46978E-07 6.20154E-15
3.73156E-07 6.21112E-15
4.00286E-07 6.22099E-15
4.28368E-07 6.23115E-15
4.57402E-07 6.24159E-15
4.87388E-07 6.25230E-15
5.18325E-07 6.26328E-15
5.50215E-07 6.27452E-15
5.83057E-07 6.28602E-15
6.16850E-07 6.29776E-15
6.51596E-07 6.30975E-15
6.87293E-07 6.32197E-15
7.23942E-07 6.33442E-15
7.61543E-07 6.34708E-15
1.18991E-06 6.48423E-15
1.71347E-06 6.63496E-15
2.33223E-06 6.79143E-15
3.04617E-06 6.94632E-15
3.85531E-06 7.09347E-15
4.75964E-06 7.22843E-15
5.75916E-06 7.34864E-15
6.85388E-06 7.45335E-15
8.04378E-06 7.54332E-15
9.32888E-06 7.62027E-15
1.07092E-05 7.68635E-15
1.21846E-05 7.74365E-15
1.37553E-05 7.79380E-15
1.54212E-05 7.83779E-15
1.71822E-05 7.87598E-15
1.90385E-05 7.90818E-15
2.09899E-05 7.93393E-15
2.30365E-05 7.95267E-15
2.51783E-05 7.96405E-15
2.74153E-05 7.96799E-15
2.97475E-05 7.96476E-15
3.21749E-05 7.95495E-15
3.46974E-05 7.93933E-15
3.73152E-05 7.91872E-15
4.00281E-05 7.89385E-15
4.28362E-05 7.86526E-15
4.57395E-05 7.83327E-15
4.87380E-05 7.79797E-15
5.18317E-05 7.75932E-15
5.50205E-05 7.71720E-15
5.83045E-05 7.67153E-15
6.16838E-05 7.62234E-15
6.51582E-05 7.56979E-15
6.87277E-05 7.51418E-15
7.23925E-05 7.45590E-15
7.61524E-05 7.39537E-15
9.21439E-05 7.13728E-15
1.09658E-04 6.85842E-15
1.28695E-04 6.56154E-15
1.49255E-04 6.25777E-15
1.71338E-04 5.95295E-15
1.94942E-04 5.64819E-15
2.20070E-04 5.34937E-15
2.46720E-04 5.05932E-15
2.74892E-04 4.77787E-15
3.04586E-04 4.50793E-15
3.35803E-04 4.25055E-15
3.68542E-04 4.00484E-15
4.02802E-04 3.77200E-15
4.38585E-04 3.55217E-15
4.75889E-04 3.34420E-15
5.14715E-04 3.14844E-15
5.55063E-04 2.96460E-15
5.96931E-04 2.79153E-15
6.40321E-04 2.62918E-15
6.85233E-04 2.47714E-15
7.31665E-04 2.33437E-15
7.79618E-04 2.20067E-15
8.29092E-04 2.07560E-15
8.80086E-04 1.95830E-15
9.32601E-04 1.84851E-15
9.86636E-04 1.74582E-15
1.04219E-03 1.64952E-15
1.09927E-03 1.55935E-15
1.15786E-03 1.47497E-15
1.21797E-03 1.39579E-15
1.27961E-03 1.32157E-15
1.34276E-03 1.25203E-15
1.40743E-03 1.18670E-15
1.47362E-03 1.12537E-15
1.54133E-03 1.06781E-15
1.61056E-03 1.01364E-15
1.68131E-03 9.62713E-16
1.75357E-03 9.14825E-16
1.82735E-03 8.69693E-16
1.90265E-03 8.27179E-16
1.97947E-03 7.87137E-16
2.05780E-03 7.49344E-16
2.13765E-03 7.13687E-16
2.21902E-03 6.80052E-16
2.30190E-03 6.48265E-16
2.38630E-03 6.18233E-16
2.47222E-03 5.89865E-16
2.55965E-03 5.63024E-16
2.64859E-03 5.37632E-16
2.73905E-03 5.13617E-16
2.83103E-03 4.90868E-16
2.92452E-03 4.69321E-16
3.01952E-03 4.48916E-16
3.11604E-03 4.29564E-16
3.21407E-03 4.11214E-16
3.31362E-03 3.93813E-16
3.41468E-03 3.77293E-16
3.51725E-03 3.61609E-16
3.62133E-03 3.46718E-16
3.72692E-03 3.32568E-16
3.83403E-03 3.19119E-16
3.94265E-03 3.06337E-16
4.05278E-03 2.94179E-16
4.16442E-03 2.82614E-16
4.27757E-03 2.71611E-16
4.39223E-03 2.61137E-16
4.50840E-03 2.51166E-16
4.62608E-03 2.41670E-16
4.74527E-03 2.32624E-16
4.86597E-03 2.24005E-16
4.98817E-03 2.15790E-16
5.11188E-03 2.07957E-16
5.23711E-03 2.00488E-16
5.36383E-03 1.93361E-16
5.49207E-03 1.86560E-16
5.62181E-03 1.80069E-16
5.75306E-03 1.73869E-16
5.88581E-03 1.67947E-16
6.02007E-03 1.62289E-16
6.15583E-03 1.56878E-16
6.29310E-03 1.51706E-16
6.43187E-03 1.46759E-16
6.57214E-03 1.42023E-16
6.71392E-03 1.37492E-16
6.85720E-03 1.33154E-16
7.00198E-03 1.28997E-16
7.14827E-03 1.25016E-16
7.29605E-03 1.21201E-16
7.44534E-03 1.17541E-16
7.59612E-03 1.14032E-16
7.97965E-03 1.05869E-16
8.37255E-03 9.84937E-17
8.77480E-03 9.18147E-17
9.18641E-03 8.57499E-17
9.60736E-03 8.02286E-17
1.00376E-02 7.51903E-17
1.04773E-02 7.05833E-17
1.09262E-02 6.63615E-17
1.13844E-02 6.24836E-17
1.18520E-02 5.89126E-17
1.23288E-02 5.56165E-17
1.28150E-02 5.25679E-17
1.33104E-02 4.97431E-17
1.38150E-02 4.71203E-17
1.43290E-02 4.46800E-17
1.48521E-02 4.24048E-17
1.53845E-02 4.02801E-17
1.59262E-02 3.82936E-17
1.64770E-02 3.64341E-17
1.70371E-02 3.46908E-17
1.76063E-02 3.30534E-17
1.81848E-02 3.15132E-17
1.87724E-02 3.00632E-17
1.93692E-02 2.86975E-17
1.99751E-02 2.74102E-17
2.05901E-02 2.61955E-17
2.12143E-02 2.50478E-17
2.18476E-02 2.39624E-17
2.24900E-02 2.29356E-17
2.31415E-02 2.19639E-17
2.38021E-02 2.10442E-17
2.44717E-02 2.01726E-17
2.51504E-02 1.93460E-17
2.58382E-02 1.85617E-17
2.65349E-02 1.78173E-17
2.72407E-02 1.71109E-17
2.79555E-02 1.64401E-17
2.86793E-02 1.58027E-17
2.94120E-02 1.51966E-17
3.01537E-02 1.46202E-17
3.09043E-02 1.40720E-17
3.16639E-02 1.35503E-17
3.24324E-02 1.30536E-17
3.32098E-02 1.25805E-17
3.39961E-02 1.21296E-17
3.47912E-02 1.16999E-17
3.55952E-02 1.12905E-17
3.64081E-02 1.09000E-17
3.72297E-02 1.05273E-17
3.80602E-02 1.01713E-17
3.88995E-02 9.83134E-18
3.97476E-02 9.50660E-18
