 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Pb,  Z =  82,  atomic weight = 2.07200E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.33160E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 82
 #
 # Electron density: Read from file Data/z_082.d
 #                   Number of data points =  813
 #                   Volume integral = 8.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 2.92206E-16 cm**2 = 1.04349E+01 a0**2
 # 1st transport cross section = 5.56321E-17 cm**2 = 1.98666E+00 a0**2
 # 2nd transport cross section = 5.25022E-17 cm**2 = 1.87489E+00 a0**2
 #
 #    Absorption cross section = 1.47676E-16 cm**2 = 5.27361E+00 a0**2
 #   Grand total cross section = 4.39902E-16 cm**2 = 1.57092E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.21519E-14
7.61557E-13 1.21519E-14
1.18994E-12 1.21519E-14
1.71346E-12 1.21519E-14
2.33225E-12 1.21519E-14
3.04617E-12 1.21519E-14
3.85530E-12 1.21519E-14
4.75964E-12 1.21519E-14
5.75917E-12 1.21519E-14
6.85391E-12 1.21519E-14
8.04379E-12 1.21519E-14
9.32893E-12 1.21519E-14
1.07092E-11 1.21519E-14
1.21847E-11 1.21519E-14
1.37554E-11 1.21519E-14
1.54213E-11 1.21519E-14
1.71823E-11 1.21519E-14
1.90386E-11 1.21519E-14
2.09900E-11 1.21519E-14
2.30367E-11 1.21519E-14
2.51785E-11 1.21519E-14
2.74156E-11 1.21519E-14
2.97478E-11 1.21519E-14
3.21752E-11 1.21519E-14
3.46979E-11 1.21519E-14
3.73157E-11 1.21519E-14
4.00286E-11 1.21519E-14
4.28368E-11 1.21519E-14
4.57402E-11 1.21519E-14
4.87388E-11 1.21519E-14
5.18325E-11 1.21519E-14
5.50215E-11 1.21519E-14
5.83057E-11 1.21519E-14
6.16850E-11 1.21519E-14
6.51595E-11 1.21519E-14
6.87293E-11 1.21519E-14
7.23943E-11 1.21519E-14
7.61544E-11 1.21519E-14
1.18991E-10 1.21519E-14
1.71347E-10 1.21519E-14
2.33223E-10 1.21519E-14
3.04617E-10 1.21519E-14
3.85531E-10 1.21519E-14
4.75965E-10 1.21518E-14
5.75917E-10 1.21518E-14
6.85389E-10 1.21518E-14
8.04380E-10 1.21518E-14
9.32891E-10 1.21518E-14
1.07092E-09 1.21518E-14
1.21847E-09 1.21518E-14
1.37554E-09 1.21518E-14
1.54213E-09 1.21517E-14
1.71823E-09 1.21517E-14
1.90386E-09 1.21517E-14
2.09900E-09 1.21517E-14
2.30367E-09 1.21517E-14
2.51785E-09 1.21516E-14
2.74156E-09 1.21516E-14
2.97478E-09 1.21516E-14
3.21752E-09 1.21516E-14
3.46978E-09 1.21515E-14
3.73156E-09 1.21515E-14
4.00286E-09 1.21515E-14
4.28368E-09 1.21514E-14
4.57402E-09 1.21514E-14
4.87388E-09 1.21514E-14
5.18326E-09 1.21514E-14
5.50215E-09 1.21513E-14
5.83057E-09 1.21513E-14
6.16850E-09 1.21513E-14
6.51596E-09 1.21512E-14
6.87293E-09 1.21512E-14
7.23942E-09 1.21511E-14
7.61544E-09 1.21511E-14
1.18991E-08 1.21507E-14
1.71347E-08 1.21501E-14
2.33223E-08 1.21495E-14
3.04617E-08 1.21487E-14
3.85531E-08 1.21479E-14
4.75965E-08 1.21470E-14
5.75917E-08 1.21459E-14
6.85389E-08 1.21448E-14
8.04380E-08 1.21435E-14
9.32891E-08 1.21422E-14
1.07092E-07 1.21408E-14
1.21847E-07 1.21393E-14
1.37554E-07 1.21376E-14
1.54213E-07 1.21359E-14
1.71823E-07 1.21341E-14
1.90386E-07 1.21322E-14
2.09900E-07 1.21302E-14
2.30367E-07 1.21281E-14
2.51785E-07 1.21258E-14
2.74156E-07 1.21235E-14
2.97478E-07 1.21211E-14
3.21752E-07 1.21187E-14
3.46978E-07 1.21161E-14
3.73156E-07 1.21134E-14
4.00286E-07 1.21106E-14
4.28368E-07 1.21077E-14
4.57402E-07 1.21047E-14
4.87388E-07 1.21017E-14
5.18325E-07 1.20985E-14
5.50215E-07 1.20953E-14
5.83057E-07 1.20919E-14
6.16850E-07 1.20885E-14
6.51596E-07 1.20850E-14
6.87293E-07 1.20813E-14
7.23942E-07 1.20776E-14
7.61543E-07 1.20738E-14
1.18991E-06 1.20308E-14
1.71347E-06 1.19791E-14
2.33223E-06 1.19193E-14
3.04617E-06 1.18518E-14
3.85531E-06 1.17773E-14
4.75964E-06 1.16964E-14
5.75916E-06 1.16099E-14
6.85388E-06 1.15184E-14
8.04378E-06 1.14228E-14
9.32888E-06 1.13235E-14
1.07092E-05 1.12215E-14
1.21846E-05 1.11173E-14
1.37553E-05 1.10116E-14
1.54212E-05 1.09050E-14
1.71822E-05 1.07980E-14
1.90385E-05 1.06911E-14
2.09899E-05 1.05848E-14
2.30365E-05 1.04794E-14
2.51783E-05 1.03754E-14
2.74153E-05 1.02728E-14
2.97475E-05 1.01720E-14
3.21749E-05 1.00732E-14
3.46974E-05 9.97630E-15
3.73152E-05 9.88151E-15
4.00281E-05 9.78879E-15
4.28362E-05 9.69815E-15
4.57395E-05 9.60951E-15
4.87380E-05 9.52279E-15
5.18317E-05 9.43791E-15
5.50205E-05 9.35473E-15
5.83045E-05 9.27313E-15
6.16838E-05 9.19297E-15
6.51582E-05 9.11412E-15
6.87277E-05 9.03644E-15
7.23925E-05 8.95981E-15
7.61524E-05 8.88411E-15
9.21439E-05 8.58859E-15
1.09658E-04 8.30181E-15
1.28695E-04 8.02268E-15
1.49255E-04 7.75247E-15
1.71338E-04 7.49301E-15
1.94942E-04 7.24524E-15
2.20070E-04 7.00861E-15
2.46720E-04 6.78146E-15
2.74892E-04 6.56183E-15
3.04586E-04 6.34830E-15
3.35803E-04 6.14036E-15
3.68542E-04 5.93830E-15
4.02802E-04 5.74271E-15
4.38585E-04 5.55397E-15
4.75889E-04 5.37196E-15
5.14715E-04 5.19611E-15
5.55063E-04 5.02565E-15
5.96931E-04 4.86002E-15
6.40321E-04 4.69898E-15
6.85233E-04 4.54266E-15
7.31665E-04 4.39130E-15
7.79618E-04 4.24508E-15
8.29092E-04 4.10395E-15
8.80086E-04 3.96761E-15
9.32601E-04 3.83568E-15
9.86636E-04 3.70784E-15
1.04219E-03 3.58393E-15
1.09927E-03 3.46397E-15
1.15786E-03 3.34804E-15
1.21797E-03 3.23620E-15
1.27961E-03 3.12836E-15
1.34276E-03 3.02433E-15
1.40743E-03 2.92386E-15
1.47362E-03 2.82673E-15
1.54133E-03 2.73280E-15
1.61056E-03 2.64205E-15
1.68131E-03 2.55446E-15
1.75357E-03 2.47004E-15
1.82735E-03 2.38868E-15
1.90265E-03 2.31024E-15
1.97947E-03 2.23454E-15
2.05780E-03 2.16141E-15
2.13765E-03 2.09075E-15
2.21902E-03 2.02250E-15
2.30190E-03 1.95665E-15
2.38630E-03 1.89314E-15
2.47222E-03 1.83192E-15
2.55965E-03 1.77286E-15
2.64859E-03 1.71585E-15
2.73905E-03 1.66076E-15
2.83103E-03 1.60752E-15
2.92452E-03 1.55608E-15
3.01952E-03 1.50642E-15
3.11604E-03 1.45848E-15
3.21407E-03 1.41223E-15
3.31362E-03 1.36758E-15
3.41468E-03 1.32445E-15
3.51725E-03 1.28276E-15
3.62133E-03 1.24245E-15
3.72692E-03 1.20350E-15
3.83403E-03 1.16587E-15
3.94265E-03 1.12953E-15
4.05278E-03 1.09445E-15
4.16442E-03 1.06058E-15
4.27757E-03 1.02785E-15
4.39223E-03 9.96221E-16
4.50840E-03 9.65643E-16
4.62608E-03 9.36091E-16
4.74527E-03 9.07544E-16
4.86597E-03 8.79979E-16
4.98817E-03 8.53365E-16
5.11188E-03 8.27665E-16
5.23711E-03 8.02838E-16
5.36383E-03 7.78846E-16
5.49207E-03 7.55659E-16
5.62181E-03 7.33255E-16
5.75306E-03 7.11614E-16
5.88581E-03 6.90714E-16
6.02007E-03 6.70532E-16
6.15583E-03 6.51037E-16
6.29310E-03 6.32201E-16
6.43187E-03 6.13995E-16
6.57214E-03 5.96397E-16
6.71392E-03 5.79386E-16
6.85720E-03 5.62945E-16
7.00198E-03 5.47055E-16
7.14827E-03 5.31696E-16
7.29605E-03 5.16847E-16
