 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+03 eV = 1.46997E+02 a.u.
 #
 # Element: Pb,  Z =  82,  atomic weight = 2.07200E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.33160E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 82
 #
 # Electron density: Read from file Data/z_082.d
 #                   Number of data points =  813
 #                   Volume integral = 8.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 1.57123E+01
 #
 # Total elastic cross section = 1.47673E-16 cm**2 = 5.27352E+00 a0**2
 # 1st transport cross section = 1.43272E-17 cm**2 = 5.11633E-01 a0**2
 # 2nd transport cross section = 1.66098E-17 cm**2 = 5.93145E-01 a0**2
 #
 #    Absorption cross section = 4.23752E-17 cm**2 = 1.51324E+00 a0**2
 #   Grand total cross section = 1.90061E-16 cm**2 = 6.78719E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.34825E-14
7.61557E-13 1.34825E-14
1.18994E-12 1.34825E-14
1.71346E-12 1.34825E-14
2.33225E-12 1.34825E-14
3.04617E-12 1.34825E-14
3.85530E-12 1.34825E-14
4.75964E-12 1.34825E-14
5.75917E-12 1.34825E-14
6.85391E-12 1.34825E-14
8.04379E-12 1.34825E-14
9.32893E-12 1.34825E-14
1.07092E-11 1.34825E-14
1.21847E-11 1.34825E-14
1.37554E-11 1.34825E-14
1.54213E-11 1.34825E-14
1.71823E-11 1.34825E-14
1.90386E-11 1.34825E-14
2.09900E-11 1.34825E-14
2.30367E-11 1.34825E-14
2.51785E-11 1.34825E-14
2.74156E-11 1.34825E-14
2.97478E-11 1.34825E-14
3.21752E-11 1.34825E-14
3.46979E-11 1.34825E-14
3.73157E-11 1.34825E-14
4.00286E-11 1.34825E-14
4.28368E-11 1.34825E-14
4.57402E-11 1.34825E-14
4.87388E-11 1.34825E-14
5.18325E-11 1.34825E-14
5.50215E-11 1.34825E-14
5.83057E-11 1.34825E-14
6.16850E-11 1.34825E-14
6.51595E-11 1.34825E-14
6.87293E-11 1.34825E-14
7.23943E-11 1.34825E-14
7.61544E-11 1.34825E-14
1.18991E-10 1.34825E-14
1.71347E-10 1.34824E-14
2.33223E-10 1.34824E-14
3.04617E-10 1.34824E-14
3.85531E-10 1.34823E-14
4.75965E-10 1.34823E-14
5.75917E-10 1.34823E-14
6.85389E-10 1.34822E-14
8.04380E-10 1.34822E-14
9.32891E-10 1.34821E-14
1.07092E-09 1.34821E-14
1.21847E-09 1.34820E-14
1.37554E-09 1.34819E-14
1.54213E-09 1.34819E-14
1.71823E-09 1.34818E-14
1.90386E-09 1.34817E-14
2.09900E-09 1.34816E-14
2.30367E-09 1.34815E-14
2.51785E-09 1.34814E-14
2.74156E-09 1.34813E-14
2.97478E-09 1.34812E-14
3.21752E-09 1.34811E-14
3.46978E-09 1.34810E-14
3.73156E-09 1.34809E-14
