 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Bi,  Z =  83,  atomic weight = 2.08980E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.34969E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 83
 #
 # Electron density: Read from file Data/z_083.d
 #                   Number of data points =  789
 #                   Volume integral = 8.30000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.85600E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.40000E-24 cm**3
 #                            Bpol = 1.10397E+01
 #
 # Total elastic cross section = 1.85445E-16 cm**2 = 6.62236E+00 a0**2
 # 1st transport cross section = 1.07909E-17 cm**2 = 3.85351E-01 a0**2
 # 2nd transport cross section = 2.09085E-17 cm**2 = 7.46655E-01 a0**2
 #
 #    Absorption cross section = 7.88362E-17 cm**2 = 2.81529E+00 a0**2
 #   Grand total cross section = 2.64295E-16 cm**2 = 9.43815E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 3.42513E-15
7.61557E-13 3.42513E-15
1.18994E-12 3.42513E-15
1.71346E-12 3.42513E-15
2.33225E-12 3.42513E-15
3.04617E-12 3.42513E-15
3.85530E-12 3.42513E-15
4.75964E-12 3.42513E-15
5.75917E-12 3.42513E-15
6.85391E-12 3.42513E-15
8.04379E-12 3.42513E-15
9.32893E-12 3.42513E-15
1.07092E-11 3.42513E-15
1.21847E-11 3.42513E-15
1.37554E-11 3.42513E-15
1.54213E-11 3.42513E-15
1.71823E-11 3.42513E-15
1.90386E-11 3.42513E-15
2.09900E-11 3.42513E-15
2.30367E-11 3.42513E-15
2.51785E-11 3.42513E-15
2.74156E-11 3.42513E-15
2.97478E-11 3.42513E-15
3.21752E-11 3.42513E-15
3.46979E-11 3.42513E-15
3.73157E-11 3.42513E-15
4.00286E-11 3.42513E-15
4.28368E-11 3.42513E-15
4.57402E-11 3.42513E-15
4.87388E-11 3.42513E-15
5.18325E-11 3.42513E-15
5.50215E-11 3.42513E-15
5.83057E-11 3.42513E-15
6.16850E-11 3.42513E-15
6.51595E-11 3.42513E-15
6.87293E-11 3.42513E-15
7.23943E-11 3.42513E-15
7.61544E-11 3.42513E-15
1.18991E-10 3.42514E-15
1.71347E-10 3.42514E-15
2.33223E-10 3.42514E-15
3.04617E-10 3.42515E-15
3.85531E-10 3.42516E-15
4.75965E-10 3.42516E-15
5.75917E-10 3.42517E-15
6.85389E-10 3.42518E-15
8.04380E-10 3.42519E-15
9.32891E-10 3.42520E-15
1.07092E-09 3.42521E-15
1.21847E-09 3.42522E-15
1.37554E-09 3.42524E-15
1.54213E-09 3.42525E-15
1.71823E-09 3.42526E-15
1.90386E-09 3.42528E-15
2.09900E-09 3.42529E-15
2.30367E-09 3.42531E-15
2.51785E-09 3.42533E-15
2.74156E-09 3.42535E-15
2.97478E-09 3.42536E-15
3.21752E-09 3.42538E-15
3.46978E-09 3.42540E-15
3.73156E-09 3.42543E-15
4.00286E-09 3.42545E-15
4.28368E-09 3.42547E-15
4.57402E-09 3.42549E-15
4.87388E-09 3.42552E-15
5.18326E-09 3.42554E-15
5.50215E-09 3.42557E-15
5.83057E-09 3.42559E-15
6.16850E-09 3.42562E-15
6.51596E-09 3.42565E-15
6.87293E-09 3.42568E-15
7.23942E-09 3.42571E-15
7.61544E-09 3.42574E-15
1.18991E-08 3.42608E-15
1.71347E-08 3.42650E-15
2.33223E-08 3.42699E-15
3.04617E-08 3.42757E-15
3.85531E-08 3.42821E-15
4.75965E-08 3.42894E-15
5.75917E-08 3.42974E-15
6.85389E-08 3.43061E-15
8.04380E-08 3.43156E-15
9.32891E-08 3.43259E-15
1.07092E-07 3.43369E-15
1.21847E-07 3.43486E-15
1.37554E-07 3.43612E-15
1.54213E-07 3.43744E-15
1.71823E-07 3.43884E-15
1.90386E-07 3.44032E-15
2.09900E-07 3.44186E-15
2.30367E-07 3.44349E-15
2.51785E-07 3.44518E-15
2.74156E-07 3.44695E-15
2.97478E-07 3.44879E-15
3.21752E-07 3.45071E-15
3.46978E-07 3.45270E-15
3.73156E-07 3.45476E-15
4.00286E-07 3.45689E-15
4.28368E-07 3.45909E-15
4.57402E-07 3.46136E-15
4.87388E-07 3.46371E-15
5.18325E-07 3.46613E-15
5.50215E-07 3.46861E-15
5.83057E-07 3.47117E-15
6.16850E-07 3.47379E-15
6.51596E-07 3.47649E-15
6.87293E-07 3.47925E-15
7.23942E-07 3.48208E-15
7.61543E-07 3.48498E-15
1.18991E-06 3.51758E-15
1.71347E-06 3.55638E-15
2.33223E-06 3.60074E-15
3.04617E-06 3.64994E-15
3.85531E-06 3.70317E-15
4.75964E-06 3.75954E-15
5.75916E-06 3.81815E-15
6.85388E-06 3.87810E-15
8.04378E-06 3.93853E-15
9.32888E-06 3.99863E-15
1.07092E-05 4.05773E-15
1.21846E-05 4.11526E-15
1.37553E-05 4.17080E-15
1.54212E-05 4.22405E-15
1.71822E-05 4.27487E-15
1.90385E-05 4.32323E-15
2.09899E-05 4.36922E-15
2.30365E-05 4.41298E-15
2.51783E-05 4.45472E-15
2.74153E-05 4.49468E-15
