 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Bi,  Z =  83,  atomic weight = 2.08980E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.34969E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 83
 #
 # Electron density: Read from file Data/z_083.d
 #                   Number of data points =  789
 #                   Volume integral = 8.30000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 4.85600E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.40000E-24 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 2.48901E-16 cm**2 = 8.88841E+00 a0**2
 # 1st transport cross section = 2.15167E-17 cm**2 = 7.68375E-01 a0**2
 # 2nd transport cross section = 3.97627E-17 cm**2 = 1.41995E+00 a0**2
 #
 #    Absorption cross section = 1.78482E-16 cm**2 = 6.37372E+00 a0**2
 #   Grand total cross section = 4.27393E-16 cm**2 = 1.52625E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 2.52733E-15
7.61557E-13 2.52733E-15
1.18994E-12 2.52733E-15
1.71346E-12 2.52733E-15
2.33225E-12 2.52733E-15
3.04617E-12 2.52733E-15
3.85530E-12 2.52733E-15
4.75964E-12 2.52733E-15
5.75917E-12 2.52733E-15
6.85391E-12 2.52733E-15
8.04379E-12 2.52733E-15
9.32893E-12 2.52733E-15
1.07092E-11 2.52733E-15
1.21847E-11 2.52733E-15
1.37554E-11 2.52733E-15
1.54213E-11 2.52733E-15
1.71823E-11 2.52733E-15
1.90386E-11 2.52733E-15
2.09900E-11 2.52733E-15
2.30367E-11 2.52733E-15
2.51785E-11 2.52733E-15
2.74156E-11 2.52733E-15
2.97478E-11 2.52733E-15
3.21752E-11 2.52733E-15
3.46979E-11 2.52733E-15
3.73157E-11 2.52733E-15
4.00286E-11 2.52733E-15
4.28368E-11 2.52733E-15
4.57402E-11 2.52733E-15
4.87388E-11 2.52733E-15
5.18325E-11 2.52733E-15
5.50215E-11 2.52733E-15
5.83057E-11 2.52733E-15
6.16850E-11 2.52733E-15
6.51595E-11 2.52733E-15
6.87293E-11 2.52733E-15
7.23943E-11 2.52733E-15
7.61544E-11 2.52733E-15
1.18991E-10 2.52733E-15
1.71347E-10 2.52733E-15
2.33223E-10 2.52733E-15
3.04617E-10 2.52734E-15
3.85531E-10 2.52734E-15
4.75965E-10 2.52734E-15
5.75917E-10 2.52734E-15
6.85389E-10 2.52734E-15
8.04380E-10 2.52734E-15
9.32891E-10 2.52734E-15
1.07092E-09 2.52734E-15
1.21847E-09 2.52734E-15
1.37554E-09 2.52734E-15
1.54213E-09 2.52735E-15
1.71823E-09 2.52735E-15
1.90386E-09 2.52735E-15
2.09900E-09 2.52735E-15
2.30367E-09 2.52735E-15
2.51785E-09 2.52735E-15
2.74156E-09 2.52736E-15
2.97478E-09 2.52736E-15
3.21752E-09 2.52736E-15
3.46978E-09 2.52736E-15
3.73156E-09 2.52737E-15
4.00286E-09 2.52737E-15
4.28368E-09 2.52737E-15
4.57402E-09 2.52737E-15
4.87388E-09 2.52738E-15
5.18326E-09 2.52738E-15
5.50215E-09 2.52738E-15
5.83057E-09 2.52738E-15
6.16850E-09 2.52739E-15
6.51596E-09 2.52739E-15
6.87293E-09 2.52739E-15
7.23942E-09 2.52740E-15
7.61544E-09 2.52740E-15
1.18991E-08 2.52744E-15
1.71347E-08 2.52748E-15
2.33223E-08 2.52754E-15
3.04617E-08 2.52760E-15
3.85531E-08 2.52767E-15
4.75965E-08 2.52775E-15
5.75917E-08 2.52784E-15
6.85389E-08 2.52794E-15
8.04380E-08 2.52804E-15
9.32891E-08 2.52815E-15
1.07092E-07 2.52827E-15
1.21847E-07 2.52840E-15
1.37554E-07 2.52854E-15
1.54213E-07 2.52869E-15
1.71823E-07 2.52885E-15
1.90386E-07 2.52901E-15
2.09900E-07 2.52918E-15
2.30367E-07 2.52936E-15
2.51785E-07 2.52955E-15
2.74156E-07 2.52975E-15
2.97478E-07 2.52996E-15
3.21752E-07 2.53017E-15
3.46978E-07 2.53039E-15
3.73156E-07 2.53062E-15
4.00286E-07 2.53087E-15
4.28368E-07 2.53111E-15
4.57402E-07 2.53137E-15
4.87388E-07 2.53164E-15
5.18325E-07 2.53191E-15
5.50215E-07 2.53220E-15
5.83057E-07 2.53249E-15
6.16850E-07 2.53279E-15
6.51596E-07 2.53310E-15
6.87293E-07 2.53342E-15
7.23942E-07 2.53374E-15
7.61543E-07 2.53408E-15
1.18991E-06 2.53792E-15
1.71347E-06 2.54264E-15
2.33223E-06 2.54828E-15
3.04617E-06 2.55483E-15
3.85531E-06 2.56230E-15
4.75964E-06 2.57071E-15
5.75916E-06 2.58003E-15
6.85388E-06 2.59026E-15
8.04378E-06 2.60136E-15
9.32888E-06 2.61330E-15
1.07092E-05 2.62603E-15
1.21846E-05 2.63948E-15
1.37553E-05 2.65358E-15
1.54212E-05 2.66826E-15
1.71822E-05 2.68342E-15
1.90385E-05 2.69898E-15
2.09899E-05 2.71486E-15
2.30365E-05 2.73094E-15
2.51783E-05 2.74716E-15
2.74153E-05 2.76342E-15
2.97475E-05 2.77965E-15
3.21749E-05 2.79578E-15
3.46974E-05 2.81174E-15
3.73152E-05 2.82750E-15
4.00281E-05 2.84300E-15
4.28362E-05 2.85822E-15
4.57395E-05 2.87314E-15
4.87380E-05 2.88775E-15
5.18317E-05 2.90205E-15
5.50205E-05 2.91605E-15
5.83045E-05 2.92975E-15
6.16838E-05 2.94318E-15
6.51582E-05 2.95634E-15
6.87277E-05 2.96927E-15
7.23925E-05 2.98198E-15
7.61524E-05 2.99450E-15
9.21439E-05 3.04296E-15
1.09658E-04 3.08916E-15
1.28695E-04 3.13268E-15
1.49255E-04 3.17231E-15
1.71338E-04 3.20673E-15
1.94942E-04 3.23516E-15
2.20070E-04 3.25759E-15
2.46720E-04 3.27466E-15
2.74892E-04 3.28710E-15
3.04586E-04 3.29538E-15
3.35803E-04 3.29948E-15
3.68542E-04 3.29907E-15
4.02802E-04 3.29378E-15
4.38585E-04 3.28356E-15
4.75889E-04 3.26872E-15
5.14715E-04 3.24984E-15
5.55063E-04 3.22749E-15
5.96931E-04 3.20207E-15
6.40321E-04 3.17368E-15
6.85233E-04 3.14228E-15
7.31665E-04 3.10783E-15
7.79618E-04 3.07046E-15
8.29092E-04 3.03050E-15
8.80086E-04 2.98840E-15
9.32601E-04 2.94458E-15
9.86636E-04 2.89929E-15
1.04219E-03 2.85263E-15
1.09927E-03 2.80463E-15
1.15786E-03 2.75533E-15
1.21797E-03 2.70487E-15
1.27961E-03 2.65351E-15
1.34276E-03 2.60156E-15
1.40743E-03 2.54927E-15
1.47362E-03 2.49679E-15
1.54133E-03 2.44418E-15
1.61056E-03 2.39144E-15
1.68131E-03 2.33860E-15
1.75357E-03 2.28578E-15
1.82735E-03 2.23315E-15
1.90265E-03 2.18087E-15
1.97947E-03 2.12910E-15
2.05780E-03 2.07788E-15
2.13765E-03 2.02724E-15
2.21902E-03 1.97716E-15
2.30190E-03 1.92763E-15
2.38630E-03 1.87874E-15
2.47222E-03 1.83057E-15
2.55965E-03 1.78321E-15
2.64859E-03 1.73674E-15
2.73905E-03 1.69115E-15
2.83103E-03 1.64643E-15
2.92452E-03 1.60254E-15
3.01952E-03 1.55950E-15
3.11604E-03 1.51731E-15
3.21407E-03 1.47602E-15
3.31362E-03 1.43569E-15
3.41468E-03 1.39632E-15
3.51725E-03 1.35789E-15
3.62133E-03 1.32037E-15
3.72692E-03 1.28373E-15
3.83403E-03 1.24796E-15
3.94265E-03 1.21305E-15
4.05278E-03 1.17904E-15
4.16442E-03 1.14593E-15
4.27757E-03 1.11372E-15
4.39223E-03 1.08237E-15
4.50840E-03 1.05186E-15
4.62608E-03 1.02215E-15
4.74527E-03 9.93226E-16
4.86597E-03 9.65089E-16
4.98817E-03 9.37742E-16
5.11188E-03 9.11182E-16
5.23711E-03 8.85391E-16
5.36383E-03 8.60343E-16
5.49207E-03 8.36007E-16
5.62181E-03 8.12358E-16
5.75306E-03 7.89381E-16
5.88581E-03 7.67071E-16
6.02007E-03 7.45424E-16
6.15583E-03 7.24431E-16
6.29310E-03 7.04074E-16
