 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Bi,  Z =  83,  atomic weight = 2.08980E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.34969E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 83
 #
 # Electron density: Read from file Data/z_083.d
 #                   Number of data points =  789
 #                   Volume integral = 8.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 7.40000E-24 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 3.03802E-16 cm**2 = 1.08490E+01 a0**2
 # 1st transport cross section = 5.60103E-17 cm**2 = 2.00016E+00 a0**2
 # 2nd transport cross section = 5.36151E-17 cm**2 = 1.91463E+00 a0**2
 #
 #    Absorption cross section = 1.45092E-16 cm**2 = 5.18132E+00 a0**2
 #   Grand total cross section = 4.48914E-16 cm**2 = 1.60310E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.28687E-14
7.61557E-13 1.28687E-14
1.18994E-12 1.28687E-14
1.71346E-12 1.28687E-14
2.33225E-12 1.28687E-14
3.04617E-12 1.28687E-14
3.85530E-12 1.28687E-14
4.75964E-12 1.28687E-14
5.75917E-12 1.28687E-14
6.85391E-12 1.28687E-14
8.04379E-12 1.28687E-14
9.32893E-12 1.28687E-14
1.07092E-11 1.28687E-14
1.21847E-11 1.28687E-14
1.37554E-11 1.28687E-14
1.54213E-11 1.28687E-14
1.71823E-11 1.28687E-14
1.90386E-11 1.28687E-14
2.09900E-11 1.28687E-14
2.30367E-11 1.28687E-14
2.51785E-11 1.28687E-14
2.74156E-11 1.28687E-14
2.97478E-11 1.28687E-14
3.21752E-11 1.28687E-14
3.46979E-11 1.28687E-14
3.73157E-11 1.28687E-14
4.00286E-11 1.28687E-14
4.28368E-11 1.28687E-14
4.57402E-11 1.28687E-14
4.87388E-11 1.28687E-14
5.18325E-11 1.28687E-14
5.50215E-11 1.28687E-14
5.83057E-11 1.28687E-14
6.16850E-11 1.28687E-14
6.51595E-11 1.28687E-14
6.87293E-11 1.28687E-14
7.23943E-11 1.28687E-14
7.61544E-11 1.28687E-14
1.18991E-10 1.28687E-14
1.71347E-10 1.28686E-14
2.33223E-10 1.28686E-14
3.04617E-10 1.28686E-14
3.85531E-10 1.28686E-14
4.75965E-10 1.28686E-14
5.75917E-10 1.28686E-14
6.85389E-10 1.28686E-14
8.04380E-10 1.28686E-14
9.32891E-10 1.28685E-14
1.07092E-09 1.28685E-14
1.21847E-09 1.28685E-14
1.37554E-09 1.28685E-14
1.54213E-09 1.28685E-14
1.71823E-09 1.28684E-14
1.90386E-09 1.28684E-14
2.09900E-09 1.28684E-14
2.30367E-09 1.28684E-14
2.51785E-09 1.28683E-14
2.74156E-09 1.28683E-14
2.97478E-09 1.28683E-14
3.21752E-09 1.28682E-14
3.46978E-09 1.28682E-14
3.73156E-09 1.28682E-14
4.00286E-09 1.28681E-14
4.28368E-09 1.28681E-14
4.57402E-09 1.28680E-14
4.87388E-09 1.28680E-14
5.18326E-09 1.28680E-14
5.50215E-09 1.28679E-14
5.83057E-09 1.28679E-14
6.16850E-09 1.28678E-14
6.51596E-09 1.28678E-14
6.87293E-09 1.28677E-14
7.23942E-09 1.28677E-14
7.61544E-09 1.28676E-14
1.18991E-08 1.28671E-14
1.71347E-08 1.28664E-14
2.33223E-08 1.28655E-14
3.04617E-08 1.28646E-14
3.85531E-08 1.28635E-14
4.75965E-08 1.28623E-14
5.75917E-08 1.28609E-14
6.85389E-08 1.28594E-14
8.04380E-08 1.28578E-14
9.32891E-08 1.28561E-14
1.07092E-07 1.28543E-14
1.21847E-07 1.28523E-14
1.37554E-07 1.28502E-14
1.54213E-07 1.28479E-14
1.71823E-07 1.28456E-14
1.90386E-07 1.28431E-14
2.09900E-07 1.28405E-14
2.30367E-07 1.28378E-14
2.51785E-07 1.28349E-14
2.74156E-07 1.28319E-14
2.97478E-07 1.28288E-14
3.21752E-07 1.28256E-14
3.46978E-07 1.28223E-14
3.73156E-07 1.28188E-14
4.00286E-07 1.28152E-14
4.28368E-07 1.28115E-14
4.57402E-07 1.28076E-14
4.87388E-07 1.28037E-14
5.18325E-07 1.27996E-14
5.50215E-07 1.27954E-14
5.83057E-07 1.27911E-14
6.16850E-07 1.27867E-14
6.51596E-07 1.27821E-14
6.87293E-07 1.27774E-14
7.23942E-07 1.27727E-14
7.61543E-07 1.27678E-14
1.18991E-06 1.27126E-14
1.71347E-06 1.26465E-14
2.33223E-06 1.25705E-14
3.04617E-06 1.24854E-14
3.85531E-06 1.23922E-14
4.75964E-06 1.22919E-14
5.75916E-06 1.21856E-14
6.85388E-06 1.20744E-14
8.04378E-06 1.19593E-14
9.32888E-06 1.18413E-14
1.07092E-05 1.17213E-14
1.21846E-05 1.16003E-14
1.37553E-05 1.14791E-14
1.54212E-05 1.13583E-14
1.71822E-05 1.12385E-14
1.90385E-05 1.11204E-14
2.09899E-05 1.10042E-14
2.30365E-05 1.08904E-14
2.51783E-05 1.07790E-14
2.74153E-05 1.06704E-14
2.97475E-05 1.05644E-14
3.21749E-05 1.04612E-14
3.46974E-05 1.03607E-14
3.73152E-05 1.02627E-14
4.00281E-05 1.01670E-14
4.28362E-05 1.00736E-14
4.57395E-05 9.98221E-15
4.87380E-05 9.89261E-15
5.18317E-05 9.80462E-15
5.50205E-05 9.71805E-15
5.83045E-05 9.63271E-15
6.16838E-05 9.54844E-15
6.51582E-05 9.46512E-15
6.87277E-05 9.38263E-15
7.23925E-05 9.30088E-15
7.61524E-05 9.21982E-15
9.21439E-05 8.90205E-15
1.09658E-04 8.59569E-15
1.28695E-04 8.30339E-15
1.49255E-04 8.02673E-15
1.71338E-04 7.76479E-15
1.94942E-04 7.51476E-15
2.20070E-04 7.27369E-15
2.46720E-04 7.03990E-15
2.74892E-04 6.81327E-15
3.04586E-04 6.59455E-15
3.35803E-04 6.38426E-15
3.68542E-04 6.18207E-15
4.02802E-04 5.98691E-15
4.38585E-04 5.79757E-15
4.75889E-04 5.61336E-15
5.14715E-04 5.43421E-15
5.55063E-04 5.26050E-15
5.96931E-04 5.09250E-15
6.40321E-04 4.93008E-15
6.85233E-04 4.77275E-15
7.31665E-04 4.61994E-15
7.79618E-04 4.47129E-15
8.29092E-04 4.32681E-15
8.80086E-04 4.18668E-15
9.32601E-04 4.05105E-15
9.86636E-04 3.91983E-15
1.04219E-03 3.79274E-15
1.09927E-03 3.66944E-15
1.15786E-03 3.54972E-15
1.21797E-03 3.43357E-15
1.27961E-03 3.32107E-15
1.34276E-03 3.21228E-15
1.40743E-03 3.10712E-15
