 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 6.00000E+03 eV = 2.20496E+02 a.u.
 #
 # Element: Po,  Z =  84,  atomic weight = 2.08982E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.34971E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 84
 #
 # Electron density: Read from file Data/z_084.d
 #                   Number of data points =  771
 #                   Volume integral = 8.40000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.61700E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.80000E-24 cm**3
 #                            Bpol = 1.92841E+01
 #
 # Total elastic cross section = 1.18042E-16 cm**2 = 4.21534E+00 a0**2
 # 1st transport cross section = 3.94125E-18 cm**2 = 1.40745E-01 a0**2
 # 2nd transport cross section = 8.10171E-18 cm**2 = 2.89317E-01 a0**2
 #
 #    Absorption cross section = 2.61950E-17 cm**2 = 9.35440E-01 a0**2
 #   Grand total cross section = 1.44253E-16 cm**2 = 5.15136E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 5.86649E-15
7.61557E-13 5.86649E-15
1.18994E-12 5.86649E-15
1.71346E-12 5.86649E-15
2.33225E-12 5.86649E-15
3.04617E-12 5.86649E-15
3.85530E-12 5.86649E-15
4.75964E-12 5.86649E-15
5.75917E-12 5.86649E-15
6.85391E-12 5.86649E-15
8.04379E-12 5.86649E-15
9.32893E-12 5.86649E-15
1.07092E-11 5.86649E-15
1.21847E-11 5.86649E-15
1.37554E-11 5.86649E-15
1.54213E-11 5.86649E-15
1.71823E-11 5.86649E-15
1.90386E-11 5.86650E-15
2.09900E-11 5.86650E-15
2.30367E-11 5.86650E-15
2.51785E-11 5.86650E-15
2.74156E-11 5.86650E-15
2.97478E-11 5.86650E-15
3.21752E-11 5.86650E-15
3.46979E-11 5.86650E-15
3.73157E-11 5.86650E-15
4.00286E-11 5.86650E-15
4.28368E-11 5.86650E-15
4.57402E-11 5.86651E-15
4.87388E-11 5.86651E-15
5.18325E-11 5.86651E-15
5.50215E-11 5.86651E-15
5.83057E-11 5.86651E-15
6.16850E-11 5.86651E-15
6.51595E-11 5.86651E-15
6.87293E-11 5.86651E-15
7.23943E-11 5.86651E-15
7.61544E-11 5.86652E-15
1.18991E-10 5.86653E-15
1.71347E-10 5.86655E-15
2.33223E-10 5.86657E-15
3.04617E-10 5.86660E-15
3.85531E-10 5.86663E-15
4.75965E-10 5.86666E-15
5.75917E-10 5.86670E-15
6.85389E-10 5.86674E-15
8.04380E-10 5.86678E-15
9.32891E-10 5.86683E-15
1.07092E-09 5.86688E-15
1.21847E-09 5.86693E-15
1.37554E-09 5.86699E-15
1.54213E-09 5.86705E-15
1.71823E-09 5.86711E-15
1.90386E-09 5.86718E-15
2.09900E-09 5.86725E-15
2.30367E-09 5.86732E-15
2.51785E-09 5.86740E-15
2.74156E-09 5.86748E-15
2.97478E-09 5.86756E-15
3.21752E-09 5.86765E-15
3.46978E-09 5.86774E-15
3.73156E-09 5.86784E-15
4.00286E-09 5.86794E-15
4.28368E-09 5.86804E-15
4.57402E-09 5.86814E-15
4.87388E-09 5.86825E-15
5.18326E-09 5.86836E-15
5.50215E-09 5.86848E-15
5.83057E-09 5.86860E-15
6.16850E-09 5.86872E-15
6.51596E-09 5.86884E-15
6.87293E-09 5.86897E-15
7.23942E-09 5.86910E-15
7.61544E-09 5.86924E-15
1.18991E-08 5.87079E-15
1.71347E-08 5.87267E-15
2.33223E-08 5.87490E-15
3.04617E-08 5.87747E-15
3.85531E-08 5.88038E-15
4.75965E-08 5.88362E-15
5.75917E-08 5.88720E-15
6.85389E-08 5.89111E-15
8.04380E-08 5.89535E-15
9.32891E-08 5.89991E-15
1.07092E-07 5.90481E-15
1.21847E-07 5.91002E-15
1.37554E-07 5.91556E-15
1.54213E-07 5.92141E-15
1.71823E-07 5.92758E-15
1.90386E-07 5.93405E-15
2.09900E-07 5.94084E-15
2.30367E-07 5.94792E-15
2.51785E-07 5.95531E-15
2.74156E-07 5.96298E-15
2.97478E-07 5.97095E-15
3.21752E-07 5.97921E-15
3.46978E-07 5.98774E-15
3.73156E-07 5.99656E-15
4.00286E-07 6.00564E-15
4.28368E-07 6.01499E-15
4.57402E-07 6.02461E-15
4.87388E-07 6.03448E-15
5.18325E-07 6.04460E-15
5.50215E-07 6.05496E-15
5.83057E-07 6.06557E-15
6.16850E-07 6.07640E-15
6.51596E-07 6.08747E-15
6.87293E-07 6.09876E-15
7.23942E-07 6.11026E-15
7.61543E-07 6.12198E-15
1.18991E-06 6.24923E-15
1.71347E-06 6.39011E-15
2.33223E-06 6.53777E-15
3.04617E-06 6.68570E-15
3.85531E-06 6.82840E-15
4.75964E-06 6.96179E-15
5.75916E-06 7.08339E-15
6.85388E-06 7.19233E-15
8.04378E-06 7.28904E-15
9.32888E-06 7.37488E-15
1.07092E-05 7.45160E-15
1.21846E-05 7.52098E-15
1.37553E-05 7.58441E-15
