 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Rn,  Z =  86,  atomic weight = 2.22018E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.47907E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 86
 #
 # Electron density: Read from file Data/z_086.d
 #                   Number of data points =  743
 #                   Volume integral = 8.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.30000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.53199E-16 cm**2 = 5.47083E+00 a0**2
 # 1st transport cross section = 1.30751E-17 cm**2 = 4.66920E-01 a0**2
 # 2nd transport cross section = 1.56492E-17 cm**2 = 5.58845E-01 a0**2
 #
 #    Absorption cross section = 3.47256E-17 cm**2 = 1.24007E+00 a0**2
 #   Grand total cross section = 1.87939E-16 cm**2 = 6.71142E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 1.26187E-14
7.61557E-13 1.26187E-14
1.18994E-12 1.26187E-14
1.71346E-12 1.26186E-14
2.33225E-12 1.26186E-14
3.04617E-12 1.26186E-14
3.85530E-12 1.26186E-14
4.75964E-12 1.26186E-14
5.75917E-12 1.26186E-14
6.85391E-12 1.26186E-14
8.04379E-12 1.26186E-14
9.32893E-12 1.26186E-14
1.07092E-11 1.26186E-14
1.21847E-11 1.26186E-14
1.37554E-11 1.26186E-14
1.54213E-11 1.26186E-14
1.71823E-11 1.26186E-14
1.90386E-11 1.26186E-14
2.09900E-11 1.26186E-14
2.30367E-11 1.26186E-14
2.51785E-11 1.26186E-14
2.74156E-11 1.26186E-14
2.97478E-11 1.26186E-14
3.21752E-11 1.26186E-14
3.46979E-11 1.26186E-14
3.73157E-11 1.26186E-14
4.00286E-11 1.26186E-14
4.28368E-11 1.26186E-14
4.57402E-11 1.26186E-14
4.87388E-11 1.26186E-14
5.18325E-11 1.26186E-14
5.50215E-11 1.26186E-14
5.83057E-11 1.26186E-14
6.16850E-11 1.26186E-14
6.51595E-11 1.26186E-14
6.87293E-11 1.26186E-14
7.23943E-11 1.26186E-14
7.61544E-11 1.26186E-14
1.18991E-10 1.26186E-14
1.71347E-10 1.26186E-14
2.33223E-10 1.26185E-14
3.04617E-10 1.26185E-14
3.85531E-10 1.26185E-14
4.75965E-10 1.26184E-14
5.75917E-10 1.26184E-14
6.85389E-10 1.26184E-14
8.04380E-10 1.26183E-14
9.32891E-10 1.26182E-14
1.07092E-09 1.26182E-14
1.21847E-09 1.26181E-14
1.37554E-09 1.26180E-14
1.54213E-09 1.26180E-14
1.71823E-09 1.26179E-14
1.90386E-09 1.26178E-14
2.09900E-09 1.26177E-14
2.30367E-09 1.26176E-14
2.51785E-09 1.26176E-14
2.74156E-09 1.26175E-14
2.97478E-09 1.26174E-14
3.21752E-09 1.26172E-14
3.46978E-09 1.26171E-14
3.73156E-09 1.26170E-14
4.00286E-09 1.26169E-14
4.28368E-09 1.26168E-14
4.57402E-09 1.26167E-14
4.87388E-09 1.26165E-14
5.18326E-09 1.26164E-14
5.50215E-09 1.26162E-14
5.83057E-09 1.26161E-14
6.16850E-09 1.26160E-14
6.51596E-09 1.26158E-14
6.87293E-09 1.26156E-14
7.23942E-09 1.26155E-14
7.61544E-09 1.26153E-14
1.18991E-08 1.26135E-14
1.71347E-08 1.26112E-14
2.33223E-08 1.26085E-14
3.04617E-08 1.26054E-14
3.85531E-08 1.26019E-14
4.75965E-08 1.25980E-14
5.75917E-08 1.25936E-14
6.85389E-08 1.25889E-14
8.04380E-08 1.25838E-14
9.32891E-08 1.25783E-14
1.07092E-07 1.25724E-14
1.21847E-07 1.25661E-14
1.37554E-07 1.25594E-14
1.54213E-07 1.25524E-14
1.71823E-07 1.25449E-14
1.90386E-07 1.25371E-14
2.09900E-07 1.25290E-14
2.30367E-07 1.25204E-14
2.51785E-07 1.25116E-14
2.74156E-07 1.25023E-14
2.97478E-07 1.24928E-14
3.21752E-07 1.24828E-14
3.46978E-07 1.24726E-14
3.73156E-07 1.24620E-14
4.00286E-07 1.24511E-14
4.28368E-07 1.24399E-14
4.57402E-07 1.24284E-14
4.87388E-07 1.24166E-14
5.18325E-07 1.24044E-14
5.50215E-07 1.23920E-14
5.83057E-07 1.23794E-14
6.16850E-07 1.23664E-14
6.51596E-07 1.23532E-14
6.87293E-07 1.23397E-14
7.23942E-07 1.23259E-14
7.61543E-07 1.23119E-14
1.18991E-06 1.21602E-14
1.71347E-06 1.19923E-14
2.33223E-06 1.18155E-14
3.04617E-06 1.16365E-14
3.85531E-06 1.14605E-14
4.75964E-06 1.12912E-14
5.75916E-06 1.11309E-14
6.85388E-06 1.09802E-14
8.04378E-06 1.08389E-14
9.32888E-06 1.07059E-14
1.07092E-05 1.05795E-14
1.21846E-05 1.04582E-14
1.37553E-05 1.03407E-14
1.54212E-05 1.02258E-14
1.71822E-05 1.01131E-14
1.90385E-05 1.00024E-14
2.09899E-05 9.89385E-15
2.30365E-05 9.78778E-15
2.51783E-05 9.68456E-15
2.74153E-05 9.58444E-15
2.97475E-05 9.48751E-15
3.21749E-05 9.39367E-15
3.46974E-05 9.30262E-15
3.73152E-05 9.21396E-15
4.00281E-05 9.12725E-15
4.28362E-05 9.04207E-15
