 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+02 eV = 2.93995E+01 a.u.
 #
 # Element: Rn,  Z =  86,  atomic weight = 2.22018E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.47907E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 86
 #
 # Electron density: Read from file Data/z_086.d
 #                   Number of data points =  743
 #                   Volume integral = 8.60000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.30000E-24 cm**3
 #                            Bpol = 6.84653E+00
 #
 # Total elastic cross section = 3.48860E-16 cm**2 = 1.24580E+01 a0**2
 # 1st transport cross section = 6.51841E-17 cm**2 = 2.32777E+00 a0**2
 # 2nd transport cross section = 7.07849E-17 cm**2 = 2.52778E+00 a0**2
 #
 #    Absorption cross section = 1.59962E-16 cm**2 = 5.71235E+00 a0**2
 #   Grand total cross section = 5.08845E-16 cm**2 = 1.81712E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 9.98071E-15
7.61557E-13 9.98071E-15
1.18994E-12 9.98071E-15
1.71346E-12 9.98071E-15
2.33225E-12 9.98071E-15
3.04617E-12 9.98071E-15
3.85530E-12 9.98071E-15
4.75964E-12 9.98071E-15
5.75917E-12 9.98071E-15
6.85391E-12 9.98071E-15
8.04379E-12 9.98071E-15
9.32893E-12 9.98071E-15
1.07092E-11 9.98071E-15
1.21847E-11 9.98071E-15
1.37554E-11 9.98071E-15
1.54213E-11 9.98071E-15
1.71823E-11 9.98071E-15
1.90386E-11 9.98071E-15
2.09900E-11 9.98071E-15
2.30367E-11 9.98071E-15
2.51785E-11 9.98071E-15
2.74156E-11 9.98071E-15
2.97478E-11 9.98071E-15
3.21752E-11 9.98071E-15
3.46979E-11 9.98071E-15
3.73157E-11 9.98071E-15
4.00286E-11 9.98071E-15
4.28368E-11 9.98071E-15
4.57402E-11 9.98071E-15
4.87388E-11 9.98071E-15
5.18325E-11 9.98071E-15
5.50215E-11 9.98071E-15
5.83057E-11 9.98070E-15
6.16850E-11 9.98070E-15
6.51595E-11 9.98070E-15
6.87293E-11 9.98070E-15
7.23943E-11 9.98070E-15
7.61544E-11 9.98070E-15
1.18991E-10 9.98070E-15
1.71347E-10 9.98070E-15
2.33223E-10 9.98069E-15
3.04617E-10 9.98069E-15
3.85531E-10 9.98068E-15
4.75965E-10 9.98068E-15
5.75917E-10 9.98067E-15
6.85389E-10 9.98066E-15
8.04380E-10 9.98065E-15
9.32891E-10 9.98065E-15
1.07092E-09 9.98064E-15
1.21847E-09 9.98063E-15
1.37554E-09 9.98062E-15
1.54213E-09 9.98060E-15
1.71823E-09 9.98059E-15
1.90386E-09 9.98058E-15
2.09900E-09 9.98057E-15
2.30367E-09 9.98055E-15
2.51785E-09 9.98054E-15
2.74156E-09 9.98052E-15
2.97478E-09 9.98051E-15
3.21752E-09 9.98049E-15
3.46978E-09 9.98047E-15
3.73156E-09 9.98045E-15
4.00286E-09 9.98044E-15
4.28368E-09 9.98042E-15
4.57402E-09 9.98040E-15
4.87388E-09 9.98038E-15
5.18326E-09 9.98036E-15
5.50215E-09 9.98033E-15
5.83057E-09 9.98031E-15
6.16850E-09 9.98029E-15
6.51596E-09 9.98026E-15
6.87293E-09 9.98024E-15
7.23942E-09 9.98022E-15
7.61544E-09 9.98019E-15
1.18991E-08 9.97990E-15
1.71347E-08 9.97954E-15
2.33223E-08 9.97912E-15
3.04617E-08 9.97863E-15
3.85531E-08 9.97808E-15
4.75965E-08 9.97747E-15
5.75917E-08 9.97679E-15
6.85389E-08 9.97604E-15
8.04380E-08 9.97524E-15
9.32891E-08 9.97436E-15
1.07092E-07 9.97343E-15
1.21847E-07 9.97242E-15
1.37554E-07 9.97136E-15
1.54213E-07 9.97023E-15
1.71823E-07 9.96904E-15
1.90386E-07 9.96778E-15
2.09900E-07 9.96646E-15
2.30367E-07 9.96508E-15
2.51785E-07 9.96363E-15
2.74156E-07 9.96212E-15
2.97478E-07 9.96055E-15
3.21752E-07 9.95891E-15
3.46978E-07 9.95722E-15
3.73156E-07 9.95546E-15
4.00286E-07 9.95363E-15
4.28368E-07 9.95175E-15
4.57402E-07 9.94981E-15
4.87388E-07 9.94780E-15
5.18325E-07 9.94573E-15
5.50215E-07 9.94360E-15
5.83057E-07 9.94141E-15
6.16850E-07 9.93916E-15
6.51596E-07 9.93685E-15
6.87293E-07 9.93447E-15
7.23942E-07 9.93204E-15
7.61543E-07 9.92955E-15
1.18991E-06 9.90142E-15
1.71347E-06 9.86764E-15
2.33223E-06 9.82856E-15
3.04617E-06 9.78458E-15
3.85531E-06 9.73612E-15
4.75964E-06 9.68362E-15
5.75916E-06 9.62757E-15
6.85388E-06 9.56844E-15
8.04378E-06 9.50672E-15
9.32888E-06 9.44288E-15
1.07092E-05 9.37738E-15
1.21846E-05 9.31066E-15
1.37553E-05 9.24314E-15
1.54212E-05 9.17519E-15
1.71822E-05 9.10715E-15
1.90385E-05 9.03934E-15
2.09899E-05 8.97201E-15
2.30365E-05 8.90538E-15
2.51783E-05 8.83964E-15
2.74153E-05 8.77492E-15
2.97475E-05 8.71133E-15
3.21749E-05 8.64893E-15
3.46974E-05 8.58776E-15
3.73152E-05 8.52782E-15
4.00281E-05 8.46908E-15
4.28362E-05 8.41150E-15
4.57395E-05 8.35502E-15
4.87380E-05 8.29958E-15
5.18317E-05 8.24507E-15
5.50205E-05 8.19143E-15
5.83045E-05 8.13855E-15
6.16838E-05 8.08635E-15
6.51582E-05 8.03474E-15
6.87277E-05 7.98365E-15
7.23925E-05 7.93301E-15
7.61524E-05 7.88275E-15
9.21439E-05 7.68478E-15
1.09658E-04 7.49097E-15
1.28695E-04 7.30193E-15
1.49255E-04 7.11908E-15
1.71338E-04 6.94333E-15
1.94942E-04 6.77446E-15
2.20070E-04 6.61135E-15
2.46720E-04 6.45261E-15
2.74892E-04 6.29723E-15
3.04586E-04 6.14493E-15
3.35803E-04 5.99597E-15
3.68542E-04 5.85077E-15
4.02802E-04 5.70947E-15
4.38585E-04 5.57185E-15
4.75889E-04 5.43738E-15
5.14715E-04 5.30551E-15
5.55063E-04 5.17596E-15
5.96931E-04 5.04872E-15
6.40321E-04 4.92398E-15
6.85233E-04 4.80191E-15
7.31665E-04 4.68255E-15
7.79618E-04 4.56571E-15
8.29092E-04 4.45114E-15
8.80086E-04 4.33862E-15
9.32601E-04 4.22809E-15
9.86636E-04 4.11961E-15
1.04219E-03 4.01331E-15
1.09927E-03 3.90928E-15
1.15786E-03 3.80747E-15
1.21797E-03 3.70779E-15
1.27961E-03 3.61008E-15
1.34276E-03 3.51427E-15
1.40743E-03 3.42037E-15
1.47362E-03 3.32843E-15
1.54133E-03 3.23853E-15
1.61056E-03 3.15067E-15
1.68131E-03 3.06482E-15
1.75357E-03 2.98089E-15
1.82735E-03 2.89879E-15
1.90265E-03 2.81849E-15
1.97947E-03 2.74001E-15
2.05780E-03 2.66338E-15
2.13765E-03 2.58862E-15
2.21902E-03 2.51572E-15
2.30190E-03 2.44461E-15
2.38630E-03 2.37523E-15
2.47222E-03 2.30753E-15
2.55965E-03 2.24148E-15
2.64859E-03 2.17710E-15
2.73905E-03 2.11439E-15
2.83103E-03 2.05335E-15
2.92452E-03 1.99392E-15
3.01952E-03 1.93607E-15
3.11604E-03 1.87972E-15
3.21407E-03 1.82486E-15
3.31362E-03 1.77146E-15
3.41468E-03 1.71952E-15
3.51725E-03 1.66903E-15
3.62133E-03 1.61996E-15
3.72692E-03 1.57226E-15
3.83403E-03 1.52589E-15
