 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element: Fr,  Z =  87,  atomic weight = 2.23020E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.48881E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 87
 #
 # Electron density: Read from file Data/z_087.d
 #                   Number of data points =  901
 #                   Volume integral = 8.70000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 4.87000E-23 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 1.52992E-16 cm**2 = 5.46343E+00 a0**2
 # 1st transport cross section = 4.92176E-18 cm**2 = 1.75759E-01 a0**2
 # 2nd transport cross section = 1.00105E-17 cm**2 = 3.57482E-01 a0**2
 #
 #    Absorption cross section = 4.90091E-17 cm**2 = 1.75015E+00 a0**2
 #   Grand total cross section = 2.02023E-16 cm**2 = 7.21438E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.02072E-15
7.61557E-13 4.02072E-15
1.18994E-12 4.02072E-15
1.71346E-12 4.02072E-15
2.33225E-12 4.02072E-15
3.04617E-12 4.02072E-15
3.85530E-12 4.02072E-15
4.75964E-12 4.02072E-15
5.75917E-12 4.02072E-15
6.85391E-12 4.02072E-15
8.04379E-12 4.02072E-15
9.32893E-12 4.02072E-15
1.07092E-11 4.02073E-15
1.21847E-11 4.02073E-15
1.37554E-11 4.02073E-15
1.54213E-11 4.02073E-15
1.71823E-11 4.02073E-15
1.90386E-11 4.02073E-15
2.09900E-11 4.02073E-15
2.30367E-11 4.02073E-15
2.51785E-11 4.02074E-15
2.74156E-11 4.02074E-15
2.97478E-11 4.02074E-15
3.21752E-11 4.02074E-15
3.46979E-11 4.02074E-15
3.73157E-11 4.02075E-15
4.00286E-11 4.02075E-15
4.28368E-11 4.02075E-15
4.57402E-11 4.02075E-15
4.87388E-11 4.02075E-15
5.18325E-11 4.02076E-15
5.50215E-11 4.02076E-15
5.83057E-11 4.02076E-15
6.16850E-11 4.02076E-15
6.51595E-11 4.02077E-15
6.87293E-11 4.02077E-15
7.23943E-11 4.02077E-15
7.61544E-11 4.02078E-15
1.18991E-10 4.02081E-15
1.71347E-10 4.02085E-15
2.33223E-10 4.02090E-15
3.04617E-10 4.02095E-15
3.85531E-10 4.02101E-15
4.75965E-10 4.02108E-15
5.75917E-10 4.02116E-15
6.85389E-10 4.02124E-15
8.04380E-10 4.02133E-15
9.32891E-10 4.02143E-15
1.07092E-09 4.02154E-15
1.21847E-09 4.02165E-15
1.37554E-09 4.02177E-15
1.54213E-09 4.02190E-15
1.71823E-09 4.02204E-15
1.90386E-09 4.02218E-15
2.09900E-09 4.02233E-15
2.30367E-09 4.02248E-15
2.51785E-09 4.02265E-15
2.74156E-09 4.02282E-15
2.97478E-09 4.02300E-15
3.21752E-09 4.02319E-15
3.46978E-09 4.02338E-15
3.73156E-09 4.02358E-15
4.00286E-09 4.02379E-15
4.28368E-09 4.02400E-15
4.57402E-09 4.02423E-15
4.87388E-09 4.02446E-15
5.18326E-09 4.02470E-15
5.50215E-09 4.02494E-15
5.83057E-09 4.02519E-15
6.16850E-09 4.02545E-15
6.51596E-09 4.02572E-15
6.87293E-09 4.02599E-15
7.23942E-09 4.02628E-15
7.61544E-09 4.02657E-15
1.18991E-08 4.02986E-15
1.71347E-08 4.03390E-15
2.33223E-08 4.03868E-15
3.04617E-08 4.04422E-15
3.85531E-08 4.05051E-15
4.75965E-08 4.05757E-15
5.75917E-08 4.06539E-15
6.85389E-08 4.07400E-15
8.04380E-08 4.08340E-15
9.32891E-08 4.09360E-15
1.07092E-07 4.10460E-15
1.21847E-07 4.11643E-15
1.37554E-07 4.12908E-15
1.54213E-07 4.14258E-15
1.71823E-07 4.15693E-15
1.90386E-07 4.17215E-15
2.09900E-07 4.18825E-15
2.30367E-07 4.20524E-15
2.51785E-07 4.22314E-15
2.74156E-07 4.24195E-15
2.97478E-07 4.26170E-15
3.21752E-07 4.28238E-15
3.46978E-07 4.30403E-15
3.73156E-07 4.32664E-15
4.00286E-07 4.35023E-15
4.28368E-07 4.37481E-15
4.57402E-07 4.40039E-15
4.87388E-07 4.42699E-15
5.18325E-07 4.45461E-15
5.50215E-07 4.48327E-15
5.83057E-07 4.51297E-15
6.16850E-07 4.54372E-15
6.51596E-07 4.57554E-15
6.87293E-07 4.60842E-15
7.23942E-07 4.64237E-15
7.61543E-07 4.67740E-15
1.18991E-06 5.08739E-15
1.71347E-06 5.60278E-15
2.33223E-06 6.20961E-15
3.04617E-06 6.88294E-15
3.85531E-06 7.59067E-15
4.75964E-06 8.29911E-15
5.75916E-06 8.97847E-15
6.85388E-06 9.60700E-15
8.04378E-06 1.01728E-14
9.32888E-06 1.06735E-14
1.07092E-05 1.11139E-14
1.21846E-05 1.15033E-14
1.37553E-05 1.18522E-14
1.54212E-05 1.21697E-14
1.71822E-05 1.24618E-14
1.90385E-05 1.27312E-14
2.09899E-05 1.29771E-14
2.30365E-05 1.31965E-14
2.51783E-05 1.33854E-14
2.74153E-05 1.35401E-14
2.97475E-05 1.36584E-14
3.21749E-05 1.37404E-14
3.46974E-05 1.37883E-14
3.73152E-05 1.38061E-14
4.00281E-05 1.37990E-14
4.28362E-05 1.37723E-14
4.57395E-05 1.37306E-14
4.87380E-05 1.36774E-14
5.18317E-05 1.36144E-14
5.50205E-05 1.35423E-14
5.83045E-05 1.34604E-14
6.16838E-05 1.33676E-14
6.51582E-05 1.32628E-14
6.87277E-05 1.31456E-14
7.23925E-05 1.30162E-14
7.61524E-05 1.28757E-14
9.21439E-05 1.22467E-14
1.09658E-04 1.15929E-14
1.28695E-04 1.09237E-14
1.49255E-04 1.02361E-14
1.71338E-04 9.57962E-15
1.94942E-04 8.96221E-15
2.20070E-04 8.36737E-15
2.46720E-04 7.81270E-15
2.74892E-04 7.30477E-15
3.04586E-04 6.82737E-15
3.35803E-04 6.38360E-15
3.68542E-04 5.97929E-15
4.02802E-04 5.60298E-15
4.38585E-04 5.25180E-15
4.75889E-04 4.93052E-15
5.14715E-04 4.63264E-15
5.55063E-04 4.35337E-15
5.96931E-04 4.09603E-15
6.40321E-04 3.85769E-15
6.85233E-04 3.63349E-15
7.31665E-04 3.42521E-15
7.79618E-04 3.23212E-15
8.29092E-04 3.05014E-15
8.80086E-04 2.87971E-15
9.32601E-04 2.72129E-15
9.86636E-04 2.57187E-15
1.04219E-03 2.43103E-15
1.09927E-03 2.29963E-15
1.15786E-03 2.17581E-15
1.21797E-03 2.05862E-15
1.27961E-03 1.94894E-15
1.34276E-03 1.84578E-15
1.40743E-03 1.74803E-15
1.47362E-03 1.65630E-15
1.54133E-03 1.57022E-15
1.61056E-03 1.48872E-15
1.68131E-03 1.41205E-15
1.75357E-03 1.34020E-15
1.82735E-03 1.27227E-15
1.90265E-03 1.20820E-15
1.97947E-03 1.14815E-15
2.05780E-03 1.09145E-15
2.13765E-03 1.03785E-15
2.21902E-03 9.87534E-16
2.30190E-03 9.40072E-16
2.38630E-03 8.95144E-16
2.47222E-03 8.52869E-16
2.55965E-03 8.13032E-16
2.64859E-03 7.75306E-16
2.73905E-03 7.39736E-16
2.83103E-03 7.06232E-16
2.92452E-03 6.74514E-16
3.01952E-03 6.44553E-16
3.11604E-03 6.16318E-16
3.21407E-03 5.89594E-16
3.31362E-03 5.64304E-16
3.41468E-03 5.40428E-16
3.51725E-03 5.17821E-16
3.62133E-03 4.96384E-16
3.72692E-03 4.76096E-16
3.83403E-03 4.56862E-16
3.94265E-03 4.38595E-16
4.05278E-03 4.21263E-16
4.16442E-03 4.04805E-16
4.27757E-03 3.89160E-16
4.39223E-03 3.74288E-16
4.50840E-03 3.60143E-16
4.62608E-03 3.46686E-16
4.74527E-03 3.33880E-16
4.86597E-03 3.21678E-16
4.98817E-03 3.10056E-16
5.11188E-03 2.98988E-16
5.23711E-03 2.88421E-16
5.36383E-03 2.78334E-16
5.49207E-03 2.68720E-16
5.62181E-03 2.59524E-16
5.75306E-03 2.50721E-16
5.88581E-03 2.42321E-16
6.02007E-03 2.34277E-16
6.15583E-03 2.26555E-16
6.29310E-03 2.19176E-16
6.43187E-03 2.12110E-16
6.57214E-03 2.05311E-16
6.71392E-03 1.98804E-16
6.85720E-03 1.92577E-16
7.00198E-03 1.86577E-16
7.14827E-03 1.80819E-16
7.29605E-03 1.75315E-16
