 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+02 eV = 1.83747E+01 a.u.
 #
 # Element: Ra,  Z =  88,  atomic weight = 2.26025E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.51783E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 88
 #
 # Electron density: Read from file Data/z_088.d
 #                   Number of data points =  859
 #                   Volume integral = 8.80000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.83000E-23 cm**3
 #                            Bpol = 5.30330E+00
 #
 # Total elastic cross section = 3.91732E-16 cm**2 = 1.39890E+01 a0**2
 # 1st transport cross section = 3.21808E-17 cm**2 = 1.14920E+00 a0**2
 # 2nd transport cross section = 5.90677E-17 cm**2 = 2.10934E+00 a0**2
 #
 #    Absorption cross section = 4.23607E-16 cm**2 = 1.51273E+01 a0**2
 #   Grand total cross section = 8.15352E-16 cm**2 = 2.91167E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.08121E-14
7.61557E-13 1.08121E-14
1.18994E-12 1.08121E-14
1.71346E-12 1.08121E-14
2.33225E-12 1.08121E-14
3.04617E-12 1.08121E-14
3.85530E-12 1.08121E-14
4.75964E-12 1.08121E-14
5.75917E-12 1.08121E-14
6.85391E-12 1.08121E-14
8.04379E-12 1.08121E-14
9.32893E-12 1.08121E-14
1.07092E-11 1.08121E-14
1.21847E-11 1.08121E-14
1.37554E-11 1.08121E-14
1.54213E-11 1.08121E-14
1.71823E-11 1.08121E-14
1.90386E-11 1.08121E-14
2.09900E-11 1.08121E-14
2.30367E-11 1.08121E-14
2.51785E-11 1.08121E-14
2.74156E-11 1.08121E-14
2.97478E-11 1.08121E-14
3.21752E-11 1.08121E-14
3.46979E-11 1.08121E-14
3.73157E-11 1.08121E-14
4.00286E-11 1.08121E-14
4.28368E-11 1.08121E-14
4.57402E-11 1.08121E-14
4.87388E-11 1.08121E-14
5.18325E-11 1.08121E-14
5.50215E-11 1.08121E-14
5.83057E-11 1.08121E-14
6.16850E-11 1.08121E-14
6.51595E-11 1.08121E-14
6.87293E-11 1.08121E-14
7.23943E-11 1.08121E-14
7.61544E-11 1.08121E-14
1.18991E-10 1.08121E-14
1.71347E-10 1.08121E-14
2.33223E-10 1.08120E-14
3.04617E-10 1.08120E-14
3.85531E-10 1.08120E-14
4.75965E-10 1.08120E-14
5.75917E-10 1.08120E-14
6.85389E-10 1.08120E-14
8.04380E-10 1.08119E-14
9.32891E-10 1.08119E-14
1.07092E-09 1.08119E-14
1.21847E-09 1.08119E-14
1.37554E-09 1.08118E-14
1.54213E-09 1.08118E-14
1.71823E-09 1.08118E-14
1.90386E-09 1.08117E-14
2.09900E-09 1.08117E-14
2.30367E-09 1.08116E-14
2.51785E-09 1.08116E-14
2.74156E-09 1.08116E-14
2.97478E-09 1.08115E-14
3.21752E-09 1.08115E-14
3.46978E-09 1.08114E-14
3.73156E-09 1.08114E-14
4.00286E-09 1.08113E-14
4.28368E-09 1.08112E-14
4.57402E-09 1.08112E-14
4.87388E-09 1.08111E-14
5.18326E-09 1.08111E-14
5.50215E-09 1.08110E-14
5.83057E-09 1.08109E-14
6.16850E-09 1.08109E-14
6.51596E-09 1.08108E-14
6.87293E-09 1.08107E-14
7.23942E-09 1.08107E-14
7.61544E-09 1.08106E-14
1.18991E-08 1.08097E-14
1.71347E-08 1.08087E-14
2.33223E-08 1.08075E-14
3.04617E-08 1.08061E-14
3.85531E-08 1.08045E-14
4.75965E-08 1.08027E-14
5.75917E-08 1.08007E-14
6.85389E-08 1.07986E-14
8.04380E-08 1.07962E-14
9.32891E-08 1.07937E-14
1.07092E-07 1.07909E-14
1.21847E-07 1.07880E-14
1.37554E-07 1.07849E-14
1.54213E-07 1.07817E-14
1.71823E-07 1.07782E-14
1.90386E-07 1.07746E-14
2.09900E-07 1.07707E-14
2.30367E-07 1.07667E-14
2.51785E-07 1.07625E-14
2.74156E-07 1.07581E-14
2.97478E-07 1.07535E-14
3.21752E-07 1.07488E-14
3.46978E-07 1.07439E-14
3.73156E-07 1.07387E-14
4.00286E-07 1.07334E-14
4.28368E-07 1.07280E-14
4.57402E-07 1.07223E-14
4.87388E-07 1.07165E-14
