 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+02 eV = 1.28623E+01 a.u.
 #
 # Element: Ra,  Z =  88,  atomic weight = 2.26025E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.51783E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 88
 #
 # Electron density: Read from file Data/z_088.d
 #                   Number of data points =  859
 #                   Volume integral = 8.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.83000E-23 cm**3
 #                            Bpol = 4.33013E+00
 #
 # Total elastic cross section = 7.91149E-16 cm**2 = 2.82524E+01 a0**2
 # 1st transport cross section = 8.57797E-17 cm**2 = 3.06325E+00 a0**2
 # 2nd transport cross section = 1.35302E-16 cm**2 = 4.83172E+00 a0**2
 #
 #    Absorption cross section = 5.54577E-16 cm**2 = 1.98043E+01 a0**2
 #   Grand total cross section = 1.34581E-15 cm**2 = 4.80598E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 6.47477E-14
7.61557E-13 6.47477E-14
1.18994E-12 6.47476E-14
1.71346E-12 6.47476E-14
2.33225E-12 6.47476E-14
3.04617E-12 6.47476E-14
3.85530E-12 6.47476E-14
4.75964E-12 6.47476E-14
5.75917E-12 6.47476E-14
6.85391E-12 6.47476E-14
8.04379E-12 6.47476E-14
9.32893E-12 6.47476E-14
1.07092E-11 6.47476E-14
1.21847E-11 6.47476E-14
1.37554E-11 6.47476E-14
1.54213E-11 6.47476E-14
1.71823E-11 6.47476E-14
1.90386E-11 6.47476E-14
2.09900E-11 6.47476E-14
2.30367E-11 6.47476E-14
2.51785E-11 6.47476E-14
2.74156E-11 6.47476E-14
2.97478E-11 6.47476E-14
3.21752E-11 6.47476E-14
3.46979E-11 6.47476E-14
3.73157E-11 6.47476E-14
4.00286E-11 6.47476E-14
4.28368E-11 6.47476E-14
4.57402E-11 6.47476E-14
4.87388E-11 6.47476E-14
5.18325E-11 6.47476E-14
5.50215E-11 6.47476E-14
5.83057E-11 6.47476E-14
6.16850E-11 6.47476E-14
6.51595E-11 6.47476E-14
6.87293E-11 6.47476E-14
7.23943E-11 6.47476E-14
7.61544E-11 6.47476E-14
1.18991E-10 6.47476E-14
1.71347E-10 6.47475E-14
2.33223E-10 6.47475E-14
3.04617E-10 6.47475E-14
3.85531E-10 6.47474E-14
4.75965E-10 6.47474E-14
5.75917E-10 6.47473E-14
6.85389E-10 6.47472E-14
8.04380E-10 6.47472E-14
9.32891E-10 6.47471E-14
1.07092E-09 6.47470E-14
1.21847E-09 6.47469E-14
1.37554E-09 6.47468E-14
1.54213E-09 6.47467E-14
1.71823E-09 6.47466E-14
1.90386E-09 6.47465E-14
2.09900E-09 6.47464E-14
2.30367E-09 6.47463E-14
2.51785E-09 6.47461E-14
2.74156E-09 6.47460E-14
2.97478E-09 6.47458E-14
3.21752E-09 6.47457E-14
3.46978E-09 6.47455E-14
3.73156E-09 6.47454E-14
4.00286E-09 6.47452E-14
4.28368E-09 6.47451E-14
4.57402E-09 6.47449E-14
4.87388E-09 6.47447E-14
5.18326E-09 6.47445E-14
5.50215E-09 6.47443E-14
5.83057E-09 6.47441E-14
6.16850E-09 6.47439E-14
6.51596E-09 6.47437E-14
6.87293E-09 6.47435E-14
7.23942E-09 6.47433E-14
7.61544E-09 6.47430E-14
1.18991E-08 6.47404E-14
1.71347E-08 6.47373E-14
2.33223E-08 6.47335E-14
3.04617E-08 6.47292E-14
3.85531E-08 6.47243E-14
4.75965E-08 6.47188E-14
5.75917E-08 6.47128E-14
6.85389E-08 6.47061E-14
8.04380E-08 6.46989E-14
9.32891E-08 6.46912E-14
1.07092E-07 6.46828E-14
1.21847E-07 6.46739E-14
1.37554E-07 6.46644E-14
1.54213E-07 6.46543E-14
1.71823E-07 6.46437E-14
1.90386E-07 6.46325E-14
2.09900E-07 6.46207E-14
2.30367E-07 6.46083E-14
2.51785E-07 6.45954E-14
2.74156E-07 6.45819E-14
2.97478E-07 6.45679E-14
3.21752E-07 6.45533E-14
3.46978E-07 6.45381E-14
3.73156E-07 6.45224E-14
4.00286E-07 6.45060E-14
4.28368E-07 6.44892E-14
4.57402E-07 6.44717E-14
4.87388E-07 6.44538E-14
5.18325E-07 6.44352E-14
5.50215E-07 6.44161E-14
5.83057E-07 6.43964E-14
6.16850E-07 6.43762E-14
6.51596E-07 6.43554E-14
6.87293E-07 6.43341E-14
7.23942E-07 6.43122E-14
7.61543E-07 6.42898E-14
1.18991E-06 6.40356E-14
1.71347E-06 6.37281E-14
2.33223E-06 6.33691E-14
3.04617E-06 6.29609E-14
3.85531E-06 6.25058E-14
4.75964E-06 6.20064E-14
5.75916E-06 6.14655E-14
6.85388E-06 6.08862E-14
8.04378E-06 6.02715E-14
9.32888E-06 5.96248E-14
1.07092E-05 5.89492E-14
1.21846E-05 5.82481E-14
1.37553E-05 5.75249E-14
1.54212E-05 5.67828E-14
1.71822E-05 5.60250E-14
1.90385E-05 5.52547E-14
2.09899E-05 5.44750E-14
2.30365E-05 5.36887E-14
2.51783E-05 5.28986E-14
2.74153E-05 5.21073E-14
2.97475E-05 5.13172E-14
3.21749E-05 5.05306E-14
3.46974E-05 4.97494E-14
3.73152E-05 4.89755E-14
4.00281E-05 4.82106E-14
4.28362E-05 4.74559E-14
4.57395E-05 4.67129E-14
4.87380E-05 4.59824E-14
5.18317E-05 4.52654E-14
5.50205E-05 4.45626E-14
5.83045E-05 4.38743E-14
6.16838E-05 4.32009E-14
6.51582E-05 4.25427E-14
6.87277E-05 4.18997E-14
7.23925E-05 4.12717E-14
7.61524E-05 4.06588E-14
9.21439E-05 3.83495E-14
1.09658E-04 3.62452E-14
1.28695E-04 3.43090E-14
1.49255E-04 3.25046E-14
1.71338E-04 3.08033E-14
1.94942E-04 2.91866E-14
2.20070E-04 2.76462E-14
2.46720E-04 2.61813E-14
2.74892E-04 2.47949E-14
3.04586E-04 2.34900E-14
3.35803E-04 2.22678E-14
3.68542E-04 2.11257E-14
4.02802E-04 2.00578E-14
4.38585E-04 1.90562E-14
4.75889E-04 1.81124E-14
5.14715E-04 1.72186E-14
5.55063E-04 1.63691E-14
5.96931E-04 1.55605E-14
6.40321E-04 1.47911E-14
6.85233E-04 1.40606E-14
7.31665E-04 1.33691E-14
7.79618E-04 1.27161E-14
8.29092E-04 1.21006E-14
8.80086E-04 1.15202E-14
9.32601E-04 1.09722E-14
9.86636E-04 1.04535E-14
1.04219E-03 9.96121E-15
1.09927E-03 9.49307E-15
1.15786E-03 9.04751E-15
1.21797E-03 8.62365E-15
1.27961E-03 8.22106E-15
1.34276E-03 7.83945E-15
1.40743E-03 7.47843E-15
1.47362E-03 7.13730E-15
1.54133E-03 6.81502E-15
1.61056E-03 6.51030E-15
1.68131E-03 6.22172E-15
1.75357E-03 5.94796E-15
1.82735E-03 5.68792E-15
1.90265E-03 5.44076E-15
1.97947E-03 5.20594E-15
2.05780E-03 4.98309E-15
2.13765E-03 4.77192E-15
2.21902E-03 4.57207E-15
2.30190E-03 4.38311E-15
2.38630E-03 4.20444E-15
2.47222E-03 4.03536E-15
2.55965E-03 3.87516E-15
2.64859E-03 3.72314E-15
2.73905E-03 3.57871E-15
2.83103E-03 3.44141E-15
2.92452E-03 3.31090E-15
3.01952E-03 3.18692E-15
3.11604E-03 3.06923E-15
3.21407E-03 2.95760E-15
3.31362E-03 2.85173E-15
3.41468E-03 2.75128E-15
3.51725E-03 2.65589E-15
3.62133E-03 2.56516E-15
3.72692E-03 2.47873E-15
3.83403E-03 2.39630E-15
3.94265E-03 2.31762E-15
4.05278E-03 2.24248E-15
4.16442E-03 2.17075E-15
4.27757E-03 2.10226E-15
4.39223E-03 2.03688E-15
4.50840E-03 1.97445E-15
4.62608E-03 1.91478E-15
4.74527E-03 1.85769E-15
4.86597E-03 1.80299E-15
4.98817E-03 1.75050E-15
5.11188E-03 1.70009E-15
5.23711E-03 1.65163E-15
5.36383E-03 1.60503E-15
5.49207E-03 1.56020E-15
5.62181E-03 1.51707E-15
5.75306E-03 1.47557E-15
5.88581E-03 1.43559E-15
6.02007E-03 1.39708E-15
6.15583E-03 1.35993E-15
6.29310E-03 1.32407E-15
6.43187E-03 1.28943E-15
6.57214E-03 1.25596E-15
6.71392E-03 1.22360E-15
6.85720E-03 1.19231E-15
7.00198E-03 1.16206E-15
7.14827E-03 1.13279E-15
7.29605E-03 1.10448E-15
7.44534E-03 1.07707E-15
7.59612E-03 1.05054E-15
7.97965E-03 9.87775E-16
8.37255E-03 9.29851E-16
8.77480E-03 8.76442E-16
9.18641E-03 8.27127E-16
9.60736E-03 7.81513E-16
1.00376E-02 7.39409E-16
1.04773E-02 7.00683E-16
1.09262E-02 6.65019E-16
1.13844E-02 6.32027E-16
1.18520E-02 6.01519E-16
1.23288E-02 5.73454E-16
1.28150E-02 5.47636E-16
1.33104E-02 5.23690E-16
1.38150E-02 5.01373E-16
1.43290E-02 4.80675E-16
1.48521E-02 4.61539E-16
1.53845E-02 4.43682E-16
1.59262E-02 4.26831E-16
1.64770E-02 4.10958E-16
1.70371E-02 3.96118E-16
1.76063E-02 3.82172E-16
1.81848E-02 3.68867E-16
1.87724E-02 3.56125E-16
1.93692E-02 3.44048E-16
1.99751E-02 3.32634E-16
2.05901E-02 3.21698E-16
2.12143E-02 3.11110E-16
2.18476E-02 3.00945E-16
2.24900E-02 2.91293E-16
2.31415E-02 2.82059E-16
2.38021E-02 2.73093E-16
2.44717E-02 2.64400E-16
2.51504E-02 2.56095E-16
2.58382E-02 2.48174E-16
2.65349E-02 2.40506E-16
2.72407E-02 2.33028E-16
2.79555E-02 2.25825E-16
2.86793E-02 2.18959E-16
2.94120E-02 2.12350E-16
3.01537E-02 2.05899E-16
3.09043E-02 1.99633E-16
3.16639E-02 1.93636E-16
3.24324E-02 1.87893E-16
3.32098E-02 1.82305E-16
3.39961E-02 1.76842E-16
3.47912E-02 1.71573E-16
3.55952E-02 1.66531E-16
3.64081E-02 1.61650E-16
3.72297E-02 1.56865E-16
3.80602E-02 1.52200E-16
3.88995E-02 1.47714E-16
3.97476E-02 1.43383E-16
4.06044E-02 1.39137E-16
4.14700E-02 1.34958E-16
4.23443E-02 1.30894E-16
4.32273E-02 1.26963E-16
4.41190E-02 1.23114E-16
4.50194E-02 1.19302E-16
4.59284E-02 1.15550E-16
4.68461E-02 1.11896E-16
4.87074E-02 1.04784E-16
5.06030E-02 9.78248E-17
5.25328E-02 9.11351E-17
5.44967E-02 8.45853E-17
5.64946E-02 7.82965E-17
5.85262E-02 7.21995E-17
6.05914E-02 6.63649E-17
6.26901E-02 6.07933E-17
6.48222E-02 5.54892E-17
6.69873E-02 5.04983E-17
6.91854E-02 4.57801E-17
7.14163E-02 4.13887E-17
7.36799E-02 3.72748E-17
7.59760E-02 3.34726E-17
7.83043E-02 2.99515E-17
8.06647E-02 2.67175E-17
8.30571E-02 2.37645E-17
8.54812E-02 2.10792E-17
8.79369E-02 1.86682E-17
9.04240E-02 1.65143E-17
9.29422E-02 1.46214E-17
9.54915E-02 1.29773E-17
9.80716E-02 1.15776E-17
1.00682E-01 1.04133E-17
1.03323E-01 9.47667E-18
1.05995E-01 8.75512E-18
1.08696E-01 8.24368E-18
1.11427E-01 7.92343E-18
1.14188E-01 7.79178E-18
1.16978E-01 7.82851E-18
1.19797E-01 8.02554E-18
1.22645E-01 8.37032E-18
1.25522E-01 8.84226E-18
1.28428E-01 9.43977E-18
1.31361E-01 1.01330E-17
1.34323E-01 1.09239E-17
1.37313E-01 1.17865E-17
1.40330E-01 1.27138E-17
1.43375E-01 1.36960E-17
1.46447E-01 1.47114E-17
1.49545E-01 1.57657E-17
1.52671E-01 1.68308E-17
1.55823E-01 1.79134E-17
1.59001E-01 1.89948E-17
1.62205E-01 2.00673E-17
1.65435E-01 2.11300E-17
1.68690E-01 2.21596E-17
1.71970E-01 2.31648E-17
1.75276E-01 2.41218E-17
1.78606E-01 2.50319E-17
1.81961E-01 2.58866E-17
1.85340E-01 2.66717E-17
1.88743E-01 2.73947E-17
1.92169E-01 2.80353E-17
1.95619E-01 2.86019E-17
1.99092E-01 2.90855E-17
2.02589E-01 2.94819E-17
2.06107E-01 2.97984E-17
2.09649E-01 3.00219E-17
2.13212E-01 3.01641E-17
2.16797E-01 3.02177E-17
2.20404E-01 3.01846E-17
2.24032E-01 3.00716E-17
2.27680E-01 2.98707E-17
2.31350E-01 2.95943E-17
2.35040E-01 2.92379E-17
2.38751E-01 2.88061E-17
2.42481E-01 2.83064E-17
2.46231E-01 2.77350E-17
2.50000E-01 2.71038E-17
2.53788E-01 2.64118E-17
2.57595E-01 2.56642E-17
2.61421E-01 2.48692E-17
2.65264E-01 2.40251E-17
2.69126E-01 2.31425E-17
2.73005E-01 2.22232E-17
2.76901E-01 2.12710E-17
2.80814E-01 2.02950E-17
2.84744E-01 1.92951E-17
2.88691E-01 1.82802E-17
2.92653E-01 1.72548E-17
2.96632E-01 1.62221E-17
3.00625E-01 1.51910E-17
3.04634E-01 1.41637E-17
3.08658E-01 1.31466E-17
3.12697E-01 1.21456E-17
3.16749E-01 1.11631E-17
3.20816E-01 1.02059E-17
3.24896E-01 9.27701E-18
3.28990E-01 8.37959E-18
3.33097E-01 7.51886E-18
3.37216E-01 6.69613E-18
