 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+03 eV = 2.20496E+02 a.u.
 #
 # Element: Ra,  Z =  88,  atomic weight = 2.26025E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.51783E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 88
 #
 # Electron density: Read from file Data/z_088.d
 #                   Number of data points =  859
 #                   Volume integral = 8.80000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.83000E-23 cm**3
 #                            Bpol = 1.92841E+01
 #
 # Total elastic cross section = 1.69004E-16 cm**2 = 6.03525E+00 a0**2
 # 1st transport cross section = 9.37753E-18 cm**2 = 3.34878E-01 a0**2
 # 2nd transport cross section = 1.22868E-17 cm**2 = 4.38770E-01 a0**2
 #
 #    Absorption cross section = 4.22589E-17 cm**2 = 1.50909E+00 a0**2
 #   Grand total cross section = 2.11287E-16 cm**2 = 7.54521E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.55719E-14
7.61557E-13 5.55719E-14
1.18994E-12 5.55719E-14
1.71346E-12 5.55719E-14
2.33225E-12 5.55719E-14
3.04617E-12 5.55719E-14
3.85530E-12 5.55719E-14
4.75964E-12 5.55719E-14
5.75917E-12 5.55719E-14
6.85391E-12 5.55719E-14
8.04379E-12 5.55719E-14
9.32893E-12 5.55719E-14
1.07092E-11 5.55718E-14
1.21847E-11 5.55718E-14
1.37554E-11 5.55718E-14
1.54213E-11 5.55718E-14
1.71823E-11 5.55718E-14
1.90386E-11 5.55718E-14
2.09900E-11 5.55718E-14
2.30367E-11 5.55718E-14
2.51785E-11 5.55718E-14
2.74156E-11 5.55717E-14
2.97478E-11 5.55717E-14
3.21752E-11 5.55717E-14
3.46979E-11 5.55717E-14
3.73157E-11 5.55717E-14
4.00286E-11 5.55717E-14
4.28368E-11 5.55716E-14
4.57402E-11 5.55716E-14
4.87388E-11 5.55716E-14
5.18325E-11 5.55716E-14
5.50215E-11 5.55716E-14
5.83057E-11 5.55716E-14
6.16850E-11 5.55715E-14
6.51595E-11 5.55715E-14
6.87293E-11 5.55715E-14
7.23943E-11 5.55715E-14
7.61544E-11 5.55714E-14
1.18991E-10 5.55712E-14
1.71347E-10 5.55709E-14
2.33223E-10 5.55705E-14
3.04617E-10 5.55701E-14
3.85531E-10 5.55696E-14
4.75965E-10 5.55690E-14
5.75917E-10 5.55684E-14
6.85389E-10 5.55677E-14
8.04380E-10 5.55670E-14
9.32891E-10 5.55662E-14
1.07092E-09 5.55654E-14
1.21847E-09 5.55645E-14
1.37554E-09 5.55635E-14
1.54213E-09 5.55625E-14
1.71823E-09 5.55614E-14
1.90386E-09 5.55603E-14
2.09900E-09 5.55591E-14
2.30367E-09 5.55578E-14
2.51785E-09 5.55565E-14
2.74156E-09 5.55552E-14
2.97478E-09 5.55538E-14
3.21752E-09 5.55523E-14
3.46978E-09 5.55507E-14
3.73156E-09 5.55491E-14
4.00286E-09 5.55475E-14
4.28368E-09 5.55458E-14
4.57402E-09 5.55440E-14
4.87388E-09 5.55422E-14
5.18326E-09 5.55403E-14
5.50215E-09 5.55383E-14
5.83057E-09 5.55363E-14
6.16850E-09 5.55343E-14
6.51596E-09 5.55322E-14
6.87293E-09 5.55300E-14
7.23942E-09 5.55277E-14
7.61544E-09 5.55255E-14
1.18991E-08 5.54994E-14
1.71347E-08 5.54675E-14
2.33223E-08 5.54299E-14
3.04617E-08 5.53867E-14
3.85531E-08 5.53377E-14
4.75965E-08 5.52831E-14
5.75917E-08 5.52229E-14
