 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Ac,  Z =  89,  atomic weight = 2.27028E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.52745E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 89
 #
 # Electron density: Read from file Data/z_089.d
 #                   Number of data points =  843
 #                   Volume integral = 8.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.21000E-23 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 3.45525E-16 cm**2 = 1.23389E+01 a0**2
 # 1st transport cross section = 2.05025E-17 cm**2 = 7.32156E-01 a0**2
 # 2nd transport cross section = 3.90819E-17 cm**2 = 1.39564E+00 a0**2
 #
 #    Absorption cross section = 2.20509E-16 cm**2 = 7.87453E+00 a0**2
 #   Grand total cross section = 5.66064E-16 cm**2 = 2.02145E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 5.76363E-15
7.61557E-13 5.76363E-15
1.18994E-12 5.76363E-15
1.71346E-12 5.76363E-15
2.33225E-12 5.76363E-15
3.04617E-12 5.76363E-15
3.85530E-12 5.76363E-15
4.75964E-12 5.76363E-15
5.75917E-12 5.76363E-15
6.85391E-12 5.76363E-15
8.04379E-12 5.76363E-15
9.32893E-12 5.76363E-15
1.07092E-11 5.76363E-15
1.21847E-11 5.76363E-15
1.37554E-11 5.76363E-15
1.54213E-11 5.76363E-15
1.71823E-11 5.76363E-15
1.90386E-11 5.76363E-15
2.09900E-11 5.76363E-15
2.30367E-11 5.76363E-15
2.51785E-11 5.76363E-15
2.74156E-11 5.76363E-15
2.97478E-11 5.76363E-15
3.21752E-11 5.76363E-15
3.46979E-11 5.76363E-15
3.73157E-11 5.76363E-15
4.00286E-11 5.76363E-15
4.28368E-11 5.76363E-15
4.57402E-11 5.76363E-15
4.87388E-11 5.76363E-15
5.18325E-11 5.76363E-15
5.50215E-11 5.76363E-15
5.83057E-11 5.76363E-15
6.16850E-11 5.76363E-15
6.51595E-11 5.76363E-15
6.87293E-11 5.76363E-15
7.23943E-11 5.76362E-15
7.61544E-11 5.76362E-15
1.18991E-10 5.76362E-15
1.71347E-10 5.76361E-15
2.33223E-10 5.76361E-15
3.04617E-10 5.76360E-15
3.85531E-10 5.76359E-15
4.75965E-10 5.76358E-15
5.75917E-10 5.76357E-15
6.85389E-10 5.76355E-15
8.04380E-10 5.76354E-15
9.32891E-10 5.76353E-15
1.07092E-09 5.76351E-15
1.21847E-09 5.76349E-15
1.37554E-09 5.76348E-15
1.54213E-09 5.76346E-15
1.71823E-09 5.76344E-15
1.90386E-09 5.76341E-15
2.09900E-09 5.76339E-15
2.30367E-09 5.76337E-15
2.51785E-09 5.76334E-15
2.74156E-09 5.76332E-15
2.97478E-09 5.76329E-15
3.21752E-09 5.76326E-15
3.46978E-09 5.76323E-15
3.73156E-09 5.76320E-15
4.00286E-09 5.76317E-15
4.28368E-09 5.76314E-15
4.57402E-09 5.76311E-15
4.87388E-09 5.76307E-15
5.18326E-09 5.76304E-15
5.50215E-09 5.76300E-15
5.83057E-09 5.76296E-15
6.16850E-09 5.76292E-15
6.51596E-09 5.76288E-15
6.87293E-09 5.76284E-15
7.23942E-09 5.76280E-15
7.61544E-09 5.76276E-15
1.18991E-08 5.76227E-15
1.71347E-08 5.76167E-15
2.33223E-08 5.76096E-15
3.04617E-08 5.76014E-15
3.85531E-08 5.75922E-15
4.75965E-08 5.75819E-15
5.75917E-08 5.75705E-15
6.85389E-08 5.75580E-15
8.04380E-08 5.75445E-15
9.32891E-08 5.75300E-15
1.07092E-07 5.75144E-15
1.21847E-07 5.74977E-15
1.37554E-07 5.74801E-15
1.54213E-07 5.74614E-15
1.71823E-07 5.74417E-15
1.90386E-07 5.74209E-15
2.09900E-07 5.73992E-15
2.30367E-07 5.73765E-15
2.51785E-07 5.73529E-15
2.74156E-07 5.73282E-15
2.97478E-07 5.73026E-15
3.21752E-07 5.72761E-15
3.46978E-07 5.72486E-15
3.73156E-07 5.72203E-15
4.00286E-07 5.71910E-15
4.28368E-07 5.71608E-15
4.57402E-07 5.71297E-15
4.87388E-07 5.70978E-15
5.18325E-07 5.70650E-15
5.50215E-07 5.70314E-15
5.83057E-07 5.69970E-15
6.16850E-07 5.69618E-15
6.51596E-07 5.69257E-15
6.87293E-07 5.68890E-15
7.23942E-07 5.68514E-15
7.61543E-07 5.68131E-15
1.18991E-06 5.63933E-15
1.71347E-06 5.59200E-15
2.33223E-06 5.54136E-15
3.04617E-06 5.48961E-15
3.85531E-06 5.43891E-15
4.75964E-06 5.39138E-15
5.75916E-06 5.34892E-15
6.85388E-06 5.31322E-15
8.04378E-06 5.28564E-15
9.32888E-06 5.26724E-15
1.07092E-05 5.25867E-15
1.21846E-05 5.26027E-15
1.37553E-05 5.27203E-15
1.54212E-05 5.29365E-15
1.71822E-05 5.32456E-15
1.90385E-05 5.36402E-15
2.09899E-05 5.41111E-15
2.30365E-05 5.46484E-15
2.51783E-05 5.52421E-15
2.74153E-05 5.58819E-15
2.97475E-05 5.65584E-15
3.21749E-05 5.72628E-15
3.46974E-05 5.79876E-15
3.73152E-05 5.87262E-15
4.00281E-05 5.94735E-15
4.28362E-05 6.02255E-15
4.57395E-05 6.09794E-15
4.87380E-05 6.17333E-15
5.18317E-05 6.24863E-15
5.50205E-05 6.32378E-15
5.83045E-05 6.39881E-15
6.16838E-05 6.47375E-15
6.51582E-05 6.54864E-15
6.87277E-05 6.62352E-15
7.23925E-05 6.69842E-15
7.61524E-05 6.77331E-15
9.21439E-05 7.07123E-15
1.09658E-04 7.35802E-15
1.28695E-04 7.61755E-15
1.49255E-04 7.83558E-15
1.71338E-04 8.00679E-15
1.94942E-04 8.13538E-15
2.20070E-04 8.22966E-15
2.46720E-04 8.29552E-15
2.74892E-04 8.33334E-15
3.04586E-04 8.33977E-15
3.35803E-04 8.31207E-15
3.68542E-04 8.25156E-15
4.02802E-04 8.16372E-15
4.38585E-04 8.05548E-15
4.75889E-04 7.93188E-15
5.14715E-04 7.79463E-15
5.55063E-04 7.64313E-15
5.96931E-04 7.47695E-15
6.40321E-04 7.29765E-15
6.85233E-04 7.10890E-15
7.31665E-04 6.91490E-15
7.79618E-04 6.71864E-15
8.29092E-04 6.52110E-15
8.80086E-04 6.32190E-15
9.32601E-04 6.12072E-15
9.86636E-04 5.91835E-15
1.04219E-03 5.71669E-15
1.09927E-03 5.51791E-15
1.15786E-03 5.32341E-15
1.21797E-03 5.13341E-15
1.27961E-03 4.94736E-15
1.34276E-03 4.76478E-15
1.40743E-03 4.58585E-15
1.47362E-03 4.41145E-15
1.54133E-03 4.24256E-15
1.61056E-03 4.07973E-15
1.68131E-03 3.92279E-15
1.75357E-03 3.77114E-15
1.82735E-03 3.62425E-15
1.90265E-03 3.48204E-15
1.97947E-03 3.34482E-15
2.05780E-03 3.21302E-15
2.13765E-03 3.08678E-15
2.21902E-03 2.96583E-15
2.30190E-03 2.84967E-15
2.38630E-03 2.73785E-15
2.47222E-03 2.63023E-15
2.55965E-03 2.52689E-15
2.64859E-03 2.42800E-15
2.73905E-03 2.33356E-15
2.83103E-03 2.24331E-15
2.92452E-03 2.15686E-15
3.01952E-03 2.07390E-15
3.11604E-03 1.99427E-15
3.21407E-03 1.91799E-15
3.31362E-03 1.84511E-15
3.41468E-03 1.77557E-15
3.51725E-03 1.70919E-15
3.62133E-03 1.64567E-15
3.72692E-03 1.58480E-15
3.83403E-03 1.52644E-15
3.94265E-03 1.47059E-15
4.05278E-03 1.41723E-15
4.16442E-03 1.36631E-15
4.27757E-03 1.31766E-15
4.39223E-03 1.27111E-15
4.50840E-03 1.22649E-15
4.62608E-03 1.18370E-15
4.74527E-03 1.14272E-15
4.86597E-03 1.10351E-15
4.98817E-03 1.06603E-15
5.11188E-03 1.03015E-15
5.23711E-03 9.95757E-16
5.36383E-03 9.62730E-16
5.49207E-03 9.31008E-16
5.62181E-03 9.00556E-16
5.75306E-03 8.71348E-16
5.88581E-03 8.43335E-16
6.02007E-03 8.16441E-16
6.15583E-03 7.90586E-16
6.29310E-03 7.65699E-16
6.43187E-03 7.41739E-16
6.57214E-03 7.18678E-16
6.71392E-03 6.96493E-16
6.85720E-03 6.75146E-16
7.00198E-03 6.54591E-16
7.14827E-03 6.34781E-16
7.29605E-03 6.15676E-16
7.44534E-03 5.97251E-16
7.59612E-03 5.79484E-16
7.97965E-03 5.37797E-16
8.37255E-03 4.99680E-16
8.77480E-03 4.64811E-16
9.18641E-03 4.32889E-16
9.60736E-03 4.03661E-16
1.00376E-02 3.76918E-16
1.04773E-02 3.52379E-16
1.09262E-02 3.29903E-16
1.13844E-02 3.09296E-16
1.18520E-02 2.90320E-16
1.23288E-02 2.72911E-16
1.28150E-02 2.56872E-16
1.33104E-02 2.42039E-16
1.38150E-02 2.28398E-16
1.43290E-02 2.15751E-16
1.48521E-02 2.04025E-16
1.53845E-02 1.93216E-16
1.59262E-02 1.83141E-16
1.64770E-02 1.73802E-16
1.70371E-02 1.65171E-16
1.76063E-02 1.57094E-16
1.81848E-02 1.49616E-16
1.87724E-02 1.42674E-16
1.93692E-02 1.36153E-16
1.99751E-02 1.30115E-16
2.05901E-02 1.24466E-16
2.12143E-02 1.19140E-16
2.18476E-02 1.14196E-16
2.24900E-02 1.09524E-16
2.31415E-02 1.05111E-16
2.38021E-02 1.00995E-16
2.44717E-02 9.70711E-17
2.51504E-02 9.33650E-17
2.58382E-02 8.98886E-17
2.65349E-02 8.65543E-17
2.72407E-02 8.34107E-17
2.79555E-02 8.04417E-17
2.86793E-02 7.75846E-17
2.94120E-02 7.48944E-17
3.01537E-02 7.23328E-17
3.09043E-02 6.98649E-17
3.16639E-02 6.75398E-17
3.24324E-02 6.53070E-17
3.32098E-02 6.31576E-17
3.39961E-02 6.11274E-17
3.47912E-02 5.91644E-17
3.55952E-02 5.72797E-17
3.64081E-02 5.54928E-17
3.72297E-02 5.37580E-17
3.80602E-02 5.20981E-17
3.88995E-02 5.05170E-17
3.97476E-02 4.89795E-17
4.06044E-02 4.75123E-17
4.14700E-02 4.61073E-17
4.23443E-02 4.47408E-17
4.32273E-02 4.34381E-17
4.41190E-02 4.21838E-17
4.50194E-02 4.09650E-17
4.59284E-02 3.98027E-17
4.68461E-02 3.86787E-17
4.87074E-02 3.65484E-17
5.06030E-02 3.45643E-17
5.25328E-02 3.27274E-17
5.44967E-02 3.10190E-17
5.64946E-02 2.94247E-17
5.85262E-02 2.79427E-17
6.05914E-02 2.65604E-17
6.26901E-02 2.52633E-17
6.48222E-02 2.40506E-17
6.69873E-02 2.29176E-17
6.91854E-02 2.18544E-17
7.14163E-02 2.08598E-17
7.36799E-02 1.99309E-17
7.59760E-02 1.90578E-17
7.83043E-02 1.82364E-17
8.06647E-02 1.74641E-17
8.30571E-02 1.67348E-17
8.54812E-02 1.60452E-17
8.79369E-02 1.53954E-17
9.04240E-02 1.47825E-17
9.29422E-02 1.42036E-17
9.54915E-02 1.36572E-17
9.80716E-02 1.31399E-17
1.00682E-01 1.26492E-17
1.03323E-01 1.21829E-17
1.05995E-01 1.17388E-17
1.08696E-01 1.13167E-17
1.11427E-01 1.09156E-17
1.14188E-01 1.05337E-17
1.16978E-01 1.01710E-17
1.19797E-01 9.82627E-18
1.22645E-01 9.49678E-18
1.25522E-01 9.18244E-18
1.28428E-01 8.88214E-18
1.31361E-01 8.59401E-18
1.34323E-01 8.31905E-18
1.37313E-01 8.05635E-18
1.40330E-01 7.80422E-18
1.43375E-01 7.56422E-18
1.46447E-01 7.33480E-18
1.49545E-01 7.11350E-18
1.52671E-01 6.90240E-18
1.55823E-01 6.70022E-18
1.59001E-01 6.50436E-18
1.62205E-01 6.31734E-18
1.65435E-01 6.13848E-18
1.68690E-01 5.96537E-18
1.71970E-01 5.79999E-18
1.75276E-01 5.64146E-18
1.78606E-01 5.48814E-18
1.81961E-01 5.34142E-18
1.85340E-01 5.19978E-18
1.88743E-01 5.06303E-18
1.92169E-01 4.93244E-18
1.95619E-01 4.80560E-18
1.99092E-01 4.68343E-18
2.02589E-01 4.56702E-18
2.06107E-01 4.45345E-18
2.09649E-01 4.34409E-18
2.13212E-01 4.23960E-18
2.16797E-01 4.13762E-18
2.20404E-01 4.03959E-18
2.24032E-01 3.94518E-18
2.27680E-01 3.85346E-18
2.31350E-01 3.76559E-18
2.35040E-01 3.67996E-18
2.38751E-01 3.59726E-18
2.42481E-01 3.51809E-18
2.46231E-01 3.44033E-18
2.50000E-01 3.36562E-18
2.53788E-01 3.29378E-18
2.57595E-01 3.22340E-18
2.61421E-01 3.15587E-18
2.65264E-01 3.09021E-18
2.69126E-01 3.02661E-18
2.73005E-01 2.96521E-18
2.76901E-01 2.90495E-18
2.80814E-01 2.84727E-18
2.84744E-01 2.79106E-18
2.88691E-01 2.73611E-18
2.92653E-01 2.68349E-18
2.96632E-01 2.63199E-18
3.00625E-01 2.58222E-18
3.04634E-01 2.53376E-18
3.08658E-01 2.48659E-18
3.12697E-01 2.44115E-18
3.16749E-01 2.39631E-18
3.20816E-01 2.35311E-18
3.24896E-01 2.31112E-18
3.28990E-01 2.27004E-18
3.33097E-01 2.23038E-18
3.37216E-01 2.19156E-18
3.41348E-01 2.15416E-18
3.45492E-01 2.11741E-18
3.49647E-01 2.08169E-18
3.53814E-01 2.04708E-18
3.57992E-01 2.01304E-18
3.62181E-01 1.98006E-18
3.66381E-01 1.94775E-18
3.70590E-01 1.91650E-18
3.74810E-01 1.88588E-18
3.79039E-01 1.85606E-18
3.83277E-01 1.82717E-18
3.87524E-01 1.79882E-18
3.91780E-01 1.77127E-18
3.96044E-01 1.74425E-18
4.00316E-01 1.71802E-18
4.04596E-01 1.69224E-18
4.08882E-01 1.66712E-18
4.13176E-01 1.64262E-18
4.17476E-01 1.61869E-18
4.21783E-01 1.59535E-18
4.26095E-01 1.57254E-18
4.30413E-01 1.55036E-18
4.34737E-01 1.52860E-18
4.39065E-01 1.50738E-18
4.43398E-01 1.48659E-18
4.47736E-01 1.46628E-18
4.52077E-01 1.44636E-18
4.56422E-01 1.42690E-18
4.60770E-01 1.40787E-18
4.65122E-01 1.38927E-18
4.69476E-01 1.37109E-18
4.73832E-01 1.35333E-18
4.78190E-01 1.33595E-18
4.82550E-01 1.31897E-18
4.86912E-01 1.30234E-18
4.91274E-01 1.28605E-18
4.95637E-01 1.27007E-18
5.00000E-01 1.25446E-18
5.04363E-01 1.23911E-18
5.08726E-01 1.22410E-18
5.13088E-01 1.20938E-18
5.17450E-01 1.19504E-18
5.21810E-01 1.18091E-18
5.26168E-01 1.16715E-18
5.30524E-01 1.15365E-18
5.34878E-01 1.14046E-18
5.39230E-01 1.12745E-18
5.43578E-01 1.11477E-18
5.47923E-01 1.10230E-18
5.52264E-01 1.09007E-18
5.56602E-01 1.07804E-18
5.60935E-01 1.06630E-18
5.65263E-01 1.05477E-18
5.69587E-01 1.04342E-18
5.73905E-01 1.03236E-18
5.78217E-01 1.02150E-18
5.82524E-01 1.01087E-18
5.86824E-01 1.00035E-18
5.91118E-01 9.90191E-19
5.95404E-01 9.80093E-19
5.99684E-01 9.70246E-19
6.03956E-01 9.60487E-19
6.08220E-01 9.51050E-19
6.12476E-01 9.41663E-19
6.16723E-01 9.32453E-19
6.20961E-01 9.23482E-19
6.25190E-01 9.14634E-19
6.29410E-01 9.05979E-19
6.33619E-01 8.97384E-19
6.37819E-01 8.89141E-19
6.42008E-01 8.80887E-19
6.46186E-01 8.72825E-19
6.50353E-01 8.64929E-19
6.54508E-01 8.57170E-19
6.58652E-01 8.49558E-19
6.62784E-01 8.41957E-19
6.66903E-01 8.34689E-19
6.71010E-01 8.27411E-19
6.75104E-01 8.20250E-19
6.79184E-01 8.13291E-19
6.83251E-01 8.06405E-19
6.87303E-01 7.99701E-19
6.91342E-01 7.92982E-19
6.95366E-01 7.86524E-19
6.99375E-01 7.80179E-19
7.03368E-01 7.73784E-19
7.07347E-01 7.67668E-19
