 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element: Ac,  Z =  89,  atomic weight = 2.27028E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.52745E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 89
 #
 # Electron density: Read from file Data/z_089.d
 #                   Number of data points =  843
 #                   Volume integral = 8.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.21000E-23 cm**3
 #                            Bpol = 4.67707E+00
 #
 # Total elastic cross section = 4.27845E-16 cm**2 = 1.52786E+01 a0**2
 # 1st transport cross section = 3.75196E-17 cm**2 = 1.33985E+00 a0**2
 # 2nd transport cross section = 6.85627E-17 cm**2 = 2.44842E+00 a0**2
 #
 #    Absorption cross section = 4.93333E-16 cm**2 = 1.76172E+01 a0**2
 #   Grand total cross section = 9.21189E-16 cm**2 = 3.28963E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.10671E-14
7.61557E-13 1.10671E-14
1.18994E-12 1.10671E-14
1.71346E-12 1.10671E-14
2.33225E-12 1.10671E-14
3.04617E-12 1.10671E-14
3.85530E-12 1.10671E-14
4.75964E-12 1.10671E-14
5.75917E-12 1.10671E-14
6.85391E-12 1.10671E-14
8.04379E-12 1.10671E-14
9.32893E-12 1.10671E-14
1.07092E-11 1.10671E-14
1.21847E-11 1.10671E-14
1.37554E-11 1.10671E-14
1.54213E-11 1.10671E-14
1.71823E-11 1.10671E-14
1.90386E-11 1.10671E-14
2.09900E-11 1.10671E-14
2.30367E-11 1.10671E-14
2.51785E-11 1.10671E-14
2.74156E-11 1.10671E-14
2.97478E-11 1.10671E-14
3.21752E-11 1.10671E-14
3.46979E-11 1.10671E-14
3.73157E-11 1.10671E-14
4.00286E-11 1.10671E-14
4.28368E-11 1.10671E-14
4.57402E-11 1.10671E-14
4.87388E-11 1.10671E-14
5.18325E-11 1.10671E-14
5.50215E-11 1.10671E-14
5.83057E-11 1.10671E-14
6.16850E-11 1.10671E-14
6.51595E-11 1.10671E-14
6.87293E-11 1.10671E-14
7.23943E-11 1.10671E-14
7.61544E-11 1.10671E-14
1.18991E-10 1.10671E-14
1.71347E-10 1.10671E-14
2.33223E-10 1.10671E-14
3.04617E-10 1.10671E-14
3.85531E-10 1.10671E-14
4.75965E-10 1.10671E-14
5.75917E-10 1.10670E-14
6.85389E-10 1.10670E-14
8.04380E-10 1.10670E-14
9.32891E-10 1.10670E-14
1.07092E-09 1.10670E-14
1.21847E-09 1.10669E-14
1.37554E-09 1.10669E-14
1.54213E-09 1.10669E-14
1.71823E-09 1.10669E-14
1.90386E-09 1.10668E-14
2.09900E-09 1.10668E-14
2.30367E-09 1.10668E-14
2.51785E-09 1.10667E-14
2.74156E-09 1.10667E-14
2.97478E-09 1.10667E-14
3.21752E-09 1.10666E-14
3.46978E-09 1.10666E-14
3.73156E-09 1.10665E-14
4.00286E-09 1.10665E-14
4.28368E-09 1.10664E-14
4.57402E-09 1.10664E-14
4.87388E-09 1.10663E-14
5.18326E-09 1.10663E-14
5.50215E-09 1.10662E-14
5.83057E-09 1.10662E-14
6.16850E-09 1.10661E-14
6.51596E-09 1.10661E-14
6.87293E-09 1.10660E-14
7.23942E-09 1.10659E-14
7.61544E-09 1.10659E-14
1.18991E-08 1.10652E-14
1.71347E-08 1.10643E-14
2.33223E-08 1.10633E-14
3.04617E-08 1.10621E-14
3.85531E-08 1.10608E-14
4.75965E-08 1.10593E-14
5.75917E-08 1.10576E-14
6.85389E-08 1.10558E-14
8.04380E-08 1.10538E-14
9.32891E-08 1.10517E-14
1.07092E-07 1.10494E-14
1.21847E-07 1.10470E-14
1.37554E-07 1.10444E-14
1.54213E-07 1.10416E-14
1.71823E-07 1.10387E-14
1.90386E-07 1.10356E-14
2.09900E-07 1.10324E-14
2.30367E-07 1.10291E-14
2.51785E-07 1.10255E-14
2.74156E-07 1.10218E-14
2.97478E-07 1.10180E-14
3.21752E-07 1.10140E-14
3.46978E-07 1.10099E-14
3.73156E-07 1.10056E-14
4.00286E-07 1.10011E-14
4.28368E-07 1.09965E-14
4.57402E-07 1.09918E-14
4.87388E-07 1.09869E-14
5.18325E-07 1.09818E-14
5.50215E-07 1.09766E-14
5.83057E-07 1.09713E-14
6.16850E-07 1.09658E-14
6.51596E-07 1.09601E-14
6.87293E-07 1.09543E-14
7.23942E-07 1.09484E-14
7.61543E-07 1.09423E-14
1.18991E-06 1.08733E-14
1.71347E-06 1.07903E-14
2.33223E-06 1.06939E-14
3.04617E-06 1.05849E-14
3.85531E-06 1.04643E-14
4.75964E-06 1.03329E-14
5.75916E-06 1.01920E-14
6.85388E-06 1.00425E-14
8.04378E-06 9.88559E-15
9.32888E-06 9.72239E-15
1.07092E-05 9.55404E-15
1.21846E-05 9.38168E-15
1.37553E-05 9.20640E-15
1.54212E-05 9.02928E-15
1.71822E-05 8.85134E-15
1.90385E-05 8.67353E-15
2.09899E-05 8.49676E-15
2.30365E-05 8.32184E-15
2.51783E-05 8.14953E-15
2.74153E-05 7.98050E-15
2.97475E-05 7.81533E-15
3.21749E-05 7.65452E-15
3.46974E-05 7.49850E-15
3.73152E-05 7.34761E-15
4.00281E-05 7.20212E-15
4.28362E-05 7.06222E-15
4.57395E-05 6.92805E-15
4.87380E-05 6.79967E-15
5.18317E-05 6.67709E-15
5.50205E-05 6.56028E-15
5.83045E-05 6.44914E-15
6.16838E-05 6.34357E-15
6.51582E-05 6.24340E-15
6.87277E-05 6.14847E-15
7.23925E-05 6.05857E-15
7.61524E-05 5.97350E-15
9.21439E-05 5.67693E-15
1.09658E-04 5.43957E-15
1.28695E-04 5.24856E-15
1.49255E-04 5.09396E-15
1.71338E-04 4.96892E-15
1.94942E-04 4.86895E-15
2.20070E-04 4.79095E-15
2.46720E-04 4.73222E-15
2.74892E-04 4.68981E-15
3.04586E-04 4.66041E-15
3.35803E-04 4.64047E-15
3.68542E-04 4.62671E-15
4.02802E-04 4.61648E-15
4.38585E-04 4.60799E-15
4.75889E-04 4.60026E-15
5.14715E-04 4.59292E-15
5.55063E-04 4.58577E-15
5.96931E-04 4.57856E-15
6.40321E-04 4.57070E-15
6.85233E-04 4.56128E-15
7.31665E-04 4.54921E-15
7.79618E-04 4.53341E-15
8.29092E-04 4.51312E-15
8.80086E-04 4.48799E-15
9.32601E-04 4.45815E-15
9.86636E-04 4.42411E-15
1.04219E-03 4.38656E-15
1.09927E-03 4.34616E-15
1.15786E-03 4.30332E-15
1.21797E-03 4.25819E-15
1.27961E-03 4.21062E-15
1.34276E-03 4.16032E-15
1.40743E-03 4.10699E-15
1.47362E-03 4.05050E-15
1.54133E-03 3.99095E-15
1.61056E-03 3.92872E-15
1.68131E-03 3.86434E-15
1.75357E-03 3.79845E-15
1.82735E-03 3.73160E-15
1.90265E-03 3.66416E-15
1.97947E-03 3.59633E-15
2.05780E-03 3.52808E-15
2.13765E-03 3.45929E-15
2.21902E-03 3.38985E-15
2.30190E-03 3.31970E-15
2.38630E-03 3.24894E-15
2.47222E-03 3.17781E-15
2.55965E-03 3.10665E-15
2.64859E-03 3.03582E-15
2.73905E-03 2.96565E-15
2.83103E-03 2.89635E-15
2.92452E-03 2.82800E-15
3.01952E-03 2.76056E-15
3.11604E-03 2.69394E-15
3.21407E-03 2.62801E-15
3.31362E-03 2.56273E-15
3.41468E-03 2.49811E-15
3.51725E-03 2.43427E-15
3.62133E-03 2.37137E-15
3.72692E-03 2.30960E-15
3.83403E-03 2.24911E-15
3.94265E-03 2.19000E-15
4.05278E-03 2.13228E-15
4.16442E-03 2.07589E-15
4.27757E-03 2.02072E-15
4.39223E-03 1.96668E-15
4.50840E-03 1.91369E-15
4.62608E-03 1.86173E-15
4.74527E-03 1.81085E-15
4.86597E-03 1.76109E-15
4.98817E-03 1.71256E-15
5.11188E-03 1.66531E-15
5.23711E-03 1.61938E-15
5.36383E-03 1.57474E-15
5.49207E-03 1.53133E-15
5.62181E-03 1.48909E-15
5.75306E-03 1.44792E-15
5.88581E-03 1.40777E-15
6.02007E-03 1.36860E-15
6.15583E-03 1.33041E-15
6.29310E-03 1.29323E-15
6.43187E-03 1.25710E-15
6.57214E-03 1.22203E-15
6.71392E-03 1.18804E-15
6.85720E-03 1.15508E-15
7.00198E-03 1.12313E-15
7.14827E-03 1.09212E-15
7.29605E-03 1.06199E-15
7.44534E-03 1.03269E-15
7.59612E-03 1.00420E-15
7.97965E-03 9.36488E-16
8.37255E-03 8.73853E-16
8.77480E-03 8.16125E-16
9.18641E-03 7.62750E-16
9.60736E-03 7.13266E-16
1.00376E-02 6.67538E-16
1.04773E-02 6.25449E-16
1.09262E-02 5.86658E-16
1.13844E-02 5.50775E-16
1.18520E-02 5.17579E-16
1.23288E-02 4.86940E-16
1.28150E-02 4.58648E-16
1.33104E-02 4.32434E-16
1.38150E-02 4.08094E-16
1.43290E-02 3.85494E-16
1.48521E-02 3.64493E-16
1.53845E-02 3.44927E-16
1.59262E-02 3.26663E-16
1.64770E-02 3.09598E-16
1.70371E-02 2.93630E-16
1.76063E-02 2.78658E-16
1.81848E-02 2.64614E-16
1.87724E-02 2.51447E-16
1.93692E-02 2.39081E-16
1.99751E-02 2.27441E-16
2.05901E-02 2.16489E-16
2.12143E-02 2.06216E-16
2.18476E-02 1.96576E-16
2.24900E-02 1.87497E-16
2.31415E-02 1.78940E-16
2.38021E-02 1.70911E-16
2.44717E-02 1.63395E-16
2.51504E-02 1.56331E-16
2.58382E-02 1.49660E-16
2.65349E-02 1.43381E-16
2.72407E-02 1.37506E-16
2.79555E-02 1.31994E-16
2.86793E-02 1.26779E-16
2.94120E-02 1.21839E-16
3.01537E-02 1.17195E-16
3.09043E-02 1.12839E-16
3.16639E-02 1.08714E-16
3.24324E-02 1.04780E-16
3.32098E-02 1.01050E-16
3.39961E-02 9.75422E-17
3.47912E-02 9.42267E-17
3.55952E-02 9.10535E-17
3.64081E-02 8.80170E-17
3.72297E-02 8.51462E-17
3.80602E-02 8.24404E-17
3.88995E-02 7.98571E-17
3.97476E-02 7.73699E-17
4.06044E-02 7.49988E-17
4.14700E-02 7.27647E-17
4.23443E-02 7.06448E-17
4.32273E-02 6.86016E-17
4.41190E-02 6.66346E-17
4.50194E-02 6.47704E-17
4.59284E-02 6.30097E-17
4.68461E-02 6.13189E-17
4.87074E-02 5.81037E-17
5.06030E-02 5.51924E-17
5.25328E-02 5.24631E-17
5.44967E-02 4.99559E-17
5.64946E-02 4.76112E-17
5.85262E-02 4.54163E-17
6.05914E-02 4.33802E-17
6.26901E-02 4.14439E-17
6.48222E-02 3.96580E-17
6.69873E-02 3.79472E-17
6.91854E-02 3.63629E-17
7.14163E-02 3.48493E-17
7.36799E-02 3.34273E-17
7.59760E-02 3.20812E-17
7.83043E-02 3.07939E-17
8.06647E-02 2.95867E-17
8.30571E-02 2.84199E-17
8.54812E-02 2.73289E-17
8.79369E-02 2.62768E-17
9.04240E-02 2.52875E-17
9.29422E-02 2.43449E-17
9.54915E-02 2.34481E-17
9.80716E-02 2.26042E-17
1.00682E-01 2.17927E-17
1.03323E-01 2.10314E-17
1.05995E-01 2.02969E-17
1.08696E-01 1.96023E-17
1.11427E-01 1.89356E-17
1.14188E-01 1.82970E-17
1.16978E-01 1.76895E-17
1.19797E-01 1.71033E-17
1.22645E-01 1.65484E-17
1.25522E-01 1.60143E-17
1.28428E-01 1.55077E-17
1.31361E-01 1.50239E-17
1.34323E-01 1.45622E-17
1.37313E-01 1.41236E-17
1.40330E-01 1.37026E-17
1.43375E-01 1.33017E-17
1.46447E-01 1.29160E-17
1.49545E-01 1.25460E-17
1.52671E-01 1.21900E-17
1.55823E-01 1.18470E-17
1.59001E-01 1.15167E-17
1.62205E-01 1.11988E-17
1.65435E-01 1.08927E-17
1.68690E-01 1.05988E-17
1.71970E-01 1.03167E-17
1.75276E-01 1.00454E-17
1.78606E-01 9.78601E-18
1.81961E-01 9.53578E-18
1.85340E-01 9.29616E-18
1.88743E-01 9.06506E-18
1.92169E-01 8.84166E-18
1.95619E-01 8.62713E-18
1.99092E-01 8.41783E-18
2.02589E-01 8.21687E-18
2.06107E-01 8.02134E-18
2.09649E-01 7.83188E-18
2.13212E-01 7.64990E-18
2.16797E-01 7.47196E-18
2.20404E-01 7.30211E-18
2.24032E-01 7.13689E-18
2.27680E-01 6.97738E-18
2.31350E-01 6.82473E-18
2.35040E-01 6.67509E-18
2.38751E-01 6.53254E-18
2.42481E-01 6.39331E-18
2.46231E-01 6.25819E-18
2.50000E-01 6.12869E-18
2.53788E-01 6.00072E-18
2.57595E-01 5.87847E-18
2.61421E-01 5.75892E-18
2.65264E-01 5.64216E-18
2.69126E-01 5.53077E-18
2.73005E-01 5.42050E-18
2.76901E-01 5.31506E-18
2.80814E-01 5.21280E-18
2.84744E-01 5.11226E-18
2.88691E-01 5.01689E-18
2.92653E-01 4.92260E-18
2.96632E-01 4.83158E-18
3.00625E-01 4.74417E-18
3.04634E-01 4.65728E-18
3.08658E-01 4.57463E-18
3.12697E-01 4.49352E-18
3.16749E-01 4.41385E-18
3.20816E-01 4.33811E-18
3.24896E-01 4.26271E-18
3.28990E-01 4.19004E-18
3.33097E-01 4.12009E-18
3.37216E-01 4.05038E-18
3.41348E-01 3.98411E-18
3.45492E-01 3.91917E-18
3.49647E-01 3.85507E-18
3.53814E-01 3.79427E-18
3.57992E-01 3.73380E-18
3.62181E-01 3.67496E-18
3.66381E-01 3.61871E-18
3.70590E-01 3.56241E-18
3.74810E-01 3.50834E-18
3.79039E-01 3.45604E-18
3.83277E-01 3.40379E-18
3.87524E-01 3.35403E-18
3.91780E-01 3.30532E-18
3.96044E-01 3.25697E-18
4.00316E-01 3.21106E-18
4.04596E-01 3.16567E-18
4.08882E-01 3.12093E-18
4.13176E-01 3.07836E-18
4.17476E-01 3.03596E-18
4.21783E-01 2.99441E-18
4.26095E-01 2.95473E-18
4.30413E-01 2.91504E-18
4.34737E-01 2.87634E-18
4.39065E-01 2.83924E-18
4.43398E-01 2.80211E-18
4.47736E-01 2.76603E-18
4.52077E-01 2.73139E-18
4.56422E-01 2.69674E-18
4.60770E-01 2.66314E-18
4.65122E-01 2.63085E-18
4.69476E-01 2.59857E-18
4.73832E-01 2.56725E-18
4.78190E-01 2.53713E-18
4.82550E-01 2.50701E-18
4.86912E-01 2.47768E-18
4.91274E-01 2.44944E-18
4.95637E-01 2.42122E-18
5.00000E-01 2.39359E-18
5.04363E-01 2.36701E-18
5.08726E-01 2.34049E-18
5.13088E-01 2.31440E-18
5.17450E-01 2.28931E-18
5.21810E-01 2.26443E-18
5.26168E-01 2.23983E-18
5.30524E-01 2.21619E-18
5.34878E-01 2.19293E-18
5.39230E-01 2.16984E-18
5.43578E-01 2.14759E-18
5.47923E-01 2.12588E-18
5.52264E-01 2.10427E-18
5.56602E-01 2.08328E-18
5.60935E-01 2.06294E-18
5.65263E-01 2.04271E-18
5.69587E-01 2.02284E-18
5.73905E-01 2.00363E-18
5.78217E-01 1.98462E-18
5.82524E-01 1.96577E-18
5.86824E-01 1.94747E-18
5.91118E-01 1.92953E-18
5.95404E-01 1.91169E-18
5.99684E-01 1.89421E-18
6.03956E-01 1.87722E-18
6.08220E-01 1.86041E-18
6.12476E-01 1.84381E-18
6.16723E-01 1.82768E-18
6.20961E-01 1.81188E-18
6.25190E-01 1.79625E-18
6.29410E-01 1.78095E-18
6.33619E-01 1.76607E-18
6.37819E-01 1.75141E-18
6.42008E-01 1.73696E-18
6.46186E-01 1.72285E-18
6.50353E-01 1.70906E-18
6.54508E-01 1.69543E-18
6.58652E-01 1.68201E-18
6.62784E-01 1.66890E-18
6.66903E-01 1.65601E-18
6.71010E-01 1.64326E-18
6.75104E-01 1.63072E-18
6.79184E-01 1.61843E-18
6.83251E-01 1.60632E-18
6.87303E-01 1.59437E-18
6.91342E-01 1.58262E-18
6.95366E-01 1.57109E-18
6.99375E-01 1.55974E-18
7.03368E-01 1.54856E-18
7.07347E-01 1.53758E-18
7.11309E-01 1.52680E-18
7.15256E-01 1.51621E-18
7.19186E-01 1.50581E-18
7.23099E-01 1.49560E-18
7.26995E-01 1.48556E-18
7.30874E-01 1.47570E-18
7.34736E-01 1.46603E-18
7.38579E-01 1.45653E-18
7.42405E-01 1.44719E-18
