 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 9.00000E+03 eV = 3.30744E+02 a.u.
 #
 # Element: Ac,  Z =  89,  atomic weight = 2.27028E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.52745E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 89
 #
 # Electron density: Read from file Data/z_089.d
 #                   Number of data points =  843
 #                   Volume integral = 8.90000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.21000E-23 cm**3
 #                            Bpol = 2.36511E+01
 #
 # Total elastic cross section = 1.29595E-16 cm**2 = 4.62791E+00 a0**2
 # 1st transport cross section = 2.71470E-18 cm**2 = 9.69437E-02 a0**2
 # 2nd transport cross section = 5.74357E-18 cm**2 = 2.05107E-01 a0**2
 #
 #    Absorption cross section = 2.80838E-17 cm**2 = 1.00289E+00 a0**2
 #   Grand total cross section = 1.57705E-16 cm**2 = 5.63174E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.14086E-14
7.61557E-13 1.14086E-14
1.18994E-12 1.14086E-14
1.71346E-12 1.14086E-14
2.33225E-12 1.14086E-14
3.04617E-12 1.14087E-14
3.85530E-12 1.14087E-14
4.75964E-12 1.14087E-14
5.75917E-12 1.14087E-14
6.85391E-12 1.14087E-14
8.04379E-12 1.14087E-14
9.32893E-12 1.14087E-14
1.07092E-11 1.14087E-14
1.21847E-11 1.14087E-14
1.37554E-11 1.14087E-14
1.54213E-11 1.14087E-14
1.71823E-11 1.14087E-14
1.90386E-11 1.14087E-14
2.09900E-11 1.14087E-14
2.30367E-11 1.14087E-14
2.51785E-11 1.14087E-14
2.74156E-11 1.14087E-14
2.97478E-11 1.14087E-14
3.21752E-11 1.14087E-14
3.46979E-11 1.14088E-14
3.73157E-11 1.14088E-14
4.00286E-11 1.14088E-14
4.28368E-11 1.14088E-14
4.57402E-11 1.14088E-14
4.87388E-11 1.14088E-14
5.18325E-11 1.14088E-14
5.50215E-11 1.14088E-14
5.83057E-11 1.14088E-14
6.16850E-11 1.14088E-14
6.51595E-11 1.14089E-14
6.87293E-11 1.14089E-14
7.23943E-11 1.14089E-14
7.61544E-11 1.14089E-14
1.18991E-10 1.14090E-14
1.71347E-10 1.14092E-14
2.33223E-10 1.14094E-14
3.04617E-10 1.14097E-14
3.85531E-10 1.14099E-14
4.75965E-10 1.14103E-14
5.75917E-10 1.14106E-14
6.85389E-10 1.14110E-14
8.04380E-10 1.14114E-14
9.32891E-10 1.14118E-14
1.07092E-09 1.14123E-14
1.21847E-09 1.14128E-14
1.37554E-09 1.14133E-14
1.54213E-09 1.14139E-14
1.71823E-09 1.14145E-14
1.90386E-09 1.14151E-14
2.09900E-09 1.14158E-14
2.30367E-09 1.14165E-14
2.51785E-09 1.14172E-14
2.74156E-09 1.14179E-14
2.97478E-09 1.14187E-14
3.21752E-09 1.14196E-14
3.46978E-09 1.14204E-14
3.73156E-09 1.14213E-14
4.00286E-09 1.14222E-14
4.28368E-09 1.14232E-14
4.57402E-09 1.14242E-14
4.87388E-09 1.14252E-14
5.18326E-09 1.14262E-14
5.50215E-09 1.14273E-14
5.83057E-09 1.14284E-14
6.16850E-09 1.14296E-14
6.51596E-09 1.14308E-14
6.87293E-09 1.14320E-14
7.23942E-09 1.14332E-14
7.61544E-09 1.14345E-14
1.18991E-08 1.14490E-14
1.71347E-08 1.14667E-14
2.33223E-08 1.14877E-14
3.04617E-08 1.15118E-14
3.85531E-08 1.15390E-14
4.75965E-08 1.15694E-14
5.75917E-08 1.16030E-14
6.85389E-08 1.16396E-14
8.04380E-08 1.16793E-14
9.32891E-08 1.17221E-14
1.07092E-07 1.17679E-14
1.21847E-07 1.18167E-14
1.37554E-07 1.18684E-14
1.54213E-07 1.19231E-14
1.71823E-07 1.19806E-14
1.90386E-07 1.20409E-14
2.09900E-07 1.21041E-14
2.30367E-07 1.21700E-14
2.51785E-07 1.22385E-14
2.74156E-07 1.23097E-14
2.97478E-07 1.23835E-14
3.21752E-07 1.24598E-14
3.46978E-07 1.25386E-14
3.73156E-07 1.26197E-14
4.00286E-07 1.27032E-14
4.28368E-07 1.27890E-14
4.57402E-07 1.28769E-14
4.87388E-07 1.29669E-14
5.18325E-07 1.30590E-14
5.50215E-07 1.31531E-14
5.83057E-07 1.32490E-14
6.16850E-07 1.33467E-14
6.51596E-07 1.34461E-14
6.87293E-07 1.35472E-14
7.23942E-07 1.36498E-14
7.61543E-07 1.37538E-14
1.18991E-06 1.48528E-14
1.71347E-06 1.59912E-14
2.33223E-06 1.70794E-14
3.04617E-06 1.80501E-14
