 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.25000E+03 eV = 4.59367E+01 a.u.
 #
 # Element: Ac,  Z =  89,  atomic weight = 2.27028E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.52745E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 89
 #
 # Electron density: Read from file Data/z_089.d
 #                   Number of data points =  843
 #                   Volume integral = 8.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.21000E-23 cm**3
 #                            Bpol = 8.66025E+00
 #
 # Total elastic cross section = 4.25466E-16 cm**2 = 1.51937E+01 a0**2
 # 1st transport cross section = 5.02731E-17 cm**2 = 1.79529E+00 a0**2
 # 2nd transport cross section = 4.93684E-17 cm**2 = 1.76298E+00 a0**2
 #
 #    Absorption cross section = 1.76381E-16 cm**2 = 6.29867E+00 a0**2
 #   Grand total cross section = 6.01883E-16 cm**2 = 2.14936E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 5.60876E-14
7.61557E-13 5.60876E-14
1.18994E-12 5.60876E-14
1.71346E-12 5.60876E-14
2.33225E-12 5.60876E-14
3.04617E-12 5.60876E-14
3.85530E-12 5.60876E-14
4.75964E-12 5.60876E-14
5.75917E-12 5.60876E-14
6.85391E-12 5.60876E-14
8.04379E-12 5.60876E-14
9.32893E-12 5.60876E-14
1.07092E-11 5.60876E-14
1.21847E-11 5.60876E-14
1.37554E-11 5.60876E-14
1.54213E-11 5.60876E-14
1.71823E-11 5.60876E-14
1.90386E-11 5.60876E-14
2.09900E-11 5.60875E-14
2.30367E-11 5.60875E-14
2.51785E-11 5.60875E-14
2.74156E-11 5.60875E-14
2.97478E-11 5.60875E-14
3.21752E-11 5.60875E-14
3.46979E-11 5.60875E-14
3.73157E-11 5.60875E-14
4.00286E-11 5.60875E-14
4.28368E-11 5.60875E-14
4.57402E-11 5.60875E-14
4.87388E-11 5.60875E-14
5.18325E-11 5.60875E-14
5.50215E-11 5.60875E-14
5.83057E-11 5.60875E-14
6.16850E-11 5.60875E-14
6.51595E-11 5.60875E-14
6.87293E-11 5.60875E-14
7.23943E-11 5.60875E-14
7.61544E-11 5.60875E-14
1.18991E-10 5.60874E-14
1.71347E-10 5.60873E-14
2.33223E-10 5.60872E-14
3.04617E-10 5.60871E-14
3.85531E-10 5.60870E-14
4.75965E-10 5.60869E-14
5.75917E-10 5.60867E-14
6.85389E-10 5.60866E-14
8.04380E-10 5.60864E-14
9.32891E-10 5.60862E-14
1.07092E-09 5.60860E-14
1.21847E-09 5.60858E-14
1.37554E-09 5.60855E-14
1.54213E-09 5.60853E-14
1.71823E-09 5.60850E-14
1.90386E-09 5.60848E-14
2.09900E-09 5.60845E-14
2.30367E-09 5.60842E-14
2.51785E-09 5.60838E-14
2.74156E-09 5.60835E-14
2.97478E-09 5.60832E-14
3.21752E-09 5.60828E-14
3.46978E-09 5.60824E-14
3.73156E-09 5.60820E-14
4.00286E-09 5.60816E-14
4.28368E-09 5.60812E-14
4.57402E-09 5.60808E-14
4.87388E-09 5.60804E-14
5.18326E-09 5.60799E-14
5.50215E-09 5.60794E-14
5.83057E-09 5.60789E-14
6.16850E-09 5.60784E-14
6.51596E-09 5.60779E-14
6.87293E-09 5.60774E-14
7.23942E-09 5.60769E-14
7.61544E-09 5.60763E-14
1.18991E-08 5.60700E-14
1.71347E-08 5.60622E-14
2.33223E-08 5.60530E-14
3.04617E-08 5.60425E-14
3.85531E-08 5.60305E-14
4.75965E-08 5.60172E-14
5.75917E-08 5.60024E-14
6.85389E-08 5.59862E-14
8.04380E-08 5.59687E-14
9.32891E-08 5.59498E-14
1.07092E-07 5.59294E-14
1.21847E-07 5.59077E-14
1.37554E-07 5.58847E-14
1.54213E-07 5.58602E-14
1.71823E-07 5.58344E-14
1.90386E-07 5.58072E-14
2.09900E-07 5.57787E-14
2.30367E-07 5.57488E-14
2.51785E-07 5.57176E-14
2.74156E-07 5.56850E-14
2.97478E-07 5.56511E-14
3.21752E-07 5.56159E-14
3.46978E-07 5.55794E-14
3.73156E-07 5.55415E-14
4.00286E-07 5.55023E-14
4.28368E-07 5.54619E-14
4.57402E-07 5.54201E-14
4.87388E-07 5.53771E-14
5.18325E-07 5.53328E-14
5.50215E-07 5.52872E-14
5.83057E-07 5.52404E-14
6.16850E-07 5.51923E-14
6.51596E-07 5.51430E-14
6.87293E-07 5.50924E-14
7.23942E-07 5.50407E-14
7.61543E-07 5.49877E-14
1.18991E-06 5.43935E-14
1.71347E-06 5.36901E-14
2.33223E-06 5.28899E-14
3.04617E-06 5.20065E-14
3.85531E-06 5.10540E-14
4.75964E-06 5.00470E-14
5.75916E-06 4.89998E-14
6.85388E-06 4.79261E-14
8.04378E-06 4.68388E-14
9.32888E-06 4.57497E-14
1.07092E-05 4.46692E-14
1.21846E-05 4.36061E-14
1.37553E-05 4.25679E-14
1.54212E-05 4.15605E-14
1.71822E-05 4.05880E-14
1.90385E-05 3.96533E-14
2.09899E-05 3.87581E-14
2.30365E-05 3.79027E-14
2.51783E-05 3.70866E-14
2.74153E-05 3.63084E-14
2.97475E-05 3.55659E-14
3.21749E-05 3.48569E-14
3.46974E-05 3.41783E-14
3.73152E-05 3.35273E-14
4.00281E-05 3.29010E-14
4.28362E-05 3.22965E-14
4.57395E-05 3.17111E-14
4.87380E-05 3.11425E-14
5.18317E-05 3.05887E-14
5.50205E-05 3.00479E-14
5.83045E-05 2.95190E-14
6.16838E-05 2.90008E-14
6.51582E-05 2.84930E-14
6.87277E-05 2.79950E-14
7.23925E-05 2.75068E-14
7.61524E-05 2.70286E-14
9.21439E-05 2.52206E-14
1.09658E-04 2.35924E-14
1.28695E-04 2.21408E-14
1.49255E-04 2.08355E-14
1.71338E-04 1.96370E-14
1.94942E-04 1.85171E-14
2.20070E-04 1.74676E-14
2.46720E-04 1.64919E-14
2.74892E-04 1.55918E-14
3.04586E-04 1.47601E-14
3.35803E-04 1.39831E-14
3.68542E-04 1.32489E-14
4.02802E-04 1.25527E-14
4.38585E-04 1.18956E-14
4.75889E-04 1.12798E-14
5.14715E-04 1.07035E-14
5.55063E-04 1.01614E-14
5.96931E-04 9.64773E-15
6.40321E-04 9.15919E-15
6.85233E-04 8.69591E-15
7.31665E-04 8.25908E-15
7.79618E-04 7.84843E-15
8.29092E-04 7.46150E-15
8.80086E-04 7.09500E-15
9.32601E-04 6.74670E-15
9.86636E-04 6.41612E-15
1.04219E-03 6.10374E-15
1.09927E-03 5.80949E-15
1.15786E-03 5.53208E-15
1.21797E-03 5.26950E-15
1.27961E-03 5.02010E-15
1.34276E-03 4.78323E-15
1.40743E-03 4.55896E-15
1.47362E-03 4.34726E-15
1.54133E-03 4.14741E-15
1.61056E-03 3.95820E-15
1.68131E-03 3.77845E-15
1.75357E-03 3.60756E-15
1.82735E-03 3.44540E-15
1.90265E-03 3.29194E-15
1.97947E-03 3.14678E-15
2.05780E-03 3.00918E-15
2.13765E-03 2.87838E-15
2.21902E-03 2.75387E-15
2.30190E-03 2.63551E-15
2.38630E-03 2.52322E-15
2.47222E-03 2.41680E-15
2.55965E-03 2.31581E-15
2.64859E-03 2.21974E-15
2.73905E-03 2.12822E-15
2.83103E-03 2.04108E-15
2.92452E-03 1.95824E-15
3.01952E-03 1.87959E-15
3.11604E-03 1.80484E-15
3.21407E-03 1.73367E-15
3.31362E-03 1.66580E-15
3.41468E-03 1.60109E-15
3.51725E-03 1.53945E-15
3.62133E-03 1.48078E-15
3.72692E-03 1.42491E-15
3.83403E-03 1.37161E-15
3.94265E-03 1.32071E-15
4.05278E-03 1.27208E-15
4.16442E-03 1.22562E-15
4.27757E-03 1.18127E-15
4.39223E-03 1.13890E-15
4.50840E-03 1.09837E-15
4.62608E-03 1.05958E-15
4.74527E-03 1.02241E-15
4.86597E-03 9.86814E-16
4.98817E-03 9.52708E-16
5.11188E-03 9.20015E-16
5.23711E-03 8.88654E-16
5.36383E-03 8.58555E-16
5.49207E-03 8.29661E-16
5.62181E-03 8.01919E-16
5.75306E-03 7.75272E-16
5.88581E-03 7.49661E-16
