 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+02 eV = 1.28623E+01 a.u.
 #
 # Element: Th,  Z =  90,  atomic weight = 2.32038E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.57512E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 90
 #
 # Electron density: Read from file Data/z_090.d
 #                   Number of data points =  821
 #                   Volume integral = 9.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.21000E-23 cm**3
 #                            Bpol = 4.33013E+00
 #
 # Total elastic cross section = 7.51154E-16 cm**2 = 2.68242E+01 a0**2
 # 1st transport cross section = 9.05432E-17 cm**2 = 3.23336E+00 a0**2
 # 2nd transport cross section = 1.42017E-16 cm**2 = 5.07151E+00 a0**2
 #
 #    Absorption cross section = 5.04270E-16 cm**2 = 1.80078E+01 a0**2
 #   Grand total cross section = 1.25550E-15 cm**2 = 4.48348E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.99067E-14
7.61557E-13 4.99067E-14
1.18994E-12 4.99067E-14
1.71346E-12 4.99067E-14
2.33225E-12 4.99067E-14
3.04617E-12 4.99067E-14
3.85530E-12 4.99067E-14
4.75964E-12 4.99067E-14
5.75917E-12 4.99067E-14
6.85391E-12 4.99067E-14
8.04379E-12 4.99067E-14
9.32893E-12 4.99067E-14
1.07092E-11 4.99067E-14
1.21847E-11 4.99067E-14
1.37554E-11 4.99067E-14
1.54213E-11 4.99067E-14
1.71823E-11 4.99067E-14
1.90386E-11 4.99067E-14
2.09900E-11 4.99067E-14
2.30367E-11 4.99067E-14
2.51785E-11 4.99067E-14
2.74156E-11 4.99067E-14
2.97478E-11 4.99067E-14
3.21752E-11 4.99067E-14
3.46979E-11 4.99067E-14
3.73157E-11 4.99067E-14
4.00286E-11 4.99067E-14
4.28368E-11 4.99067E-14
4.57402E-11 4.99067E-14
4.87388E-11 4.99067E-14
5.18325E-11 4.99067E-14
5.50215E-11 4.99067E-14
5.83057E-11 4.99067E-14
6.16850E-11 4.99067E-14
6.51595E-11 4.99066E-14
6.87293E-11 4.99066E-14
7.23943E-11 4.99066E-14
7.61544E-11 4.99066E-14
1.18991E-10 4.99066E-14
1.71347E-10 4.99066E-14
2.33223E-10 4.99066E-14
3.04617E-10 4.99066E-14
3.85531E-10 4.99065E-14
4.75965E-10 4.99065E-14
5.75917E-10 4.99065E-14
6.85389E-10 4.99064E-14
8.04380E-10 4.99064E-14
9.32891E-10 4.99063E-14
1.07092E-09 4.99063E-14
1.21847E-09 4.99062E-14
1.37554E-09 4.99062E-14
1.54213E-09 4.99061E-14
1.71823E-09 4.99060E-14
1.90386E-09 4.99060E-14
2.09900E-09 4.99059E-14
2.30367E-09 4.99058E-14
2.51785E-09 4.99057E-14
2.74156E-09 4.99056E-14
2.97478E-09 4.99055E-14
3.21752E-09 4.99055E-14
3.46978E-09 4.99054E-14
3.73156E-09 4.99053E-14
4.00286E-09 4.99052E-14
4.28368E-09 4.99051E-14
4.57402E-09 4.99049E-14
4.87388E-09 4.99048E-14
5.18326E-09 4.99047E-14
5.50215E-09 4.99046E-14
5.83057E-09 4.99045E-14
6.16850E-09 4.99043E-14
6.51596E-09 4.99042E-14
6.87293E-09 4.99041E-14
7.23942E-09 4.99039E-14
7.61544E-09 4.99038E-14
1.18991E-08 4.99022E-14
1.71347E-08 4.99002E-14
2.33223E-08 4.98978E-14
3.04617E-08 4.98951E-14
3.85531E-08 4.98921E-14
4.75965E-08 4.98886E-14
5.75917E-08 4.98849E-14
6.85389E-08 4.98807E-14
8.04380E-08 4.98762E-14
9.32891E-08 4.98714E-14
1.07092E-07 4.98661E-14
1.21847E-07 4.98606E-14
1.37554E-07 4.98546E-14
1.54213E-07 4.98483E-14
1.71823E-07 4.98417E-14
