 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+03 eV = 2.93995E+02 a.u.
 #
 # Element: Th,  Z =  90,  atomic weight = 2.32038E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.57512E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 90
 #
 # Electron density: Read from file Data/z_090.d
 #                   Number of data points =  821
 #                   Volume integral = 9.00000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 3.21000E-23 cm**3
 #                            Bpol = 2.22907E+01
 #
 # Total elastic cross section = 1.51801E-16 cm**2 = 5.42092E+00 a0**2
 # 1st transport cross section = 6.64882E-18 cm**2 = 2.37434E-01 a0**2
 # 2nd transport cross section = 9.43163E-18 cm**2 = 3.36810E-01 a0**2
 #
 #    Absorption cross section = 3.00231E-17 cm**2 = 1.07214E+00 a0**2
 #   Grand total cross section = 1.81851E-16 cm**2 = 6.49401E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.92600E-14
7.61557E-13 4.92600E-14
1.18994E-12 4.92600E-14
1.71346E-12 4.92599E-14
2.33225E-12 4.92599E-14
3.04617E-12 4.92599E-14
3.85530E-12 4.92599E-14
4.75964E-12 4.92599E-14
5.75917E-12 4.92599E-14
6.85391E-12 4.92599E-14
8.04379E-12 4.92599E-14
9.32893E-12 4.92599E-14
1.07092E-11 4.92599E-14
1.21847E-11 4.92599E-14
1.37554E-11 4.92599E-14
1.54213E-11 4.92598E-14
1.71823E-11 4.92598E-14
1.90386E-11 4.92598E-14
2.09900E-11 4.92598E-14
2.30367E-11 4.92598E-14
2.51785E-11 4.92598E-14
2.74156E-11 4.92598E-14
2.97478E-11 4.92597E-14
3.21752E-11 4.92597E-14
3.46979E-11 4.92597E-14
3.73157E-11 4.92597E-14
4.00286E-11 4.92597E-14
4.28368E-11 4.92597E-14
4.57402E-11 4.92596E-14
4.87388E-11 4.92596E-14
5.18325E-11 4.92596E-14
5.50215E-11 4.92596E-14
5.83057E-11 4.92595E-14
6.16850E-11 4.92595E-14
6.51595E-11 4.92595E-14
6.87293E-11 4.92595E-14
7.23943E-11 4.92594E-14
7.61544E-11 4.92594E-14
1.18991E-10 4.92591E-14
1.71347E-10 4.92587E-14
2.33223E-10 4.92583E-14
3.04617E-10 4.92578E-14
3.85531E-10 4.92572E-14
4.75965E-10 4.92565E-14
5.75917E-10 4.92558E-14
6.85389E-10 4.92550E-14
8.04380E-10 4.92542E-14
9.32891E-10 4.92533E-14
1.07092E-09 4.92523E-14
1.21847E-09 4.92512E-14
1.37554E-09 4.92501E-14
1.54213E-09 4.92489E-14
1.71823E-09 4.92476E-14
1.90386E-09 4.92463E-14
2.09900E-09 4.92449E-14
2.30367E-09 4.92434E-14
2.51785E-09 4.92419E-14
2.74156E-09 4.92403E-14
2.97478E-09 4.92386E-14
3.21752E-09 4.92368E-14
3.46978E-09 4.92350E-14
3.73156E-09 4.92331E-14
4.00286E-09 4.92312E-14
4.28368E-09 4.92292E-14
4.57402E-09 4.92271E-14
4.87388E-09 4.92249E-14
5.18326E-09 4.92227E-14
5.50215E-09 4.92204E-14
5.83057E-09 4.92181E-14
6.16850E-09 4.92156E-14
6.51596E-09 4.92132E-14
6.87293E-09 4.92106E-14
7.23942E-09 4.92080E-14
7.61544E-09 4.92053E-14
1.18991E-08 4.91746E-14
1.71347E-08 4.91371E-14
2.33223E-08 4.90930E-14
3.04617E-08 4.90422E-14
3.85531E-08 4.89849E-14
4.75965E-08 4.89210E-14
5.75917E-08 4.88506E-14
6.85389E-08 4.87739E-14
8.04380E-08 4.86909E-14
9.32891E-08 4.86018E-14
1.07092E-07 4.85065E-14
1.21847E-07 4.84053E-14
1.37554E-07 4.82983E-14
1.54213E-07 4.81855E-14
1.71823E-07 4.80671E-14
1.90386E-07 4.79432E-14
2.09900E-07 4.78140E-14
2.30367E-07 4.76796E-14
2.51785E-07 4.75402E-14
2.74156E-07 4.73959E-14
2.97478E-07 4.72468E-14
3.21752E-07 4.70932E-14
