 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+03 eV = 3.67493E+01 a.u.
 #
 # Element: Pa,  Z =  91,  atomic weight = 2.31036E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.56564E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 91
 #
 # Electron density: Read from file Data/z_091.d
 #                   Number of data points =  833
 #                   Volume integral = 9.10000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.54000E-23 cm**3
 #                            Bpol = 7.70552E+00
 #
 # Total elastic cross section = 3.30364E-16 cm**2 = 1.17975E+01 a0**2
 # 1st transport cross section = 2.08747E-17 cm**2 = 7.45450E-01 a0**2
 # 2nd transport cross section = 3.96061E-17 cm**2 = 1.41436E+00 a0**2
 #
 #    Absorption cross section = 2.10601E-16 cm**2 = 7.52071E+00 a0**2
 #   Grand total cross section = 5.40991E-16 cm**2 = 1.93191E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 4.96205E-15
7.61557E-13 4.96205E-15
1.18994E-12 4.96205E-15
1.71346E-12 4.96205E-15
2.33225E-12 4.96205E-15
3.04617E-12 4.96205E-15
3.85530E-12 4.96205E-15
4.75964E-12 4.96205E-15
5.75917E-12 4.96205E-15
6.85391E-12 4.96205E-15
8.04379E-12 4.96205E-15
9.32893E-12 4.96205E-15
1.07092E-11 4.96205E-15
1.21847E-11 4.96205E-15
1.37554E-11 4.96205E-15
1.54213E-11 4.96205E-15
1.71823E-11 4.96205E-15
1.90386E-11 4.96205E-15
2.09900E-11 4.96205E-15
2.30367E-11 4.96205E-15
2.51785E-11 4.96205E-15
2.74156E-11 4.96205E-15
2.97478E-11 4.96204E-15
3.21752E-11 4.96204E-15
3.46979E-11 4.96204E-15
3.73157E-11 4.96204E-15
4.00286E-11 4.96204E-15
4.28368E-11 4.96204E-15
4.57402E-11 4.96204E-15
4.87388E-11 4.96204E-15
5.18325E-11 4.96204E-15
5.50215E-11 4.96204E-15
5.83057E-11 4.96204E-15
6.16850E-11 4.96204E-15
6.51595E-11 4.96204E-15
6.87293E-11 4.96204E-15
7.23943E-11 4.96204E-15
7.61544E-11 4.96204E-15
1.18991E-10 4.96204E-15
1.71347E-10 4.96204E-15
2.33223E-10 4.96204E-15
3.04617E-10 4.96203E-15
3.85531E-10 4.96203E-15
4.75965E-10 4.96203E-15
5.75917E-10 4.96202E-15
6.85389E-10 4.96202E-15
8.04380E-10 4.96201E-15
9.32891E-10 4.96200E-15
1.07092E-09 4.96200E-15
1.21847E-09 4.96199E-15
1.37554E-09 4.96199E-15
1.54213E-09 4.96198E-15
1.71823E-09 4.96197E-15
1.90386E-09 4.96196E-15
2.09900E-09 4.96195E-15
2.30367E-09 4.96194E-15
2.51785E-09 4.96193E-15
2.74156E-09 4.96192E-15
2.97478E-09 4.96191E-15
3.21752E-09 4.96190E-15
3.46978E-09 4.96189E-15
3.73156E-09 4.96188E-15
4.00286E-09 4.96187E-15
4.28368E-09 4.96186E-15
4.57402E-09 4.96184E-15
4.87388E-09 4.96183E-15
5.18326E-09 4.96182E-15
5.50215E-09 4.96180E-15
5.83057E-09 4.96179E-15
6.16850E-09 4.96177E-15
6.51596E-09 4.96176E-15
6.87293E-09 4.96174E-15
7.23942E-09 4.96172E-15
7.61544E-09 4.96171E-15
1.18991E-08 4.96152E-15
1.71347E-08 4.96129E-15
2.33223E-08 4.96101E-15
3.04617E-08 4.96070E-15
3.85531E-08 4.96034E-15
4.75965E-08 4.95994E-15
5.75917E-08 4.95950E-15
6.85389E-08 4.95902E-15
8.04380E-08 4.95850E-15
9.32891E-08 4.95794E-15
1.07092E-07 4.95734E-15
1.21847E-07 4.95671E-15
1.37554E-07 4.95603E-15
1.54213E-07 4.95531E-15
1.71823E-07 4.95456E-15
1.90386E-07 4.95376E-15
2.09900E-07 4.95293E-15
2.30367E-07 4.95207E-15
2.51785E-07 4.95116E-15
2.74156E-07 4.95023E-15
2.97478E-07 4.94925E-15
3.21752E-07 4.94825E-15
3.46978E-07 4.94721E-15
3.73156E-07 4.94613E-15
4.00286E-07 4.94503E-15
4.28368E-07 4.94389E-15
4.57402E-07 4.94272E-15
4.87388E-07 4.94152E-15
5.18325E-07 4.94029E-15
5.50215E-07 4.93903E-15
5.83057E-07 4.93775E-15
6.16850E-07 4.93644E-15
6.51596E-07 4.93510E-15
6.87293E-07 4.93373E-15
7.23942E-07 4.93234E-15
7.61543E-07 4.93093E-15
1.18991E-06 4.91571E-15
1.71347E-06 4.89920E-15
2.33223E-06 4.88248E-15
3.04617E-06 4.86669E-15
3.85531E-06 4.85297E-15
4.75964E-06 4.84241E-15
5.75916E-06 4.83599E-15
6.85388E-06 4.83457E-15
8.04378E-06 4.83882E-15
9.32888E-06 4.84923E-15
1.07092E-05 4.86607E-15
1.21846E-05 4.88943E-15
1.37553E-05 4.91921E-15
1.54212E-05 4.95511E-15
1.71822E-05 4.99671E-15
1.90385E-05 5.04346E-15
2.09899E-05 5.09475E-15
2.30365E-05 5.14988E-15
2.51783E-05 5.20817E-15
2.74153E-05 5.26893E-15
2.97475E-05 5.33151E-15
3.21749E-05 5.39533E-15
3.46974E-05 5.45986E-15
3.73152E-05 5.52466E-15
4.00281E-05 5.58937E-15
4.28362E-05 5.65374E-15
4.57395E-05 5.71757E-15
4.87380E-05 5.78073E-15
5.18317E-05 5.84318E-15
5.50205E-05 5.90492E-15
5.83045E-05 5.96596E-15
6.16838E-05 6.02636E-15
6.51582E-05 6.08620E-15
6.87277E-05 6.14555E-15
7.23925E-05 6.20445E-15
7.61524E-05 6.26296E-15
9.21439E-05 6.49295E-15
1.09658E-04 6.71269E-15
1.28695E-04 6.91249E-15
1.49255E-04 7.08174E-15
1.71338E-04 7.21458E-15
1.94942E-04 7.31204E-15
2.20070E-04 7.37979E-15
2.46720E-04 7.42363E-15
2.74892E-04 7.44618E-15
3.04586E-04 7.44640E-15
3.35803E-04 7.42196E-15
3.68542E-04 7.37205E-15
4.02802E-04 7.29894E-15
4.38585E-04 7.20721E-15
4.75889E-04 7.10163E-15
5.14715E-04 6.98520E-15
5.55063E-04 6.85871E-15
5.96931E-04 6.72171E-15
6.40321E-04 6.57417E-15
6.85233E-04 6.41751E-15
7.31665E-04 6.25446E-15
7.79618E-04 6.08797E-15
8.29092E-04 5.92008E-15
8.80086E-04 5.75150E-15
9.32601E-04 5.58201E-15
9.86636E-04 5.41140E-15
1.04219E-03 5.24019E-15
1.09927E-03 5.06970E-15
1.15786E-03 4.90147E-15
1.21797E-03 4.73660E-15
1.27961E-03 4.57540E-15
1.34276E-03 4.41758E-15
1.40743E-03 4.26275E-15
1.47362E-03 4.11089E-15
1.54133E-03 3.96251E-15
1.61056E-03 3.81831E-15
1.68131E-03 3.67884E-15
1.75357E-03 3.54415E-15
1.82735E-03 3.41391E-15
1.90265E-03 3.28770E-15
1.97947E-03 3.16527E-15
2.05780E-03 3.04673E-15
2.13765E-03 2.93236E-15
2.21902E-03 2.82238E-15
2.30190E-03 2.71678E-15
2.38630E-03 2.61528E-15
2.47222E-03 2.51751E-15
2.55965E-03 2.42320E-15
2.64859E-03 2.33231E-15
2.73905E-03 2.24491E-15
2.83103E-03 2.16109E-15
2.92452E-03 2.08082E-15
3.01952E-03 2.00389E-15
3.11604E-03 1.93001E-15
3.21407E-03 1.85896E-15
3.31362E-03 1.79064E-15
3.41468E-03 1.72506E-15
3.51725E-03 1.66224E-15
3.62133E-03 1.60213E-15
3.72692E-03 1.54461E-15
3.83403E-03 1.48945E-15
3.94265E-03 1.43650E-15
4.05278E-03 1.38563E-15
4.16442E-03 1.33683E-15
