 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.75000E+02 eV = 6.43113E+00 a.u.
 #
 # Element:  U,  Z =  92,  atomic weight = 2.38029E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.63122E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 92
 #
 # Electron density: Read from file Data/z_092.d
 #                   Number of data points =  831
 #                   Volume integral = 9.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.49000E-23 cm**3
 #                            Bpol = 2.79508E+00
 #
 # Total elastic cross section = 4.46015E-16 cm**2 = 1.59275E+01 a0**2
 # 1st transport cross section = 5.53646E-17 cm**2 = 1.97711E+00 a0**2
 # 2nd transport cross section = 9.26709E-17 cm**2 = 3.30934E+00 a0**2
 #
 #    Absorption cross section = 8.96757E-16 cm**2 = 3.20238E+01 a0**2
 #   Grand total cross section = 1.34279E-15 cm**2 = 4.79518E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 1.53061E-14
7.61557E-13 1.53061E-14
1.18994E-12 1.53061E-14
1.71346E-12 1.53061E-14
2.33225E-12 1.53061E-14
3.04617E-12 1.53061E-14
3.85530E-12 1.53061E-14
4.75964E-12 1.53061E-14
5.75917E-12 1.53061E-14
6.85391E-12 1.53061E-14
8.04379E-12 1.53061E-14
9.32893E-12 1.53061E-14
1.07092E-11 1.53061E-14
1.21847E-11 1.53061E-14
1.37554E-11 1.53061E-14
1.54213E-11 1.53061E-14
1.71823E-11 1.53061E-14
1.90386E-11 1.53061E-14
2.09900E-11 1.53061E-14
2.30367E-11 1.53061E-14
2.51785E-11 1.53061E-14
2.74156E-11 1.53061E-14
2.97478E-11 1.53061E-14
3.21752E-11 1.53061E-14
3.46979E-11 1.53061E-14
3.73157E-11 1.53061E-14
4.00286E-11 1.53061E-14
4.28368E-11 1.53061E-14
4.57402E-11 1.53061E-14
4.87388E-11 1.53061E-14
5.18325E-11 1.53061E-14
5.50215E-11 1.53061E-14
5.83057E-11 1.53061E-14
6.16850E-11 1.53061E-14
6.51595E-11 1.53061E-14
6.87293E-11 1.53061E-14
7.23943E-11 1.53061E-14
7.61544E-11 1.53061E-14
1.18991E-10 1.53061E-14
1.71347E-10 1.53061E-14
2.33223E-10 1.53061E-14
3.04617E-10 1.53061E-14
3.85531E-10 1.53060E-14
4.75965E-10 1.53060E-14
5.75917E-10 1.53060E-14
6.85389E-10 1.53060E-14
8.04380E-10 1.53060E-14
9.32891E-10 1.53060E-14
1.07092E-09 1.53060E-14
1.21847E-09 1.53060E-14
1.37554E-09 1.53059E-14
1.54213E-09 1.53059E-14
1.71823E-09 1.53059E-14
1.90386E-09 1.53059E-14
2.09900E-09 1.53059E-14
2.30367E-09 1.53059E-14
2.51785E-09 1.53058E-14
2.74156E-09 1.53058E-14
2.97478E-09 1.53058E-14
3.21752E-09 1.53058E-14
3.46978E-09 1.53057E-14
3.73156E-09 1.53057E-14
4.00286E-09 1.53057E-14
4.28368E-09 1.53057E-14
4.57402E-09 1.53056E-14
4.87388E-09 1.53056E-14
5.18326E-09 1.53056E-14
5.50215E-09 1.53055E-14
5.83057E-09 1.53055E-14
6.16850E-09 1.53055E-14
6.51596E-09 1.53054E-14
6.87293E-09 1.53054E-14
7.23942E-09 1.53054E-14
7.61544E-09 1.53053E-14
1.18991E-08 1.53049E-14
1.71347E-08 1.53044E-14
2.33223E-08 1.53038E-14
3.04617E-08 1.53031E-14
3.85531E-08 1.53022E-14
4.75965E-08 1.53013E-14
5.75917E-08 1.53004E-14
6.85389E-08 1.52993E-14
8.04380E-08 1.52981E-14
9.32891E-08 1.52968E-14
1.07092E-07 1.52954E-14
1.21847E-07 1.52940E-14
1.37554E-07 1.52924E-14
1.54213E-07 1.52907E-14
1.71823E-07 1.52890E-14
1.90386E-07 1.52872E-14
2.09900E-07 1.52852E-14
2.30367E-07 1.52832E-14
2.51785E-07 1.52811E-14
2.74156E-07 1.52788E-14
2.97478E-07 1.52765E-14
3.21752E-07 1.52741E-14
3.46978E-07 1.52716E-14
3.73156E-07 1.52690E-14
4.00286E-07 1.52663E-14
4.28368E-07 1.52636E-14
4.57402E-07 1.52607E-14
4.87388E-07 1.52577E-14
5.18325E-07 1.52547E-14
5.50215E-07 1.52515E-14
5.83057E-07 1.52483E-14
6.16850E-07 1.52449E-14
6.51596E-07 1.52415E-14
6.87293E-07 1.52380E-14
7.23942E-07 1.52344E-14
7.61543E-07 1.52307E-14
1.18991E-06 1.51886E-14
1.71347E-06 1.51376E-14
2.33223E-06 1.50778E-14
3.04617E-06 1.50095E-14
3.85531E-06 1.49329E-14
4.75964E-06 1.48483E-14
5.75916E-06 1.47562E-14
6.85388E-06 1.46567E-14
8.04378E-06 1.45504E-14
9.32888E-06 1.44376E-14
1.07092E-05 1.43187E-14
1.21846E-05 1.41942E-14
1.37553E-05 1.40644E-14
1.54212E-05 1.39299E-14
1.71822E-05 1.37911E-14
1.90385E-05 1.36484E-14
2.09899E-05 1.35023E-14
2.30365E-05 1.33532E-14
2.51783E-05 1.32015E-14
2.74153E-05 1.30477E-14
2.97475E-05 1.28922E-14
3.21749E-05 1.27354E-14
3.46974E-05 1.25777E-14
3.73152E-05 1.24194E-14
4.00281E-05 1.22609E-14
4.28362E-05 1.21025E-14
4.57395E-05 1.19445E-14
4.87380E-05 1.17873E-14
5.18317E-05 1.16311E-14
5.50205E-05 1.14760E-14
5.83045E-05 1.13225E-14
6.16838E-05 1.11705E-14
6.51582E-05 1.10204E-14
6.87277E-05 1.08723E-14
7.23925E-05 1.07263E-14
7.61524E-05 1.05826E-14
9.21439E-05 1.00316E-14
1.09658E-04 9.52105E-15
1.28695E-04 9.05071E-15
1.49255E-04 8.61786E-15
1.71338E-04 8.21833E-15
1.94942E-04 7.84747E-15
2.20070E-04 7.50084E-15
2.46720E-04 7.17471E-15
2.74892E-04 6.86625E-15
3.04586E-04 6.57361E-15
3.35803E-04 6.29574E-15
3.68542E-04 6.03220E-15
4.02802E-04 5.78287E-15
4.38585E-04 5.54772E-15
4.75889E-04 5.32660E-15
5.14715E-04 5.11913E-15
5.55063E-04 4.92468E-15
5.96931E-04 4.74241E-15
6.40321E-04 4.57134E-15
6.85233E-04 4.41045E-15
7.31665E-04 4.25874E-15
7.79618E-04 4.11535E-15
8.29092E-04 3.97955E-15
8.80086E-04 3.85079E-15
9.32601E-04 3.72861E-15
9.86636E-04 3.61270E-15
1.04219E-03 3.50275E-15
1.09927E-03 3.39851E-15
1.15786E-03 3.29968E-15
1.21797E-03 3.20596E-15
1.27961E-03 3.11700E-15
1.34276E-03 3.03246E-15
1.40743E-03 2.95201E-15
1.47362E-03 2.87532E-15
1.54133E-03 2.80212E-15
1.61056E-03 2.73218E-15
1.68131E-03 2.66531E-15
1.75357E-03 2.60132E-15
1.82735E-03 2.54009E-15
1.90265E-03 2.48146E-15
1.97947E-03 2.42529E-15
2.05780E-03 2.37142E-15
2.13765E-03 2.31970E-15
2.21902E-03 2.26995E-15
2.30190E-03 2.22203E-15
2.38630E-03 2.17579E-15
2.47222E-03 2.13111E-15
2.55965E-03 2.08792E-15
2.64859E-03 2.04614E-15
2.73905E-03 2.00573E-15
2.83103E-03 1.96665E-15
2.92452E-03 1.92886E-15
3.01952E-03 1.89231E-15
3.11604E-03 1.85695E-15
3.21407E-03 1.82269E-15
3.31362E-03 1.78946E-15
3.41468E-03 1.75716E-15
3.51725E-03 1.72569E-15
3.62133E-03 1.69500E-15
3.72692E-03 1.66501E-15
3.83403E-03 1.63570E-15
3.94265E-03 1.60703E-15
4.05278E-03 1.57902E-15
4.16442E-03 1.55166E-15
4.27757E-03 1.52496E-15
4.39223E-03 1.49892E-15
4.50840E-03 1.47352E-15
4.62608E-03 1.44873E-15
4.74527E-03 1.42451E-15
4.86597E-03 1.40080E-15
4.98817E-03 1.37756E-15
5.11188E-03 1.35472E-15
5.23711E-03 1.33225E-15
5.36383E-03 1.31013E-15
5.49207E-03 1.28835E-15
5.62181E-03 1.26690E-15
5.75306E-03 1.24581E-15
5.88581E-03 1.22509E-15
6.02007E-03 1.20475E-15
6.15583E-03 1.18480E-15
6.29310E-03 1.16523E-15
6.43187E-03 1.14603E-15
6.57214E-03 1.12717E-15
6.71392E-03 1.10862E-15
6.85720E-03 1.09033E-15
7.00198E-03 1.07230E-15
7.14827E-03 1.05448E-15
7.29605E-03 1.03687E-15
7.44534E-03 1.01947E-15
7.59612E-03 1.00230E-15
7.97965E-03 9.60430E-16
8.37255E-03 9.20233E-16
8.77480E-03 8.81652E-16
9.18641E-03 8.44407E-16
9.60736E-03 8.08263E-16
1.00376E-02 7.73231E-16
1.04773E-02 7.39479E-16
1.09262E-02 7.07092E-16
1.13844E-02 6.75953E-16
1.18520E-02 6.45861E-16
1.23288E-02 6.16729E-16
1.28150E-02 5.88636E-16
1.33104E-02 5.61693E-16
1.38150E-02 5.35898E-16
1.43290E-02 5.11127E-16
1.48521E-02 4.87262E-16
1.53845E-02 4.64291E-16
1.59262E-02 4.42287E-16
1.64770E-02 4.21294E-16
1.70371E-02 4.01259E-16
1.76063E-02 3.82082E-16
1.81848E-02 3.63704E-16
1.87724E-02 3.46141E-16
1.93692E-02 3.29433E-16
1.99751E-02 3.13575E-16
2.05901E-02 2.98504E-16
2.12143E-02 2.84148E-16
2.18476E-02 2.70482E-16
2.24900E-02 2.57517E-16
2.31415E-02 2.45262E-16
2.38021E-02 2.33682E-16
2.44717E-02 2.22721E-16
2.51504E-02 2.12331E-16
2.58382E-02 2.02498E-16
2.65349E-02 1.93221E-16
2.72407E-02 1.84484E-16
2.79555E-02 1.76247E-16
2.86793E-02 1.68467E-16
2.94120E-02 1.61112E-16
3.01537E-02 1.54172E-16
3.09043E-02 1.47633E-16
3.16639E-02 1.41471E-16
3.24324E-02 1.35654E-16
3.32098E-02 1.30153E-16
3.39961E-02 1.24948E-16
3.47912E-02 1.20027E-16
3.55952E-02 1.15375E-16
3.64081E-02 1.10970E-16
3.72297E-02 1.06793E-16
3.80602E-02 1.02826E-16
3.88995E-02 9.90577E-17
3.97476E-02 9.54770E-17
4.06044E-02 9.20709E-17
4.14700E-02 8.88268E-17
4.23443E-02 8.57349E-17
4.32273E-02 8.27875E-17
4.41190E-02 7.99763E-17
4.50194E-02 7.72919E-17
4.59284E-02 7.47262E-17
4.68461E-02 7.22745E-17
4.87074E-02 6.77007E-17
5.06030E-02 6.35252E-17
5.25328E-02 5.97066E-17
5.44967E-02 5.62369E-17
5.64946E-02 5.30725E-17
5.85262E-02 5.01872E-17
6.05914E-02 4.75787E-17
6.26901E-02 4.51988E-17
6.48222E-02 4.30323E-17
6.69873E-02 4.10740E-17
6.91854E-02 3.92744E-17
7.14163E-02 3.76293E-17
7.36799E-02 3.61297E-17
7.59760E-02 3.47316E-17
7.83043E-02 3.34418E-17
8.06647E-02 3.22495E-17
8.30571E-02 3.11202E-17
8.54812E-02 3.00695E-17
8.79369E-02 2.90852E-17
9.04240E-02 2.81429E-17
9.29422E-02 2.72627E-17
9.54915E-02 2.64309E-17
9.80716E-02 2.56308E-17
1.00682E-01 2.48832E-17
1.03323E-01 2.41721E-17
1.05995E-01 2.34863E-17
1.08696E-01 2.28447E-17
1.11427E-01 2.22297E-17
1.14188E-01 2.16341E-17
1.16978E-01 2.10741E-17
1.19797E-01 2.05323E-17
1.22645E-01 2.00045E-17
1.25522E-01 1.95049E-17
1.28428E-01 1.90172E-17
1.31361E-01 1.85401E-17
1.34323E-01 1.80862E-17
1.37313E-01 1.76411E-17
1.40330E-01 1.72052E-17
1.43375E-01 1.67899E-17
1.46447E-01 1.63826E-17
1.49545E-01 1.59844E-17
1.52671E-01 1.56054E-17
1.55823E-01 1.52344E-17
1.59001E-01 1.48724E-17
1.62205E-01 1.45280E-17
1.65435E-01 1.41913E-17
1.68690E-01 1.38626E-17
1.71970E-01 1.35494E-17
1.75276E-01 1.32432E-17
1.78606E-01 1.29433E-17
1.81961E-01 1.26566E-17
1.85340E-01 1.23761E-17
1.88743E-01 1.21006E-17
1.92169E-01 1.18364E-17
1.95619E-01 1.15783E-17
1.99092E-01 1.13245E-17
2.02589E-01 1.10810E-17
2.06107E-01 1.08443E-17
2.09649E-01 1.06119E-17
2.13212E-01 1.03891E-17
2.16797E-01 1.01740E-17
2.20404E-01 9.96358E-18
2.24032E-01 9.76212E-18
2.27680E-01 9.56878E-18
2.31350E-01 9.38026E-18
2.35040E-01 9.19949E-18
2.38751E-01 9.02657E-18
2.42481E-01 8.85814E-18
2.46231E-01 8.69579E-18
2.50000E-01 8.54033E-18
2.53788E-01 8.38876E-18
2.57595E-01 8.24155E-18
2.61421E-01 8.09994E-18
2.65264E-01 7.96173E-18
2.69126E-01 7.82656E-18
2.73005E-01 7.69584E-18
2.76901E-01 7.56836E-18
2.80814E-01 7.44331E-18
2.84744E-01 7.32192E-18
2.88691E-01 7.20390E-18
2.92653E-01 7.08835E-18
2.96632E-01 6.97606E-18
3.00625E-01 6.86729E-18
3.04634E-01 6.76133E-18
3.08658E-01 6.65845E-18
3.12697E-01 6.55903E-18
3.16749E-01 6.46265E-18
3.20816E-01 6.36917E-18
3.24896E-01 6.27881E-18
3.28990E-01 6.19130E-18
3.33097E-01 6.10645E-18
3.37216E-01 6.02417E-18
3.41348E-01 5.94423E-18
3.45492E-01 5.86650E-18
3.49647E-01 5.79086E-18
3.53814E-01 5.71694E-18
3.57992E-01 5.64467E-18
3.62181E-01 5.57414E-18
3.66381E-01 5.50495E-18
3.70590E-01 5.43688E-18
3.74810E-01 5.37027E-18
3.79039E-01 5.30502E-18
3.83277E-01 5.24063E-18
3.87524E-01 5.17740E-18
3.91780E-01 5.11570E-18
3.96044E-01 5.05505E-18
4.00316E-01 4.99528E-18
4.04596E-01 4.93702E-18
4.08882E-01 4.88027E-18
4.13176E-01 4.82439E-18
4.17476E-01 4.76965E-18
4.21783E-01 4.71665E-18
4.26095E-01 4.66489E-18
4.30413E-01 4.61388E-18
4.34737E-01 4.56424E-18
4.39065E-01 4.51621E-18
4.43398E-01 4.46898E-18
4.47736E-01 4.42244E-18
4.52077E-01 4.37728E-18
