 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 5.00000E+03 eV = 1.83747E+02 a.u.
 #
 # Element:  U,  Z =  92,  atomic weight = 2.38029E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.63122E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 92
 #
 # Electron density: Read from file Data/z_092.d
 #                   Number of data points =  831
 #                   Volume integral = 9.20000E+01
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.49000E-23 cm**3
 #                            Bpol = 1.75891E+01
 #
 # Total elastic cross section = 1.70381E-16 cm**2 = 6.08443E+00 a0**2
 # 1st transport cross section = 5.20839E-18 cm**2 = 1.85995E-01 a0**2
 # 2nd transport cross section = 1.06289E-17 cm**2 = 3.79566E-01 a0**2
 #
 #    Absorption cross section = 4.62935E-17 cm**2 = 1.65317E+00 a0**2
 #   Grand total cross section = 2.16703E-16 cm**2 = 7.73862E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #  mu        dcs
0.00000E+00 7.61425E-15
7.61557E-13 7.61425E-15
1.18994E-12 7.61425E-15
1.71346E-12 7.61425E-15
2.33225E-12 7.61425E-15
3.04617E-12 7.61425E-15
3.85530E-12 7.61425E-15
4.75964E-12 7.61425E-15
5.75917E-12 7.61425E-15
6.85391E-12 7.61425E-15
8.04379E-12 7.61425E-15
9.32893E-12 7.61425E-15
1.07092E-11 7.61426E-15
1.21847E-11 7.61426E-15
1.37554E-11 7.61426E-15
1.54213E-11 7.61426E-15
1.71823E-11 7.61426E-15
1.90386E-11 7.61426E-15
2.09900E-11 7.61427E-15
2.30367E-11 7.61427E-15
2.51785E-11 7.61427E-15
2.74156E-11 7.61427E-15
2.97478E-11 7.61428E-15
3.21752E-11 7.61428E-15
3.46979E-11 7.61428E-15
3.73157E-11 7.61428E-15
4.00286E-11 7.61429E-15
4.28368E-11 7.61429E-15
4.57402E-11 7.61429E-15
4.87388E-11 7.61430E-15
5.18325E-11 7.61430E-15
5.50215E-11 7.61430E-15
5.83057E-11 7.61431E-15
6.16850E-11 7.61431E-15
6.51595E-11 7.61431E-15
6.87293E-11 7.61432E-15
7.23943E-11 7.61432E-15
7.61544E-11 7.61432E-15
1.18991E-10 7.61437E-15
1.71347E-10 7.61442E-15
2.33223E-10 7.61449E-15
3.04617E-10 7.61456E-15
3.85531E-10 7.61464E-15
4.75965E-10 7.61474E-15
5.75917E-10 7.61484E-15
6.85389E-10 7.61495E-15
8.04380E-10 7.61508E-15
9.32891E-10 7.61521E-15
1.07092E-09 7.61535E-15
1.21847E-09 7.61551E-15
1.37554E-09 7.61567E-15
1.54213E-09 7.61584E-15
1.71823E-09 7.61602E-15
1.90386E-09 7.61622E-15
2.09900E-09 7.61642E-15
2.30367E-09 7.61663E-15
2.51785E-09 7.61685E-15
2.74156E-09 7.61708E-15
2.97478E-09 7.61733E-15
3.21752E-09 7.61758E-15
3.46978E-09 7.61784E-15
3.73156E-09 7.61811E-15
4.00286E-09 7.61839E-15
4.28368E-09 7.61868E-15
4.57402E-09 7.61898E-15
4.87388E-09 7.61929E-15
5.18326E-09 7.61961E-15
5.50215E-09 7.61994E-15
5.83057E-09 7.62028E-15
6.16850E-09 7.62063E-15
6.51596E-09 7.62099E-15
6.87293E-09 7.62136E-15
7.23942E-09 7.62174E-15
7.61544E-09 7.62213E-15
1.18991E-08 7.62656E-15
1.71347E-08 7.63198E-15
2.33223E-08 7.63837E-15
3.04617E-08 7.64575E-15
3.85531E-08 7.65411E-15
4.75965E-08 7.66344E-15
5.75917E-08 7.67375E-15
6.85389E-08 7.68502E-15
8.04380E-08 7.69727E-15
9.32891E-08 7.71048E-15
1.07092E-07 7.72466E-15
1.21847E-07 7.73979E-15
1.37554E-07 7.75588E-15
1.54213E-07 7.77292E-15
1.71823E-07 7.79090E-15
1.90386E-07 7.80983E-15
2.09900E-07 7.82969E-15
2.30367E-07 7.85048E-15
2.51785E-07 7.87220E-15
2.74156E-07 7.89484E-15
2.97478E-07 7.91839E-15
3.21752E-07 7.94284E-15
3.46978E-07 7.96819E-15
3.73156E-07 7.99444E-15
4.00286E-07 8.02156E-15
4.28368E-07 8.04956E-15
4.57402E-07 8.07842E-15
4.87388E-07 8.10814E-15
5.18325E-07 8.13871E-15
5.50215E-07 8.17011E-15
5.83057E-07 8.20234E-15
6.16850E-07 8.23538E-15
6.51596E-07 8.26923E-15
6.87293E-07 8.30387E-15
7.23942E-07 8.33929E-15
7.61543E-07 8.37547E-15
1.18991E-06 8.77646E-15
1.71347E-06 9.23728E-15
2.33223E-06 9.73920E-15
3.04617E-06 1.02614E-14
3.85531E-06 1.07833E-14
4.75964E-06 1.12863E-14
5.75916E-06 1.17563E-14
6.85388E-06 1.21843E-14
8.04378E-06 1.25667E-14
9.32888E-06 1.29048E-14
1.07092E-05 1.32032E-14
1.21846E-05 1.34681E-14
1.37553E-05 1.37061E-14
1.54212E-05 1.39226E-14
1.71822E-05 1.41213E-14
1.90385E-05 1.43036E-14
2.09899E-05 1.44693E-14
2.30365E-05 1.46168E-14
2.51783E-05 1.47440E-14
2.74153E-05 1.48489E-14
2.97475E-05 1.49304E-14
3.21749E-05 1.49885E-14
3.46974E-05 1.50242E-14
3.73152E-05 1.50397E-14
4.00281E-05 1.50377E-14
4.28362E-05 1.50211E-14
4.57395E-05 1.49923E-14
4.87380E-05 1.49534E-14
5.18317E-05 1.49054E-14
5.50205E-05 1.48486E-14
5.83045E-05 1.47830E-14
6.16838E-05 1.47080E-14
6.51582E-05 1.46232E-14
6.87277E-05 1.45282E-14
7.23925E-05 1.44233E-14
7.61524E-05 1.43091E-14
9.21439E-05 1.37844E-14
1.09658E-04 1.32025E-14
1.28695E-04 1.25782E-14
1.49255E-04 1.19166E-14
1.71338E-04 1.12526E-14
1.94942E-04 1.05993E-14
2.20070E-04 9.95338E-15
2.46720E-04 9.32953E-15
2.74892E-04 8.73694E-15
3.04586E-04 8.17013E-15
3.35803E-04 7.63295E-15
3.68542E-04 7.13119E-15
4.02802E-04 6.65990E-15
4.38585E-04 6.21763E-15
4.75889E-04 5.80749E-15
5.14715E-04 5.42613E-15
5.55063E-04 5.07013E-15
5.96931E-04 4.74078E-15
6.40321E-04 4.43610E-15
6.85233E-04 4.15248E-15
7.31665E-04 3.88995E-15
7.79618E-04 3.64756E-15
8.29092E-04 3.42224E-15
8.80086E-04 3.21323E-15
9.32601E-04 3.02015E-15
9.86636E-04 2.84069E-15
1.04219E-03 2.67371E-15
1.09927E-03 2.51904E-15
1.15786E-03 2.37514E-15
1.21797E-03 2.24078E-15
1.27961E-03 2.11582E-15
1.34276E-03 1.99934E-15
1.40743E-03 1.89023E-15
1.47362E-03 1.78830E-15
1.54133E-03 1.69308E-15
1.61056E-03 1.60367E-15
1.68131E-03 1.51982E-15
1.75357E-03 1.44132E-15
1.82735E-03 1.36751E-15
1.90265E-03 1.29808E-15
1.97947E-03 1.23296E-15
2.05780E-03 1.17168E-15
2.13765E-03 1.11394E-15
2.21902E-03 1.05966E-15
2.30190E-03 1.00856E-15
2.38630E-03 9.60335E-16
2.47222E-03 9.14906E-16
2.55965E-03 8.72098E-16
2.64859E-03 8.31646E-16
2.73905E-03 7.93455E-16
2.83103E-03 7.57416E-16
2.92452E-03 7.23326E-16
3.01952E-03 6.91080E-16
3.11604E-03 6.60602E-16
3.21407E-03 6.31751E-16
3.31362E-03 6.04423E-16
3.41468E-03 5.78559E-16
3.51725E-03 5.54059E-16
3.62133E-03 5.30837E-16
3.72692E-03 5.08834E-16
3.83403E-03 4.87978E-16
3.94265E-03 4.68198E-16
4.05278E-03 4.49439E-16
4.16442E-03 4.31638E-16
4.27757E-03 4.14743E-16
4.39223E-03 3.98703E-16
4.50840E-03 3.83458E-16
4.62608E-03 3.68971E-16
4.74527E-03 3.55201E-16
4.86597E-03 3.42090E-16
4.98817E-03 3.29608E-16
5.11188E-03 3.17730E-16
5.23711E-03 3.06404E-16
5.36383E-03 2.95599E-16
5.49207E-03 2.85306E-16
5.62181E-03 2.75482E-16
5.75306E-03 2.66090E-16
5.88581E-03 2.57134E-16
6.02007E-03 2.48581E-16
6.15583E-03 2.40391E-16
6.29310E-03 2.32568E-16
6.43187E-03 2.25096E-16
6.57214E-03 2.17930E-16
6.71392E-03 2.11069E-16
6.85720E-03 2.04514E-16
7.00198E-03 1.98219E-16
7.14827E-03 1.92175E-16
7.29605E-03 1.86395E-16
7.44534E-03 1.80841E-16
7.59612E-03 1.75493E-16
7.97965E-03 1.63048E-16
8.37255E-03 1.51749E-16
8.77480E-03 1.41457E-16
9.18641E-03 1.32074E-16
9.60736E-03 1.23513E-16
1.00376E-02 1.15678E-16
1.04773E-02 1.08480E-16
1.09262E-02 1.01857E-16
1.13844E-02 9.57624E-17
1.18520E-02 9.01446E-17
1.23288E-02 8.49479E-17
1.28150E-02 8.01337E-17
1.33104E-02 7.56785E-17
1.38150E-02 7.15541E-17
1.43290E-02 6.77226E-17
1.48521E-02 6.41533E-17
1.53845E-02 6.08306E-17
1.59262E-02 5.77410E-17
1.64770E-02 5.48613E-17
1.70371E-02 5.21680E-17
1.76063E-02 4.96488E-17
1.81848E-02 4.72965E-17
1.87724E-02 4.50973E-17
1.93692E-02 4.30333E-17
1.99751E-02 4.10935E-17
2.05901E-02 3.92740E-17
2.12143E-02 3.75674E-17
2.18476E-02 3.59610E-17
2.24900E-02 3.44446E-17
2.31415E-02 3.30151E-17
2.38021E-02 3.16689E-17
2.44717E-02 3.03981E-17
2.51504E-02 2.91945E-17
2.58382E-02 2.80547E-17
2.65349E-02 2.69770E-17
2.72407E-02 2.59563E-17
2.79555E-02 2.49861E-17
2.86793E-02 2.40632E-17
2.94120E-02 2.31868E-17
3.01537E-02 2.23543E-17
3.09043E-02 2.15611E-17
3.16639E-02 2.08044E-17
3.24324E-02 2.00831E-17
3.32098E-02 1.93955E-17
3.39961E-02 1.87383E-17
3.47912E-02 1.81094E-17
3.55952E-02 1.75080E-17
3.64081E-02 1.69332E-17
3.72297E-02 1.63831E-17
3.80602E-02 1.58556E-17
3.88995E-02 1.53500E-17
3.97476E-02 1.48654E-17
4.06044E-02 1.44001E-17
4.14700E-02 1.39531E-17
4.23443E-02 1.35239E-17
4.32273E-02 1.31118E-17
4.41190E-02 1.27159E-17
4.50194E-02 1.23351E-17
4.59284E-02 1.19688E-17
4.68461E-02 1.16163E-17
4.87074E-02 1.09500E-17
5.06030E-02 1.03320E-17
5.25328E-02 9.75840E-18
5.44967E-02 9.22505E-18
5.64946E-02 8.72840E-18
5.85262E-02 8.26587E-18
6.05914E-02 7.83483E-18
6.26901E-02 7.43255E-18
6.48222E-02 7.05647E-18
6.69873E-02 6.70515E-18
6.91854E-02 6.37636E-18
7.14163E-02 6.06869E-18
7.36799E-02 5.77987E-18
7.59760E-02 5.50931E-18
7.83043E-02 5.25514E-18
8.06647E-02 5.01650E-18
8.30571E-02 4.79184E-18
8.54812E-02 4.58049E-18
8.79369E-02 4.38154E-18
9.04240E-02 4.19380E-18
9.29422E-02 4.01689E-18
9.54915E-02 3.84951E-18
9.80716E-02 3.69183E-18
1.00682E-01 3.54222E-18
1.03323E-01 3.40111E-18
1.05995E-01 3.26698E-18
1.08696E-01 3.14035E-18
1.11427E-01 3.01986E-18
1.14188E-01 2.90578E-18
1.16978E-01 2.79727E-18
1.19797E-01 2.69422E-18
1.22645E-01 2.59629E-18
1.25522E-01 2.50294E-18
1.28428E-01 2.41432E-18
1.31361E-01 2.32958E-18
1.34323E-01 2.24916E-18
1.37313E-01 2.17212E-18
1.40330E-01 2.09891E-18
1.43375E-01 2.02880E-18
1.46447E-01 1.96193E-18
1.49545E-01 1.89806E-18
1.52671E-01 1.83684E-18
1.55823E-01 1.77852E-18
1.59001E-01 1.72240E-18
1.62205E-01 1.66898E-18
1.65435E-01 1.61756E-18
1.68690E-01 1.56844E-18
1.71970E-01 1.52130E-18
1.75276E-01 1.47603E-18
1.78606E-01 1.43274E-18
