 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+04 eV = 3.67493E+02 a.u.
 #
 # Element:  U,  Z =  92,  atomic weight = 2.38029E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.63122E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 92
 #
 # Electron density: Read from file Data/z_092.d
 #                   Number of data points =  831
 #                   Volume integral = 9.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.49000E-23 cm**3
 #                            Bpol = 2.49374E+01
 #
 # Total elastic cross section = 1.26565E-16 cm**2 = 4.51971E+00 a0**2
 # 1st transport cross section = 5.07160E-18 cm**2 = 1.81110E-01 a0**2
 # 2nd transport cross section = 7.56415E-18 cm**2 = 2.70121E-01 a0**2
 #
 #    Absorption cross section = 2.38130E-17 cm**2 = 8.50376E-01 a0**2
 #   Grand total cross section = 1.50399E-16 cm**2 = 5.37085E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 4.14756E-14
7.61557E-13 4.14756E-14
1.18994E-12 4.14756E-14
1.71346E-12 4.14756E-14
2.33225E-12 4.14756E-14
3.04617E-12 4.14756E-14
3.85530E-12 4.14755E-14
4.75964E-12 4.14755E-14
5.75917E-12 4.14755E-14
6.85391E-12 4.14755E-14
8.04379E-12 4.14755E-14
9.32893E-12 4.14755E-14
1.07092E-11 4.14755E-14
1.21847E-11 4.14755E-14
1.37554E-11 4.14755E-14
1.54213E-11 4.14755E-14
1.71823E-11 4.14755E-14
1.90386E-11 4.14754E-14
2.09900E-11 4.14754E-14
2.30367E-11 4.14754E-14
2.51785E-11 4.14754E-14
2.74156E-11 4.14754E-14
2.97478E-11 4.14754E-14
3.21752E-11 4.14754E-14
3.46979E-11 4.14753E-14
3.73157E-11 4.14753E-14
4.00286E-11 4.14753E-14
4.28368E-11 4.14753E-14
4.57402E-11 4.14753E-14
4.87388E-11 4.14752E-14
5.18325E-11 4.14752E-14
5.50215E-11 4.14752E-14
5.83057E-11 4.14752E-14
6.16850E-11 4.14752E-14
6.51595E-11 4.14751E-14
6.87293E-11 4.14751E-14
7.23943E-11 4.14751E-14
7.61544E-11 4.14751E-14
1.18991E-10 4.14748E-14
1.71347E-10 4.14744E-14
2.33223E-10 4.14740E-14
3.04617E-10 4.14735E-14
3.85531E-10 4.14730E-14
4.75965E-10 4.14724E-14
5.75917E-10 4.14717E-14
6.85389E-10 4.14710E-14
8.04380E-10 4.14702E-14
9.32891E-10 4.14693E-14
1.07092E-09 4.14684E-14
1.21847E-09 4.14674E-14
1.37554E-09 4.14663E-14
1.54213E-09 4.14652E-14
1.71823E-09 4.14640E-14
1.90386E-09 4.14628E-14
2.09900E-09 4.14615E-14
2.30367E-09 4.14601E-14
2.51785E-09 4.14587E-14
2.74156E-09 4.14572E-14
2.97478E-09 4.14556E-14
3.21752E-09 4.14540E-14
3.46978E-09 4.14523E-14
3.73156E-09 4.14506E-14
4.00286E-09 4.14487E-14
4.28368E-09 4.14469E-14
4.57402E-09 4.14449E-14
4.87388E-09 4.14429E-14
5.18326E-09 4.14408E-14
5.50215E-09 4.14387E-14
5.83057E-09 4.14365E-14
6.16850E-09 4.14342E-14
6.51596E-09 4.14319E-14
6.87293E-09 4.14295E-14
7.23942E-09 4.14271E-14
7.61544E-09 4.14246E-14
1.18991E-08 4.13960E-14
1.71347E-08 4.13611E-14
2.33223E-08 4.13200E-14
3.04617E-08 4.12728E-14
3.85531E-08 4.12194E-14
4.75965E-08 4.11601E-14
5.75917E-08 4.10949E-14
6.85389E-08 4.10238E-14
8.04380E-08 4.09470E-14
9.32891E-08 4.08646E-14
1.07092E-07 4.07767E-14
1.21847E-07 4.06834E-14
1.37554E-07 4.05849E-14
1.54213E-07 4.04813E-14
1.71823E-07 4.03728E-14
1.90386E-07 4.02594E-14
2.09900E-07 4.01414E-14
2.30367E-07 4.00190E-14
2.51785E-07 3.98922E-14
2.74156E-07 3.97612E-14
2.97478E-07 3.96263E-14
3.21752E-07 3.94876E-14
3.46978E-07 3.93452E-14
3.73156E-07 3.91995E-14
4.00286E-07 3.90504E-14
4.28368E-07 3.88983E-14
4.57402E-07 3.87433E-14
4.87388E-07 3.85856E-14
5.18325E-07 3.84254E-14
5.50215E-07 3.82629E-14
5.83057E-07 3.80982E-14
6.16850E-07 3.79315E-14
6.51596E-07 3.77631E-14
6.87293E-07 3.75931E-14
7.23942E-07 3.74217E-14
7.61543E-07 3.72491E-14
1.18991E-06 3.54916E-14
1.71347E-06 3.37787E-14
2.33223E-06 3.22149E-14
3.04617E-06 3.08505E-14
3.85531E-06 2.96892E-14
4.75964E-06 2.87021E-14
5.75916E-06 2.78456E-14
6.85388E-06 2.70760E-14
8.04378E-06 2.63602E-14
9.32888E-06 2.56800E-14
1.07092E-05 2.50307E-14
1.21846E-05 2.44158E-14
1.37553E-05 2.38411E-14
1.54212E-05 2.33089E-14
1.71822E-05 2.28163E-14
1.90385E-05 2.23558E-14
2.09899E-05 2.19174E-14
2.30365E-05 2.14920E-14
2.51783E-05 2.10738E-14
2.74153E-05 2.06610E-14
2.97475E-05 2.02551E-14
3.21749E-05 1.98588E-14
3.46974E-05 1.94746E-14
3.73152E-05 1.91027E-14
4.00281E-05 1.87414E-14
4.28362E-05 1.83874E-14
4.57395E-05 1.80376E-14
4.87380E-05 1.76897E-14
5.18317E-05 1.73431E-14
5.50205E-05 1.69989E-14
5.83045E-05 1.66588E-14
6.16838E-05 1.63247E-14
6.51582E-05 1.59972E-14
6.87277E-05 1.56762E-14
7.23925E-05 1.53603E-14
7.61524E-05 1.50481E-14
9.21439E-05 1.38277E-14
1.09658E-04 1.26846E-14
1.28695E-04 1.16166E-14
1.49255E-04 1.06237E-14
1.71338E-04 9.71338E-15
1.94942E-04 8.87441E-15
2.20070E-04 8.11367E-15
2.46720E-04 7.41854E-15
2.74892E-04 6.79069E-15
3.04586E-04 6.22104E-15
3.35803E-04 5.70626E-15
3.68542E-04 5.24150E-15
4.02802E-04 4.82042E-15
4.38585E-04 4.44087E-15
4.75889E-04 4.09610E-15
5.14715E-04 3.78471E-15
5.55063E-04 3.50128E-15
5.96931E-04 3.24402E-15
6.40321E-04 3.00950E-15
6.85233E-04 2.79531E-15
7.31665E-04 2.59971E-15
7.79618E-04 2.42007E-15
8.29092E-04 2.25561E-15
8.80086E-04 2.10403E-15
9.32601E-04 1.96480E-15
9.86636E-04 1.83628E-15
1.04219E-03 1.71777E-15
1.09927E-03 1.60833E-15
1.15786E-03 1.50704E-15
1.21797E-03 1.41344E-15
1.27961E-03 1.32658E-15
1.34276E-03 1.24618E-15
1.40743E-03 1.17145E-15
1.47362E-03 1.10210E-15
1.54133E-03 1.03760E-15
1.61056E-03 9.77583E-16
1.68131E-03 9.21748E-16
1.75357E-03 8.69694E-16
1.82735E-03 8.21238E-16
1.90265E-03 7.76013E-16
1.97947E-03 7.33866E-16
2.05780E-03 6.94508E-16
2.13765E-03 6.57768E-16
2.21902E-03 6.23438E-16
2.30190E-03 5.91333E-16
2.38630E-03 5.61301E-16
2.47222E-03 5.33170E-16
2.55965E-03 5.06815E-16
2.64859E-03 4.82095E-16
2.73905E-03 4.58897E-16
2.83103E-03 4.37113E-16
2.92452E-03 4.16645E-16
3.01952E-03 3.97398E-16
3.11604E-03 3.79296E-16
3.21407E-03 3.62248E-16
3.31362E-03 3.46199E-16
3.41468E-03 3.31059E-16
3.51725E-03 3.16786E-16
3.62133E-03 3.03304E-16
3.72692E-03 2.90565E-16
3.83403E-03 2.78523E-16
3.94265E-03 2.67117E-16
4.05278E-03 2.56328E-16
4.16442E-03 2.46088E-16
4.27757E-03 2.36392E-16
4.39223E-03 2.27179E-16
4.50840E-03 2.18441E-16
4.62608E-03 2.10139E-16
4.74527E-03 2.02244E-16
4.86597E-03 1.94747E-16
4.98817E-03 1.87597E-16
5.11188E-03 1.80807E-16
5.23711E-03 1.74322E-16
5.36383E-03 1.68152E-16
5.49207E-03 1.62259E-16
5.62181E-03 1.56637E-16
5.75306E-03 1.51272E-16
5.88581E-03 1.46137E-16
6.02007E-03 1.41244E-16
6.15583E-03 1.36550E-16
6.29310E-03 1.32077E-16
6.43187E-03 1.27783E-16
6.57214E-03 1.23682E-16
6.71392E-03 1.19753E-16
6.85720E-03 1.15985E-16
7.00198E-03 1.12383E-16
7.14827E-03 1.08918E-16
7.29605E-03 1.05608E-16
7.44534E-03 1.02418E-16
7.59612E-03 9.93675E-17
7.97965E-03 9.22494E-17
8.37255E-03 8.58050E-17
8.77480E-03 7.99596E-17
9.18641E-03 7.46468E-17
9.60736E-03 6.98078E-17
1.00376E-02 6.53917E-17
1.04773E-02 6.13542E-17
1.09262E-02 5.76559E-17
