 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+02 eV = 1.28623E+01 a.u.
 #
 # Element:  U,  Z =  92,  atomic weight = 2.38029E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.63122E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 92
 #
 # Electron density: Read from file Data/z_092.d
 #                   Number of data points =  831
 #                   Volume integral = 9.20000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 0.00000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 2.49000E-23 cm**3
 #                            Bpol = 4.33013E+00
 #
 # Total elastic cross section = 6.70346E-16 cm**2 = 2.39385E+01 a0**2
 # 1st transport cross section = 8.94558E-17 cm**2 = 3.19453E+00 a0**2
 # 2nd transport cross section = 1.37738E-16 cm**2 = 4.91873E+00 a0**2
 #
 #    Absorption cross section = 4.91185E-16 cm**2 = 1.75405E+01 a0**2
 #   Grand total cross section = 1.16160E-15 cm**2 = 4.14817E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  mu        dcs
 #           cm2/sr
0.00000E+00 3.94274E-14
7.61557E-13 3.94274E-14
1.18994E-12 3.94274E-14
1.71346E-12 3.94274E-14
2.33225E-12 3.94274E-14
3.04617E-12 3.94274E-14
3.85530E-12 3.94274E-14
4.75964E-12 3.94274E-14
5.75917E-12 3.94274E-14
6.85391E-12 3.94274E-14
8.04379E-12 3.94274E-14
9.32893E-12 3.94274E-14
1.07092E-11 3.94274E-14
1.21847E-11 3.94274E-14
1.37554E-11 3.94274E-14
1.54213E-11 3.94274E-14
1.71823E-11 3.94274E-14
1.90386E-11 3.94274E-14
2.09900E-11 3.94274E-14
2.30367E-11 3.94274E-14
2.51785E-11 3.94274E-14
2.74156E-11 3.94274E-14
2.97478E-11 3.94274E-14
3.21752E-11 3.94274E-14
3.46979E-11 3.94274E-14
3.73157E-11 3.94274E-14
4.00286E-11 3.94274E-14
4.28368E-11 3.94274E-14
4.57402E-11 3.94274E-14
4.87388E-11 3.94274E-14
5.18325E-11 3.94274E-14
5.50215E-11 3.94274E-14
5.83057E-11 3.94274E-14
6.16850E-11 3.94274E-14
6.51595E-11 3.94274E-14
6.87293E-11 3.94274E-14
7.23943E-11 3.94274E-14
7.61544E-11 3.94274E-14
1.18991E-10 3.94274E-14
1.71347E-10 3.94274E-14
2.33223E-10 3.94274E-14
3.04617E-10 3.94274E-14
3.85531E-10 3.94273E-14
4.75965E-10 3.94273E-14
5.75917E-10 3.94273E-14
6.85389E-10 3.94272E-14
8.04380E-10 3.94272E-14
9.32891E-10 3.94272E-14
1.07092E-09 3.94271E-14
1.21847E-09 3.94271E-14
1.37554E-09 3.94271E-14
1.54213E-09 3.94270E-14
1.71823E-09 3.94270E-14
1.90386E-09 3.94269E-14
2.09900E-09 3.94269E-14
2.30367E-09 3.94268E-14
2.51785E-09 3.94267E-14
2.74156E-09 3.94267E-14
2.97478E-09 3.94266E-14
3.21752E-09 3.94266E-14
3.46978E-09 3.94265E-14
3.73156E-09 3.94264E-14
4.00286E-09 3.94263E-14
4.28368E-09 3.94263E-14
4.57402E-09 3.94262E-14
4.87388E-09 3.94261E-14
5.18326E-09 3.94260E-14
5.50215E-09 3.94259E-14
5.83057E-09 3.94259E-14
6.16850E-09 3.94258E-14
6.51596E-09 3.94257E-14
6.87293E-09 3.94256E-14
7.23942E-09 3.94255E-14
7.61544E-09 3.94254E-14
1.18991E-08 3.94242E-14
1.71347E-08 3.94228E-14
2.33223E-08 3.94211E-14
3.04617E-08 3.94192E-14
3.85531E-08 3.94170E-14
4.75965E-08 3.94145E-14
5.75917E-08 3.94118E-14
6.85389E-08 3.94088E-14
8.04380E-08 3.94056E-14
9.32891E-08 3.94021E-14
1.07092E-07 3.93984E-14
1.21847E-07 3.93944E-14
1.37554E-07 3.93902E-14
1.54213E-07 3.93856E-14
1.71823E-07 3.93809E-14
1.90386E-07 3.93759E-14
2.09900E-07 3.93706E-14
2.30367E-07 3.93651E-14
2.51785E-07 3.93593E-14
2.74156E-07 3.93532E-14
2.97478E-07 3.93469E-14
3.21752E-07 3.93404E-14
3.46978E-07 3.93336E-14
3.73156E-07 3.93265E-14
4.00286E-07 3.93192E-14
4.28368E-07 3.93116E-14
4.57402E-07 3.93038E-14
4.87388E-07 3.92957E-14
5.18325E-07 3.92874E-14
5.50215E-07 3.92789E-14
5.83057E-07 3.92700E-14
6.16850E-07 3.92610E-14
6.51596E-07 3.92516E-14
6.87293E-07 3.92421E-14
7.23942E-07 3.92322E-14
7.61543E-07 3.92222E-14
1.18991E-06 3.91079E-14
1.71347E-06 3.89693E-14
2.33223E-06 3.88072E-14
3.04617E-06 3.86222E-14
3.85531E-06 3.84152E-14
4.75964E-06 3.81873E-14
5.75916E-06 3.79393E-14
6.85388E-06 3.76725E-14
8.04378E-06 3.73880E-14
9.32888E-06 3.70871E-14
1.07092E-05 3.67709E-14
1.21846E-05 3.64407E-14
1.37553E-05 3.60980E-14
1.54212E-05 3.57439E-14
1.71822E-05 3.53799E-14
1.90385E-05 3.50071E-14
2.09899E-05 3.46270E-14
2.30365E-05 3.42407E-14
2.51783E-05 3.38494E-14
2.74153E-05 3.34544E-14
2.97475E-05 3.30568E-14
3.21749E-05 3.26577E-14
3.46974E-05 3.22580E-14
3.73152E-05 3.18586E-14
4.00281E-05 3.14606E-14
4.28362E-05 3.10647E-14
4.57395E-05 3.06716E-14
4.87380E-05 3.02821E-14
5.18317E-05 2.98966E-14
5.50205E-05 2.95158E-14
5.83045E-05 2.91401E-14
6.16838E-05 2.87699E-14
6.51582E-05 2.84055E-14
6.87277E-05 2.80471E-14
7.23925E-05 2.76951E-14
7.61524E-05 2.73494E-14
9.21439E-05 2.60322E-14
1.09658E-04 2.48173E-14
1.28695E-04 2.36950E-14
1.49255E-04 2.26514E-14
1.71338E-04 2.16717E-14
1.94942E-04 2.07426E-14
2.20070E-04 1.98544E-14
2.46720E-04 1.90007E-14
2.74892E-04 1.81793E-14
3.04586E-04 1.73900E-14
3.35803E-04 1.66343E-14
3.68542E-04 1.59140E-14
4.02802E-04 1.52299E-14
4.38585E-04 1.45817E-14
4.75889E-04 1.39679E-14
5.14715E-04 1.33859E-14
5.55063E-04 1.28324E-14
5.96931E-04 1.23041E-14
6.40321E-04 1.17980E-14
6.85233E-04 1.13119E-14
7.31665E-04 1.08443E-14
7.79618E-04 1.03948E-14
8.29092E-04 9.96302E-15
8.80086E-04 9.54926E-15
9.32601E-04 9.15356E-15
9.86636E-04 8.77577E-15
1.04219E-03 8.41538E-15
1.09927E-03 8.07151E-15
1.15786E-03 7.74305E-15
1.21797E-03 7.42878E-15
1.27961E-03 7.12755E-15
1.34276E-03 6.83837E-15
1.40743E-03 6.56055E-15
1.47362E-03 6.29364E-15
1.54133E-03 6.03742E-15
1.61056E-03 5.79179E-15
1.68131E-03 5.55668E-15
1.75357E-03 5.33195E-15
1.82735E-03 5.11733E-15
1.90265E-03 4.91242E-15
1.97947E-03 4.71670E-15
2.05780E-03 4.52960E-15
2.13765E-03 4.35055E-15
2.21902E-03 4.17902E-15
2.30190E-03 4.01461E-15
2.38630E-03 3.85700E-15
2.47222E-03 3.70598E-15
2.55965E-03 3.56140E-15
2.64859E-03 3.42314E-15
2.73905E-03 3.29105E-15
2.83103E-03 3.16496E-15
2.92452E-03 3.04461E-15
3.01952E-03 2.92973E-15
3.11604E-03 2.82000E-15
3.21407E-03 2.71510E-15
3.31362E-03 2.61473E-15
3.41468E-03 2.51864E-15
3.51725E-03 2.42661E-15
3.62133E-03 2.33848E-15
3.72692E-03 2.25413E-15
3.83403E-03 2.17344E-15
3.94265E-03 2.09629E-15
4.05278E-03 2.02257E-15
4.16442E-03 1.95211E-15
4.27757E-03 1.88476E-15
4.39223E-03 1.82033E-15
4.50840E-03 1.75866E-15
4.62608E-03 1.69956E-15
4.74527E-03 1.64289E-15
4.86597E-03 1.58853E-15
4.98817E-03 1.53636E-15
5.11188E-03 1.48631E-15
5.23711E-03 1.43829E-15
5.36383E-03 1.39223E-15
5.49207E-03 1.34806E-15
5.62181E-03 1.30568E-15
5.75306E-03 1.26501E-15
5.88581E-03 1.22595E-15
6.02007E-03 1.18841E-15
6.15583E-03 1.15231E-15
6.29310E-03 1.11757E-15
6.43187E-03 1.08412E-15
6.57214E-03 1.05190E-15
6.71392E-03 1.02088E-15
6.85720E-03 9.90989E-16
7.00198E-03 9.62199E-16
7.14827E-03 9.34462E-16
7.29605E-03 9.07731E-16
7.44534E-03 8.81961E-16
7.59612E-03 8.57106E-16
7.97965E-03 7.98707E-16
8.37255E-03 7.45226E-16
8.77480E-03 6.96236E-16
9.18641E-03 6.51330E-16
9.60736E-03 6.10111E-16
1.00376E-02 5.72271E-16
1.04773E-02 5.37594E-16
1.09262E-02 5.05861E-16
1.13844E-02 4.76787E-16
1.18520E-02 4.50109E-16
1.23288E-02 4.25671E-16
1.28150E-02 4.03385E-16
1.33104E-02 3.83095E-16
